,Line num,Command
0,1,\documentclass
1,5,\usepackage
2,6,\usepackage
3,7,\renewcommand
4,7,\baselinestretch
5,8,\usepackage
6,8,\geometry
7,9,\usepackage
8,10,\usepackage
9,11,\usepackage
10,12,\usepackage
11,13,\hypersetup
12,21,\usepackage
13,21,\linenumbers
14,25,\usepackage
15,26,\usepackage
16,27,\makeatletter
17,28,\newcommand
18,28,\inlineitem
19,29,\ifnum
20,29,\enit
21,29,\tw
22,30,\descriptionlabel
23,31,\hspace
24,31,\labelsep
25,32,\else
26,33,\ifnum
27,33,\enit
28,33,\z
29,34,\refstepcounter
30,34,\fi
31,35,\quad
32,35,\hspace
33,35,\labelsep
34,36,\fi
35,36,\makeatother
36,37,\parindent
37,41,\newcommand
38,41,\ga
39,41,\alpha
40,42,\newcommand
41,42,\gb
42,42,\beta
43,43,\newcommand
44,43,\gga
45,44,\newcommand
46,44,\gd
47,45,\newcommand
48,45,\gep
49,46,\newcommand
50,46,\gepv
51,46,\varepsilon
52,47,\newcommand
53,47,\gz
54,48,\newcommand
55,48,\get
56,49,\newcommand
57,49,\gth
58,49,\theta
59,50,\newcommand
60,50,\gthv
61,50,\vartheta
62,51,\newcommand
63,51,\gi
64,52,\newcommand
65,52,\gk
66,53,\newcommand
67,53,\gl
68,54,\newcommand
69,54,\gm
70,55,\newcommand
71,55,\gn
72,55,\nu
73,56,\newcommand
74,56,\gx
75,56,\xi
76,57,\newcommand
77,57,\go
78,58,\newcommand
79,58,\gp
80,59,\newcommand
81,59,\gpv
82,59,\varpi
83,60,\newcommand
84,60,\gr
85,60,\rho
86,61,\newcommand
87,61,\gs
88,62,\newcommand
89,62,\gsv
90,62,\varsigma
91,63,\newcommand
92,63,\gt
93,63,\tau
94,64,\newcommand
95,64,\gu
96,64,\upsilon
97,65,\newcommand
98,65,\gf
99,66,\newcommand
100,66,\gfv
101,66,\varphi
102,67,\newcommand
103,67,\gc
104,68,\newcommand
105,68,\gch
106,69,\newcommand
107,69,\gom
108,73,\newcommand
109,73,\Ga
110,74,\newcommand
111,74,\Gb
112,75,\newcommand
113,75,\Gg
114,76,\newcommand
115,76,\Ggv
116,76,\varGamma
117,77,\newcommand
118,77,\Gd
119,78,\newcommand
120,78,\Gdv
121,78,\varDelta
122,79,\newcommand
123,79,\Ge
124,80,\newcommand
125,80,\Gz
126,81,\newcommand
127,81,\Gh
128,82,\newcommand
129,82,\Gth
130,83,\newcommand
131,83,\Gthv
132,83,\varTheta
133,84,\newcommand
134,84,\Gi
135,85,\newcommand
136,85,\Gk
137,86,\newcommand
138,86,\Gl
139,87,\newcommand
140,87,\Glv
141,87,\varLambda
142,88,\newcommand
143,88,\Gm
144,89,\newcommand
145,89,\Gn
146,90,\newcommand
147,90,\Gx
148,90,\Xi
149,91,\newcommand
150,91,\Gxv
151,91,\varXi
152,92,\newcommand
153,92,\Go
154,93,\newcommand
155,93,\Gp
156,94,\newcommand
157,94,\Gpv
158,94,\varPi
159,95,\newcommand
160,95,\Gs
161,96,\newcommand
162,96,\Gsv
163,96,\varsigma
164,97,\newcommand
165,97,\Gu
166,97,\Upsilon
167,98,\newcommand
168,98,\Guv
169,98,\varUpsilon
170,99,\newcommand
171,99,\Gf
172,100,\newcommand
173,100,\Gfv
174,100,\varPhi
175,101,\newcommand
176,101,\Gc
177,102,\newcommand
178,102,\Gcv
179,102,\varPsi
180,103,\newcommand
181,103,\Gom
182,104,\newcommand
183,104,\Gomv
184,104,\varOmega
185,108,\newcommand
186,108,\grpp
187,108,\mcl
188,108,\ul
189,108,\gl
190,109,\newcommand
191,109,\grppp
192,109,\mcl
193,109,\ul
194,109,\gl
195,110,\newcommand
196,110,\grpppp
197,110,\mcl
198,110,\ul
199,110,\gl
200,111,\newcommand
201,111,\grpppI
202,111,\mcl
203,111,\ul
204,111,\gl
205,112,\newcommand
206,112,\autgp
207,112,\mcl
208,112,\ul
209,112,\gl
210,113,\newcommand
211,113,\autgpp
212,113,\mcl
213,113,\ul
214,113,\gl
215,114,\newcommand
216,114,\autgppp
217,114,\mcl
218,114,\ul
219,114,\gl
220,115,\newcommand
221,115,\id
222,115,\mathrm
223,116,\newcommand
224,116,\tf
225,116,\therefore
226,117,\newcommand
227,117,\be
228,117,\because
229,118,\newcommand
230,118,\subs
231,118,\subset
232,119,\newcommand
233,119,\sups
234,119,\supset
235,120,\newcommand
236,120,\sbq
237,120,\subseteq
238,121,\newcommand
239,121,\spq
240,121,\supseteq
241,122,\newcommand
242,122,\sbnq
243,122,\subsetneq
244,123,\newcommand
245,123,\spnq
246,123,\supsetneq
247,124,\newcommand
248,124,\nsbq
249,124,\nsubseteq
250,125,\newcommand
251,125,\nspq
252,125,\nsupseteq
253,126,\newcommand
254,126,\ify
255,126,\infty
256,127,\newcommand
257,127,\bs
258,127,\backslash
259,128,\newcommand
260,128,\fs
261,129,\newcommand
262,129,\fa
263,129,\forall
264,130,\newcommand
265,130,\ex
266,130,\exists
267,131,\newcommand
268,131,\nex
269,131,\nexists
270,132,\newcommand
271,132,\st
272,132,\ni
273,133,\newcommand
274,133,\nin
275,133,\notin
276,134,\newcommand
277,134,\slf
278,134,\smallfrown
279,135,\newcommand
280,135,\bop
281,135,\bigoplus
282,136,\newcommand
283,136,\btu
284,136,\bigtriangleup
285,137,\newcommand
286,137,\wti
287,137,\widetilde
288,138,\newcommand
289,138,\ti
290,138,\tilde
291,139,\newcommand
292,139,\yd
293,139,\ydiagram
294,140,\newcommand
295,140,\ugl
296,140,\ul
297,140,\gl
298,140,\gl_
299,140,\gr
300,140,\gl_
301,140,\gr
302,140,\gl_
303,140,\gr
304,140,\ldots
305,140,\gl_
306,140,\gr
307,141,\newcommand
308,141,\mbb
309,141,\mathbb
310,142,\newcommand
311,142,\mrm
312,142,\mathrm
313,143,\newcommand
314,143,\mmit
315,143,\mathit
316,144,\newcommand
317,144,\mbf
318,144,\mathbf
319,145,\newcommand
320,145,\msf
321,145,\mathsf
322,146,\newcommand
323,146,\mtt
324,146,\mathtt
325,147,\newcommand
326,147,\mcl
327,147,\mathcal
328,148,\newcommand
329,148,\mfr
330,148,\mathfrak
331,149,\newcommand
332,149,\ul
333,149,\underline
334,150,\newcommand
335,150,\ol
336,150,\overline
337,151,\newcommand
338,151,\pl
339,151,\parallel
340,152,\newcommand
341,152,\Stab
342,152,\mathrm
343,153,\newcommand
344,153,\us
345,153,\underset
346,154,\newcommand
347,154,\os
348,154,\overset
349,155,\newcommand
350,155,\Lra
351,155,\Leftrightarrow
352,156,\newcommand
353,156,\lla
354,156,\longleftarrow
355,157,\newcommand
356,157,\lra
357,157,\longrightarrow
358,158,\newcommand
359,158,\llra
360,158,\longleftrightarrow
361,159,\newcommand
362,159,\nsm
363,159,\nshortmid
364,160,\newcommand
365,160,\pr
366,160,\partial
367,161,\newcommand
368,161,\I
369,161,\mcl
370,162,\newcommand
371,162,\A
372,162,\mbb
373,163,\newcommand
374,163,\N
375,163,\mbb
376,164,\newcommand
377,164,\Z
378,164,\mbb
379,165,\newcommand
380,165,\R
381,165,\mcl
382,166,\newcommand
383,166,\AAA
384,166,\mathbb
385,166,\gp
386,166,\mathbb
387,167,\newcommand
388,167,\ZZ
389,167,\Z
390,167,\Z
391,168,\newcommand
392,168,\RR
393,168,\R
394,168,\R
395,169,\newcommand
396,169,\la
397,169,\leftarrow
398,170,\newcommand
399,170,\La
400,170,\Leftarrow
401,171,\newcommand
402,171,\ra
403,171,\rightarrow
404,172,\newcommand
405,172,\Ra
406,172,\Rightarrow
407,173,\newcommand
408,173,\Llra
409,173,\Longleftrightarrow
410,174,\newcommand
411,174,\bc
412,174,\bigcup
413,175,\newcommand
414,175,\es
415,175,\emptyset
416,176,\newcommand
417,176,\ora
418,176,\overrightarrow
419,177,\newcommand
420,177,\ola
421,177,\overleftarrow
422,178,\newcommand
423,178,\lmt
424,178,\longmapsto
425,179,\newcommand
426,179,\eqdef
427,179,\overset
428,179,\mathrm
429,179,\joinrel
430,180,\newcommand
431,180,\fo
432,181,\begingroup
433,182,\fontsize
434,182,\selectfont
435,183,\endgroup
436,185,\newcommand
437,185,\equ
438,186,equation
439,190,\newcommand
440,190,\equa
441,191,equation
442,192,aligned
443,197,\newcommand
444,197,\equan
445,198,equation
446,199,\label
447,200,aligned
448,208,\DeclareMathOperator
449,208,\Det
450,209,\DeclareMathOperator
451,209,\Hom
452,210,\DeclareMathOperator
453,210,\End
454,211,\DeclareMathOperator
455,211,\Aut
456,212,\DeclareMathOperator
457,212,\Diag
458,216,\newcommand
459,216,\mattwo
460,217,pmatrix
461,221,\newcommand
462,221,\vmattwo
463,222,vmatrix
464,226,\newcommand
465,226,\matcoltwo
466,227,pmatrix
467,231,\newcommand
468,231,\matcolthree
469,232,pmatrix
470,236,\newcommand
471,236,\matcolfour
472,237,pmatrix
473,241,\newcommand
474,241,\matcolfive
475,242,pmatrix
476,246,\newcommand
477,246,\matcolsix
478,247,pmatrix
479,251,\newcommand
480,251,\matcolseven
481,252,pmatrix
482,256,\newcommand
483,256,\mattwothree
484,257,pmatrix
485,261,\newcommand
486,261,\matthreetwo
487,262,pmatrix
488,266,\newcommand
489,266,\mattwofour
490,267,pmatrix
491,271,\newcommand
492,271,\mattwofive
493,272,\def
494,272,\argi
495,273,\def
496,273,\argii
497,274,\def
498,274,\argiii
499,275,\def
500,275,\argiv
501,276,\def
502,276,\argv
503,277,\def
504,277,\argvi
505,278,\def
506,278,\argvii
507,279,\def
508,279,\argviii
509,280,\def
510,280,\argix
511,281,\mattwofiveRelay
512,283,\newcommand
513,283,\mattwofiveRelay
514,285,\I
515,285,\IX
516,289,pmatrix
517,290,\argi
518,290,\argii
519,290,\argiii
520,290,\argiv
521,290,\argv
522,291,\argvi
523,291,\argvii
524,291,\argviii
525,291,\argix
526,294,\newcommand
527,294,\mattwosix
528,295,\def
529,295,\argi
530,296,\def
531,296,\argii
532,297,\def
533,297,\argiii
534,298,\def
535,298,\argiv
536,299,\def
537,299,\argv
538,300,\def
539,300,\argvi
540,301,\def
541,301,\argvii
542,302,\def
543,302,\argviii
544,303,\def
545,303,\argix
546,304,\mattwosixRelay
547,306,\newcommand
548,306,\mattwosixRelay
549,308,\I
550,308,\IX
551,312,pmatrix
552,313,\argi
553,313,\argii
554,313,\argiii
555,313,\argiv
556,313,\argv
557,313,\argvi
558,314,\argvii
559,314,\argviii
560,314,\argix
561,317,\newcommand
562,317,\mattwoseven
563,318,\def
564,318,\argi
565,319,\def
566,319,\argii
567,320,\def
568,320,\argiii
569,321,\def
570,321,\argiv
571,322,\def
572,322,\argv
573,323,\def
574,323,\argvi
575,324,\def
576,324,\argvii
577,325,\def
578,325,\argviii
579,326,\def
580,326,\argix
581,327,\mattwosevenRelay
582,329,\newcommand
583,329,\mattwosevenRelay
584,331,\I
585,331,\IX
586,335,pmatrix
587,336,\argi
588,336,\argii
589,336,\argiii
590,336,\argiv
591,336,\argv
592,336,\argvi
593,336,\argvii
594,337,\argviii
595,337,\argix
596,340,\newcommand
597,340,\matthreefour
598,341,\def
599,341,\argi
600,342,\def
601,342,\argii
602,343,\def
603,343,\argiii
604,344,\def
605,344,\argiv
606,345,\def
607,345,\argv
608,346,\def
609,346,\argvi
610,347,\def
611,347,\argvii
612,348,\def
613,348,\argviii
614,349,\def
615,349,\argix
616,350,\matthreefourRelay
617,352,\newcommand
618,352,\matthreefourRelay
619,354,\I
620,354,\IX
621,358,pmatrix
622,359,\argi
623,359,\argii
624,359,\argiii
625,359,\argiv
626,360,\argv
627,360,\argvi
628,360,\argvii
629,360,\argviii
630,361,\argix
631,364,\newcommand
632,364,\matTwo
633,365,pmatrix
634,369,\newcommand
635,369,\matthree
636,370,pmatrix
637,374,\newcommand
