,Line num,Command
0,1,\documentclass
1,2,\usepackage
2,3,\usepackage
3,4,\usepackage
4,5,\usepackage
5,6,\renewcommand
6,6,\baselinestretch
7,7,\newtheorem
8,8,\newtheorem
9,9,\newtheorem
10,10,\newtheorem
11,11,\newtheorem
12,12,\newcommand
13,12,\R
14,12,\mathbb
15,13,\newcommand
16,13,\C
17,13,\mathbb
18,14,\newcommand
19,14,\T
20,14,\mathbb
21,15,\newcommand
22,15,\N
23,15,\mathbb
24,16,\newcommand
25,16,\Q
26,16,\mathbb
27,17,\newcommand
28,17,\Z
29,17,\mathbb
30,18,\newcommand
31,18,\la
32,19,\newcommand
33,19,\ra
34,19,\rightarrow
35,20,\newcommand
36,20,\txt
37,20,\textmd
38,21,\newcommand
39,21,\ds
40,21,\displaystyle
41,22,be
42,24,bes
43,26,bea
44,28,beas
45,30,\usepackage
46,31,\usepackage
47,32,\usepackage
48,33,\usepackage
49,34,\date
50,35,\usepackage
51,36,\setlength
52,36,\extrarowheight
53,37,\numberwithin
54,43,document
55,45,\title
56,45,\tiny
57,45,\R
58,45,\T
59,45,\R
60,45,\T
61,47,\author
62,47,\tiny
63,49,\address
64,51,\email
65,56,abstract
66,57,\R
67,57,\R
68,57,\T
69,57,\R
70,57,\T
71,60,\subjclass
72,62,\keywords
73,65,\maketitle
74,67,\section
75,69,\R
76,70,\leq
77,70,\quad
78,70,\txt
79,70,\in
80,70,\R
81,71,\widehat
82,71,\widehat
83,71,\in
84,71,\R
85,71,\widehat
86,73,\cite
87,73,\R
88,73,\cite
89,74,Thm
90,75,\R
91,76,equation
92,77,\int_0
93,77,\infty
94,77,\dfrac
95,77,\log
96,77,\left
97,77,\dfrac
98,77,\int_x
99,77,\infty
100,77,\right
101,77,\infty
102,79,\widehat
103,79,\R
104,81,\noindent
105,81,\R
106,81,\ref
107,81,\cite
108,81,\T
109,82,Thm
110,83,\in
111,83,\T
112,84,equation
113,85,\sum_
114,85,\infty
115,85,\dfrac
116,85,\log
117,85,\left
118,85,\dfrac
119,85,\sum_
120,85,\infty
121,85,\widehat
122,85,\right
123,85,\infty
124,87,\widehat
125,87,\T
126,90,\R
127,90,\T
128,90,\cite
129,90,\R
130,90,\ref
131,90,\T
132,90,\ref
133,90,\R
