,Line num,Command
0,3,\parbf
1,3,\ref
2,3,\ref
3,4,\z
4,4,\subset
5,4,\RR
6,6,\Conv
7,6,\Conv
8,9,\parit
9,9,\ref
10,12,\eps
11,13,\Haus
12,13,\RR
13,13,\eps
14,15,\partial
15,15,\partial
16,15,\Haus
17,15,\RR
18,15,\approx
19,17,\partial
20,18,\partial
21,18,\partial
22,18,\dist
23,18,\partial
24,18,\partial
25,18,\Haus
26,18,\RR
27,18,\dist
28,18,\Haus
29,18,\RR
30,20,\parit
31,21,\emph
32,23,\parbf
33,23,\ref
34,27,\area
35,27,\area
36,27,\cdot
37,27,\perim
38,27,\cdot
39,29,\perim
40,29,\perim
41,29,\cdot
42,29,\cdot
43,32,\perim
44,32,\le
45,32,\perim
46,33,\RR
47,33,\to
48,33,\partial
49,33,\partial
50,35,\to
51,35,\infty
52,36,\infty
53,36,\supset
54,37,\quad
55,37,\text
56,37,\quad
57,38,\infty
58,38,\subset
59,43,\parbf
60,43,\ref
61,44,\spc
62,44,\ref
63,45,\spc
64,45,\spc
65,45,\spc
66,45,\eps
67,47,\hat
68,47,\spc
69,47,\hat
70,47,\spc
71,47,\GH
72,47,\cdot
73,47,\eps
74,49,\hat
75,49,\spc
76,49,\spc
77,50,\spc
78,50,\spc
79,50,\spc
80,50,\hat
81,50,\spc
82,50,\hat
83,50,\spc
84,50,\hat
85,50,\spc
86,52,\ref
87,52,\spc
88,52,\hookrightarrow
89,52,\spc
90,52,\spc
91,52,\hookrightarrow
92,52,\spc
93,52,\hat
94,52,\spc
95,52,\hookrightarrow
96,52,\hat
97,52,\spc
98,52,\hat
99,52,\spc
100,52,\hookrightarrow
101,52,\hat
102,52,\spc
103,53,\hat
104,53,\spc
105,53,\hat
106,53,\spc
107,53,\hat
108,53,\spc
109,56,\in
110,56,\hat
111,56,\spc
112,57,\in
113,57,\hat
114,57,\spc
115,58,\cdot
116,58,\eps
117,58,\eqlbl
118,59,\in
119,59,\spc
120,60,\spc
121,60,\spc
122,61,\ref
123,61,\in
124,61,\hat
125,61,\spc
126,62,\le
127,62,\eqlbl
128,63,\in
129,63,\spc
130,67,\spc
131,68,\ref
132,68,\spc
133,68,\spc
134,68,\spc
135,68,\eps
136,69,\cdot
137,69,\eps
138,70,\in
139,70,\spc
140,71,\ref
141,72,\cdot
142,72,\eps
143,73,\in
144,73,\spc
145,74,\ref
146,76,\hat
147,76,\spc
148,76,\cdot
149,76,\eps
150,76,\hat
151,76,\spc
152,76,\hat
153,76,\spc
154,77,\hat
155,77,\spc
156,77,\cdot
157,77,\eps
158,77,\hat
159,77,\spc
160,77,\hat
161,77,\spc
162,79,\hat
163,79,\spc
164,79,\hat
165,79,\spc
166,79,\Haus
167,79,\spc
168,79,\cdot
169,79,\eps
170,81,\hat
171,81,\spc
172,81,\hat
173,81,\spc
174,81,\GH
175,81,\cdot
176,81,\eps
177,83,\parit
178,84,\cite
179,85,figure
180,86,\vskip
181,87,\centering
182,88,\includegraphics
183,91,\to
184,91,\infty
185,96,\parbf
186,96,\ref
187,97,\dist
188,97,\GH
189,98,\dist
190,98,\spc
191,98,\spc
192,98,\GH
193,99,\quad
194,99,\Longrightarrow
195,99,\quad
196,100,\spc
197,100,\iso
198,100,\spc
199,103,\dist
200,103,\spc
201,103,\spc
202,103,\GH
