,Line num,Command
0,1,\documentclass
1,3,\usepackage
2,4,\usepackage
3,5,\usepackage
4,8,\setlength
5,8,\textwidth
6,9,\setlength
7,9,\oddsidemargin
8,10,\setlength
9,10,\evensidemargin
10,11,\setlength
11,11,\topmargin
12,12,\setlength
13,12,\textheight
14,14,\numberwithin
15,16,\renewcommand
16,16,\thefootnote
17,16,\fnsymbol
18,18,\sloppy
19,21,\newtheorem
20,22,\newtheorem
21,23,\newtheorem
22,24,\newtheorem
23,25,\newtheorem
24,27,\theoremstyle
25,28,\newtheorem
26,29,\newtheorem
27,30,\newtheorem
28,31,\newtheorem
29,33,\theoremstyle
30,34,\newtheorem
31,35,\newtheorem
32,39,\renewcommand
33,39,\hom
34,39,\operatorname
35,40,\renewcommand
36,40,\ker
37,40,\operatorname
38,42,\newcommand
39,42,\N
40,42,\mathbb
41,43,\newcommand
42,43,\Z
43,43,\mathbb
44,44,\newcommand
45,44,\Q
46,44,\mathbb
47,45,\newcommand
48,45,\R
49,45,\mathbb
50,46,\newcommand
51,46,\C
52,46,\mathbb
53,47,\newcommand
54,47,\HH
55,47,\mathbb
56,48,\newcommand
57,48,\proj
58,48,\mathbb
59,49,\newcommand
60,49,\QZ
61,49,\mathbb
62,49,\mathbb
63,50,\newcommand
64,50,\e
65,50,\mathbf
66,51,\newcommand
67,51,\emu
68,51,\mathbf
69,52,\newcommand
70,52,\elambda
71,52,\mathbf
72,54,\newcommand
73,54,\SL
74,54,\rm
75,54,\mathbb
76,55,\newcommand
77,55,\Mp
78,55,\rm
79,55,\mathbb
80,56,\newcommand
81,56,\pullL
82,56,\uparrow_
83,57,\newcommand
84,57,\pushL
85,57,\downarrow_
86,58,\newcommand
87,58,\pushLK
88,58,\downarrow
89,59,\newcommand
90,59,\ThetaK
91,59,\Theta_
92,60,\newcommand
93,60,\ML
94,61,\newcommand
95,61,\MLZ
96,61,\mathbb
97,62,\newcommand
98,62,\MLR
99,63,\newcommand
100,63,\fTheta
101,63,\langle
102,63,\downarrow
103,63,\Theta_
104,63,\rangle
105,64,\newcommand
106,64,\foneTheta
107,64,\langle
108,64,\downarrow
109,64,\Theta_
110,64,\rangle
111,65,\newcommand
112,65,\ftwoTheta
113,65,\langle
114,65,\downarrow
115,65,\Theta_
116,65,\rangle
117,67,\DeclareMathOperator
118,67,\Ad
119,68,\DeclareMathOperator
120,68,\aut
121,69,\DeclareMathOperator
122,69,\coker
123,70,\DeclareMathOperator
124,70,\im
125,71,\DeclareMathOperator
126,71,\out
127,72,\DeclareMathOperator
128,72,\sgn
129,73,\DeclareMathOperator
130,73,\tr
131,74,\DeclareMathOperator
132,74,\vol
133,77,document
134,80,\title
135,81,\author
136,82,\thanks
137,83,\address
138,84,\email
139,85,\subjclass
140,86,\keywords
141,87,\dedicatory
142,88,\maketitle
143,90,abstract
144,110,\section
145,118,\leq
146,119,\rho_
147,120,\cite
148,120,\cite
149,121,\rho_
150,128,\rho_
151,130,\ML
152,131,\C
153,132,\ML
154,135,\ML
155,135,\C
156,142,\ML
157,142,\rho_
158,143,\rho_
159,145,\perp
160,146,\pushLK
161,146,\rho_
162,146,\rho_
163,146,\S
164,146,\ref
165,147,\ThetaK
166,147,\tau
167,147,\rho_
168,148,\S
169,148,\ref
170,148,\in
171,148,\ML
172,149,equation
173,150,\ast_
174,150,\langle
175,150,\pushLK
176,150,\ThetaK
177,150,\rangle
178,150,\cdot
179,152,\ast_
180,152,\ML
181,154,\rho_
182,155,\ThetaK
183,157,\textit
184,160,theorem
185,161,\ast_
186,161,\ML
187,161,\C
188,163,\ML
189,163,\simeq
190,163,\oplus
191,163,\cdots
192,163,\oplus
193,164,\ML
194,166,\Q
195,166,\subset
196,166,\Q
197,168,equation
198,169,\ML
199,169,\to
200,169,\quad
201,169,\mapsto
202,169,\cdot
203,171,\C
204,172,\cap
205,173,\in
206,173,\in
207,173,\ML
208,174,\eqref
209,178,\ML
210,181,\colon
211,181,\ML
212,181,\to
213,182,\cite
214,182,\cite
215,182,\cite
216,184,\ML
217,184,\to
218,184,\subset
219,185,\ML
220,186,\ref
221,187,\ref
222,188,\ref
223,189,\ref
224,190,\ref
225,191,\ref
226,194,\ML
227,201,\ThetaK
228,201,\theta_
229,202,\ast_
230,202,\cdot
231,202,\theta_
232,202,\cdot
233,202,\ref
234,203,\oplus
235,203,\cdots
236,203,\oplus
237,204,\oplus
238,205,\phi_
239,205,\tau
240,205,\phi_
241,205,\tau
242,206,\cite
243,207,\ast_
244,208,\phi_
245,208,\tau
246,208,\cdot
247,208,\phi_
248,208,\tau
249,208,\ref
250,209,\ast_
251,214,\ML
252,215,\ref
253,218,\ML
254,220,\ref
255,222,\ref
256,222,\ref
257,224,\cite
258,230,\ML
259,231,\S
260,231,\ref
261,233,\ML
262,233,\ref
263,234,\oplus
264,234,\langle
265,234,\rangle
266,235,\ML
267,235,\ref
268,236,\ML
269,237,\ML
270,241,\ML
271,245,\S
272,245,\ref
273,246,itemize
274,247,\item
275,247,\R
276,247,\subset
277,247,\ML
278,247,\ast_
279,248,\item
280,249,\ast_
281,254,\R
282,254,\subset
283,254,\ML
284,255,\ref
285,256,\MLZ
286,256,\subset
287,256,\ML
288,257,\ast_
289,257,\in
290,257,\MLZ
291,257,\in
292,257,\MLZ
293,260,\MLZ
294,260,\ast_
295,260,\ref
296,261,\MLZ
297,262,\R
298,262,\MLZ
299,266,\S
300,266,\ref
301,267,\S
302,267,\ref
303,268,\S
304,268,\ref
305,268,\ML
306,269,\S
307,269,\ref
308,270,\S
309,270,\ref
310,270,\S
311,270,\ref
312,272,\vspace
313,274,\textbf
314,275,\textit
315,279,\section
316,279,\label
317,283,\cite
318,283,\cite
319,286,\subsection
320,286,\label
321,290,\cdot
322,290,\cdot
323,290,\colon
324,290,\times
325,290,\to
326,290,\Z
327,291,\in
328,291,\Z
329,291,\in
330,293,\vee
331,294,\vee
332,294,\textit
333,295,\QZ
334,296,\colon
335,296,\to
336,296,\QZ
337,296,\Z
338,297,\textit
339,299,\colon
340,299,\to
341,299,\QZ
342,299,\textit
343,302,\in
344,302,\Z
345,303,\C
346,304,\C
347,304,\in
348,305,\elambda
349,307,\Mp
350,307,\SL
351,308,\Mp
352,310,\tau
353,310,\tau
354,311,\Mp
355,312,equation
356,316,\Mp
357,319,\textit
358,319,\rho_A
359,319,\Mp
360,320,\C
361,321,eqnarray
362,322,\rho_A
363,322,\elambda
364,322,\elambda
365,323,\rho_A
366,323,\elambda
367,324,\frac
368,324,\sqrt
369,324,\sum_
370,324,\in
371,324,\emu
372,326,\rm
373,326,\in
374,326,\Q
375,326,\Z
376,328,equation
377,329,\rho_A
378,329,\elambda
379,329,\mathbf
380,331,\rho_A
381,331,\rho_L
382,336,\rho_
383,336,\rho_A
384,336,\vee
385,336,\rho_A
386,337,\C
387,338,\mathbf
388,338,\vee
389,339,\mathbf
390,339,\C
391,341,\rho_
392,341,\rho_
393,341,\vee
394,343,\subset
395,344,\perp
396,345,\perp
397,345,\to
398,347,equation
399,348,\uparrow_
400,348,\C
401,348,\to
402,348,\C
403,348,\qquad
404,349,\downarrow_
405,349,\C
406,349,\to
407,349,\C
408,351,\textit
409,351,\textit
410,352,equation
411,353,\elambda
412,353,\uparrow_
413,353,\sum_
414,353,\in
415,353,\emu
416,353,\qquad
417,354,\emu
418,354,\downarrow_
419,355,cases
420,356,\mathbf
421,356,\in
422,356,\perp
423,357,\not
424,357,\in
425,357,\perp
