,Line num,Command
0,1,\documentclass
1,3,\usepackage
2,4,\usepackage
3,5,\usepackage
4,6,\usepackage
5,7,\usepackage
6,8,\usepackage
7,9,\usetikzlibrary
8,10,\usetikzlibrary
9,11,\usetikzlibrary
10,12,\usetikzlibrary
11,13,\usepackage
12,15,\renewcommand
13,15,\thesubfigure
14,15,\roman
15,16,\usepackage
16,20,\newtheorem
17,21,\newtheorem
18,22,\newtheorem
19,24,\numberwithin
20,25,\numberwithin
21,28,\newcommand
22,28,\RR
23,28,\mathbb
24,29,\newcommand
25,29,\QQ
26,29,\mathbb
27,30,\newcommand
28,30,\R
29,30,\mathbb
30,31,\newcommand
31,31,\calH
32,31,\mathcal
33,32,\newcommand
34,32,\ZZ
35,32,\mathbb
36,33,\newcommand
37,33,\vol
38,33,\mathrm
39,34,\newcommand
40,34,\calC
41,34,\mathcal
42,35,\newcommand
43,35,\NN
44,35,\mathbb
45,36,\newcommand
46,36,\CC
47,36,\mathbb
48,37,\newcommand
49,37,\blue
50,37,\leavevmode
51,37,\color
52,38,\newcommand
53,38,\red
54,38,\leavevmode
55,38,\color
56,39,\newcommand
57,39,\purple
58,39,\leavevmode
59,39,\color
60,40,\renewcommand
61,40,\Re
62,40,\textnormal
63,41,\renewcommand
64,41,\Im
65,41,\textnormal
66,42,\newcommand
67,42,\Res
68,42,\textnormal
69,43,\newcommand
70,43,\SL
71,43,\mathrm
72,44,\renewcommand
73,44,\pmod
74,44,\left
75,44,\mathrm
76,44,\right
77,47,\title
78,49,\author
79,50,\address
80,51,\email
81,51,\_
82,52,\author
83,53,\address
84,54,\email
85,55,\author
86,56,\address
87,57,\email
88,59,document
89,62,abstract
90,63,\sigma_a
91,63,\sigma_b
92,76,\maketitle
93,78,\section
94,80,\sigma_a
95,82,\sigma_a
96,82,\sum_
97,82,\mid
98,84,\sigma_a
99,84,\cite
100,86,\sum_
101,86,\sigma_a
102,86,\sigma_b
103,90,\frac
104,90,\sigma_7
105,90,\frac
106,90,\sigma_3
107,93,equation
108,94,\frac
109,94,\frac
110,94,\sigma_
111,94,\frac
112,94,\sigma_b
113,94,\frac
114,96,\geq
115,96,\mathrm
116,96,\mathbb
117,98,\eqref
118,98,\cite
119,103,theorem
120,104,\to
121,104,\infty
122,105,equation
123,106,\frac
124,106,\frac
125,106,\sigma_
126,106,\beta
127,110,begin
128,111,\text
129,112,\text
130,112,\leq
131,112,\geq
132,113,\text
133,113,\geq
134,113,\leq
135,114,\frac
136,114,\text
137,121,\ref
138,123,\medskip
139,124,\ref
140,124,\eqref
141,126,theorem
142,127,\geq
143,128,align
144,130,\frac
145,130,\frac
146,130,\sigma_
147,130,\frac
148,130,\sigma_
149,131,\quad
150,131,\quad
151,131,\frac
152,135,\ref
153,135,\frac
154,135,\frac
155,135,\leq
156,137,theorem
157,139,align
158,141,\frac
159,141,\frac
160,141,\sigma_
161,142,\notag
162,142,\quad
163,142,\frac
164,142,\sigma_
165,143,\sum_
166,143,\leq
167,143,\frac
168,143,\frac
169,143,\mathrm
170,143,\frac
171,143,\frac
172,145,\mathrm
173,145,\eqref
174,145,\mathrm
175,145,\ll
176,145,\mathrm
177,145,\frac
178,145,\sigma_b
179,145,\mathrm
180,145,\geq
181,148,\ref
182,148,\frac
183,148,\frac
184,150,\ref
185,150,\ref
186,150,\emph
187,150,\ll
188,150,\ll
189,150,\theta
190,150,\leq
191,150,\theta
192,150,\leq
193,150,\ref
194,150,\frac
195,150,\frac
196,150,\theta
197,150,\cite
198,150,\theta
199,150,\ref
200,150,\cite
201,150,\ref
202,150,\frac
203,150,\frac
204,153,\section
205,160,\section
206,160,\label
207,165,\subsection
208,167,\emph
209,167,\Delta_1
210,167,\dots
211,167,\Delta_n
212,168,itemize
213,169,\item
214,169,\RR
215,170,\item
216,171,\item
217,171,\leq
218,171,\leq
219,171,\Delta_j
220,171,\leq
221,171,\ell
222,171,\leq
223,171,\ell
224,171,\Delta_
225,171,\ell
226,171,\ell
227,171,\ell
228,175,itemize
229,176,\item
230,176,\emph
231,177,\item
232,177,\ref
233,180,figure
234,181,tabular
235,182,tikzpicture
236,184,\draw
237,185,\draw
238,186,\draw
239,187,\draw
240,188,\draw
241,190,\draw
242,191,\draw
243,193,\draw
244,193,\not
245,193,\simeq
246,195,\draw
247,196,scope
248,197,\draw
249,198,\draw
250,199,\draw
251,200,\draw
252,202,\draw
253,203,\draw
254,207,tikzpicture
255,210,\draw
256,211,\draw
257,212,\draw
258,213,\draw
259,214,\draw
260,216,\draw
261,217,\draw
262,219,\draw
263,219,\simeq
264,221,scope
265,222,\draw
266,224,\draw
267,229,scope
268,230,\draw
269,231,\draw
270,233,\draw
271,234,\draw
272,236,\draw
273,237,\draw
274,244,\caption
275,245,\label
276,248,wrapfigure
277,249,tikzpicture
278,251,\draw
279,252,\draw
280,258,scope
281,259,\draw
282,270,scope
283,271,\draw
284,272,\draw
285,279,scope
286,280,\draw
287,281,\draw
288,283,\draw
289,290,scope
290,291,\draw
291,292,\draw
292,293,\draw
293,295,\draw
294,300,scope
295,301,\draw
296,302,\draw
297,307,scope
298,309,scope
299,310,\draw
300,313,scope
301,314,\draw
302,315,\draw
303,318,scope
304,319,\draw
305,320,\draw
306,322,\draw
307,326,scope
308,327,\draw
309,328,\draw
310,329,\draw
311,331,\draw
312,334,scope
313,335,\draw
314,336,\draw
315,348,\caption
316,348,\calH
317,349,\label
318,352,\ref
319,354,\CC
320,354,\CC
321,354,\cite
322,356,\alpha_1
323,356,\dots
324,356,\alpha_m
325,358,\sum_
326,358,\alpha_i
327,361,\alpha
328,361,\alpha_1
329,361,\dots
330,361,\alpha_m
331,361,\alpha_i
332,361,\emph
333,361,\calH
334,361,\alpha
335,363,\alpha
336,363,\calH
337,363,\alpha
338,363,\in
339,363,\calH
340,363,\alpha_1
341,363,\dots
342,363,\alpha_m
343,363,\rho_1
344,363,\dots
345,363,\rho_
346,363,\dots
347,363,\ZZ
348,364,equation
349,365,\calH
350,365,\alpha
351,365,\rightarrow
352,365,\CC
353,366,\text
354,366,\rightarrow
355,366,\bigg
356,366,\int_
357,366,\rho_1
358,366,\dots
359,366,\int_
360,366,\rho_
361,366,\bigg
362,368,\emph
363,368,\calH
364,368,\alpha
365,368,\cite
366,369,\alpha_1
367,369,\dots
368,369,\alpha_m
369,369,\cite
370,369,\calH
371,369,\alpha
372,369,\alpha
373,369,\calH
374,369,\alpha
375,369,\SL_2
376,369,\RR
377,369,\Delta_i
378,369,\in
379,369,\SL_2
380,369,\RR
381,369,\cdot
382,369,\Delta_i
383,372,\subsection
384,372,\calH
385,372,\alpha
386,374,\calH
387,374,\alpha
388,374,\CC
389,374,\ZZ
390,374,\ZZ
391,374,\calH
392,374,\alpha
393,374,\calH_1
394,374,\alpha
395,374,\calH
396,374,\alpha
397,374,\calH_1
398,374,\alpha
399,374,\alpha
400,374,\cite
401,374,\cite
402,376,\cite
403,376,\calH_1
404,376,\alpha
405,376,\emph
406,376,\ref
407,376,\ZZ
408,376,\ZZ
409,378,\RR
410,378,\cdot
411,378,\RR
412,379,\frac
413,379,\cdot
414,379,\bigg
415,381,\calH_1
416,381,\alpha
417,381,\calH_1
418,381,\alpha
419,381,\calH
420,381,\alpha
421,381,\calH_1
422,381,\alpha
423,388,\subsection
424,390,\cite
425,391,\vol
426,391,\calH_1
427,391,\emptyset
428,391,\cdot
429,391,\qquad
430,391,\vol
431,391,\calH_1
432,391,\frac
