,Line num,Command
0,1,\documentclass
1,2,\renewcommand
2,2,\baselinestretch
3,3,\usepackage
4,4,\usepackage
5,5,\usepackage
6,6,\usepackage
7,7,\usepackage
8,8,\usepackage
9,9,\usepackage
10,12,\newcounter
11,13,\numberwithin
12,15,\def
13,15,\today
14,15,\number
15,15,\day
16,15,\space
17,15,\ifcase
18,15,\month
19,15,\or
20,16,\or
21,16,\or
22,17,\or
23,17,\or
24,17,\or
25,17,\or
26,18,\or
27,18,\or
28,18,\or
29,19,\or
30,19,\or
31,19,\fi
32,20,\number
33,20,\year
34,22,\usepackage
35,23,\setlength
36,23,\parindent
37,24,\usepackage
38,25,\marginsize
39,27,\theoremstyle
40,28,\newtheorem
41,29,\newtheorem
42,30,\newtheorem
43,31,\newtheorem
44,32,\newtheorem
45,33,\newtheorem
46,34,\newtheorem
47,35,\newtheorem
48,36,\newtheorem
49,37,\newtheorem
50,38,\newtheorem
51,39,\newtheorem
52,40,\newtheorem
53,41,\newtheorem
54,42,\newtheorem
55,43,\newtheorem
56,44,\newenvironment
57,44,\emph
58,44,\QED
59,46,beq
60,48,beqr
61,50,bal
62,52,bei
63,54,\newcommand
64,54,\limi
65,54,\lim_
66,54,\to
67,54,\infty
68,56,\newcommand
69,56,\af
70,56,\alpha
71,57,\newcommand
72,57,\bt
73,57,\beta
74,58,\newcommand
75,58,\gm
76,59,\newcommand
77,59,\dt
78,60,\newcommand
79,60,\ep
80,60,\varepsilon
81,61,\newcommand
82,61,\zt
83,62,\newcommand
84,62,\et
85,63,\newcommand
86,63,\ch
87,64,\newcommand
88,64,\io
89,65,\newcommand
90,65,\te
91,65,\theta
92,66,\newcommand
93,66,\ld
94,67,\newcommand
95,67,\sm
96,68,\newcommand
97,68,\kp
98,69,\newcommand
99,69,\ph
100,69,\varphi
101,70,\newcommand
102,70,\ps
103,71,\newcommand
104,71,\rh
105,71,\rho
106,72,\newcommand
107,72,\om
108,73,\newcommand
109,73,\ta
110,73,\tau
111,75,\newcommand
112,75,\Gm
113,76,\newcommand
114,76,\Dt
115,77,\newcommand
116,77,\Et
117,77,\Eta
118,78,\newcommand
119,78,\Th
120,79,\newcommand
121,79,\Ld
122,80,\newcommand
123,80,\Sm
124,81,\newcommand
125,81,\Ph
126,82,\newcommand
127,82,\Ps
128,83,\newcommand
129,83,\Om
130,85,\newcommand
131,85,\Q
132,85,\mathbb
133,86,\newcommand
134,86,\Z
135,86,\mathbb
136,87,\newcommand
137,87,\R
138,87,\mathbb
139,88,\newcommand
140,88,\C
141,88,\mathbb
142,89,\newcommand
143,89,\N
144,89,\mathbb
145,90,\newcommand
146,90,\N
147,90,\mathbb
148,91,\newcommand
149,91,\Nz
150,91,\mathbb
151,91,\geq
152,93,\pagenumbering
153,95,\renewcommand
154,95,\Re
155,95,\operatorname
156,96,\renewcommand
157,96,\Im
158,96,\operatorname
159,98,\newcommand
160,98,\Cu
161,98,\operatorname
162,99,\newcommand
163,99,\inv
164,99,\operatorname
165,100,\newcommand
166,100,\tsr
167,100,\operatorname
168,101,\newcommand
169,101,\RR
170,101,\operatorname
171,102,\newcommand
172,102,\Tr
173,102,\operatorname
174,103,\newcommand
175,103,\id
176,103,\operatorname
177,104,\newcommand
178,104,\ev
179,104,\operatorname
180,105,\newcommand
181,105,\sint
182,105,\operatorname
183,106,\newcommand
184,106,\diam
185,106,\operatorname
186,107,\newcommand
187,107,\dist
188,107,\operatorname
189,108,\newcommand
190,108,\sa
191,108,\operatorname
192,109,\newcommand
193,109,\spec
194,109,\operatorname
195,110,\newcommand
196,110,\Prim
197,110,\operatorname
198,111,\newcommand
199,111,\diag
200,111,\operatorname
201,112,\newcommand
202,112,\supp
203,112,\operatorname
204,113,\newcommand
205,113,\rank
206,113,\operatorname
207,114,\newcommand
208,114,\sgn
209,114,\operatorname
210,115,\newcommand
211,115,\spn
212,115,\operatorname
213,116,\newcommand
214,116,\card
215,116,\operatorname
216,117,\newcommand
217,117,\Aut
218,117,\operatorname
219,118,\newcommand
220,118,\Ad
221,118,\operatorname
222,119,\newcommand
223,119,\Aff
224,119,\operatorname
225,120,\newcommand
226,120,\drr
227,120,\operatorname
228,121,\newcommand
229,121,\QT
230,121,\operatorname
231,122,\newcommand
232,122,\T
233,122,\operatorname
234,123,\newcommand
235,123,\W
236,123,\operatorname
237,124,\newcommand
238,124,\tr
239,124,\operatorname
240,125,\newcommand
241,125,\Hom
242,125,\operatorname
243,126,\newcommand
244,126,\Map
245,126,\operatorname
246,127,\newcommand
247,127,\Proj
248,127,\operatorname
249,128,\newcommand
250,128,\Bott
251,128,\operatorname
252,129,\newcommand
253,129,\rc
254,129,\operatorname
255,130,\newcommand
256,130,\s
257,130,\operatorname
258,131,\newcommand
259,131,\LDF
260,131,\operatorname
261,132,\newcommand
262,132,\DF
263,132,\operatorname
264,133,\newcommand
265,133,\U
266,133,\operatorname
267,135,\newcommand
268,135,\cA
269,135,\mathcal
270,136,\newcommand
271,136,\cB
272,136,\mathcal
273,137,\newcommand
274,137,\cC
275,137,\mathcal
276,138,\newcommand
277,138,\cD
278,138,\mathcal
279,139,\newcommand
280,139,\cE
281,139,\mathcal
282,140,\newcommand
283,140,\cF
284,140,\mathcal
285,141,\newcommand
286,141,\cG
287,141,\mathcal
288,142,\newcommand
289,142,\cH
290,142,\mathcal
291,143,\newcommand
292,143,\cI
293,143,\mathcal
294,144,\newcommand
295,144,\cJ
296,144,\mathcal
297,145,\newcommand
298,145,\cK
299,145,\mathcal
300,146,\newcommand
301,146,\cL
302,146,\mathcal
303,147,\newcommand
304,147,\cM
305,147,\mathcal
306,148,\newcommand
307,148,\cN
308,148,\mathcal
309,149,\newcommand
310,149,\cO
311,149,\mathcal
312,150,\newcommand
313,150,\cP
314,150,\mathcal
315,151,\newcommand
316,151,\cQ
317,151,\mathcal
318,152,\newcommand
319,152,\cR
320,152,\mathcal
321,153,\newcommand
