,Line num,Command
0,1,\documentclass
1,2,\usepackage
2,3,\usepackage
3,4,\usepackage
4,5,\usepackage
5,6,\usepackage
6,7,\usepackage
7,8,\usepackage
8,11,\DeclareSymbolFont
9,12,\DeclareMathSymbol
10,12,\euintop
11,12,\mathop
12,13,\DeclareMathSymbol
13,13,\euointop
14,13,\mathop
15,14,\let
16,14,\intop
17,14,\euintop
18,15,\let
19,15,\ointop
20,15,\euointop
21,17,\allowdisplaybreaks
22,19,\setlength
23,19,\textwidth
24,20,\setlength
25,20,\textheight
26,21,\setlength
27,21,\topmargin
28,22,\setlength
29,22,\parindent
30,23,\addtolength
31,23,\parskip
32,26,\def
33,26,\id
34,26,\operatorname
35,27,\def
36,27,\ker
37,27,\operatorname
38,28,\def
39,28,\ord
40,28,\operatorname
41,29,\def
42,29,\mi
43,29,\operatorname
44,30,\def
45,30,\im
46,30,\operatorname
47,31,\def
48,31,\io
49,31,\operatorname
50,32,\def
51,32,\c
52,32,\mathbb
53,33,\def
54,33,\C
55,33,\mathcal
56,34,\def
57,34,\D
58,35,\def
59,35,\d
60,36,\def
61,36,\dl
62,36,\d_
63,37,\def
64,37,\dr
65,37,\d_
66,38,\def
67,38,\e
68,38,\varepsilon
69,39,\def
70,39,\M
71,39,\mathrm
72,40,\def
73,40,\N
74,40,\mathbb
75,41,\def
76,41,\Z
77,41,\mathbb
78,42,\def
79,42,\unit
80,42,\mathbbm
81,43,\def
82,43,\k
83,43,\mathbbm
84,44,\def
85,44,\To
86,44,\longrightarrow
87,45,\def
88,45,\dim
89,45,\operatorname
90,46,\def
91,46,\gr
92,46,\operatorname
93,47,\def
94,47,\Hom
95,47,\operatorname
96,48,\def
97,48,\H
98,48,\operatorname
99,49,\def
100,49,\T
101,49,\operatorname
102,50,\def
103,50,\Ind
104,50,\operatorname
105,51,\def
106,51,\Id
107,51,\operatorname
108,52,\def
109,52,\ord
110,52,\operatorname
111,53,\def
112,53,\Rep
113,53,\operatorname
114,54,\def
115,54,\Ext
116,54,\operatorname
117,55,\def
118,55,\Aut
119,55,\operatorname
120,56,\def
121,56,\id
122,56,\operatorname
123,57,\def
124,57,\ker
125,57,\operatorname
126,58,\def
127,58,\Corep
128,58,\operatorname
129,59,\def
130,59,\im
