,Line num,Command
0,1,\RequirePackage
1,2,\ifpdf
2,3,\documentclass
3,4,\else
4,5,\documentclass
5,6,\fi
6,9,\usepackage
7,13,\numberwithin
8,16,\numberwithin
9,17,\numberwithin
10,18,\numberwithin
11,19,\numberwithin
12,20,\numberwithin
13,21,\numberwithin
14,22,\numberwithin
15,23,\numberwithin
16,26,\newtheorem
17,27,\newtheorem
18,28,\newtheorem
19,29,\newtheorem
20,30,\theoremstyle
21,31,\newtheorem
22,32,\newtheorem
23,33,\newtheorem
24,34,\newtheorem
25,36,document
26,38,\renewcommand
27,38,\PaperNumber
28,40,\FirstPageHeading
29,42,\ShortArticleName
30,44,\ArticleName
31,47,\Author
32,47,\dag
33,47,\ddag
34,49,\AuthorNameForHeading
35,53,\Address
36,53,\dag
37,55,\EmailD
38,55,\href
39,56,\URLaddressD
40,56,\url
41,59,\Address
42,59,\ddag
43,60,\EmailD
44,60,\href
45,63,\Author
46,64,\AuthoqNameForHeading
47,65,\Address
48,66,\Email
49,66,\href
50,66,\href
51,67,\URLaddress
52,67,\url
53,67,\url
54,69,\ArticleDates
55,73,\Abstract
56,75,\Keywords
57,78,\Classification
58,81,flushright
59,82,\it
60,83,\it
61,87,\section
62,88,\cite
63,88,\cite
64,88,\cite
65,88,\cite
66,92,\cite
67,93,\cite
68,93,\cite
69,94,\cite
70,96,\cite
71,97,\cite
72,97,\cite
73,101,\section
74,104,\cite
75,108,\mathbb
76,108,\mathcal
77,108,\mathcal
78,108,\mathcal
79,111,\subsection
80,113,\in
81,113,\mid
82,115,definition
83,117,enumerate
84,118,\item
85,120,\item
86,120,\wedge
87,122,\item
88,122,\xi
89,124,enumerate
90,125,\item
91,125,\dim_
92,125,\mathbb
93,125,\cap
94,125,\in
95,125,\mid
96,125,\leq
97,127,\item
98,127,\displaystyle
99,127,\frac
100,127,\wedge
101,127,\xi
102,129,\item
103,129,\subset
104,129,\in
105,129,\displaystyle
106,129,\frac
107,129,\wedge
108,129,\Omega_
109,129,\Omega_
110,129,\Omega_
111,134,\cite
112,135,\Omega_X
113,135,\log
114,136,\mathcal
115,136,\Omega_
116,137,equation
117,138,\Omega_
118,138,\Omega_
119,138,\Omega_X
120,138,\wedge
121,138,\Omega_
122,142,definition
123,143,\rm
124,143,\Omega_X
125,143,\log
126,143,\longrightarrow
127,143,\mathcal
128,143,\otimes_
129,143,\mathcal
130,143,\Omega_S
131,144,\in
132,144,\Omega_S
133,144,\log
134,144,\xi
135,145,\displaystyle
136,145,\frac
137,145,\wedge
138,145,\xi
139,147,\rm
140,147,\frac
141,147,\xi
142,147,\mathcal
143,147,\otimes_
144,147,\mathcal
145,147,\Omega_S
146,151,\rm
147,151,\displaystyle
148,151,\frac
149,151,\wedge
150,151,\Omega_X
151,151,\Omega_X
152,151,\Omega_X
153,151,\log
154,151,\Omega_X
155,152,equation
156,153,\rm
157,153,\left
158,153,\frac
