,Line num,Command
0,1,\documentclass
1,3,\usepackage
2,4,\usepackage
3,5,\usepackage
4,6,\usepackage
5,7,\usepackage
6,8,\usetikzlibrary
7,11,\usepackage
8,12,\usepackage
9,13,\usepackage
10,14,\usepackage
11,15,\usepackage
12,16,\definecolor
13,17,\definecolor
14,18,\definecolor
15,20,\lstset
16,26,\small
17,26,\ttfamily
18,28,\tiny
19,28,\color
20,29,\color
21,30,\color
22,31,\color
23,37,\usepackage
24,38,\usepackage
25,39,\usepackage
26,40,\usepackage
27,41,\usepackage
28,42,\usepackage
29,43,\usepackage
30,44,\usepackage
31,45,\usepackage
32,46,\usepackage
33,47,\usepackage
34,48,\usepackage
35,49,\usepackage
36,50,\theoremstyle
37,51,\newtheorem
38,52,\newtheorem
39,53,\newtheorem
40,56,\newcommand
41,56,\ep
42,57,\newcommand
43,57,\Aut
44,57,\mathrm
45,58,\newcommand
46,58,\Ker
47,58,\mathrm
48,59,\newcommand
49,59,\id
50,59,\mathrm
51,60,\newcommand
52,60,\M
53,60,\mathcal
54,61,\newcommand
55,61,\Hasse
56,61,\mathcal
57,62,\newcommand
58,62,\RR
59,62,\mathbb
60,63,\newtheorem
61,68,\newtheorem
62,69,\newtheorem
63,70,\newtheorem
64,71,\newtheorem
65,72,\newtheorem
66,73,\newtheorem
67,74,\newtheorem
68,75,\newtheorem
69,77,\newcounter
70,77,\Alph
71,78,\newcommand
72,78,\term
73,78,\bf
74,81,\newenvironment
75,81,\par
76,81,\noindent
77,81,\bf
78,81,\ref
79,82,\hfill
80,82,\Box
81,82,\par
82,82,\medskip
83,85,\newenvironment
84,86,\medskip
85,86,\par
86,86,\noindent
87,86,\sc
88,87,\par
89,89,\newenvironment
90,90,\medskip
91,90,\par
92,90,\noindent
93,90,\sc
94,91,\par
95,94,\title
96,95,\author
97,96,\date
98,98,document
99,99,\tikzset
100,103,\maketitle
101,105,abstract
102,109,\section
103,111,\cite
104,111,\cite
105,111,\cite
106,111,\cite
107,111,\cite
108,113,\cite
109,113,\ref
110,113,\ref
111,113,\ref
112,113,\ref
113,113,\ref
114,113,\ref
115,120,\section
116,122,\subsection
117,124,\textbf
118,124,\textbf
119,129,thm
120,130,enumerate
121,131,\item
122,132,\item
123,133,\item
124,134,\item
125,134,\cite
126,135,\item
127,140,\noindent
128,140,\textbf
129,140,\cite
130,140,\textbf
131,140,\in
132,140,\in
133,142,\subsection
134,144,\cite
135,147,defn
136,151,ex
137,153,tikzpicture
138,155,\node
139,156,\node
140,157,\node
141,158,\node
142,159,\node
143,160,\node
144,163,\path
145,164,\path
146,165,\path
147,166,\path
148,167,\path
149,170,\node
150,171,\node
151,172,\node
152,173,\node
153,174,\node
154,175,\node
155,179,\noindent
156,183,defn
157,187,\section
158,191,\subsection
159,195,defn
160,202,rem
161,205,ex
162,210,tikzpicture
163,213,\node
164,214,\node
165,215,\node
166,216,\node
167,217,\node
168,219,\draw
169,220,\draw
170,221,\draw
171,222,\draw
172,224,\node
173,225,\node
174,226,\node
175,234,\ref
176,238,rem
177,242,tikzpicture
178,244,\node
179,245,\node
180,246,\node
181,247,\node
182,248,\node
183,251,\draw
184,252,\draw
185,253,\draw
186,254,\draw
187,258,\node
188,259,\node
189,260,\node
190,261,\node
191,262,\node
192,265,tikzpicture
193,267,\node
194,268,\node
195,269,\node
196,270,\node
197,271,\node
198,275,\draw
199,276,\draw
200,277,\draw
201,278,\draw
202,281,\node
203,282,\node
204,283,\node
205,284,\node
206,285,\node
207,296,thm
208,299,proof
209,300,\colon
210,300,\to
211,300,\RR
212,300,\ldots
213,300,\ldots
214,305,\in
215,305,\max
216,305,\colon
217,305,\in
218,305,\ep
219,305,\text
220,305,\max
221,305,\colon
222,305,\in
223,305,\ep
224,305,\text
225,305,\ref
226,305,\ep
227,305,\min
228,305,\colon
229,305,\in
230,305,\ep
231,305,\min
232,305,\colon
233,305,\in
234,305,\ep
235,305,\text
236,312,\ref
237,314,ex
238,317,tikzpicture
239,319,\node
240,322,\node
241,326,\ep
242,328,tikzpicture
243,330,\node
244,331,\node
245,332,\node
246,333,\node
247,334,\node
248,335,\node
249,338,\path
250,339,\path
251,340,\path
252,341,\path
253,344,\node
254,345,\node
255,346,\node
256,347,\node
257,348,\node
258,349,\node
259,358,tikzpicture
260,361,\node
261,363,\node
262,364,\node
263,368,\draw
264,369,\draw
265,375,\node
266,376,\node
267,377,\node
268,381,\ep
269,383,tikzpicture
270,385,\node
271,386,\node
272,387,\node
273,388,\node
274,389,\node
275,390,\node
276,393,\path
277,394,\path
278,395,\path
279,398,\node
280,399,\node
281,400,\node
282,401,\node
283,402,\node
284,403,\node
285,413,tikzpicture
286,416,\node
287,417,\node
288,418,\node
289,419,\node
290,420,\node
291,425,\draw
292,426,\draw
293,428,\draw
294,429,\draw
295,435,\node
296,437,\node
297,438,\node
298,439,\node
299,440,\node
300,447,\ep
301,450,tikzpicture
302,452,\node
303,453,\node
304,454,\node
305,455,\node
306,456,\node
307,457,\node
308,458,\node
309,462,\draw
310,463,\draw
311,465,\draw
312,466,\draw
313,467,\draw
314,468,\draw
315,472,\node
316,473,\node
317,474,\node
318,476,\node
319,477,\node
320,478,\node
321,479,\node
322,484,\ep
323,486,tikzpicture
324,488,\node
325,489,\node
326,490,\node
327,491,\node
328,494,\path
329,497,\node
330,498,\node
331,499,\node
332,500,\node
333,508,tikzpicture
334,510,\node
335,511,\node
336,512,\node
337,513,\node
338,514,\node
339,515,\node
340,516,\node
341,517,\node
342,518,\node
343,521,\draw
344,522,\draw
345,523,\draw
346,524,\draw
347,525,\draw
348,526,\draw
349,527,\draw
350,528,\draw
351,533,\node
352,534,\node
353,535,\node
354,536,\node
355,537,\node
356,538,\node
357,539,\node
358,540,\node
359,541,\node
360,550,tikzpicture
361,552,\node
362,553,\node
363,554,\node
364,555,\node
365,556,\node
366,557,\node
367,558,\node
368,559,\node
369,560,\node
370,561,\node
371,562,\node
372,565,\draw
373,566,\draw
374,567,\draw
375,568,\draw
376,569,\draw
377,570,\draw
378,571,\draw
379,572,\draw
380,573,\draw
381,574,\draw
382,579,\node
383,580,\node
384,581,\node
385,582,\node
386,583,\node
387,584,\node
388,585,\node
389,586,\node
390,587,\node
391,588,\node
392,589,\node
393,598,definition
394,601,\ref
395,603,\ref
396,605,rem
397,609,\subsection
398,611,\textbf
399,611,\textbf
400,611,\textbf
401,611,\nu
402,611,\ref
403,613,defn
404,614,\textbf
405,617,lemma
406,618,\ge
407,620,proof
408,626,prop
409,629,proof
410,632,example
411,635,tikzpicture
412,637,\node
413,638,\node
414,639,\node
415,640,\node
416,644,\path
417,645,\path
418,646,\path
419,650,\node
420,651,\node
421,652,\node
422,653,\node
423,662,tikzpicture
424,664,\node
425,665,\node
426,666,\node
427,667,\node
428,668,\node
429,669,\node
430,670,\node
431,674,\draw
432,675,\draw
433,676,\draw
434,677,\draw
435,678,\draw
436,679,\draw
437,683,\nu
438,687,\section
439,687,\label
440,692,\subsection
441,695,definition
442,696,\tau
443,696,\tau
444,696,\geq
445,696,\tau
446,699,\colon
447,699,\to
448,699,\RR
449,699,\textbf
450,699,\cite
451,701,ex
452,704,tikzpicture
453,705,\node
454,706,\node
455,707,\node
456,709,\path
457,710,\path
458,712,\node
459,713,\node
460,714,\node
461,717,tikzpicture
462,718,\node
463,719,\node
464,720,\node
465,722,\path
466,723,\path
467,725,\node
468,726,\node
469,727,\node
470,732,tikzpicture
471,735,\node
