,Line num,Command
0,1,\documentclass
1,2,\setlength
2,2,\textwidth
3,3,\setlength
4,3,\textheight
5,4,\setlength
6,4,\hoffset
7,5,\setlength
8,5,\voffset
9,6,\pagestyle
10,7,\usepackage
11,8,\usepackage
12,10,\usepackage
13,11,\usepackage
14,12,\usepackage
15,13,\numberwithin
16,14,\usepackage
17,15,\usepackage
18,16,\usepackage
19,17,\usetikzlibrary
20,18,\usepackage
21,19,\sethlcolor
22,21,\newtheorem
23,22,\newtheorem
24,23,\newtheorem
25,24,\newtheorem
26,25,\newtheorem
27,26,\allowdisplaybreaks
28,28,\newcommand
29,28,\eps
30,28,\varepsilon
31,29,\newcommand
32,29,\Ome
33,30,\newcommand
34,30,\ome
35,31,\newcommand
36,31,\p
37,31,\partial
38,32,\newcommand
39,32,\Del
40,33,\newcommand
41,33,\nab
42,33,\nabla
43,34,\newcommand
44,34,\nonum
45,34,\nonumber
46,35,\renewcommand
47,35,\bigl
48,36,\renewcommand
49,36,\bigr
50,37,\newcommand
51,37,\bl
52,37,\bigl
53,37,\langle
54,38,\newcommand
55,38,\br
56,38,\bigr
57,38,\rangle
58,39,\newcommand
59,39,\Bl
60,39,\Bigl
61,39,\langle
62,40,\newcommand
63,40,\Br
64,40,\Bigr
65,40,\rangle
66,41,\newcommand
67,41,\mce
68,41,\mathcal
69,42,\newcommand
70,42,\mcei
71,42,\mce
72,43,\newcommand
73,43,\mceb
74,43,\mce
75,44,\newcommand
76,44,\mct
77,44,\mathcal
78,45,\newcommand
79,45,\avg
80,45,\bigl
81,45,\hspace
82,45,\bigl
83,45,\bigr
84,45,\hspace
85,45,\bigr
86,46,\newcommand
87,46,\jump
88,46,\bigl
89,46,\hspace
90,46,\bigl
91,46,\bigr
92,46,\hspace
93,46,\bigr
94,47,\newcommand
95,47,\vh
96,48,\newcommand
97,48,\les
98,48,\lesssim
99,49,\newcommand
100,49,\ges
101,49,\gtrsim
102,50,\newcommand
103,50,\Ph
104,50,\mathcal
105,50,\prime
106,51,\newcommand
107,51,\Lcal
108,51,\mathcal
109,52,\newcommand
110,52,\Lcalh
111,52,\mathcal
112,53,\newcommand
113,53,\Lcalbh
114,53,\overline
115,53,\mathcal
116,54,\newcommand
117,54,\Lcalb
118,54,\overline
119,54,\mathcal
120,55,\newcommand
121,55,\Lcalo
122,55,\mathcal
123,55,\text
124,55,\rm
125,56,\newcommand
126,56,\Lcaloh
127,56,\mathcal
128,56,\text
129,56,\rm
130,57,\newcommand
131,57,\Lcalth
132,57,\widetilde
133,57,\mathcal
134,58,\newcommand
135,58,\An
136,58,\text
137,58,\rm
138,60,\newcommand
139,60,\xn
140,60,\text
141,60,\rm
142,61,\newcommand
143,61,\dn
144,61,\text
145,61,\rm
146,62,\newcommand
147,62,\bw
148,62,\bm
149,63,\newcommand
150,63,\bn
151,63,\bm
152,65,\newcommand
153,65,\cT
154,65,\mathcal
155,66,\newcommand
156,66,\cTho
157,66,\mathcal
158,66,\Ome
159,67,\newcommand
160,67,\cThd
161,67,\mathcal
162,68,\newcommand
163,68,\cQ
164,68,\mathcal
165,70,\newcommand
166,70,\tH
167,70,\widetilde
168,71,\newcommand
169,71,\tW
170,71,\widetilde
171,73,\newcommand
172,73,\ind
173,73,\chi_
174,73,\prime
175,73,\prime
176,74,\newcommand
177,74,\brd
178,74,\delta_0
179,76,\newcommand
180,76,\R
181,76,\mathbb
182,77,\newcommand
183,77,\Z
184,77,\mathbb
185,78,\newcommand
186,78,\N
187,78,\mathbb
188,80,\tableofcontents
189,85,document
190,88,\title
191,88,\thanks
192,89,\markboth
193,91,\author
194,91,\dag
195,92,\address
196,93,\email
197,94,\thanks
198,94,\dag
199,97,\author
200,97,\ddag
201,98,\address
202,99,\email
203,100,\thanks
204,100,\ddag
205,103,\author
206,103,\thanks
207,105,\and
208,105,\thanks
209,108,\date
210,110,\maketitle
211,112,\thispagestyle
212,114,abstract
213,122,\cite
214,126,keywords
215,127,\keywords
216,133,AMS
217,134,\subjclass
218,144,\tableofcontents
219,147,\newpage
220,152,\section
221,152,\label
222,154,\em
223,154,\cite
224,156,\cite
225,161,\em
226,163,\cite
227,164,\cite
228,166,\ref
229,167,\cite
230,168,\cite
231,168,\em
232,171,\cite
233,172,\ref
234,172,\cite
235,173,\ref
236,179,\ref
237,183,\section
238,183,\label
239,184,\section
240,184,\label
241,187,\cite
242,188,\cite
243,189,\cite
244,189,\cite
245,195,\infty
246,195,\infty
247,195,\R
248,195,\infty
249,195,\infty
250,197,\R
251,197,\to
252,197,\R
253,197,\N
254,197,\in
255,197,\N
256,197,\int_a
257,197,\varphi
258,200,\subsection
259,200,\label
260,205,\subsubsection
261,205,\bf
262,205,\label
263,206,\em
264,208,definition
265,209,\rightarrow
266,209,\R
267,210,align
268,211,\dfrac
269,211,\int_
270,211,\dfrac
271,211,\qquad
272,211,\forall
273,211,\in
274,214,align
275,215,\dfrac
276,215,\int_
277,215,\dfrac
278,215,\qquad
279,215,\forall
280,215,\in
281,221,remark
282,222,\cite
283,223,align
284,224,\kappa_a
285,224,\qquad
286,225,\kappa_b
287,228,align
288,229,\kappa_a
289,229,\frac
290,229,\quad
291,229,\kappa_b
292,229,\frac
293,229,\qquad
294,229,\forall
295,229,\in
296,237,definition
297,238,\alpha
298,238,\rightarrow
299,238,\R
300,238,\alpha
301,239,align
302,240,\alpha
303,240,\dfrac
304,240,\Bigl
305,240,\alpha
306,240,\Bigr
307,241,\dfrac
308,241,\alpha
309,241,\dfrac
310,241,\int_
311,241,\dfrac
312,241,\alpha
313,241,\qquad
314,241,\forall
315,241,\in
316,241,\nonumber
317,243,\alpha
318,244,align
319,245,\alpha
320,245,\dfrac
321,245,\Bigl
322,245,\alpha
323,245,\Bigr
324,246,\dfrac
325,246,\alpha
326,246,\dfrac
327,246,\int_
328,246,\dfrac
329,246,\alpha
330,246,\qquad
331,246,\forall
332,246,\in
333,247,\nonumber
334,249,\alpha
335,249,\alpha
336,254,definition
337,255,\alpha
338,255,\rightarrow
339,255,\R
340,255,\alpha
341,256,align
342,257,\alpha
343,257,\dfrac
344,257,\alpha
345,257,\int_
346,257,\dfrac
347,257,\alpha
348,257,\qquad
349,257,\forall
350,257,\in
351,259,\alpha
352,260,align
353,261,\alpha
354,261,\dfrac
355,261,\alpha
356,261,\int_
357,261,\dfrac
358,261,\alpha
359,261,\qquad
360,261,\forall
361,261,\in
