,Line num,Command
0,3,\newtheorem
1,4,\renewcommand
2,4,\theletterthm
3,4,\Alph
4,5,\newtheorem
5,6,\renewcommand
6,6,\thelettercor
7,6,\Alph
8,7,\newtheorem
9,8,\renewcommand
10,8,\theletterconjecture
11,8,\Alph
12,12,\newcommand
13,12,\smargin
14,13,\marginpar
15,13,\raggedleft
16,13,\footnotesize
17,13,\color
18,13,\raggedright
19,13,\footnotesize
20,13,\color
21,17,\numberwithin
22,22,\newtheorem
23,23,\newtheorem
24,24,\newtheorem
25,25,\newtheorem
26,26,\newtheorem
27,27,\newtheorem
28,28,\newtheorem
29,29,\newtheorem
30,30,\newtheorem
31,31,\newtheorem
32,32,\newtheorem
33,33,\newtheorem
34,34,\newtheorem
35,35,\newtheorem
36,36,\newtheorem
37,37,\newtheorem
38,38,\newtheorem
39,39,\newtheorem
40,40,\newtheorem
41,41,\theoremstyle
42,42,\newtheorem
43,44,\newtheorem
44,47,\theoremstyle
45,48,\newtheorem
46,49,\newtheorem
47,52,\newcommand
48,52,\nonumfootnote
49,53,\begingroup
50,54,\renewcommand
51,54,\thefootnote
52,54,\footnote
53,55,\addtocounter
54,56,\endgroup
55,60,\newcommand
56,60,\blue
57,60,\color
58,65,\newcommand
59,65,\A
60,65,\mathbb
61,66,\newcommand
62,66,\C
63,66,\mathbb
64,67,\newcommand
65,67,\F
66,67,\mathbb
67,68,\newcommand
68,68,\Q
69,68,\mathbb
70,69,\newcommand
71,69,\R
72,69,\mathbb
73,70,\newcommand
74,70,\T
75,70,\mathbb
76,71,\newcommand
77,71,\Z
78,71,\mathbb
79,74,\newcommand
80,74,\Cbf
81,74,\mathbf
82,75,\newcommand
83,75,\Dbf
84,75,\mathbf
85,77,\newcommand
86,77,\pfrak
87,77,\mathfrak
88,78,\newcommand
89,78,\Pfrak
90,78,\mathfrak
91,79,\newcommand
92,79,\qfrak
93,79,\mathfrak
94,80,\newcommand
95,80,\Cl
96,80,\mathrm
97,81,\newcommand
98,81,\RI
99,81,\mathcal
100,82,\newcommand
101,82,\Norm
102,82,\mathrm
103,83,\newcommand
104,83,\Ocal
105,83,\mathcal
106,87,\newcommand
107,87,\Ascr
108,87,\mathscr
109,88,\newcommand
110,88,\Bscr
111,88,\mathscr
112,89,\newcommand
113,89,\Cscr
114,89,\mathscr
115,90,\newcommand
116,90,\Pscr
117,90,\mathscr
118,91,\newcommand
119,91,\Escr
120,91,\mathscr
121,92,\newcommand
122,92,\Fscr
123,92,\mathscr
124,93,\newcommand
125,93,\Iscr
126,93,\mathscr
127,94,\newcommand
128,94,\Lscr
129,94,\mathscr
130,98,\newcommand
131,98,\Leg
132,98,\left
133,98,\frac
134,98,\right
135,99,\newcommand
136,99,\Gal
137,99,\mathrm
138,100,\newcommand
139,100,\Disc
140,100,\mathrm
141,101,\newcommand
142,101,\Li
143,101,\mathrm
144,102,\newcommand
145,102,\Cond
146,102,\mathrm
147,103,\newcommand
148,103,\GL
149,103,\mathrm
150,104,\newcommand
151,104,\irred
152,104,\mathrm
153,105,\newcommand
154,105,\reg
155,105,\mathrm
156,106,\newcommand
157,106,\Ind
158,106,\mathrm
159,107,\newcommand
160,107,\Nm
161,107,\mathrm
162,108,\newcommand
163,108,\ord
164,108,\mathrm
165,109,\newcommand
166,109,\Ker
167,109,\mathrm
168,113,\newcommand
169,113,\Dfrak
170,113,\mathfrak
171,116,\renewcommand
172,116,\b
173,116,\mathbf
174,117,\renewcommand
175,117,\u
176,117,\underline
177,118,\newcommand
178,118,\cl
179,118,\cal
180,119,\newcommand
181,119,\epun
182,119,\underline
183,119,\varepsilon
184,120,\newcommand
185,120,\hun
186,120,\underline
187,122,\newcommand
188,122,\lb
189,122,\mbox
190,122,\scriptsize
191,122,\bf
192,123,\newcommand
193,123,\twosum
194,123,\sum_
195,123,\substack
196,124,\newcommand
197,124,\ep
198,124,\varepsilon
199,126,\newcommand
200,126,\Ups
201,126,\Upsilon
202,128,\newcommand
203,128,\Jac
204,128,\rm
205,129,\newcommand
206,129,\Leg
207,129,\left
208,129,\frac
209,129,\right
210,130,\newcommand
211,130,\con
212,130,\equiv
213,131,\newcommand
214,131,\ncon
215,131,\not
216,131,\equiv
217,132,\newcommand
218,132,\ndiv
219,132,\nmid
220,133,\newcommand
221,133,\modd
222,133,\text
223,134,\newcommand
224,134,\bstack
225,134,\atop
226,135,\newcommand
227,135,\tstack
228,135,\atop
229,135,\atop
230,136,\newcommand
231,136,\sprod
232,136,\langle
233,136,\rangle
234,137,\newcommand
235,137,\inv
236,137,\overline
237,138,\newcommand
238,138,\conj
239,138,\overline
240,139,\newcommand
241,139,\maps
242,139,\rightarrow
243,140,\newcommand
244,140,\intersect
245,140,\cap
246,141,\newcommand
247,141,\Intersect
248,141,\bigcap
249,142,\newcommand
250,142,\bigunion
251,142,\bigcup
252,143,\newcommand
253,143,\Union
254,143,\bigcup
255,144,\newcommand
256,144,\union
257,144,\cup
258,145,\newcommand
259,145,\grad
260,145,\bigtriangledown
261,146,\newcommand
262,146,\diag
263,146,\text
264,147,\newcommand
265,147,\uhat
266,147,\check
267,148,\newcommand
268,148,\tensor
269,148,\otimes
270,149,\newcommand
271,149,\isom
272,149,\cong
273,150,\newcommand
274,150,\deriv
275,150,\frac
276,150,\partial
277,150,\partial
278,151,\newcommand
279,151,\pderiv
280,151,\frac
281,151,\partial
282,151,\partial
283,152,\newcommand
284,152,\comp
285,152,\o
286,155,\newcommand
287,155,\Gal
288,155,\rm
289,156,\newcommand
290,156,\Frac
291,156,\rm
292,157,\renewcommand
293,157,\mod
294,157,\rm
295,158,\newcommand
296,158,\ques
297,158,\bf
298,159,\newcommand
299,159,\Id
300,159,\rm
301,160,\newcommand
302,160,\Adj
303,160,\rm
304,161,\newcommand
305,161,\bad
306,161,\rm
307,162,\newcommand
308,162,\good
309,162,\rm
310,163,\newcommand
311,163,\supp
312,163,\rm
313,164,\newcommand
314,164,\pos
315,164,\rm
316,165,\newcommand
317,165,\negt
318,165,\rm
319,166,\newcommand
320,166,\dyadic
321,166,\rm
322,167,\newcommand
323,167,\rk
324,167,\rm
325,168,\newcommand
326,168,\sing
327,168,\rm
328,170,\newcommand
329,170,\al
330,170,\alpha
331,171,\newcommand
332,171,\be
333,171,\beta
334,172,\newcommand
335,172,\gam
336,173,\newcommand
337,173,\ga
338,174,\newcommand
339,174,\del
340,175,\newcommand
341,175,\Del
342,176,\newcommand
343,176,\ep
344,177,\newcommand
345,177,\ka
346,178,\newcommand
347,178,\om
348,179,\newcommand
349,179,\Om
350,180,\newcommand
351,180,\Sig
352,181,\newcommand
353,181,\sig
354,182,\newcommand
355,182,\lam
356,183,\newcommand
357,183,\Lam
358,184,\newcommand
359,184,\Ga
360,186,\newcommand
361,186,\uchi
362,186,\underline
363,187,\newcommand
364,187,\tchi
365,187,\tilde
366,189,\newcommand
367,189,\Acal
368,189,\mathcal
369,190,\newcommand
370,190,\Pcal
371,190,\mathcal
372,191,\newcommand
373,191,\Bcal
374,191,\mathcal
375,192,\newcommand
376,192,\Dcal
377,192,\mathcal
378,193,\newcommand
379,193,\Ecal
380,193,\mathcal
