,Line num,Command
0,1,\usepackage
1,3,\usepackage
2,5,\usepackage
3,6,\usepackage
4,7,\hypersetup
5,15,\CompileMatrices
6,16,\newtheorem
7,17,\newtheorem
8,18,\newtheorem
9,19,\newtheorem
10,20,\newtheorem
11,22,\makeatletter
12,23,\newcommand
13,23,\xTo
14,23,\ext
15,23,\Rightarrowfill
16,24,\makeatother
17,26,\newcommand
18,26,\DUG
19,26,\mathsf
20,27,\newcommand
21,27,\IPos
22,27,\mathsf
23,30,\newcommand
24,30,\DeMc
25,30,\mathbb
26,32,\newcommand
27,32,\Ch
28,32,\mathtt
29,33,\newcommand
30,33,\jslCh
31,33,\mathbb
32,34,\newcommand
33,34,\dmCh
34,34,\mathbb
35,34,\neg
36,36,\newcommand
37,36,\Tend
38,36,\mathtt
39,38,\newcommand
40,38,\bipaj
41,38,\in_
42,39,\newcommand
43,39,\bipam
44,39,\breve
45,39,\in
46,42,\newcommand
47,42,\Diagj
48,42,\mathtt
49,43,\newcommand
50,43,\Diagm
51,43,\mathtt
52,45,\newcommand
53,45,\eqnOR
54,45,\mathrm
55,46,\newcommand
56,46,\eqnEx
57,46,\mathrm
58,47,\newcommand
59,47,\eqnCEx
60,47,\mathrm
61,48,\newcommand
62,48,\eqnCEx
63,48,\mathrm
64,49,\newcommand
65,49,\eqnInv
66,49,\mathrm
67,53,\newcommand
68,53,\ctos
69,53,\mathrm
70,54,\newcommand
71,54,\stoc
72,54,\mathrm
73,57,\newcommand
74,57,\trep
75,57,\mathrm
76,59,\newcommand
77,59,\siff
78,59,\Leftrightarrow
79,62,\newcommand
80,62,\twoS
81,62,\bf
82,65,\newcommand
83,65,\upsp
84,65,\upfilledspoon
85,66,\newcommand
86,66,\downsp
87,66,\downfilledspoon
88,68,\newcommand
89,68,\Upa
90,68,\Uparrow
91,69,\newcommand
92,69,\Dna
93,69,\Downarrow
94,72,\newcommand
95,72,\Tight
96,72,\mathsf
97,73,\newcommand
98,73,\jslTight
99,73,\mathsf
100,74,\newcommand
101,74,\biTight
102,74,\mathsf
103,78,\newcommand
104,78,\Nleq
105,78,\mathtt
106,80,\newcommand
107,80,\BiIdeal
108,80,\mathsf
109,81,\newcommand
110,81,\BId
111,81,\mathsf
112,82,\newcommand
113,82,\jslBId
114,82,\mathbb
115,85,\newcommand
116,85,\bbot
117,85,\pmb
118,85,\bot
119,88,\newcommand
120,88,\tenp
121,88,\otimes
122,90,\newcommand
123,90,\syncp
124,90,\owedge
125,92,\newcommand
126,92,\ttenp
127,92,\otimes_t
128,94,\newcommand
129,94,\BiMor
130,94,\mathsf
131,96,\newcommand
132,96,\ovl
133,96,\triangleleft
134,97,\newcommand
135,97,\ovr
136,97,\triangleright
137,98,\newcommand
138,98,\bold
139,98,\bf
140,101,\newcommand
141,101,\jmor
142,101,\mathfrak
143,103,\newcommand
144,103,\mmor
145,103,\mathfrak
146,108,\newcommand
147,108,\NP
148,108,\mathsf
149,111,\newcommand
150,111,\cov
151,111,\mathscr
