,Line num,Command
0,27,\documentclass
1,29,\documentclass
2,30,\documentclass
3,32,\documentclass
4,36,\documentclass
5,37,\documentclass
6,38,\documentclass
7,39,\documentclass
8,40,\documentclass
9,41,\documentclass
10,45,\usepackage
11,50,\usepackage
12,51,\usepackage
13,52,\usepackage
14,53,\usepackage
15,54,\usepackage
16,55,\usepackage
17,56,\usepackage
18,57,\setlength
19,57,\topmargin
20,57,\setlength
21,57,\textheight
22,59,\setlength
23,59,\oddsidemargin
24,61,\setlength
25,61,\evensidemargin
26,61,\setlength
27,61,\textwidth
28,63,\setlength
29,63,\arraycolsep
30,66,\newtheorem
31,66,\it
32,67,\newtheorem
33,68,\newtheorem
34,69,\newtheorem
35,70,\newtheorem
36,71,\newtheorem
37,72,\newtheorem
38,73,\newtheorem
39,74,\newtheorem
40,75,\newtheorem
41,76,\newtheorem
42,77,\newtheorem
43,78,\newtheorem
44,81,\newtheorem
45,82,\newtheorem
46,83,\newtheorem
47,84,\newtheorem
48,85,\modulolinenumbers
49,88,\usepackage
50,92,\linenumbers
51,93,\usepackage
52,95,\journal
53,97,document
54,99,frontmatter
55,103,\title
56,105,\author
57,105,\address
58,107,\author
59,110,\ead
60,111,\title
61,111,\tnoteref
62,112,\tnotetext
63,113,\author
64,113,\corref
65,113,\fnref
66,114,\ead
67,115,\ead
68,116,\fntext
69,117,\cortext
70,118,\address
71,118,\fnref
72,119,\fntext
73,121,\title
74,124,\author
75,125,\address
76,126,\address
77,128,\author
78,129,\address
79,131,\email
80,132,\urladdr
81,132,\sim
82,138,\author
83,139,\address
84,141,\email
85,146,abstract
86,150,\ref
87,150,\ref
88,150,\cdot
89,150,\circ
90,150,\ref
91,150,\ref
92,155,graphicalabstract
93,156,\includegraphics
94,160,highlights
95,161,\item
96,162,\item
97,165,keyword
98,166,\sep
99,166,\sep
100,167,\MSC
101,167,\sep
102,167,\sep
103,168,\sep
104,170,\PACS
105,170,\sep
106,172,\MSC
107,172,\sep
108,173,\MSC
109,173,\sep
110,180,\linenumbers
111,183,\section
112,184,\maketitle
113,186,\label
114,187,\section
115,187,\label
116,188,\rightarrow
117,188,\infty
118,190,\emph
119,190,\mathcal
120,190,\mathcal
121,191,\mathcal
122,191,\ref
123,192,\rightarrow
124,192,\infty
125,192,\subset
126,192,\infty
127,193,\mathcal
128,193,\rightarrow
129,193,\infty
130,194,\mathcal
131,194,\mathcal
132,194,\rightarrow
133,194,\infty
134,196,\mathcal
135,196,\mathcal
136,196,\mathcal
137,196,\cite
138,196,\mathcal
139,196,\rightarrow
140,196,\mathcal
141,196,\circ
142,196,\circ
143,196,\circ
144,198,\rightarrow
145,198,\infty
146,200,\cite
147,201,\cite
148,202,\cite
149,202,\mathcal
150,203,\cite
151,205,conjB
152,207,\mathcal
153,210,\cite
154,210,\cite
155,212,thmA
156,215,equation
157,216,\overline
158,216,\big
159,216,\big
160,218,\mathcal
161,223,thm
162,224,equation
163,228,\mathcal
164,235,thm
165,238,rmk
166,240,\dots
167,240,\cdots
168,240,\dots
169,240,\dots
170,240,\sum_
171,240,\in
172,240,\cdots
173,241,\emph
174,241,\dots
175,241,\emph
176,241,\neq
177,246,\paragraph
178,246,\mathcal
179,246,\mathcal
180,247,\mathcal
181,249,\infty
182,249,\rightarrow
183,249,\infty
184,249,\mathcal
185,249,\mathcal
186,250,\mathcal
187,250,\in
188,250,\mathcal
189,250,\mbox
190,250,\rightarrow
191,250,\infty
192,251,\mathcal
193,251,\mathcal
194,251,\mathcal
195,251,\mathcal
196,254,\geq
197,254,\leq
198,254,\geq
199,256,\mathcal
200,256,\mathcal
201,256,\mathcal
202,258,\mathcal
203,258,\mathcal
204,258,\mathcal
