,Line num,Command
0,1,\documentclass
1,2,\usepackage
2,3,\usepackage
3,4,\usepackage
4,5,\pagestyle
5,6,\usepackage
6,7,\usepackage
7,8,\usepackage
8,9,\usepackage
9,10,\usepackage
10,11,\usepackage
11,13,\usepackage
12,14,\setlength
13,14,\textwidth
14,14,\setlength
15,14,\oddsidemargin
16,15,\setlength
17,15,\evensidemargin
18,15,\setlength
19,15,\footskip
20,16,\setlength
21,16,\headsep
22,17,\usepackage
23,18,\usepackage
24,19,\usepackage
25,20,\usepackage
26,21,\usepackage
27,22,\usepackage
28,23,\usepackage
29,24,\usepackage
30,25,\usepackage
31,26,\usepackage
32,27,\usepackage
33,28,\usepackage
34,29,\usepackage
35,30,\usepackage
36,32,\renewcommand
37,32,\baselinestretch
38,33,\numberwithin
39,34,\def
40,34,\bc
41,34,\mathbb
42,35,\def
43,35,\br
44,35,\mathbb
45,36,\def
46,36,\ra
47,36,\rightarrow
48,37,\let
49,37,\cal
50,37,\mathcal
51,38,\def
52,38,\Re
53,38,\rm
54,39,\def
55,39,\Im
56,39,\rm
57,40,\def
58,40,\p
59,40,\partial
60,41,\def
61,41,\o
62,41,\overline
63,42,\def
64,42,\b
65,42,\bar
66,43,\def
67,43,\mb
68,43,\mathbb
69,44,\def
70,44,\mc
71,44,\mathcal
72,45,\def
73,45,\n
74,45,\nabla
75,46,\def
76,46,\v
77,46,\varphi
78,47,\def
79,47,\w
80,47,\wedge
81,48,\def
82,48,\m
83,49,\def
84,49,\t
85,49,\triangle
86,50,\def
87,50,\wt
88,50,\widetilde
89,51,\def
90,51,\mf
91,51,\mathfrak
92,52,\def
93,52,\u
94,52,\underline
95,53,\def
96,53,\l
97,53,\lrcorner
98,54,\def
99,54,\Ker
100,54,\text
101,55,\theoremstyle
102,56,\newtheorem
103,57,\newtheorem
104,58,\newtheorem
105,59,\newtheorem
106,60,\theoremstyle
107,61,\newtheorem
108,62,\newtheorem
109,63,\newtheorem
110,64,\theoremstyle
111,65,\newtheorem
112,66,\newcommand
113,66,\comment
114,67,\def
115,67,\baselinestretch
116,68,\def
117,68,\op
118,68,\operatorname
119,69,\usepackage
120,70,\pagestyle
121,71,\fancyhead
122,72,\fancyhead
123,72,\scriptsize
124,73,\fancyhead
