,Line num,Command
0,1,\documentclass
1,2,\textwidth
2,3,\textheight
3,4,\oddsidemargin
4,5,\evensidemargin
5,6,\parindent
6,7,\parskip
7,8,\topmargin
8,9,\unitlength
9,10,\smartqed
10,11,\usepackage
11,12,\usepackage
12,13,\usepackage
13,14,\usepackage
14,15,\usepackage
15,16,\usepackage
16,17,\newtheorem
17,18,\newtheorem
18,19,\newtheorem
19,20,\newtheorem
20,21,\newtheorem
21,22,\newtheorem
22,23,\newtheorem
23,24,\newtheorem
24,25,\newtheorem
25,26,\usepackage
26,27,\renewcommand
27,27,\theequation
28,27,\thesection
29,27,\arabic
30,28,\renewcommand
31,28,\theequation
32,28,\thesection
33,28,\arabic
34,30,\title
35,31,\author
36,31,\thanks
37,31,\newline
38,32,\and
39,33,\thanks
40,33,\newline
41,34,\and
42,35,\thanks
43,36,\newline
44,38,\date
45,40,document
46,41,\maketitle
47,42,\bibliographystyle
48,43,\abstract
49,48,\endabstract
50,50,\noindent
51,50,\bf
52,50,\rm
53,53,\noindent
54,53,\bf
55,53,\rm
56,57,\section
57,59,\cite
58,59,\cite
59,60,\mathbb
60,60,\rightarrow
61,60,\mathbb
62,60,\in
63,60,\mathbb
64,61,\sum_
65,61,\infty
66,61,\infty
67,61,\frac
68,61,\frac
69,62,\frac
70,62,\frac
71,62,\log
72,62,\log
73,62,\frac
74,62,\textit
75,62,\cite
76,63,\cite
77,63,\cite
78,63,\cite
79,63,\cite
80,63,\cite
81,63,\cite
82,63,\cite
83,63,\cite
84,63,\in
85,63,\mathbb
86,64,equation
87,65,\sum_
88,65,\infty
89,65,\infty
90,65,\int_
91,65,\frac
92,65,\frac
93,67,\mathbb
94,67,\rightarrow
95,67,\mathbb
96,67,\in
97,67,\mathbb
98,67,\frac
99,67,\in
100,67,\mathbb
101,67,\cite
102,67,\cite
103,67,\cite
104,68,\ref
105,70,\section
106,71,\mathbb
107,71,\mathbb
108,71,\mathbb
109,71,\times
110,71,\mathbb
111,71,\mathbb
112,71,\mathbb
113,71,\infty
114,71,\sup_
115,71,\in
116,71,\mathbb
117,71,\mathbb
118,71,\mathbb
119,71,\in
120,71,\mathbb
121,72,\in
122,72,\mathbb
123,73,\mathbb
124,73,\rightarrow
125,73,\mathbb
126,73,\mathbb
127,74,\left
128,74,\log
129,74,\log
130,74,\log
131,74,\log
132,74,\right
133,74,\in
134,74,\mathbb
135,74,\mathcal
136,74,\mathbb
137,74,\mathbb
138,74,\infty
139,74,\mathbb
140,74,\mathbb
141,75,\mathbb
142,75,\rightarrow
143,75,\mathbb
144,76,\theta_
145,76,\frac
146,76,\partial
147,76,\partial
148,76,\mbox
149,76,\theta_
150,76,\frac
151,76,\partial
152,76,\partial
153,77,\in
154,77,\mathbb
155,78,\theta
156,78,\theta_
157,78,\theta_
158,79,\theta
159,79,\theta_
160,79,\theta_
161,79,\theta
162,79,\theta_
163,79,\theta_
164,80,\mathbb
165,80,\rightarrow
166,80,\mathbb
167,80,\in
168,80,\mathbb
169,80,\in
170,80,\mathbb
171,80,\in
172,80,\mathbb
173,80,\cite
174,81,\theta_
175,81,\log
176,81,\theta_
177,81,\log
178,81,\cdots
179,81,\frac
180,81,\theta_
181,81,\log
182,81,\theta_
183,81,\log
184,81,\log
185,81,\log
186,81,\frac
187,81,\displaystyle
188,81,\lim_
189,81,\rightarrow
190,83,\in
191,83,\mathbb
192,83,\in
193,83,\mathbb
194,83,\mathbb
195,83,\cup
196,83,\in
197,83,\mathbb
198,83,\vert
199,83,\vert
200,84,eqnarray
201,85,\sum_
202,85,\infty
203,85,\infty
204,85,\sum_
205,85,\infty
206,85,\infty
207,86,\log
208,86,\log
209,89,eqnarray
210,90,\sum_
211,90,\infty
212,90,\infty
213,90,\sum_
214,90,\infty
215,90,\infty
216,90,\log
217,90,\log
218,93,\max_
219,93,\vert
220,93,\vert
221,95,rmk
222,96,\xi
223,96,\in
224,96,\mathbb
225,96,\xi
226,96,\infty
227,96,\xi
228,96,\infty
229,96,\xi
230,98,\noindent
231,98,\displaystyle
232,98,\sum_
233,98,\infty
234,98,\infty
235,98,\sum_
236,98,\infty
237,98,\infty
238,98,\log
239,98,\log
240,99,eqnarray
241,100,\sum
242,100,\sum_
243,100,\in
244,100,\log
245,100,\log
246,100,\log
247,100,\log
248,101,\sum
249,101,\sum_
250,101,\notin
251,101,\log
252,101,\log
253,101,\log
254,101,\log
255,102,\leq
256,102,\infty
257,102,\hspace
258,102,\infty
259,104,\infty
260,104,\in
261,104,\mathbb
262,107,itemize
263,108,\item
264,108,\displaystyle
265,108,\sum_
266,108,\infty
267,108,\infty
268,108,\sum_
269,108,\infty
270,108,\infty
271,108,\in
272,108,\mathbb
273,110,\item
274,110,\infty
275,111,\lim_
276,111,\rightarrow
277,111,\infty
278,111,\sum
279,111,\sum_
280,111,\notin
281,111,\log
282,111,\log
283,111,\log
284,111,\log
285,111,\in
286,111,\mathbb
287,114,rmk
288,116,\lim_
289,116,\rightarrow
290,116,\infty
291,116,\sum
292,116,\sum_
293,116,\notin
294,116,\log
295,116,\log
296,116,\log
297,116,\log
298,116,\mbox
299,119,\noindent
300,119,\displaystyle
301,119,\lim_
302,119,\rightarrow
303,119,\infty
304,119,\sum
305,119,\sum_
306,119,\notin
307,119,\log
308,119,\log
309,119,\log
310,119,\log
311,120,eqnarray
312,121,\leq
313,121,\lim_
314,121,\rightarrow
315,121,\infty
316,121,\frac
317,121,\sum
318,121,\sum_
319,121,\notin
320,121,\log
321,121,\log
322,121,\log
323,121,\log
324,122,\leq
325,122,\lim_
326,122,\rightarrow
327,122,\infty
328,122,\frac
329,126,\in
330,127,equation
331,128,\sum_
332,128,\infty
333,128,\infty
334,128,\sum_
335,128,\infty
336,128,\infty
337,128,\int_
338,128,\frac
339,128,\frac
340,128,\int_
341,128,\frac
342,128,\frac
343,130,\mathbb
344,130,\rightarrow
345,130,\mathbb
346,130,\forall
347,130,\in
348,130,\mathbb
349,130,\ref
350,130,\mathbb
351,132,\section
352,135,thm
353,136,\in
354,136,\in
355,136,\infty
356,136,\mathbb
357,136,\in
358,136,\mathbb
359,136,\in
360,136,\mathcal
361,136,\mathbb
362,137,\lim_
363,137,\rightarrow
364,137,\infty
