,Line num,Command
0,2,\documentclass
1,3,\usepackage
2,4,\usepackage
3,5,\usepackage
4,6,\usepackage
5,7,\usepackage
6,8,\usepackage
7,9,\usepackage
8,10,\usepackage
9,11,\usepackage
10,13,\usepackage
11,14,\usepackage
12,15,\usepackage
13,16,\usepackage
14,17,\usepackage
15,18,\usepackage
16,19,\usepackage
17,21,\usepackage
18,25,\usepackage
19,26,\usepackage
20,34,be
21,36,ba
22,38,bal
23,40,baln
24,42,bi
25,44,bn
26,46,bbm
27,48,bpm
28,50,bsm
29,52,bp
30,54,\newcommand
31,54,\nn
32,54,\nonumber
33,58,\newcommand
34,58,\tbf
35,58,\textbf
36,59,\newcommand
37,59,\mr
38,59,\ensuremath
39,59,\mathrm
40,60,\newcommand
41,60,\scr
42,60,\ensuremath
43,60,\mathscr
44,61,\newcommand
45,61,\mbf
46,61,\ensuremath
47,61,\mathbf
48,62,\newcommand
49,62,\mc
50,62,\ensuremath
51,62,\mathcal
52,63,\newcommand
53,63,\mf
54,63,\ensuremath
55,63,\mathfrak
56,64,\newcommand
57,64,\ov
58,64,\ensuremath
59,64,\overline
60,65,\newcommand
61,65,\sm
62,65,\ensuremath
63,65,\setminus
64,66,\newcommand
65,66,\wt
66,66,\ensuremath
67,66,\widetilde
68,67,\renewcommand
69,67,\bm
70,67,\ensuremath
71,67,\mathbb
72,68,\newcommand
73,68,\tr
74,68,\ensuremath
75,68,\mathrm
76,73,\newcommand
77,73,\Ga
78,73,\ensuremath
79,74,\newcommand
80,74,\ga
81,74,\ensuremath
82,75,\newcommand
83,75,\Om
84,75,\ensuremath
85,76,\newcommand
86,76,\vi
87,76,\ensuremath
88,76,\varphi
89,77,\newcommand
90,77,\La
91,77,\ensuremath
92,78,\newcommand
93,78,\la
94,78,\ensuremath
95,79,\newcommand
96,79,\om
97,79,\ensuremath
98,80,\newcommand
99,80,\ka
100,80,\ensuremath
101,81,\renewcommand
102,81,\a
103,81,\ensuremath
104,81,\alpha
105,82,\newcommand
106,82,\eps
107,82,\ensuremath
108,86,\def
109,86,\C
110,86,\mathbb
111,87,\def
112,87,\R
113,87,\mathbb
114,88,\def
115,88,\D
116,88,\mathbb
117,89,\def
118,89,\Z
119,89,\mathcal
120,90,\def
121,90,\N
122,90,\mathbb
123,91,\def
124,91,\B
125,91,\mathbb
126,92,\def
127,92,\E
128,92,\mathcal
129,93,\def
130,93,\A
131,93,\mathcal
132,94,\def
133,94,\cH
134,94,\mathcal
135,95,\def
136,95,\cG
137,95,\mathcal
138,96,\def
139,96,\bH
140,96,\mathbb
141,97,\def
142,97,\cJ
143,97,\mathcal
144,100,\def
145,100,\hardy
146,100,\mathbb
147,101,\def
148,101,\mult
149,101,\mathbb
150,101,\infty
151,104,\def
152,104,\fp
153,104,\mathbb
154,104,\mathfrak
155,104,\mathfrak
156,105,\def
157,105,\bc
158,105,\underset
159,105,\mbox
160,105,\tiny
161,105,\mbox
162,105,\tiny
163,105,\subseteq
164,106,\def
165,106,\cc
166,106,\underset
167,106,\mbox
168,106,\tiny
169,106,\mbox
170,106,\tiny
171,106,\subseteq
172,108,\newcommand
173,108,\m
174,108,\ensuremath
175,108,\mathbf
176,109,\newcommand
177,109,\n
178,109,\ensuremath
179,109,\mathbf
180,110,\renewcommand
181,110,\j
182,110,\ensuremath
183,110,\mathbf
184,112,\renewcommand
185,112,\H
186,112,\ensuremath
187,112,\mathcal
188,115,\newcommand
189,115,\J
190,115,\ensuremath
191,115,\mathcal
192,119,\newcommand
193,119,\M
194,119,\ensuremath
195,119,\mathfrak
196,120,\newcommand
197,120,\K
198,120,\ensuremath
199,120,\mathcal
200,121,\renewcommand
201,121,\L
202,121,\ensuremath
203,121,\mathscr
204,122,\newcommand
205,122,\F
206,122,\ensuremath
207,122,\mathbb
208,123,\newcommand
209,123,\fB
210,123,\ensuremath
211,123,\mathbb
212,124,\newcommand
213,124,\cL
214,124,\ensuremath
215,124,\mathcal
216,125,\newcommand
217,125,\cF
218,125,\ensuremath
219,125,\mathcal
220,126,\newcommand
221,126,\cK
222,126,\ensuremath
223,126,\mathcal
224,127,\newcommand
225,127,\cM
226,127,\ensuremath
227,127,\mathcal
228,128,\newcommand
229,128,\cN
230,128,\ensuremath
231,128,\mathcal
232,129,\newcommand
233,129,\cO
234,129,\ensuremath
235,129,\mathcal
