,Line num,Command
0,1,\documentclass
1,2,\usepackage
2,3,\usepackage
3,4,\usepackage
4,5,\usepackage
5,6,\usepackage
6,7,\usepackage
7,8,\usepackage
8,9,\usepackage
9,10,\usepackage
10,12,\newtheorem
11,13,\newtheorem
12,14,\newtheorem
13,15,\newtheorem
14,17,\theoremstyle
15,18,\newtheorem
16,19,\newtheorem
17,20,\newtheorem
18,22,\newcommand
19,22,\B
20,22,\mathcal
21,23,\newcommand
22,23,\C
23,23,\mathbb
24,24,\newcommand
25,24,\N
26,24,\mathbb
27,25,\renewcommand
28,25,\P
29,25,\mathcal
30,26,\newcommand
31,26,\Q
32,26,\mathbb
33,27,\newcommand
34,27,\R
35,27,\mathbb
36,28,\newcommand
37,28,\T
38,28,\mathcal
39,29,\newcommand
40,29,\Z
41,29,\mathbb
42,30,\newcommand
43,30,\ds
44,30,\oplus
45,31,\newcommand
46,31,\lcm
47,31,\mathop
48,31,\rm
49,32,\newcommand
50,32,\ord
51,32,\mathop
52,32,\rm
53,34,\newcommand
54,34,\ba
55,34,\bm
56,35,\newcommand
57,35,\bb
58,35,\bm
59,36,\newcommand
60,36,\balpha
61,36,\bm
62,36,\alpha
63,37,\newcommand
64,37,\bbeta
65,37,\bm
66,37,\beta
67,39,\renewcommand
68,39,\mod
69,39,\ifmmode
70,39,\text
71,39,\rm
72,39,\else
73,39,\discretionary
74,39,\hbox
75,39,\rm
76,39,\fi
77,40,\newcommand
78,40,\ep
79,40,\varepsilon
80,41,\newsymbol
81,41,\dnd
82,42,\newcommand
83,42,\li
84,42,\mathop
85,42,\rm
86,44,\setcounter
87,44,\subsubsection
88,46,document
89,48,\title
90,49,\author
91,50,\address
92,51,\email
93,52,\author
94,53,\address
95,54,\email
96,55,\subjclass
97,56,\maketitle
98,58,abstract
99,61,\le
100,61,\Z
101,61,\Z
102,61,\times
103,61,\log
104,61,\log
105,61,\ell
106,61,\log
107,61,\ell
108,63,\le
109,63,\Z
110,63,\Z
111,63,\times
112,63,\log
113,63,\xi
114,63,\xi
115,68,\renewcommand
116,68,\labelenumi
117,68,\alph
118,71,\section
119,73,\cite
120,73,\mod4
121,73,\cite
122,73,\le
123,73,\mod
124,75,\Z
125,75,\Z
126,75,\times
127,75,\Z
