,Line num,Command
0,1,\documentclass
1,2,\usepackage
2,3,\usepackage
3,4,\usepackage
4,5,\usepackage
5,6,\usepackage
6,7,\usepackage
7,8,\usepackage
8,9,\usepackage
9,10,\usepackage
10,11,\usepackage
11,12,\usepackage
12,14,\theoremstyle
13,15,\newtheorem
14,16,\newtheorem
15,17,\newtheorem
16,18,\newtheorem
17,19,\newtheorem
18,20,\newtheorem
19,22,\theoremstyle
20,23,\newtheorem
21,24,\newtheorem
22,26,\newcommand
23,26,\identity
24,26,\mathrm
25,27,\newcommand
26,27,\dom
27,27,\mathrm
28,28,\newcommand
29,28,\rank
30,28,\mathrm
31,29,\newcommand
32,29,\im
33,29,\mathrm
34,30,\newcommand
35,30,\Cong
36,30,\mathrm
37,31,\newcommand
38,31,\collapse
39,31,\mathrm
40,32,\newcommand
41,32,\nb
42,32,\mathrm
43,33,\newcommand
44,33,\Inj
45,33,\mathrm
46,34,\newcommand
47,34,\Sing
48,34,\mathrm
49,34,\newcommand
50,34,\min
51,34,\mathrm
52,35,\newcommand
53,35,\max
54,35,\mathrm
55,38,\newcommand
56,38,\dps
57,38,\displaystyle
58,40,\textwidth
59,40,\textheight
60,41,\date
61,43,\title
62,43,\bf
63,43,\vspace
64,44,\author
65,44,\bf
66,44,\bf
67,44,\footnote
68,46,\Khon
69,52,document
70,53,\maketitle
71,56,center
72,60,\_
73,62,center
74,69,center
75,78,abstract
76,79,\mathbb
77,79,\mathbb
78,79,\mathbb
79,80,\aleph_
80,80,\aleph_
81,80,\mathbb
82,85,\textit
83,88,\section
84,89,\ldots
85,89,\Sing_
86,89,\Sing_
87,89,\rank
88,89,\Sing_
89,89,\rank
90,89,\cite
91,89,\rank
92,89,\Sing_
93,89,\cite
94,89,\in
95,89,\ldots
96,89,\Sing_
97,89,\cite
98,91,\ldots
99,91,\ldots
100,91,\rank
101,91,\rank
102,91,\cite
103,91,\in
104,91,\ldots
105,91,\cite
106,93,\ldots
107,93,\ldots
108,93,\cite
109,93,\cite
110,93,\cite
111,93,\cite
112,95,\v
113,95,\cite
114,95,\cite
115,95,\mathbb
116,95,\mathbb
117,95,\mathbb
118,95,\mathbb
119,95,\alpha
120,95,\in
121,95,\mathbb
122,95,\setminus
123,95,\mathbb
