,Line num,Command,Notes
0,1,\documentclass,amsart
1,2,\usepackage,"amsmath, amsthm, amscd, amsfonts, amssymb, graphicx, color"
2,3,\usepackage,hyperref
3,4,\usepackage,xy
4,5,\usepackage,"pgf,tikz,float"
5,6,\usepackage,mathrsfs
6,7,\usetikzlibrary,arrows
7,8,\def,Nested
8,8,\NZQ,Nested
9,8,\mathbb,Nested
10,9,\def,Nested
11,9,\NN,Nested
12,9,\NZQ,Nested
13,10,\def,Nested
14,10,\QQ,Nested
15,10,\NZQ,Nested
16,11,\def,Nested
17,11,\ZZ,Nested
18,11,\NZQ,Nested
19,12,\def,Nested
20,12,\RR,Nested
21,12,\NZQ,Nested
22,13,\def,Nested
23,13,\CC,Nested
24,13,\NZQ,Nested
25,14,\def,Nested
26,14,\AA,Nested
27,14,\NZQ,Nested
28,15,\def,Nested
29,15,\PP,Nested
30,15,\NZQ,Nested
31,16,\def,Nested
32,16,\FF,Nested
33,16,\NZQ,Nested
34,17,\def,Nested
35,17,\GG,Nested
36,17,\NZQ,Nested
37,18,\def,Nested
38,18,\HH,Nested
39,18,\NZQ,Nested
40,19,\def,Nested
41,19,\DD,Nested
42,19,\NZQ,Nested
43,20,\def,Nested
44,20,\frk,Nested
45,20,\frak,Nested
46,21,\def,Nested
47,21,\aa,Nested
48,21,\frk,Nested
49,22,\def,Nested
50,22,\pp,Nested
51,22,\frk,Nested
52,23,\def,Nested
53,23,\Pp,Nested
54,23,\frk,Nested
55,24,\def,Nested
56,24,\qq,Nested
57,24,\frk,Nested
58,25,\def,Nested
59,25,\Qq,Nested
60,25,\frk,Nested
61,26,\def,Nested
62,26,\mm,Nested
63,26,\frk,Nested
64,27,\def,Nested
65,27,\Mm,Nested
66,27,\frk,Nested
67,28,\def,Nested
68,28,\frk,Nested
69,29,\def,Nested
70,29,\frk,Nested
71,30,\def,Nested
72,30,\MB,Nested
73,30,\mathcal,Nested
74,31,\def,Nested
75,31,\MI,Nested
76,31,\mathcal,Nested
77,32,\def,Nested
78,32,\MJ,Nested
79,32,\mathcal,Nested
80,33,\def,Nested
81,33,\MP,Nested
82,33,\mathcal,Nested
