,Line num,Command,Notes
0,1,\documentclass,amsart
1,2,\usepackage,"amsmath, amsthm, amscd, amsfonts, amssymb, graphicx, color"
2,3,\usepackage,hyperref
3,4,\usepackage,xy
4,5,\usepackage,"pgf,tikz,float"
5,6,\usepackage,mathrsfs
6,7,\usetikzlibrary,arrows
7,8,\def,\mathbb
8,8,\NZQ,\mathbb
9,8,\mathbb,\mathbb
10,9,\def,{\NZQ N
11,9,\NN,{\NZQ N
12,9,\NZQ,{\NZQ N
13,10,\def,{\NZQ Q
14,10,\QQ,{\NZQ Q
15,10,\NZQ,{\NZQ Q
16,11,\def,{\NZQ Z
17,11,\ZZ,{\NZQ Z
18,11,\NZQ,{\NZQ Z
19,12,\def,{\NZQ R
20,12,\RR,{\NZQ R
21,12,\NZQ,{\NZQ R
22,13,\def,{\NZQ C
23,13,\CC,{\NZQ C
24,13,\NZQ,{\NZQ C
25,14,\def,{\NZQ A
26,14,\AA,{\NZQ A
27,14,\NZQ,{\NZQ A
28,15,\def,{\NZQ P
29,15,\PP,{\NZQ P
30,15,\NZQ,{\NZQ P
31,16,\def,{\NZQ F
32,16,\FF,{\NZQ F
33,16,\NZQ,{\NZQ F
34,17,\def,{\NZQ G
35,17,\GG,{\NZQ G
36,17,\NZQ,{\NZQ G
37,18,\def,{\NZQ H
38,18,\HH,{\NZQ H
39,18,\NZQ,{\NZQ H
40,19,\def,{\NZQ D
41,19,\DD,{\NZQ D
42,19,\NZQ,{\NZQ D
43,20,\def,\frak
44,20,\frk,\frak
45,20,\frak,\frak
46,21,\def,{\frk a
47,21,\aa,{\frk a
48,21,\frk,{\frk a
49,22,\def,{\frk p
50,22,\pp,{\frk p
51,22,\frk,{\frk p
52,23,\def,{\frk P
53,23,\Pp,{\frk P
54,23,\frk,{\frk P
55,24,\def,{\frk q
56,24,\qq,{\frk q
57,24,\frk,{\frk q
58,25,\def,{\frk Q
59,25,\Qq,{\frk Q
60,25,\frk,{\frk Q
61,26,\def,{\frk m
62,26,\mm,{\frk m
63,26,\frk,{\frk m
64,27,\def,{\frk M
65,27,\Mm,{\frk M
66,27,\frk,{\frk M
67,28,\def,{\frk n
