,line num,Command
0,2,\documentclass
1,3,\documentclass
2,4,\documentclass
3,5,\documentclass
4,6,\usepackage
5,7,\usepackage
6,8,\usepackage
7,10,\usepackage
8,12,\usepackage
9,14,\usepackage
10,15,\usepackage
11,16,\usepackage
12,17,\usepackage
13,18,\usepackage
14,19,\usepackage
15,21,\usepackage
16,22,\usepackage
17,24,\newtheorem
18,25,\newtheorem
19,26,\newtheorem
20,27,\newtheorem
21,29,\theoremstyle
22,30,\newtheorem
23,31,\newtheorem
24,32,\newtheorem
25,36,\newtheorem
26,37,\newtheorem
27,38,\newtheorem
28,39,\newtheorem
29,40,\newtheorem
30,42,\evensidemargin
31,42,\oddsidemargin
32,44,\textwidth
33,46,\newcommand
34,46,\co
35,46,\mathcal
36,47,\newcommand
37,47,\cts
38,47,\delta
39,48,\newcommand
40,48,\ctM
41,48,\Theta_
42,49,\newcommand
43,49,\cts
44,49,\Theta_
45,49,\delta
46,51,\newcommand
47,51,\cs
48,51,\delta
49,54,\newcommand
50,54,\PP
51,54,\mathbb
52,55,\newcommand
53,55,\CC
54,55,\mathbb
55,56,\newcommand
56,56,\ZZ
57,56,\mathbb
58,57,\newcommand
59,57,\mcL
60,57,\mathcal
61,58,\newcommand
62,58,\mcO
63,58,\mathcal
64,59,\newcommand
65,59,\mcC
66,59,\mathcal
67,60,\newcommand
68,60,\mcH
69,60,\mathcal
70,61,\newcommand
71,61,\mcK
72,61,\mathcal
73,62,\newcommand
74,62,\mcE
75,62,\mathcal
76,63,\newcommand
77,63,\mcF
78,63,\mathcal
79,65,\title
80,68,document
81,70,center
82,72,\textsc
83,72,\Jorge
84,74,\Carlos
85,76,\Paco
86,77,\Carlos
87,78,\textsc
88,78,\Jorge
89,81,\title
90,82,\author
91,83,\address
92,86,\email
93,87,\thanks
94,87,\textit
95,89,\thanks
96,90,\author
97,91,\address
98,94,\email
99,95,\author
100,96,\address
101,97,\email
102,98,\thanks
103,104,abstract
104,105,\mathcal
105,105,\delta
106,106,\mathcal
107,107,\mathcal
108,108,\delta
109,108,\mcF
110,110,\delta
111,110,\neq
112,111,\mathcal
113,112,\mathcal
114,113,\mathcal
115,114,\Phi
116,114,\Phi
117,114,\delta
118,116,\maketitle
119,117,\section
120,117,\label
121,119,\cite
122,119,\cite
123,119,\cite
124,120,\cite
125,123,\textit
126,124,\cite
127,126,\cite
128,127,\delta
129,127,\delta
130,127,\neq
131,127,\ref
132,132,\cite
133,133,\cite
134,134,\color
135,134,\ref
136,136,\ref
137,139,\emph
138,140,\mathcal
139,140,\emph
140,143,\cap
141,144,equation
142,145,\xi_
143,147,\xi_
144,148,\xi_
145,149,\mcL
146,151,\in
147,151,\ctM
148,151,\otimes
149,151,\mcL
150,152,\mathrm
151,152,\mcO_M
152,152,\mcL
153,152,\ctM
154,153,\ctM
155,153,\mcL
156,154,\mcL
157,155,\color
158,155,\xi_
159,159,\mcL
160,159,\rightarrow
161,159,\delta
162,160,\mathcal
163,160,\delta
164,160,\delta
165,160,\delta
166,162,\color
167,163,\cite
168,163,\mcL
169,164,\emph
170,164,\mathcal
171,164,\mcL
172,165,\emph
173,165,\mathrm
174,165,\mcL
175,166,\mcF
176,166,\mcL
177,167,\PP
178,167,\mathrm
179,167,\mcO_M
180,167,\mcL
181,167,\ctM
182,169,\PP
183,169,\delta
184,169,\mcL
185,169,\otimes
186,169,\cts
187,169,\cite
188,170,\mcF
189,170,\mcL
190,171,\in
191,171,\PP
192,171,\ctM
193,171,\otimes
194,171,\mcL
195,171,\in
196,171,\mathrm
197,171,\mcL
198,172,\in
199,172,\ctM
200,172,\otimes
201,172,\mcL
202,174,\emph
203,174,\mathcal
204,174,\in
205,174,\delta
206,175,\mcL_p
207,175,\rightarrow
208,175,\delta
209,178,\in
210,178,\mathrm
211,178,\mcO_M
212,178,\mcL
213,178,\ctM
214,179,\in
215,179,\delta
216,180,\in
217,181,\mcL_p
218,181,\rightarrow
219,181,\Theta_
220,182,\emph
221,182,\subset
222,182,\mcO_M
223,183,\subset
224,183,\mcO
225,185,\eqref
226,186,\mcF
227,188,\mcF
228,188,\emph
229,189,\text
230,191,\cite
231,191,\cite
232,193,\in
233,193,\PP
234,193,\PP
235,193,\mathrm
236,193,\mcO_
237,193,\PP
238,193,\Theta_
239,193,\PP
240,194,\simeq
241,194,\PP
242,194,\PP
243,194,\Theta_
244,194,\PP
245,195,\mathrm
246,195,\mcO_
247,195,\PP
248,195,\PP
249,198,\mathrm
250,198,\mcO_
251,198,\PP
252,198,\PP
253,200,\geq
254,204,\cite
255,205,\cite
256,210,\mathcal
257,211,\delta
258,211,\delta
259,211,\geq
260,213,\textcolor
261,217,\cite
262,217,\cite
263,217,\cite
264,218,\cite
265,219,\cite
266,219,\cite
267,219,\cite
268,223,\PP
269,233,\ref
270,234,\mcL
271,234,\cs
272,234,\mcO_
273,234,\cs
274,234,\in
275,234,\mathbb
276,235,\cs
277,235,\in
278,235,\cs
279,235,\mathrm
280,235,\mcO_
281,235,\cs
282,235,\cts
283,237,\textcolor
284,237,\rm
285,237,\delta
286,238,\delta
287,238,\delta
288,238,\cdot
289,238,\mcO
290,241,\mcL
291,242,\delta
292,242,\mathcal
293,242,\in
294,242,\mathbb
295,243,\cs
296,244,\Omega
297,245,\mathbb
298,245,\setminus
299,245,\times
300,245,\mathbb
301,245,\setminus
302,246,\PP
303,248,\mathbb
304,248,\setminus
305,248,\ref
306,250,\geq
307,250,\geq
308,250,\delta
309,251,\geq
310,251,\geq
311,251,\delta
312,251,\geq
313,252,\ref
314,252,\cite
315,253,\Omega
316,254,\ref
317,256,\Phi
318,256,\cs
319,256,\ref
320,257,\delta
321,257,\neq
322,257,\Phi
323,257,\Phi
324,263,\rightarrow
325,263,\delta
326,264,\cs
327,265,\mathcal
328,266,\delta
329,266,\delta
330,267,\textcolor
331,267,\ref
332,268,\mathcal
333,269,\textcolor
334,269,\mathcal
335,270,\mathcal
336,271,\mathcal
337,271,\ref
338,271,\ref
339,272,\ref
340,272,\geq
341,273,\geq
342,273,\delta
343,273,\geq
344,273,\delta
345,273,\geq
346,274,\Phi
347,275,\delta
348,276,\geq
349,276,\geq
350,279,\ref
351,280,\ref
352,284,\in
353,284,\delta
354,284,\cts
355,284,\otimes
356,284,\mcL
357,286,\ref
358,287,\ref
359,288,\ref
360,288,\ref
361,290,\ref
362,291,\subsection
363,291,\mcO_
364,291,\cs
365,291,\cs
366,292,\mcO
367,292,\cs
368,292,\cs
369,293,\Theta_
370,293,\cs
371,293,\Omega_
372,293,\cs
373,294,\mcO
374,295,\mcL
375,295,\mcO
376,295,\cs
377,295,\otimes
378,296,\cs
379,296,\otimes
380,296,\Theta_
381,296,\cs
382,296,\Omega_
383,296,\cs
384,297,\textcolor
385,298,\mcL
386,298,\mcO
387,300,\section
388,300,\label
389,301,\delta
390,301,\geq
391,302,\delta
392,303,\delta
393,304,equation
394,305,\psi
395,305,\delta
396,305,\rightarrow
397,305,\mathbb
398,308,\mathbb
399,308,\mcO_
400,308,\mathbb
401,308,\oplus
402,308,\mcO_
403,308,\mathbb
404,308,\delta
405,309,\mathbb
406,310,\cite
407,312,\psi
408,313,\delta
409,313,\mathbb
410,313,\mathbb
411,314,\emph
412,314,\delta
413,317,\color
414,319,\rm
415,319,\delta
416,320,\delta
417,320,\cdot
418,320,\delta
419,321,\delta
420,321,\delta
421,322,\delta
422,323,\delta
423,323,\in
424,323,\rm
425,323,\delta
426,324,\rm
427,324,\delta
428,324,\otimes
429,324,\mathbb
430,325,\in
431,325,\mathbb
432,325,\mcO
433,328,\emph
434,328,\delta
435,328,\delta
436,329,\textcolor
437,330,\rm
438,330,\delta
439,330,\otimes
440,330,\mathbb
441,333,\delta
442,333,\vee
443,334,\emph
444,334,\delta
445,335,\textcolor
446,337,\delta
447,337,\delta
448,337,\vee
449,337,\in
450,337,\rm
451,337,\delta
452,337,\otimes
453,337,\mathbb
454,337,\mid
455,337,\cdot
456,337,\geq
457,338,\mbox
458,338,\delta
459,341,\emph
460,342,\textcolor
461,343,\delta
462,345,\delta
463,346,\textcolor
464,347,\rm
465,347,\delta
466,347,\otimes
467,347,\mathbb
468,350,\textcolor
469,351,\cite
470,353,\textcolor
471,354,proposition
472,355,\rm
473,355,\delta
474,358,proof
475,359,\cite
476,362,\delta
477,362,\delta
478,362,\cite
479,364,\ref
480,364,\delta
481,365,\delta
482,365,\delta
483,365,\vee
484,367,\delta
485,370,proposition
486,371,\textcolor
487,372,\rm
488,372,\delta
489,373,\delta
490,373,\geq
491,373,\geq
492,376,\delta
493,378,\mathbb
494,378,\setminus
495,378,\times
496,378,\mathbb
497,378,\setminus
498,379,\mathbb
499,379,\setminus
500,379,\times
501,379,\mathbb
502,379,\setminus
503,380,\mathbb
504,380,\setminus
505,380,\times
506,380,\mathbb
507,380,\setminus
508,383,\lambda
509,383,\mu
510,383,\cdot
511,383,\lambda
512,383,\lambda
513,383,\mu
514,383,\lambda
515,383,\delta
516,383,\mu
517,385,\lambda
518,385,\mu
519,385,\in
520,385,\mathbb
521,385,\setminus
522,385,\times
523,385,\mathbb
524,385,\setminus
525,385,\cite
526,386,\delta
527,386,\mathbb
528,386,\delta
529,387,\color
530,389,equation
531,390,\pi
532,390,\mathbb
533,390,\setminus
534,390,\times
535,390,\mathbb
536,390,\setminus
537,390,\rightarrow
538,390,\delta
539,393,\textcolor
540,396,\in
541,396,\mathbb
542,397,\emph
543,398,\alpha
544,398,\beta
545,398,\gamma
546,398,\mu
547,399,\alpha
548,399,\beta
549,399,\delta
550,399,\mu
551,399,\gamma
552,399,\mu
553,399,\delta
554,400,\mcO
555,403,\textcolor
556,403,\cite
557,404,\delta
558,405,\in
559,405,\delta
560,405,\mathbb
561,406,\cite
562,407,\delta
563,407,\prime
564,409,equation
565,410,\left
566,411,matrix
567,415,\left
568,416,matrix
569,417,\delta
570,420,\left
571,421,matrix
572,426,\cs
573,427,\cs
574,427,\cite
575,428,\textit
576,428,\mcK_
577,428,\cs
578,428,\mcO
579,428,\delta
580,430,\delta
581,430,\in
582,431,equation
583,432,\pi
584,432,\in
585,432,\delta
586,432,\mid
587,432,\neq
588,432,\mbox
589,432,\neq
590,434,\pi
591,434,\eqref
592,435,\delta
593,436,\in
594,436,\delta
595,437,\pi
596,437,\pi
597,437,\delta
598,438,\mathbb
599,440,\pi
600,440,\mapsto
601,442,\delta
602,443,\mathbb
603,443,\pi
604,443,\mapsto
605,444,\delta
606,447,\varphi_
607,447,\cap
608,447,\subseteq
609,447,\rightarrow
610,447,\cap
611,447,\subseteq
612,447,\mapsto
613,447,\delta
614,449,\delta
615,452,\cap
616,454,equation
617,455,\tilde
618,457,\in
619,459,equation
620,460,\varphi_
621,460,\cap
622,460,\subseteq
623,460,\rightarrow
624,460,\cap
625,460,\subseteq
626,462,\tilde
627,463,\section
628,463,\delta
629,463,\label
630,464,\ref
631,464,\mathcal
632,464,\delta
633,465,\in
634,465,\delta
635,465,\cts
636,465,\otimes
637,465,\mcL
638,466,\mathcal
639,466,\mcO
640,466,\mathcal
641,466,\cite
642,466,\S
643,468,\mcH
644,468,\mcO
645,468,\oplus
646,468,\oplus
647,468,\mcO
648,468,\oplus
649,468,\mcO
650,468,\delta
651,470,\textit
652,471,equation
653,472,\rightarrow
654,472,\mcO
655,472,\oplus
656,472,\xrightarrow
657,472,\mcH
658,472,\xrightarrow
659,472,\pi
660,472,\cts
661,472,\rightarrow
662,474,\color
663,477,\mcL
664,477,\mcO
665,477,\eqref
666,479,equation
667,480,\rightarrow
668,480,\mathcal
669,480,\oplus
670,481,\xrightarrow
671,481,\otimes
672,481,\mcO
673,481,\oplus
674,481,\oplus
675,481,\mcO
676,481,\oplus
677,481,\mcO
678,481,\delta
679,482,\xrightarrow
680,482,\pi
681,482,\otimes
682,482,\mcL
683,482,\otimes
684,482,\cts
685,482,\rightarrow
686,483,\rightarrow
687,483,\mcO
688,483,\oplus
689,484,\xrightarrow
690,484,\otimes
691,484,\mcH
692,485,\xrightarrow
693,485,\pi
694,485,\otimes
695,485,\cts
696,485,\rightarrow
697,487,\eqref
698,488,equation
699,489,split
700,490,\rightarrow
701,490,\delta
702,490,\mcO
703,490,\oplus
704,491,\xrightarrow
705,491,\otimes
706,492,\delta
707,492,\mcO
708,492,\oplus
709,492,\oplus
710,493,\delta
711,493,\mcO
712,493,\oplus
713,494,\delta
714,494,\mcO
715,494,\delta
716,495,\delta
717,495,\mcH
718,496,\xrightarrow
719,496,\pi
720,496,\otimes
721,496,\delta
722,496,\cts
723,496,\xrightarrow
724,496,\delta
725,497,\xrightarrow
726,497,\delta
727,498,\delta
728,498,\mcO
729,498,\oplus
730,498,\xrightarrow
731,498,\otimes
732,498,\delta
733,498,\mcH
734,499,\xrightarrow
735,499,\pi
736,499,\otimes
737,499,\delta
738,499,\cts
739,499,\xrightarrow
740,499,\delta
741,500,\cdots
742,502,\rightarrow
743,502,\delta
744,502,\mcO
745,502,\oplus
746,503,\xrightarrow
747,503,\otimes
748,504,\delta
749,504,\mcO
750,504,\oplus
751,504,\oplus
752,505,\delta
753,505,\mcO
754,505,\oplus
755,506,\delta
756,506,\mcO
757,506,\delta
758,507,\delta
759,507,\mcH
760,508,\xrightarrow
761,508,\pi
762,508,\otimes
763,508,\delta
764,508,\cts
765,508,\xrightarrow
766,508,\delta
767,509,\xrightarrow
768,509,\pi
769,509,\otimes
770,509,\delta
771,509,\cts
772,510,\xrightarrow
773,510,\delta
774,511,\delta
775,511,\mcO
776,511,\oplus
777,511,\xrightarrow
778,511,\otimes
779,511,\delta
780,511,\mcH
781,512,\xrightarrow
782,512,\pi
783,512,\otimes
784,512,\delta
785,512,\cts
786,512,\xrightarrow
787,512,\delta
788,513,\cdots
789,516,equation
790,517,split
791,518,\cs
792,518,\mcH
793,519,\cs
794,519,\mcO
795,519,\oplus
796,519,\oplus
797,519,\cs
798,519,\mcO
799,519,\oplus
800,519,\cs
801,519,\mcO
802,519,\delta
803,523,\otimes
804,523,\delta
805,523,\eqref
806,526,\emph
807,526,\pi
808,526,\otimes
809,529,equation
810,530,\frac
811,530,\partial
812,530,\partial
813,530,\frac
814,530,\partial
815,530,\partial
816,531,\frac
817,531,\partial
818,531,\partial
819,531,\frac
820,531,\partial
821,531,\partial
822,534,\in
823,534,\delta
824,534,\mcO
825,535,\in
826,535,\delta
827,535,\mcO
828,536,\in
829,536,\delta
830,536,\mcO
831,536,\delta
832,538,\emph
833,539,\frac
834,539,\partial
835,539,\partial
836,539,\frac
837,539,\partial
838,539,\partial
839,540,\delta
840,540,\frac
841,540,\partial
842,540,\partial
843,541,\frac
844,541,\partial
845,541,\partial
846,541,\frac
847,541,\partial
848,541,\partial
849,543,\mcO
850,543,\mcO
851,543,\mcO
852,543,\mcO
853,543,\delta
854,544,\textcolor
855,547,remark
856,548,\rm
857,549,\textcolor
858,551,\in
859,551,\delta
860,551,\cts
861,551,\otimes
862,551,\mcL
863,552,\emph
864,553,\pi
865,553,\otimes
866,553,\eqref
867,554,\eqref
868,555,\pi
869,555,\cdot
870,557,\emph
871,558,\pi
872,558,\otimes
873,558,\emph
874,558,\emph
875,559,\delta
876,559,\mathcal
877,559,\ref
878,560,\color
879,564,\cs
880,565,\cs
881,566,\in
882,566,\delta
883,566,\cts
884,566,\otimes
885,566,\mcL
886,566,\eqref
887,567,\Omega_i
888,567,\Omega_i
889,567,\emph
890,568,\cs
891,568,\Omega_
892,568,\cs
893,568,\delta
894,570,\mcL
895,570,\mcO
896,570,\in
897,570,\mathbb
898,572,\textcolor
899,573,\cite
900,573,\mcF
901,573,\Theta_
902,573,\cs
903,575,\Theta_
904,575,\cs
905,575,\times
906,575,\wedge
907,575,\Omega_
908,575,\cs
909,575,\longrightarrow
910,575,\Omega_
911,575,\cs
912,576,\omega
913,576,\omega
914,577,\tilde
915,578,\cite
916,579,\Theta_
917,579,\cs
918,579,\otimes
919,579,\mcK_
920,579,\cs
921,579,\Theta_
922,579,\cs
923,579,\otimes
924,579,\wedge
925,579,\Omega_
926,579,\cs
927,580,\xrightarrow
928,580,\tilde
929,580,\Omega_
930,580,\cs
931,583,\Theta_
932,583,\cs
933,583,\cong
934,584,\Omega_
935,584,\cs
936,584,\otimes
937,584,\mcK_
938,584,\cs
939,584,\Omega_
940,584,\cs
941,584,\delta
942,585,\Theta_
943,585,\cs
944,585,\otimes
945,585,\mcL
946,585,\Theta_
947,585,\cs
948,585,\cong
949,585,\Omega_
950,585,\cs
951,585,\delta
952,587,equation
953,588,\cs
954,588,\Theta_
955,588,\cs
956,588,\cong
957,588,\cs
958,588,\Omega_
959,588,\cs
960,588,\delta
961,589,\text
962,591,\mathcal
963,591,\mcO
964,591,\delta
965,591,\otimes
966,591,\cts
967,592,\color
968,593,\mathcal
969,593,\cs
970,593,\mcO
971,593,\delta
972,597,\cs
973,597,\mcL
974,597,\otimes
975,597,\cts
976,597,\cs
977,597,\mathcal
978,597,\otimes
979,597,\mathcal
980,597,\cs
981,598,\mathbb
982,598,\delta
983,598,\omega
984,598,\mcO
985,598,\delta
986,599,\mathcal
987,599,\cong
988,599,\mcO
989,599,\delta
990,600,\cite
991,600,\cite
992,601,equation
993,602,split
994,603,\cs
995,603,\mathcal
996,603,\otimes
997,603,\cts
998,603,\cong
999,603,\cs
1000,603,\mathcal
1001,604,\cs
1002,604,\mcO
1003,604,\delta
1004,604,\otimes
1005,604,\Omega
1006,604,\delta
1007,605,\cs
1008,605,\mcO
1009,605,\delta
1010,605,\otimes
1011,605,\Omega
1012,605,\cs
1013,608,\color
1014,610,\mcL
1015,610,\mcO
1016,610,\rightarrow
1017,610,\cts
1018,610,\in
1019,610,\mathbb
1020,611,\mcL
1021,611,\cs
1022,612,\mcL
1023,612,\mcO
1024,612,\rightarrow
1025,612,\cts
1026,613,\mcL
1027,613,\cs
1028,614,\mcL
1029,614,\otimes
1030,614,\cts
1031,615,\cs
1032,615,\mcL
1033,615,\otimes
1034,615,\cts
1035,615,\cs
1036,615,\mathcal
1037,615,\otimes
1038,615,\omega_
1039,615,\cs
1040,616,\mathcal
1041,616,\mcO
1042,616,\delta
1043,616,\otimes
1044,616,\cts
1045,616,\cite
1046,618,\cs
1047,618,\mcL
1048,618,\otimes
1049,618,\cts
1050,618,\cs
1051,618,\mathcal
1052,618,\cs
1053,618,\mcO
1054,618,\delta
1055,618,\otimes
1056,618,\Omega
1057,618,\delta
1058,619,\cs
1059,619,\mcO
1060,619,\delta
1061,619,\otimes
1062,619,\Omega
1063,619,\cs
1064,621,\linebreak
1065,622,\cs
1066,622,\Omega_
1067,622,\cs
1068,622,\delta
1069,622,\eqref
1070,624,equation
1071,625,\rightarrow
1072,625,\Omega
1073,625,\cs
1074,625,\xrightarrow
1075,625,\pi
1076,625,\mcH
1077,626,\mcO
1078,626,\oplus
1079,626,\mcO
1080,626,\oplus
1081,626,\mcO
1082,626,\oplus
1083,626,\mcO
1084,626,\delta
1085,627,\xrightarrow
1086,627,\mcO
1087,627,\oplus
1088,627,\rightarrow
1089,629,\eqref
1090,629,\mcO
1091,629,\delta
1092,630,equation
1093,631,\rightarrow
1094,631,\Omega
1095,631,\cs
1096,631,\delta
1097,631,\xrightarrow
1098,631,\pi
1099,631,\otimes
1100,632,\rightarrow
1101,632,\mcO
1102,632,\delta
1103,632,\oplus
1104,632,\mcO
1105,632,\delta
1106,632,\oplus
1107,632,\mcO
1108,632,\delta
1109,632,\oplus
1110,632,\mcO
1111,632,\rightarrow
1112,633,\xrightarrow
1113,633,\pi
1114,633,\otimes
1115,634,\mcH
1116,634,\delta
1117,634,\xrightarrow
1118,634,\otimes
1119,635,\xrightarrow
1120,635,\otimes
1121,636,\mcO
1122,636,\delta
1123,636,\oplus
1124,636,\rightarrow
1125,640,equation
1126,641,split
1127,642,\rightarrow
1128,642,\cs
1129,642,\Omega
1130,642,\cs
1131,642,\delta
1132,642,\xrightarrow
1133,642,\pi
1134,642,\otimes
1135,643,\cs
1136,643,\mcH
1137,643,\delta
1138,643,\xrightarrow
1139,643,\otimes
1140,644,\xrightarrow
1141,644,\otimes
1142,644,\cs
1143,644,\mcO
1144,644,\delta
1145,644,\oplus
1146,645,\xrightarrow
1147,645,\delta
1148,645,\cs
1149,645,\Omega
1150,645,\cs
1151,645,\delta
1152,645,\xrightarrow
1153,645,\pi
1154,645,\otimes
1155,645,\cdots
1156,648,\rightarrow
1157,649,\cs
1158,649,\mcO
1159,649,\delta
1160,649,\oplus
1161,649,\mcO
1162,649,\delta
1163,649,\oplus
1164,649,\mcO
1165,649,\delta
1166,649,\oplus
1167,649,\mcO
1168,649,\rightarrow
1169,651,equation
1170,652,split
1171,653,\cs
1172,653,\mcH
1173,653,\delta
1174,654,\cs
1175,654,\mcO
1176,654,\delta
1177,654,\oplus
1178,654,\oplus
1179,654,\cs
1180,654,\mcO
1181,654,\delta
1182,654,\oplus
1183,654,\cs
1184,654,\mcO
1185,658,\otimes
1186,658,\delta
1187,661,\delta
1188,664,\textcolor
1189,665,\mcL
1190,665,\mcO
1191,665,\cs
1192,668,\mcF
1193,668,\in
1194,668,\PP
1195,668,\delta
1196,668,\cts
1197,668,\otimes
1198,668,\mcL
1199,672,proposition
1200,673,\mcL
1201,673,\mcO
1202,673,\in
1203,673,\mathbb
1204,674,\mathcal
1205,674,\mathrm
1206,674,\mcL
1207,674,\delta
1208,676,equation
1209,677,\Omega
1210,682,\in
1211,682,\delta
1212,682,\mcO
1213,682,\delta
1214,683,\in
1215,683,\delta
1216,683,\mcO
1217,683,\delta
1218,684,\in
1219,684,\delta
1220,684,\mcO
1221,686,\mcO
1222,686,\delta
1223,686,\mcO
1224,686,\delta
1225,686,\mcO
1226,686,\delta
1227,686,\mcO
1228,689,equation
1229,690,gathered
1230,691,\Omega
1231,691,\delta
1232,691,\mbox
1233,692,\Omega
1234,695,\in
1235,695,\mathcal
1236,697,\Omega_
1237,697,\tilde
1238,697,\tilde
1239,697,\setminus
