,line num,Command
0,1,\documentclass
1,3,\usepackage
2,4,\usepackage
3,5,\usepackage
4,6,\usepackage
5,7,\usepackage
6,8,\usepackage
7,9,\usepackage
8,10,\usepackage
9,11,\usepackage
10,12,\usepackage
11,13,\usepackage
12,14,\usepackage
13,15,\usepackage
14,16,\usepackage
15,17,\usepackage
16,18,\usepackage
17,19,\usepackage
18,20,\renewcommand
19,20,\linenumberfont
20,20,\color
21,20,\normalfont
22,20,\tiny
23,20,\sffamily
24,21,\usepackage
25,22,\newcommand
26,22,\Span
27,22,\langle
28,22,\rangle
29,24,\linenumbers
30,26,\DeclareMathOperator
31,26,\Der
32,27,\DeclareMathOperator
33,27,\Ker
34,28,\DeclareMathOperator
35,28,\spann
36,29,\DeclareMathOperator
37,29,\dimm
38,30,\DeclareMathOperator
39,30,\Cl
40,31,\DeclareMathOperator
41,31,\divisor
42,32,\DeclareMathOperator
43,32,\WDiv
44,33,\DeclareMathOperator
45,33,\Spec
46,34,\DeclareMathOperator
47,34,\rlv
48,35,\DeclareMathOperator
49,35,\cov
50,36,\DeclareMathOperator
51,36,\env
52,37,\DeclareMathOperator
53,37,\id
54,38,\DeclareMathOperator
55,38,\Aut
56,39,\DeclareMathOperator
57,39,\Sing
58,40,\DeclareMathOperator
59,40,\Reg
60,41,\DeclareMathOperator
61,41,\Ann
62,42,\DeclareMathOperator
63,42,\NNA
64,43,\DeclareMathOperator
65,43,\NA
66,44,\DeclareMathOperator
67,44,\Stab
68,45,\DeclareMathOperator
69,45,\rank
70,47,\def
71,47,\R
72,47,\mathbb
73,48,\def
74,48,\A
75,48,\mathbb
76,49,\def
77,49,\N
78,49,\mathbb
79,50,\def
80,50,\Z
81,50,\mathbb
82,51,\def
83,51,\C
84,51,\mathbb
85,52,\def
86,52,\G
87,52,\mathbb
88,53,\def
89,53,\Ga
90,53,\mathbb
91,54,\def
92,54,\Q
93,54,\mathbb
94,55,\def
95,55,\K
96,55,\mathbb
97,56,\def
98,56,\P
99,56,\mathbb
100,57,\def
101,57,\varepsilon
102,58,\def
103,58,\lN
104,58,\mathcal
105,59,\def
106,59,\ra
107,59,\rightarrow
108,60,\def
109,60,\RA
110,60,\Rightarrow
111,61,\def
112,61,\LRA
113,61,\Leftrightarrow
114,62,\def
115,62,\ddx
116,62,\frac
117,62,\partial
118,62,\partial
119,63,\def
120,63,\ddy
121,63,\frac
122,63,\partial
123,63,\partial
124,64,\let
125,64,\oldemptyset
126,64,\emptyset
127,65,\let
128,65,\emptyset
129,65,\varnothing
130,66,\setlength
131,66,\columnseprule
132,68,\newtheorem
133,69,\newtheorem
134,70,\newtheorem
135,71,\newtheorem
136,72,\newtheorem
137,74,\let
138,74,\oldexmp
139,74,\example
140,75,\renewcommand
141,75,\example
142,75,\oldexmp
143,75,\normalfont
144,78,\newtheorem
145,79,\newcommand
146,79,\stm
147,79,\oldstm
148,80,\newtheorem
149,82,\theoremstyle
150,83,\newtheorem
151,84,\newtheorem
152,87,\newtheorem
153,88,\newtheorem
154,90,\sloppy
155,91,\textwidth
156,92,\oddsidemargin
157,93,\topmargin
158,94,\headheight
159,95,\headsep
160,96,\textheight
161,97,\evensidemargin
162,99,document
163,101,\title
164,102,\author
165,103,\address
166,104,\email
167,105,\renewcommand
168,105,\address
169,106,\footnotesize
170,107,\textsc
171,107,\par
172,107,\nopagebreak
173,108,\textit
174,108,\texttt
175,111,\date
176,112,\thanks
177,113,abstract
178,114,\mathbb
179,114,\times
180,114,\to
181,114,\mathbb
182,119,\subjclass
183,120,\keywords
184,122,\maketitle
185,124,\section
186,125,\K
187,126,\Ga
188,126,\K
189,127,\Ga
190,127,\Ga
191,127,\times
192,127,\ldots
193,127,\times
194,127,\Ga
195,128,\Ga
196,128,\times
197,128,\to
198,129,\A
199,129,\A
200,131,\cite
201,132,\P
202,132,\cite
203,133,\P
204,133,\leq
205,135,\cite
206,138,\cite
207,139,\cite
208,140,\cite
209,140,\cite
210,143,\cite
211,144,\cite
212,144,\cite
213,146,\cite
214,147,\cite
215,147,\Ga
216,148,\mathcal
217,149,\cite
218,149,\Ga
219,149,\Ga
220,149,\mathcal
221,152,\cite
222,156,\cite
223,157,\ref
224,162,\cite
225,162,\ldots
226,162,\ldots
227,163,\ldots
228,163,\ldots
229,165,\mathfrak
230,165,\in
231,165,\langle
232,165,\rangle
233,165,\text
234,165,\langle
235,165,\rangle
236,165,\geq
237,165,\text
238,165,\neq
239,166,\bigcup
240,166,\limits_
241,166,\mathfrak
242,169,thm
243,171,enumerate
244,172,\item
245,173,\item
246,173,\mathfrak
247,173,\leq
248,173,\leq
249,177,\Aut
250,177,\Ga
251,180,\P
252,181,\P
253,185,\mathfrak
254,185,\mathfrak
255,185,\mathfrak
256,187,\Aut
257,187,\P
258,187,\rm
259,188,\P
260,188,\P
261,189,\P
262,189,\cite
263,191,\ref
264,191,\Ga
265,191,\ref
266,191,\cite
267,191,\ref
268,192,\ref
269,192,\cite
270,193,\ref
271,194,\ref
272,197,\smallskip
273,202,\section
274,202,\label
275,204,\cite
276,206,defn
277,207,\emph
278,207,\simeq
279,207,\K
280,207,\times
281,211,\langle
282,211,\cdot
283,211,\cdot
284,211,\rangle
285,211,\times
286,211,\to
287,211,\Z
288,212,\langle
289,212,\cdot
290,212,\cdot
291,212,\rangle_
292,212,\Q
293,212,\Q
294,212,\times
295,212,\Q
296,212,\to
297,212,\Q
298,212,\Q
299,212,\otimes_
300,212,\Z
301,212,\Q
302,212,\Q
303,212,\otimes_
304,212,\Z
305,212,\Q
306,213,defn
307,214,\emph
308,214,\Q
309,215,enumerate
310,216,\item
311,216,\in
312,217,\item
313,217,\sigma_1
314,217,\sigma_2
315,217,\in
316,217,\sigma_1
317,217,\cap
318,217,\sigma_2
319,217,\sigma_1
320,217,\sigma_2
321,221,\Q
322,222,\cite
323,224,\smallskip
324,226,\cite
325,228,\Cl
326,229,\WDiv
327,229,\subseteq
328,229,\WDiv
329,229,\Cl
330,229,\emph
331,230,\bigoplus_
332,230,\in
333,230,\text
334,230,\in
335,230,\K
336,230,\times
337,230,\mid
338,230,\divisor
339,230,\geqslant0
340,230,\cup
341,231,\K
342,237,\overline
343,237,\Spec
344,237,\Spec
345,237,\K
346,237,\Cl
347,238,\widehat
348,238,\subseteq
349,238,\overline
350,238,\overline
351,238,\backslash
352,238,\widehat
353,238,\overline
354,239,\pi_X
355,239,\colon
356,239,\widehat
357,239,\rightarrow
358,239,\widehat
359,239,\widehat
360,239,\cite
361,241,CD
362,242,\widehat
363,242,\overline
364,242,\Spec
365,248,\cite
366,248,\K
367,248,\ldots
368,248,\rho_i
369,249,\Cl
370,249,\deg
371,250,\overline
372,250,\K
373,250,\overline
374,250,\setminus
375,250,\widehat
376,250,\K
377,251,\K
378,251,\overline
379,251,\mathbb
380,252,\Z
381,252,\mathbb
382,252,\Cl
383,255,\Cl
384,255,\Z
385,256,\in
386,256,\to
387,256,\K
388,257,\cite
389,257,\divisor
390,257,\sum_
391,257,\rho
392,257,\langle
393,257,\rho
394,257,\rangle
395,257,\rho
396,258,\longrightarrow
397,258,\Z
398,258,\mapsto
399,258,\langle
400,258,\rangle
401,258,\ldots
402,258,\langle
403,258,\rangle
404,258,\rho_1
405,258,\ldots
406,258,\rho_m
407,258,\rho_i
408,259,\cite
409,259,\S3
410,261,\longrightarrow
411,261,\longrightarrow
412,261,\Z
413,262,\longrightarrow
414,262,\Cl
415,262,\longrightarrow
