,Line num,Command
0,1,\documentclass
1,3,\usepackage
2,4,\usepackage
3,5,\usepackage
4,6,\usepackage
5,7,\usepackage
6,8,\usepackage
7,9,\usepackage
8,10,\usepackage
9,12,\hypersetup
10,19,\usepackage
11,20,\usetikzlibrary
12,22,\tikzstyle
13,23,\usepackage
14,24,\usepackage
15,25,\usepackage
16,26,\usepackage
17,28,\setlength
18,28,\textwidth
19,28,\paperwidth
20,29,\addtolength
21,29,\textwidth
22,30,\calclayout
23,32,\usetikzlibrary
24,33,\tikzstyle
25,35,\newcommand
26,35,\Pic
27,35,\operatorname
28,36,\newcommand
29,36,\ex
30,36,\operatorname
31,37,\newcommand
32,37,\id
33,37,\operatorname
34,38,\newcommand
35,38,\loc
36,38,\operatorname
37,39,\newcommand
38,39,\Div
39,39,\operatorname
40,40,\newcommand
41,40,\vdim
42,40,\operatorname
43,41,\newcommand
44,41,\ldim
45,41,\operatorname
46,42,\newcommand
47,42,\edim
48,42,\operatorname
49,43,\newcommand
50,43,\efdim
51,43,\operatorname
52,44,\newcommand
53,44,\codim
54,44,\operatorname
55,45,\newcommand
56,45,\fdim
57,45,\operatorname
58,46,\newcommand
59,46,\mult
60,46,\operatorname
61,47,\newcommand
62,47,\mdeg
63,47,\operatorname
64,48,\newcommand
65,48,\rank
66,48,\operatorname
67,49,\newcommand
68,49,\cols
69,49,\operatorname
70,50,\newcommand
71,50,\rows
72,50,\operatorname
73,51,\newcommand
74,51,\supp
75,51,\operatorname
76,52,\newcommand
77,52,\NSsplit
78,52,\operatorname
79,53,\newcommand
80,53,\diag
81,53,\operatorname
82,54,\newcommand
83,54,\std
84,54,\operatorname
85,55,\newcommand
86,55,\cat
87,55,\operatorname
88,56,\newcommand
89,56,\seep
90,56,\operatorname
91,57,\newcommand
92,57,\stdd
93,57,\operatorname
94,58,\newcommand
95,58,\TV
96,58,\operatorname
97,59,\newcommand
98,59,\tail
99,59,\operatorname
100,60,\newcommand
101,60,\Spec
102,60,\operatorname
103,61,\newcommand
104,61,\lin
105,61,\operatorname
106,62,\newcommand
107,62,\Hom
108,62,\operatorname
109,63,\newcommand
110,63,\pt
111,63,\operatorname
112,64,\newcommand
113,64,\Tr
114,64,\operatorname
115,65,\newcommand
116,65,\relint
117,65,\operatorname
118,66,\newcommand
119,66,\an
120,66,\operatorname
121,67,\newcommand
122,67,\alg
123,67,\operatorname
124,68,\newcommand
125,68,\et
126,68,\operatorname
127,69,\newcommand
128,69,\divv
129,69,\operatorname
130,70,\newcommand
131,70,\CDiv
132,70,\operatorname
133,71,\newcommand
134,71,\coker
135,71,\operatorname
136,72,\newcommand
137,72,\Pol
138,72,\operatorname
139,73,\newcommand
140,73,\CaDiv
141,73,\operatorname
142,74,\newcommand
143,74,\orb
144,74,\operatorname
145,75,\newcommand
146,75,\Con
147,75,\operatorname
148,76,\newcommand
149,76,\ddivv
150,76,\operatorname
151,77,\newcommand
152,77,\ord
153,77,\operatorname
154,78,\newcommand
155,78,\tai
156,78,\operatorname
157,79,\newcommand
158,79,\Cox
159,79,\operatorname
160,80,\newcommand
161,80,\triv
162,80,\operatorname
163,81,\newcommand
164,81,\lcm
165,81,\operatorname
166,82,\newcommand
167,82,\Chow
168,82,\operatorname
169,83,\newcommand
170,83,\Ch
171,83,\operatorname
172,84,\newcommand
173,84,\vol
174,84,\operatorname
175,85,\newcommand
176,85,\Ii
177,85,\mathcal
178,87,\newcommand
179,87,\mcp
180,87,\mathcal
181,88,\newcommand
182,88,\ccc
183,88,\mathcal
184,89,\newcommand
185,89,\mci
186,89,\mathcal
187,90,\newcommand
188,90,\pp
189,90,\mathbb
190,91,\newcommand
191,91,\pn
192,91,\mathbb
193,92,\renewcommand
194,92,\qq
195,92,\mathbb
196,93,\newcommand
197,93,\zz
198,93,\mathbb
199,94,\newcommand
200,94,\nn
201,94,\mathbb
202,95,\newcommand
203,95,\rr
204,95,\mathbb
205,96,\newcommand
206,96,\cc
207,96,\mathbb
208,97,\newcommand
209,97,\kk
210,97,\mathbb
211,98,\newcommand
212,98,\ls
213,98,\mathcal
214,100,\def
215,100,\O
216,100,\mathcal
217,101,\def
218,101,\pr
219,101,\mathbb
220,102,\def
221,102,\af
222,102,\mathbb
223,103,\def
224,103,\ses
225,103,\to
226,103,\to
227,103,\to
228,103,\to
229,104,\def
230,104,\xrar
231,104,\xrightarrow
232,105,\def
233,105,\K
234,106,\def
235,106,\bA
236,106,\mathbf
237,107,\def
238,107,\bM
239,107,\mathbf
240,108,\def
241,108,\bL
242,108,\mathbf
243,109,\def
244,109,\bB
245,109,\mathbf
246,110,\def
247,110,\bK
248,110,\mathbf
249,111,\def
250,111,\subs
251,112,\def
252,112,\sups
253,114,\DeclareMathOperator
254,114,\coeff
255,116,\DeclareMathOperator
256,116,\Supp
257,118,\DeclareMathOperator
258,118,\mld
259,119,\DeclareMathOperator
260,119,\gmld
261,120,\DeclareMathOperator
262,120,\lct
263,121,\DeclareMathOperator
264,121,\glct
265,122,\DeclareMathOperator
266,122,\elct
267,123,\DeclareMathOperator
268,123,\eglct
269,126,\newcommand
270,126,\rar
271,126,\rightarrow
272,127,\newcommand
273,127,\drar
274,127,\dashrightarrow
275,129,\usepackage
276,130,\usetikzlibrary
277,133,\newtheorem
278,134,\newtheorem
279,136,\newtheorem
280,137,\newtheorem
281,138,\newtheorem
282,139,\newtheorem
283,140,\newtheorem
284,141,\newtheorem
285,142,\newtheorem
286,143,\newtheorem
287,144,\newtheorem
288,145,\newtheorem
289,146,\newtheorem
290,147,\newtheorem
291,148,\newtheorem
292,151,\newtheorem
293,152,\newtheorem
294,153,\newtheorem
295,154,\newtheorem
296,155,\newtheorem
297,156,\newtheorem
298,157,\newtheorem
299,158,\newtheorem
300,159,\newtheorem
301,161,\newtheorem
302,163,\theoremstyle
303,164,\newtheorem
304,166,\numberwithin
305,168,\newcommand
306,168,\ant
307,168,\todo
308,171,document
309,173,\title
310,175,\author
311,176,\address
312,178,\email
313,180,\subjclass
314,182,\maketitle
315,184,abstract
316,192,\mathbb
317,199,\setcounter
318,200,\tableofcontents
319,202,\section
320,212,\cites
321,215,\cite
322,216,\cites
323,217,\cites
324,218,\cite
325,220,\cites
326,228,\cite
327,233,\ref
328,234,\cite
329,235,\in
330,235,\zz_N
331,235,\leqslant
332,235,\pi_1
333,235,\rm
334,242,\cite
335,246,introthm
336,249,\in
337,250,\zz
338,250,\leqslant
339,250,\pi_1
340,250,\rm
341,250,\geq
342,252,\in
343,258,\cite
344,260,\ref
345,261,\zz
346,262,\ref
347,263,\ref
348,264,\ref
349,265,\ref
350,265,\ref
351,266,\cites
352,268,introrem
353,271,\cite
354,272,\cite
355,273,\cite
356,273,\cite
357,279,\subsection
358,282,introthm
359,287,\simeq
360,287,\zz_k
361,287,\leqslant
362,287,\rm
363,287,\geq
364,289,enumerate
365,290,\item
366,291,\item
367,292,\dashrightarrow
368,295,enumerate
369,296,\item
370,296,\sim
371,297,\item
372,298,\item
373,299,\item
374,300,\mathbb
375,300,\leqslant
376,300,\rm
377,304,\dashrightarrow
378,304,\mathbb
379,307,\ref
380,307,\cites
381,308,\cite
382,309,\cites
383,310,\cite
384,311,\ref
385,312,\ref
386,313,\ref
387,315,introdef
388,317,\pp
389,317,\dots
390,318,\ref
391,319,\em
392,320,\em
393,321,\em
394,323,\em
395,323,\em
396,327,introcor
397,332,\em
398,332,\simeq
399,332,\zz
400,333,\ref
401,340,introcor
