,Line num,Command,Notes
0,1,\RequirePackage,ifpdf
1,2,\ifpdf,N/A
2,3,\documentclass,arxsigma
3,4,\else,N/A
4,5,\documentclass,arxsigma
5,6,\fi,N/A
6,7,\usepackage,hyperref
7,8,document,Environment
8,9,\renewcommand,N/A
9,9,\PaperNumber,N/A
10,10,\FirstPageHeading,N/A
11,11,\ShortArticleName,Computing regular meromorphic differential forms
12,12,\ArticleName,Computing regular meromorphic differential forms \\ via Saito's logarithmic residues
13,13,\Author,Shinichi Tajima~  and Katsusuke Nabeshima~ 
14,14,\AuthorNameForHeading,S.~Tajima and K.~Nabeshima
15,15,\Address," ~Graduate School of Science and Technology, Niigata University, \\ 8050, Ikarashi 2-no-cho, \\ Nishi-ku Niigata, Japan "
16,16,\EmailD,N/A
17,16,\href,N/A
18,17,\Address," ~Graduate School of Technology, Industrial and Social Sciences, Tokushima University, \\ 2-1, Minamijosanjima-cho, Tokushima, Japan"
19,18,\EmailD,N/A
20,18,\href,N/A
21,19,\Abstract,N/A
22,21,\Keywords,logarithmic vector field; logarithmic residue; torsion module
23,22,\Classification,32S05; 32A27
24,23,flushright,Environment
25,25,\section,Introduction
26,27,\cite,N/A
27,27,\cite,N/A
28,27,\cite,N/A
29,27,\cite,N/A
30,30,\cite,A
31,31,\cite,N/A
32,31,\cite,N/A
33,32,\cite,"AT,Bru,CM1,CM2,GS,P"
34,33,\cite,TN20
35,34,\cite,N/A
36,34,\cite,N/A
37,35,\section,Logarithmic differential forms and residues
38,37,\cite,S
39,41,\subsection,Logarithmic residues
40,44,definition,Environment
41,46,enumerate,Environment
42,47,\item,N/A
43,48,\item,N/A
44,49,\item,N/A
45,52,enumerate,Environment
46,53,\item,\mathbb C
47,53,\dim_,\mathbb C
48,53,\mathbb,\mathbb C
49,53,\cap,\mathbb C
50,54,\in,N/A
51,54,\mid,N/A
52,54,\leq,N/A
53,55,\item,N/A
54,57,\item,N/A
55,60,\cite,S
56,63,equation,Environment
57,64,\Omega_,N/A
58,64,\Omega_,N/A
59,64,\Omega_X,N/A
60,64,\wedge,N/A
61,64,\Omega_,N/A
62,66,definition,Environment
63,74,equation,Environment
64,76,\cite,S
65,78,\subsection,Barlet sheaf and torsion differential forms
66,79,\cite,B
67,82,definition,Environment
68,85,equation,Environment
69,86,\omega_S,N/A
70,86,\rm,N/A
71,86,\mathcal,N/A
72,86,\Omega_S,N/A
73,86,\omega_S,N/A
74,89,\cite,A
75,90,theorem,Environment
76,92,equation,Environment
77,95,\cite,N/A
78,95,\cite,N/A
79,96,example,Environment
80,98,equation,Environment
81,99,\Omega_,N/A
82,99,\log,N/A
83,99,\cong,N/A
84,99,\mathcal,N/A
85,99,\left,N/A
86,99,\frac,N/A
87,99,\frac,N/A
88,99,\beta,N/A
89,99,\right,N/A
90,99,\Omega_,N/A
91,99,\log,N/A
92,99,\cong,N/A
93,99,\mathcal,N/A
94,99,\left,N/A
95,99,\frac,N/A
96,99,\wedge,N/A
97,99,\right,N/A
98,102,\cite,"M, Z"
99,105,\cite,A88
100,106,theorem,Environment
101,108,equation,Environment
102,109,\longrightarrow,N/A
103,109,\frac,N/A
104,109,\wedge,N/A
105,109,\Omega_,N/A
106,109,\Omega_,N/A
107,109,\longrightarrow,N/A
108,110,\Omega_,N/A
109,110,\log,N/A
110,110,\stackrel,N/A
111,110,\cdot,N/A
112,110,\longrightarrow,N/A
113,110,\rm,N/A
114,110,\Omega_,N/A
115,110,\longrightarrow,N/A
116,116,\subsection,Vanishing theorem
117,117,\cite,G
118,118,theorem,Environment
119,122,enumerate,Environment
120,123,\item,N/A
121,125,\item,N/A
122,127,\item,N/A
123,130,equation,Environment
124,131,\tau,N/A
125,131,\dim_,N/A
126,131,\mathbb,N/A
127,131,\left,N/A
128,131,\mathcal,N/A
129,131,\left,N/A
130,131,\frac,N/A
131,131,\partial,N/A
132,131,\partial,N/A
133,131,\frac,N/A
134,131,\partial,N/A
135,131,\partial,N/A
136,131,\ldots,N/A
137,131,\frac,N/A
138,131,\partial,N/A
139,131,\partial,N/A
140,131,\right,N/A
141,131,\right,N/A
142,134,\frac,N/A
143,134,\partial,N/A
144,134,\partial,N/A
145,134,\frac,N/A
146,134,\partial,N/A
147,134,\partial,N/A
148,134,\ldots,N/A
149,135,\frac,N/A
150,135,\partial,N/A
151,135,\partial,N/A
152,139,\cite,N/A
153,139,\cite,N/A
154,141,\cite,G
155,144,enumerate,Environment
156,145,\item,N/A
157,145,\Omega_,N/A
158,145,\log,N/A
159,145,\frac,N/A
160,145,\wedge,N/A
161,145,\Omega_,N/A
162,145,\Omega_,N/A
163,146,\ldots,N/A
164,147,\item,N/A
165,148,\longrightarrow,N/A
166,148,\frac,N/A
167,148,\wedge,N/A
168,148,\Omega_,N/A
169,149,\Omega_,N/A
170,149,\longrightarrow,N/A
171,150,\Omega_,N/A
172,150,\log,N/A
173,150,\stackrel,N/A
174,150,\cdot,N/A
175,150,\longrightarrow,N/A
176,150,\rm,N/A
177,150,\Omega_,N/A
178,150,\longrightarrow,N/A
179,153,proposition,Environment
180,158,proof,Environment
181,162,\section,Description via logarithmic residues
182,163,\cite,TN20
183,166,\subsection,Logarithmic vector fields
184,171,\cite,S
185,174,proposition,Environment
186,176,equation,Environment
187,177,\Omega_,N/A
188,177,\log,N/A
189,177,\left,N/A
190,177,\frac,N/A
191,177,\omega_X,N/A
192,177,\middle,N/A
193,177,\in,N/A
194,177,\mathcal,N/A
195,177,\log,N/A
196,177,\right,N/A
197,181,proof,Environment
198,188,equation,Environment
199,189,\frac,N/A
200,189,\partial,N/A
201,189,\partial,N/A
202,189,\ldots,N/A
203,189,\frac,N/A
204,189,\partial,N/A
