,line num,Command
0,1,\DeclareSymbolFont
1,2,\documentclass
2,3,\usepackage
3,4,\usepackage
4,5,\usepackage
5,6,\usepackage
6,7,\usepackage
7,8,\usepackage
8,10,\usepackage
9,11,\usepackage
10,12,\usepackage
11,13,\usepackage
12,14,\usepackage
13,15,\usepackage
14,16,\usepackage
15,17,\usepackage
16,18,\usepackage
17,19,\usepackage
18,21,\numberwithin
19,22,\setcounter
20,23,\usepackage
21,24,\usepackage
22,26,\newtheorem
23,27,\newtheorem
24,28,\newtheorem
25,29,\newtheorem
26,30,\newtheorem
27,31,\newtheorem
28,32,\newtheorem
29,33,\newtheorem
30,34,\newtheorem
31,35,\newtheorem
32,37,\theoremstyle
33,38,\newtheorem
34,39,\newtheorem
35,40,\newtheorem
36,42,\theoremstyle
37,43,\newtheorem
38,44,\newtheorem
39,47,\newcommand
40,47,\bA
41,47,\mathbb
42,48,\newcommand
43,48,\bB
44,48,\mathbb
45,49,\newcommand
46,49,\bC
47,49,\mathbb
48,50,\newcommand
49,50,\bD
50,50,\mathbb
51,51,\newcommand
52,51,\bG
53,51,\mathbb
54,52,\newcommand
55,52,\bL
56,52,\mathbb
57,53,\newcommand
58,53,\bP
59,53,\mathbb
60,54,\newcommand
61,54,\bQ
62,54,\mathbb
63,55,\newcommand
64,55,\bR
65,55,\mathbb
66,56,\newcommand
67,56,\bZ
68,56,\mathbb
69,58,\newcommand
70,58,\cA
71,58,\mathcal
72,59,\newcommand
73,59,\cB
74,59,\mathcal
75,60,\newcommand
76,60,\cD
77,60,\mathcal
78,61,\newcommand
79,61,\cE
80,61,\mathcal
81,62,\newcommand
82,62,\cF
83,62,\mathcal
84,63,\newcommand
85,63,\cG
86,63,\mathcal
87,64,\newcommand
88,64,\cL
89,64,\mathcal
90,65,\newcommand
91,65,\cP
92,65,\mathcal
93,66,\newcommand
94,66,\cQ
95,66,\mathcal
96,67,\newcommand
97,67,\cT
98,67,\mathcal
99,68,\newcommand
100,68,\cV
101,68,\mathcal
102,69,\newcommand
103,69,\cX
104,69,\mathcal
105,70,\newcommand
106,70,\cY
107,70,\mathcal
108,71,\newcommand
109,71,\cW
110,71,\mathcal
111,73,\newcommand
112,73,\sA
113,73,\mathscr
114,74,\newcommand
115,74,\sB
116,74,\mathscr
117,75,\newcommand
118,75,\sC
119,75,\mathscr
120,76,\newcommand
121,76,\sD
122,76,\mathscr
123,77,\newcommand
124,77,\sE
125,77,\mathscr
126,78,\newcommand
127,78,\sF
128,78,\mathscr
129,79,\newcommand
130,79,\sG
131,79,\mathscr
132,80,\newcommand
133,80,\sH
134,80,\mathscr
135,81,\newcommand
