,Line num,Command,Notes
0,1,\documentclass,amsart
1,2,\usepackage,inputenc
2,3,\usepackage,babel
3,4,\usepackage,amssymb
4,5,\usepackage,amsmath
5,6,\usepackage,"amsmath,amscd"
6,7,\usepackage,amsthm
7,8,\usepackage,enumerate
8,9,\usepackage,cite
9,10,\usepackage,xcolor
10,11,\usepackage,listings
11,12,\usepackage,algorithm
12,13,\makeindex,N/A
13,14,\newcommand,\C -> \mathbb{C}
14,15,\newcommand,\Z -> \mathbb{Z}
15,16,\newcommand,\Pj -> \mathbb{P}
16,17,\newcommand,\R -> \mathbb{R}
17,18,\newcommand,\N -> \mathbb{N}
18,19,\newcommand,\F -> \mathbb{F}
19,20,\newcommand,\Oc -> \mathcal{O}
20,21,\newcommand,\Lc -> \mathcal{L}
21,22,\newcommand,\G -> \mathbb{G}
22,23,\newcommand,\tensor -> \mathfrak{#1}
23,24,\newcommand,\Var -> \mathcal{#1}
24,25,\newcommand,\vect -> \mathbf{#1}
25,26,\newcommand,\sten -> \vect{#1}_{#2}^{#3}
26,27,\newcommand,\Sec -> \sigma_{#1}({#2})
27,28,\newcommand,\Tang -> \mathrm{T}_{#1 -> #2}
28,29,\newcommand,\Norm -> \mathrm{N}_{#1 -> #2}
29,30,\newcommand,\Plane -> \mathrm{#1}
30,31,\newcommand,\rank -> \operatorname{rank}
31,32,\newcommand,\imm -> \operatorname{im}
32,33,\newtheorem,N/A
33,34,\newtheorem,N/A
34,35,\newtheorem,N/A
35,36,\newtheorem,N/A
36,37,\newtheorem,N/A
37,38,\theoremstyle,definition
38,39,\newtheorem,N/A
39,40,\newtheorem,N/A
40,41,\newtheorem,N/A
41,42,\newtheorem,N/A
42,43,\newtheorem,N/A
43,44,\def,\smash{ \mathop{\longrightarrow
44,44,\rig,\smash{ \mathop{\longrightarrow
45,44,\smash,\smash{ \mathop{\longrightarrow
46,44,\mathop,\smash{ \mathop{\longrightarrow
47,44,\longrightarrow,\smash{ \mathop{\longrightarrow
48,45,\limits,#1
49,46,\def,N/A
50,46,\nwar,N/A
51,46,\nwarrow,N/A
52,47,\rlap,$\vcenter{\hbox{$\scriptstyle#1$
53,47,\vcenter,$\vcenter{\hbox{$\scriptstyle#1$
54,47,\hbox,$\vcenter{\hbox{$\scriptstyle#1$
55,47,\scriptstyle,$\vcenter{\hbox{$\scriptstyle#1$
56,48,\def,N/A
57,48,\near,N/A
58,48,\nearrow,N/A
59,49,\rlap,$\vcenter{\hbox{$\scriptstyle#1$
60,49,\vcenter,$\vcenter{\hbox{$\scriptstyle#1$
61,49,\hbox,$\vcenter{\hbox{$\scriptstyle#1$
62,49,\scriptstyle,$\vcenter{\hbox{$\scriptstyle#1$
63,50,\def,N/A
64,50,\sear,N/A
65,50,\searrow,N/A
66,51,\rlap,$\vcenter{\hbox{$\scriptstyle#1$
67,51,\vcenter,$\vcenter{\hbox{$\scriptstyle#1$
68,51,\hbox,$\vcenter{\hbox{$\scriptstyle#1$
69,51,\scriptstyle,$\vcenter{\hbox{$\scriptstyle#1$
70,52,\def,N/A
71,52,\swar,N/A
72,52,\swarrow,N/A
73,53,\rlap,$\vcenter{\hbox{$\scriptstyle#1$
74,53,\vcenter,$\vcenter{\hbox{$\scriptstyle#1$
75,53,\hbox,$\vcenter{\hbox{$\scriptstyle#1$
76,53,\scriptstyle,$\vcenter{\hbox{$\scriptstyle#1$
77,54,\def,N/A
78,54,\dow,N/A
79,54,\Big,N/A
80,54,\downarrow,N/A
81,55,\rlap,$\vcenter{\hbox{$\scriptstyle#1$
82,55,\vcenter,$\vcenter{\hbox{$\scriptstyle#1$
83,55,\hbox,$\vcenter{\hbox{$\scriptstyle#1$
84,55,\scriptstyle,$\vcenter{\hbox{$\scriptstyle#1$
85,56,\def,N/A
86,56,\up,N/A
87,56,\Big,N/A
88,56,\uparrow,N/A
