,Line num,Command
0,1,\documentclass
1,2,\usepackage
2,5,\usepackage
3,8,\usepackage
4,9,\usepackage
5,10,\usepackage
6,11,\usepackage
7,12,\usepackage
8,13,\usepackage
9,15,\usepackage
10,16,\usepackage
11,17,\usepackage
12,26,\newtheoremstyle
13,27,\theoremstyle
14,28,\newtheorem
15,32,\newcommand
16,32,\C
17,32,\mathbb
18,33,\newcommand
19,33,\Z
20,33,\mathbb
21,34,\newcommand
22,34,\Pj
23,34,\mathbb
24,35,\newcommand
25,35,\R
26,35,\mathbb
27,36,\newcommand
28,36,\N
29,36,\mathbb
30,37,\newcommand
31,37,\F
32,37,\mathbb
33,38,\newcommand
34,38,\Oc
35,38,\mathcal
36,39,\newcommand
37,39,\Lc
38,39,\mathcal
39,40,\newcommand
40,40,\G
41,40,\mathbb
42,41,\newcommand
43,41,\V
44,41,\mathbb
45,42,\newcommand
46,42,\I
47,42,\mathbb
48,43,\newcommand
49,43,\K
50,43,\mathbb
51,45,\newtheorem
52,46,\newtheorem
53,47,\newtheorem
54,48,\newtheorem
55,49,\theoremstyle
56,50,\newtheorem
57,51,\newtheorem
58,52,\newtheorem
59,53,\newtheorem
60,54,\newtheorem
61,55,\newtheorem
62,57,\newcommand
63,57,\codim
64,57,\operatorname
65,58,\newcommand
66,58,\rank
67,58,\operatorname
68,59,\newcommand
69,59,\imm
70,59,\operatorname
71,61,\usepackage
72,63,\newcommand
73,63,\andrea
74,63,\color
75,64,\newcommand
76,64,\correggere
77,64,\color
78,72,document
79,74,\title
80,75,\date
81,77,\author
82,86,\maketitle
83,87,abstract
84,89,\cite
85,91,\emph
86,91,\and
87,91,\and
88,91,\and
89,95,\section
90,96,\label
91,99,\cite
92,101,\cite
93,104,\cite
94,104,\cite
95,104,\cite
96,105,\cite
97,107,\emph
98,109,\cite
99,109,\emph
100,110,\ref
101,112,\emph
102,120,\emph
103,123,\cite
104,124,\cite
105,124,\cite
106,130,\times
107,130,\dots
108,130,\times
109,131,\Pj
110,132,\ref
111,138,\cite
112,138,\cite
113,138,\cite
114,138,\cite
115,141,\section
116,142,\label
117,144,\smallskip
118,148,\in
119,148,\Pj
120,148,\C
121,148,\emph
122,149,\dots
123,155,\Pj
124,155,\Pj
125,155,\C
