,line num,Command
0,1,\documentclass
1,2,\usepackage
2,3,\usepackage
3,4,\documentclass
4,5,\usepackage
5,6,\documentclass
6,8,\usepackage
7,9,\usepackage
8,10,\usepackage
9,11,\usepackage
10,12,\usepackage
11,13,\usepackage
12,14,\usepackage
13,15,\usepackage
14,16,\usepackage
15,17,\usepackage
16,18,\usepackage
17,19,\usepackage
18,20,\usepackage
19,21,\usepackage
20,24,\usepackage
21,26,\newtheoremstyle
22,27,\theoremstyle
23,28,\newtheorem
24,32,\newcommand
25,32,\C
26,32,\mathbb
27,33,\newcommand
28,33,\Z
29,33,\mathbb
30,34,\newcommand
31,34,\Pj
32,34,\mathbb
33,35,\newcommand
34,35,\R
35,35,\mathbb
36,36,\newcommand
37,36,\N
38,36,\mathbb
39,37,\newcommand
40,37,\F
41,37,\mathbb
42,38,\newcommand
43,38,\Oc
44,38,\mathcal
45,39,\newcommand
46,39,\Lc
47,39,\mathcal
48,40,\newcommand
49,40,\G
50,40,\mathbb
51,41,\newcommand
52,41,\V
53,41,\mathbb
54,42,\newcommand
55,42,\I
56,42,\mathbb
57,43,\newcommand
58,43,\K
59,43,\mathbb
60,45,\newtheorem
61,46,\newtheorem
62,47,\newtheorem
63,48,\newtheorem
64,49,\theoremstyle
65,50,\newtheorem
66,51,\newtheorem
67,52,\newtheorem
68,53,\newtheorem
69,54,\newtheorem
70,55,\newtheorem
71,57,\newcommand
72,57,\codim
73,57,\operatorname
74,58,\newcommand
75,58,\rank
76,58,\operatorname
77,59,\newcommand
78,59,\imm
79,59,\operatorname
80,61,\usepackage
81,63,\newcommand
82,63,\andrea
83,63,\color
84,64,\newcommand
85,64,\correggere
86,64,\color
87,65,\newtheorem
88,66,\newtheorem
89,66,\namedthmname
90,67,\newenvironment
91,68,namedthmname
92,72,document
93,74,\title
94,75,\date
95,77,\author
96,80,\institute
97,80,\at
98,82,\email
99,86,\maketitle
100,87,abstract
101,89,\cite
102,91,\emph
103,91,\and
104,91,\and
105,91,\and
106,95,\section
107,96,\label
108,99,\cite
109,101,\cite
110,104,\cite
111,104,\cite
112,104,\cite
113,105,\cite
114,107,\emph
115,109,\cite
116,109,\emph
117,110,\ref
118,112,\emph
119,120,\emph
120,123,\cite
121,124,\cite
122,124,\cite
