,line num,Command
0,1,\documentclass
1,2,\usepackage
2,3,\usepackage
3,4,\parindent
4,5,\parskip1ex
5,6,\usepackage
6,7,\usepackage
7,8,\usepackage
8,9,\usepackage
9,10,\usepackage
10,11,\usepackage
11,12,\usepackage
12,13,\usepackage
13,15,\usepackage
14,16,\usepackage
15,18,\usepackage
16,19,\usepackage
17,21,\usepackage
18,22,\showlabels
19,23,\renewcommand
20,23,\showlabelfont
21,23,\scriptsize
22,23,\ttfamily
23,23,\color
24,26,\usepackage
25,29,\usepackage
26,30,\newcommand
27,30,\annette
28,30,\color
29,34,\newtheorem
30,35,\newtheorem
31,36,\newtheorem
32,37,\newtheorem
33,38,\newtheorem
34,39,\newtheorem
35,40,\newtheorem
36,45,\theoremstyle
37,46,\newtheorem
38,47,\newtheorem
39,49,\newtheorem
40,51,\newtheorem
41,54,\newtheorem
42,55,\newtheorem
43,60,\newcommand
44,60,\Mor
45,60,\mathrm
46,61,\newcommand
47,61,\Vect
48,61,\mathrm
49,62,\newcommand
50,62,\End
51,62,\mathrm
52,63,\newcommand
53,63,\Hom
54,63,\mathrm
55,64,\newcommand
56,64,\Ext
57,64,\mathrm
58,65,\newcommand
59,65,\Tor
60,65,\mathrm
61,66,\newcommand
62,66,\Aut
63,66,\mathrm
64,67,\newcommand
65,67,\Iso
66,67,\mathrm
67,68,\newcommand
68,68,\Spec
69,68,\mathrm
70,69,\newcommand
71,69,\MM
72,69,\mathcal
73,70,\newcommand
74,70,\MMN
75,70,\mathcal
76,70,\rm
77,71,\newcommand
78,71,\MMSA
79,71,\mathcal
80,71,\SA
81,74,\newcommand
82,74,\Ah
83,74,\mathcal
84,75,\newcommand
85,75,\Ch
86,75,\mathcal
87,76,\newcommand
88,76,\Xh
89,76,\mathcal
90,77,\newcommand
91,77,\Xtilde
92,77,\tilde
93,78,\newcommand
94,78,\Yh
95,78,\mathcal
96,79,\newcommand
97,79,\Ytilde
98,79,\tilde
99,80,\newcommand
100,80,\Zh
101,80,\mathcal
102,81,\newcommand
103,81,\isom
104,81,\cong
105,82,\newcommand
106,82,\id
107,82,\mathrm
108,83,\newcommand
109,83,\ohne
110,83,\smallsetminus
111,84,\newcommand
112,84,\tensor
113,84,\otimes
114,85,\newcommand
