,Line num,Command,Notes
0,1,\documentclass,amsart
1,2,\usepackage,babel
2,3,\usepackage,microtype
3,4,\usepackage,amsmath
4,5,\usepackage,amscd
5,6,\usepackage,amssymb
6,7,\usepackage,amsthm
7,8,\usepackage,xcolor
8,9,\usepackage,xy
9,10,\usepackage,verbatim
10,11,\usepackage,tikz
11,12,\usepackage,tikz-cd
12,13,\usepackage,hyperref
13,14,\usepackage,cleveref
14,15,\newtheorem,N/A
15,16,\newtheorem,N/A
16,17,\newtheorem,N/A
17,18,\newtheorem,N/A
18,19,\newtheorem,N/A
19,20,\newtheorem,N/A
20,21,\newtheorem,N/A
21,22,\theoremstyle,definition
22,23,\newtheorem,N/A
23,24,\newtheorem,N/A
24,25,\newtheorem,N/A
25,26,\newtheorem,N/A
26,27,\newtheorem,N/A
27,28,\newtheorem,N/A
28,29,\newcommand,\Mor -> \mathrm{Mor}
29,30,\newcommand,\Vect -> \mathrm{-Vect}
30,31,\newcommand,\End -> \mathrm{End}
31,32,\newcommand,\Hom -> \mathrm{Hom}
32,33,\newcommand,\Ext -> \mathrm{Ext}
33,34,\newcommand,\Spec -> \mathrm{Spec}
34,35,\newcommand,\MM -> \mathcal{MM}
35,36,\newcommand,\MMN -> \mathcal{MM}_{\rm Nori}
36,37,\newcommand,\MMSA -> \mathcal{MM}_{\SA}
37,38,\newcommand,\Ah -> \mathcal{A}
38,39,\newcommand,\Ch -> \mathcal{C}
39,40,\newcommand,\Xh -> \mathcal{X}
40,41,\newcommand,\Xtilde -> \tilde{X}
41,42,\newcommand,\Yh -> \mathcal{Y}
42,43,\newcommand,\Ytilde -> \tilde{Y}
43,44,\newcommand,\Zh -> \mathcal{Z}
44,45,\newcommand,\isom -> \cong
45,46,\newcommand,\id -> \mathrm{id}
46,47,\newcommand,\ohne -> \smallsetminus
47,48,\newcommand,\tensor -> \otimes
48,49,\newcommand,\cone -> \mathrm{Cone}
49,50,\newcommand,\tot -> \mathrm{Tot}
50,51,\newcommand,\coker -> \mathrm{Coker}
51,52,\renewcommand,N/A
52,52,\ker,N/A
53,52,\mathrm,N/A
54,53,\newcommand,\Ind -> \mathrm{Ind}
55,54,\newcommand,\eff -> \mathrm{eff}
56,55,\newcommand,\kmod -> k\mathrm{-mod}
57,56,\newcommand,\Qmod -> \Q\mathrm{-mod}
58,57,\newcommand,\Sm -> \mathrm{Sm}
59,58,\newcommand,\SmAff -> \mathrm{SmAff}
60,59,\newcommand,\SmProj -> \mathrm{SmProj}
61,60,\newcommand,\dR -> \mathrm{dR}
62,61,\newcommand,\hodge -> \ul{H}_{\mathcal{H}}
63,62,\newcommand,\sa -> \mathrm{sa}
64,63,\newcommand,\sk -> \mathrm{sk}
65,64,\newcommand,"\VV -> (k,\Q)\Vect"
66,65,\newcommand,"\VValg -> (\Qbar,\Q)\Vect"
67,66,\newcommand,\MMNeff -> \mathcal{MM}_\mathrm{Nori}^\eff
68,67,\newcommand,\sing -> \mathrm{sing}
69,68,\newcommand,\Hsing -> H^\sing
70,69,\newcommand,\Hsingtilde -> \tilde{H}^\sing
71,70,\newcommand,\pairs -> \mathrm{Pairs}
72,71,\newcommand,\SA -> \mathsf{SA}
73,72,\newcommand,\GSA -> \mathsf{GSA}
74,73,\newcommand,\Simp -> \mathsf{Simp}
75,74,\newcommand,\pairseff -> \pairs^\eff
76,75,\newcommand,\good -> \mathrm{Good}
77,76,\newcommand,\goodeff -> \good^\eff
78,77,\newcommand,\Q -> \mathbb{Q}
79,78,\newcommand,\Qbar -> {\overline{\Q}}
80,79,\newcommand,\Qtilde -> {\widetilde{\Q}}
81,80,\newcommand,\Z -> \mathbb{Z}
82,81,\newcommand,\R -> \mathbb{R}
83,82,\newcommand,\C -> \mathbb{C}
84,83,\newcommand,\Pe -> \mathbb{P}
85,84,\newcommand,\A -> \mathbb{A}
86,85,\newcommand,\Na -> \mathbb{N}
87,86,\newcommand,\fT -> \mathfrak{T}
88,87,\newcommand,\ul -> \underline{#1}
89,88,document,Environment
90,89,\title,Semi-algebraic motives
91,90,\author,Annette Huber
92,91,\date,\today
93,91,\today,\today
94,92,\address,"Annette Huber, Math. Institut, Universit\""at Freiburg, Ernst-Zermelo-Str.~1, 79104 Freiburg, Germany"
95,93,\email,annette.huber@math.uni-freiburg.de
96,94,abstract,Environment
97,98,\maketitle,N/A
98,99,\section,Introduction
99,100,\cite,N/A
100,100,\cite,N/A
101,101,\cite,N/A
102,101,\cite,N/A
103,102,\cite,"expperI, expPerII"
104,103,\cite,fresan-jossen
105,106,\ref,sec:generalisations
106,108,\section,Construction
107,114,defn,Environment
108,117,itemize,Environment
109,118,\item,N/A
110,120,\item,N/A
111,125,\cite,period-buch
112,126,defn,Environment
113,129,\cite,period-buch
114,130,\section,Alternative descriptions
115,132,\cite,D:oMin
116,134,\emph,open  -simplex
117,135,multline,Environment
118,136,\ldots, \sum_{i=0
119,136,\left, \sum_{i=0
120,136,\sum_, \sum_{i=0
121,136,\lambda_i, \sum_{i=0
122,136,\in, \sum_{i=0
123,136,\R, \sum_{i=0
124,137,\text,N/A
125,138,\lambda_0,N/A
126,138,\cdots,N/A
127,138,\lambda_n,N/A
128,139,\right,N/A
129,141,\emph,closed  -simplex
130,144,\emph,complex
131,149,\emph,polyhedron
132,151,\bigcup_,\sigma \in K
133,151,\in,\sigma \in K
134,154,\emph,closed complex
135,158,\emph,semi-algebraic triangulation
136,163,\cite,N/A
137,163,\cite,N/A
138,164,defn,Environment
139,168,itemize,Environment
140,169,\item,N/A
141,170,\footnote,\emph{sic
142,170,\emph,\emph{sic
143,171,\item,N/A
144,179,lemma,Environment
145,185,proof,Environment
146,188,\cite,N/A
147,188,\v,N/A
148,202,equation,Environment
149,203,\to,N/A
150,203,\Hsingtilde_d,N/A
151,203,\to,N/A
152,203,\Hsingtilde_,N/A
153,203,\to,N/A
154,203,\dots,N/A
155,203,\to,N/A
156,203,\Hsingtilde_1,N/A
157,203,\to,N/A
158,203,\Hsingtilde,N/A
159,203,\to,N/A
160,238,\cite,expperI
161,244,prop,Environment
162,248,proof,Environment
163,255,\section,Tensor product and comparison with Nori motives
164,256,\cite,period-buch
165,257,\cite,BHP
166,258,prop,Environment
167,262,\cite,period-buch
168,271,rem,Environment
169,275,prop,Environment
170,278,proof,Environment
171,285,\section,The main result
172,286,lemma,Environment
173,289,proof,Environment
174,290,\ref,N/A
175,290,\cite,N/A
176,294,thm,Environment
177,298,proof,Environment
178,308,align,Environment
179,309,\Hsingtilde_,N/A
180,309,\partial,N/A
181,309,\Delta_,N/A
182,309,\partial,N/A
183,309,\Delta_n,N/A
184,309,\isom,N/A
185,310,\Hsingtilde_n,N/A
186,310,\Delta_n,N/A
187,310,\partial,N/A
188,310,\Delta_n,N/A
189,310,\oplus,N/A
190,310,\Hsingtilde_n,N/A
191,310,\partial,N/A
192,310,\Delta_n,N/A
193,310,\isom,N/A
194,310,\Hsingtilde_n,N/A
195,310,\Delta_n,N/A
196,310,\partial,N/A
197,310,\Delta_n,N/A
198,325,cor,Environment
199,327,\section,Consequences
200,329,thm,Environment
201,334,proof,Environment
202,336,align,Environment
203,344,rem,Environment
204,349,thm,Environment
205,353,proof,Environment
206,357,\section,N/A
207,357,\label,N/A
208,358,rem,Environment
209,361,rem,Environment
210,365,\cite,DK-homology
211,372,rem,Environment
212,375,\cite,D:oMin
213,378,rem,Environment
214,381,\cite,omingaga
215,383,\bibliographystyle,alpha
216,384,\bibliography,periods
