,Line num,Command
0,1,\documentclass
1,2,\usepackage
2,3,\usepackage
3,4,\usepackage
4,5,\usepackage
5,9,\usepackage
6,10,\usepackage
7,13,\setlength
8,13,\textwidth
9,13,\setlength
10,13,\textheight
11,14,\addtolength
12,14,\oddsidemargin
13,14,\addtolength
14,14,\evensidemargin
15,20,\newcommand
16,20,\pphi
17,20,\partial_
18,20,\xi
19,20,\hat
20,20,\infty_
21,20,\xi
22,21,\newcommand
23,21,\ha
24,21,\hat
25,22,\newcommand
26,22,\va
27,22,\varphi
28,23,\newcommand
29,23,\les
30,23,\lesssim
31,24,\newcommand
32,24,\si
33,24,\sgn
34,24,\xi
35,25,\newcommand
36,25,\ppsi
37,25,\xi
38,25,\xi
39,26,\newcommand
40,26,\lan
41,26,\langle
42,26,\xi
43,26,\rangle
44,28,\newcommand
45,28,\La
46,29,\newcommand
47,29,\lanx
48,29,\langle
49,29,\rangle
50,30,\newcommand
51,30,\lany
52,30,\langle
53,30,\rangle
54,31,\newcommand
55,31,\ti
56,31,\tilde
57,32,\newcommand
58,32,\li
59,32,\infty_
60,32,\xi
61,33,\newcommand
62,33,\wu
63,33,\widehat
64,34,\newcommand
65,34,\V
66,34,\varphi
67,34,\xi
68,35,\newcommand
69,35,\D
70,36,\newcommand
71,36,\Da
72,37,\newcommand
73,37,\Dta
74,37,\mathcal
75,37,\alpha
76,37,\xi
77,38,\newcommand
78,38,\e
79,38,\xi
80,38,\xi
81,39,\newcommand
82,39,\h
83,39,\mathcal
84,41,\newcommand
85,41,\z
86,41,\mathcal
87,42,\newcommand
88,42,\w
89,42,\theta
90,43,\newcommand
91,43,\wo
92,43,\langle
93,43,\rangle_
94,43,\theta
95,44,\newcommand
96,44,\la
97,44,\langle
98,44,\rangle_
99,45,\newcommand
100,45,\lt
101,45,\langle
102,45,\rangle_
103,45,\theta
104,46,\newcommand
105,46,\Dt
106,46,\mathcal
107,46,\theta
108,46,\xi
109,47,\newcommand
110,47,\dt
111,47,\alpha
112,47,\xi
113,48,\newcommand
114,48,\dte
115,48,\theta
116,48,\xi
117,49,\newcommand
118,49,\R
119,49,\mathbb
120,50,\newcommand
121,50,\N
122,50,\mathbb
123,51,\newcommand
124,51,\s
125,51,\mathcal
126,52,\newcommand
