,Line num,Command
0,1,\documentclass
1,2,\usepackage
2,4,\usepackage
3,6,\numberwithin
4,8,\DeclareMathOperator
5,8,\divergence
6,9,\DeclareMathOperator
7,9,\loc
8,10,\DeclareMathOperator
9,10,\Scal
10,11,\DeclareMathOperator
11,11,\Ricci
12,12,\DeclareMathOperator
13,12,\Riemann
14,13,\DeclareMathOperator
15,13,\Weyl
16,14,\DeclareMathOperator
17,14,\Schouten
18,15,\DeclareMathOperator
19,15,\Bach
20,16,\DeclareMathOperator
21,16,\Beta
22,17,\DeclareMathOperator
23,17,\Sym
24,18,\DeclareMathOperator
25,18,\Vol
26,19,\DeclareMathOperator
27,19,\Tr
28,20,\DeclareMathOperator
29,20,\bigO
30,21,\DeclareMathOperator
31,21,\smallo
32,22,\newcommand
33,22,\R
34,22,\mathbb
35,23,\renewcommand
36,23,\S
37,23,\mathbb
38,24,\newcommand
39,24,\N
40,24,\mathbb
41,25,\newcommand
42,25,\Z
43,25,\mathbb
44,26,\newcommand
45,26,\left
46,27,\renewcommand
47,27,\right
48,28,\renewcommand
49,28,\right
50,29,\renewcommand
51,29,\left
52,30,\renewcommand
53,30,\right
54,32,\newtheorem
55,33,\newtheorem
56,34,\newtheorem
57,35,\newtheorem
58,37,document
59,39,\title
60,41,\author
61,43,\address
62,44,\email
63,47,\author
64,49,\address
65,50,\email
66,52,\thanks
67,55,\date
68,57,abstract
69,58,\ge
70,58,\ge1
71,61,\maketitle
72,63,\section
73,63,\label
74,65,\ge1
75,66,equation
76,67,\left
77,67,\right
78,67,\quad
79,67,\text
80,69,\cite
81,69,\cites
82,69,\cite
83,69,\cites
84,69,\eqref
85,69,\nobreak
86,69,\cites
87,69,\eqref
88,69,\frac
89,71,\smallskip
90,72,\it
91,73,\int_MuP_
92,73,\ge
93,73,\int_Mu
94,74,\in
95,76,\smallskip
96,77,\eqref
97,77,\equiv1
98,77,\cite
99,77,\cite
100,77,\cite
101,77,\cite
102,77,\ge1
103,77,\cite
104,77,\cite
105,77,\ge2
106,77,\cite
107,77,\cite
108,77,\cites
109,77,\cite
110,77,\cites
111,77,\cite
112,77,\cite
113,77,\eqref
114,77,\ge
115,77,\cite
116,77,\cite
117,77,\not
118,77,\equiv1
119,77,\cite
120,77,\cite
