,Line num,Command,Notes
0,2,\documentclass,article
1,3,\usepackage,"amsmath,amsthm,amssymb"
2,4,\usepackage,enumerate
3,5,\usepackage,graphicx
4,6,\usepackage,epsfig
5,7,\usepackage,hyperref
6,8,\hypersetup,N/A
7,12,\usepackage,enumitem
8,13,\usepackage,hyperref
9,14,\usepackage,geometry
10,15,\geometry,N/A
11,21,\newcommand,\mailto -> \href{mailto:#1 -> \nolinkurl{#1}}
12,22,\newcommand,\arxiv -> \href{http://arxiv.org/abs/#1 -> arXiv:#1}
13,23,\newcommand,\doi -> \href{http://dx.doi.org/#1 -> doi: #1}
14,24,\newtheorem,N/A
15,25,\newtheorem,N/A
16,26,\newtheorem,N/A
17,27,\newtheorem,N/A
18,28,\newtheorem,N/A
19,29,\newtheorem,N/A
20,30,\newtheorem,N/A
21,31,\newtheorem,N/A
22,32,\newtheorem,N/A
23,33,\newcommand,"\spr -> \langle #1 , #2 \rangle"
24,34,\newcommand,\I -> \mathrm{i}
25,35,\newcommand,\E -> \mathrm{e}
26,36,\DeclareMathOperator,N/A
27,36,\re,N/A
28,37,\DeclareMathOperator,N/A
29,37,\im,N/A
30,38,\DeclareMathOperator,N/A
31,38,\supp,N/A
32,39,\newcommand,\fr -> \frac
33,40,\newcommand,\Lra -> \Leftrightarrow
34,41,\newcommand,\R -> {\mathbb R}
35,42,\newcommand,\N -> {\mathbb N}
36,43,\newcommand,\Z -> {\mathbb Z}
37,44,\newcommand,\Co -> {\mathbb C}
38,45,\newcommand,\cL -> {\mathcal L}
39,46,\newcommand,\Lam -> {\Lambda}
40,47,\newcommand,\toAA -> \stackrel{\mathcal AA -> \mathop{\longrightarrow}}
41,48,\newcommand,\toQM -> \stackrel{\mathcal QM -> \mathop{\longrightarrow}}
42,49,\newcommand,\toL -> \stackrel{L^1 -> \mathop{\longrightarrow}}
43,50,\newcommand,\cW -> {\mathcal W}
44,51,\newcommand,\cR -> {\mathcal R}
45,52,\newcommand,\cT -> {\mathcal T}
46,53,\newcommand,\cK -> {\mathcal K}
47,54,\newcommand,\w -> \mathrm{w}
48,55,\newcommand,\rv -> \mathrm{v}
49,56,\newcommand,\bR -> {\bf R}
50,57,\newcommand,\cA -> {\cal A}
51,58,\newcommand,\bA -> {\bf A}
52,59,\newcommand,\cE -> {\cal E}
53,60,\newcommand,\Eo -> \stackrel{\scriptsize o -> \cE}
54,61,\newcommand,\st -> \stackrel
55,62,\newcommand,\toEw -> \st{E -> -\!\!-\!\!\!\rightharpoonup}
56,63,\newcommand,\toE -> \st{E -> -\!\!\!-\!\!\!\to}
57,64,\newcommand,\toEo -> \st{E_1 -> -\!\!\!-\!\!\!\to}
58,65,\newcommand,\toEd -> \st{E^* -> -\!\!\!-\!\!\!\to}
59,66,\newcommand,"\toCEd -> \st{C(\R,E^*) -> -\!\!\!-\!\!\!-\!\!\!-\!\!\!-\!\!\!-\!\!\!\to}"
60,67,\newcommand,\toHs -> \st{H^s -> -\!\!\!-\!\!\!\to}
61,68,\newcommand,\toHt -> \st{H^2 -> -\!\!\!-\!\!\!\to}
62,69,\newcommand,\toLt -> \st{L^2 -> -\!\!\!-\!\!\!\to}
63,70,\newcommand,"\toCbE  -> \st{C_b(\R,E) -> -\!\!\!-\!\!\!-\!\!\!-\!\!\!-\!\!\!-\!\!\!-\!\!\!\to}"
64,71,\newcommand,"\toCE -> \st{C(\R,E) -> -\!\!\!-\!\!\!-\!\!\!-\!\!\!-\!\!\!-\!\!\!\to}"
65,72,\newcommand,"\toCTE -> \st{C(,E) -> -\!\!\!-\!\!\!-\!\!\!-\!\!\!-\!\!\!-\!\!\!-\!\!\!\to}"
66,73,\newcommand,"\toCHs -> \st{C(,H^s) -> -\!\!\!-\!\!\!-\!\!\!-\!\!\!-\!\!\!-\!\!\!-\!\!\!-\!\!\!-\!\!\!\to}"
67,74,\newcommand,"\toCnHs -> \st{C(,H^s) -> -\!\!\!-\!\!\!-\!\!\!-\!\!\!-\!\!\!-\!\!\!-\!\!\!-\!\!\!-\!\!\!\to}"
68,75,\newcommand,"\toCLp -> \st{C(,L^p) -> -\!\!\!-\!\!\!-\!\!\!-\!\!\!-\!\!\!-\!\!\!-\!\!\!-\!\!\!\to}"
69,76,\newcommand,"\toCLr -> \st{C(,L^r) -> -\!\!\!-\!\!\!-\!\!\!-\!\!\!-\!\!\!-\!\!\!-\!\!\!-\!\!\!\to}"
70,77,\newcommand,\toC -> \st{C(\R) -> -\!\!\!-\!\!\!-\!\!-\!\!\!\to}
71,78,\newcommand,\cH -> {\cal H}
72,79,\newcommand,\Ho -> \stackrel{\scriptsize o -> H^1}
73,80,\newcommand,\cM -> {\cal M}
74,81,\newcommand,\cO -> {\cal O}
75,82,\newcommand,\co -> {\scriptsize o}
76,83,\newcommand,\cP -> {\cal P}
77,84,\newcommand,\cQ -> {\cal Q}
78,85,\newcommand,\cS -> {\cal S}
79,86,\newcommand,\cU -> {\cal U}
80,87,\newcommand,\cV -> {\cal V}
81,88,\newcommand,\cX -> {\cal X}
82,89,\newcommand,\cZ -> {\cal Z}
83,90,\newcommand,\cm -> {\rm m}
84,91,\newcommand,\al -> \alpha
85,92,\newcommand,\om -> \omega
86,93,\newcommand,\vp -> \varphi
87,94,\newcommand,\si -> \sigma
88,95,\newcommand,\De -> \Delta
89,96,\newcommand,\de -> \delta
90,97,\newcommand,\vka -> \varkappa
91,98,\newcommand,\nab -> \nabla
92,99,\newcommand,\Ga -> \Gamma
93,100,\newcommand,\ga -> \gamma
94,101,\newcommand,\ve -> \varepsilon
95,102,\newcommand,\eps -> \varepsilon
96,103,\newcommand,\lam -> \lambda
97,104,\newcommand,\Om -> \Omega
98,105,\newcommand,\Si -> \Sigma
99,106,\newcommand,\ti -> \tilde
100,107,\newcommand,\na -> \nabla
101,108,\newcommand,\pa -> \partial
102,109,\newcommand,\dist -> {\rm dist\5}
103,110,\newcommand,\rot -> {\rm rot\5}
104,111,\newcommand,\dv -> {\rm div\5}
105,112,\newcommand,\loc -> {\rm loc}
106,113,\newcommand,\const -> {\rm const}
107,114,\newcommand,\Spec -> {\rm Spec\5}
108,115,\newcommand,\Rang -> {\rm Rang\5}
109,116,\newcommand,\rRe -> {\rm Re\5}
110,117,\newcommand,\rIm -> {\rm Im\5}
111,118,\newcommand,\ov -> \overline
112,119,\newcommand,\5 -> {\hspace{0.5mm}}
113,120,\newcommand,\ds -> \displaystyle
114,121,\newcommand,\erf -> \mathrm{erf}
115,122,\renewcommand,N/A
116,122,\labelenumi,N/A
117,122,\roman,N/A
118,123,\renewcommand,N/A
119,123,\theenumi,N/A
120,123,\roman,N/A
121,124,\numberwithin,N/A
122,125,\newcommand,\ci -> \cite
123,126,\newcommand,\la -> \label
124,127,be,Environment
125,129,beqn,Environment
126,131,ba,Environment
127,133,bd,Environment
128,135,bt,Environment
129,137,bp,Environment
130,139,bl,Environment
131,141,bc,Environment
132,143,bex,Environment
133,145,br,Environment
134,147,bce,Environment
135,149,bpr,Environment
136,151,\date,
137,152,\renewcommand,N/A
138,152,\labelenumi,N/A
139,152,\roman,N/A
140,153,\renewcommand,N/A
141,153,\theenumi,N/A
142,153,\roman,N/A
143,154,\numberwithin,N/A
144,155,document,Environment
145,156,\bce,N/A
146,156,\huge,N/A
147,156,\bf,N/A
148,160,\bigskip,N/A
149,161,\bigskip,Nested
