,Line num,Command
0,1,\documentclass
1,5,\usepackage
2,6,\usepackage
3,7,\renewcommand
4,7,\baselinestretch
5,8,\usepackage
6,8,\geometry
7,9,\usepackage
8,10,\usepackage
9,11,\usepackage
10,12,\usepackage
11,13,\hypersetup
12,25,\usepackage
13,26,\usepackage
14,27,\makeatletter
15,28,\newcommand
16,28,\inlineitem
17,29,\ifnum
18,29,\enit
19,29,\tw
20,29,\descriptionlabel
21,30,\hspace
22,30,\labelsep
23,31,\else
24,32,\ifnum
25,32,\enit
26,32,\z
27,33,\refstepcounter
28,33,\fi
29,34,\quad
30,34,\hspace
31,34,\labelsep
32,35,\fi
33,35,\makeatother
34,36,\parindent
35,40,\newcommand
36,40,\ga
37,40,\alpha
38,41,\newcommand
39,41,\gb
40,41,\beta
41,42,\newcommand
42,42,\gga
43,43,\newcommand
44,43,\gd
45,44,\newcommand
46,44,\gep
47,45,\newcommand
48,45,\gepv
49,45,\varepsilon
50,46,\newcommand
51,46,\gz
52,47,\newcommand
53,47,\get
54,48,\newcommand
55,48,\gth
56,48,\theta
57,49,\newcommand
58,49,\gthv
59,49,\vartheta
60,50,\newcommand
61,50,\gi
62,51,\newcommand
63,51,\gk
64,52,\newcommand
65,52,\gl
66,53,\newcommand
67,53,\gm
68,54,\newcommand
69,54,\gn
70,54,\nu
71,55,\newcommand
72,55,\gx
73,55,\xi
74,56,\newcommand
75,56,\go
76,57,\newcommand
77,57,\gp
78,58,\newcommand
79,58,\gpv
80,58,\varpi
81,59,\newcommand
82,59,\gr
83,59,\rho
84,60,\newcommand
85,60,\gs
86,61,\newcommand
87,61,\gsv
88,61,\varsigma
89,62,\newcommand
90,62,\gt
91,62,\tau
92,63,\newcommand
93,63,\gu
94,63,\upsilon
95,64,\newcommand
96,64,\gf
97,65,\newcommand
98,65,\gfv
99,65,\varphi
100,66,\newcommand
101,66,\gc
102,67,\newcommand
103,67,\gch
104,68,\newcommand
105,68,\gom
106,72,\newcommand
107,72,\Ga
108,73,\newcommand
109,73,\Gb
110,74,\newcommand
111,74,\Gg
112,75,\newcommand
113,75,\Ggv
114,75,\varGamma
115,76,\newcommand
116,76,\Gd
117,77,\newcommand
118,77,\Gdv
119,77,\varDelta
120,78,\newcommand
121,78,\Ge
122,79,\newcommand
123,79,\Gz
124,80,\newcommand
125,80,\Gh
126,81,\newcommand
127,81,\Gth
128,82,\newcommand
129,82,\Gthv
130,82,\varTheta
131,83,\newcommand
132,83,\Gi
133,84,\newcommand
134,84,\Gk
135,85,\newcommand
136,85,\Gl
137,86,\newcommand
138,86,\Glv
139,86,\varLambda
140,87,\newcommand
141,87,\Gm
142,88,\newcommand
143,88,\Gn
144,89,\newcommand
145,89,\Gx
146,89,\Xi
147,90,\newcommand
148,90,\Gxv
149,90,\varXi
150,91,\newcommand
151,91,\Go
152,92,\newcommand
153,92,\Gp
154,93,\newcommand
155,93,\Gpv
156,93,\varPi
157,94,\newcommand
158,94,\Gs
159,95,\newcommand
160,95,\Gsv
161,95,\varsigma
162,96,\newcommand
163,96,\Gu
164,96,\Upsilon
165,97,\newcommand
166,97,\Guv
167,97,\varUpsilon
168,98,\newcommand
169,98,\Gf
170,99,\newcommand
171,99,\Gfv
172,99,\varPhi
173,100,\newcommand
174,100,\Gc
175,101,\newcommand
176,101,\Gcv
177,101,\varPsi
178,102,\newcommand
179,102,\Gom
180,103,\newcommand
181,103,\Gomv
182,103,\varOmega
183,107,\newcommand
184,107,\grpp
185,107,\mcl
186,107,\ul
187,107,\gl
188,108,\newcommand
189,108,\grppp
190,108,\mcl
191,108,\ul
192,108,\gl
193,109,\newcommand
194,109,\grpppp
195,109,\mcl
196,109,\ul
197,109,\gl
198,110,\newcommand
199,110,\grpppI
200,110,\mcl
201,110,\ul
202,110,\gl
203,111,\newcommand
204,111,\autgp
205,111,\mcl
206,111,\ul
207,111,\gl
208,112,\newcommand
209,112,\autgpp
210,112,\mcl
211,112,\ul
212,112,\gl
213,113,\newcommand
214,113,\autgppp
215,113,\mcl
216,113,\ul
217,113,\gl
218,114,\newcommand
219,114,\id
220,114,\mathrm
221,115,\newcommand
222,115,\tf
223,115,\therefore
224,116,\newcommand
225,116,\be
226,116,\because
227,117,\newcommand
228,117,\subs
229,117,\subset
230,118,\newcommand
231,118,\sups
232,118,\supset
233,119,\newcommand
234,119,\sbq
235,119,\subseteq
236,120,\newcommand
237,120,\spq
238,120,\supseteq
239,121,\newcommand
240,121,\sbnq
241,121,\subsetneq
242,122,\newcommand
243,122,\spnq
244,122,\supsetneq
245,123,\newcommand
246,123,\nsbq
247,123,\nsubseteq
248,124,\newcommand
249,124,\nspq
250,124,\nsupseteq
251,125,\newcommand
252,125,\ify
253,125,\infty
254,126,\newcommand
255,126,\bs
256,126,\backslash
257,127,\newcommand
258,127,\fs
259,128,\newcommand
260,128,\fa
261,128,\forall
262,129,\newcommand
263,129,\ex
264,129,\exists
265,130,\newcommand
266,130,\nex
267,130,\nexists
268,131,\newcommand
269,131,\st
270,131,\ni
271,132,\newcommand
272,132,\nin
273,132,\notin
274,133,\newcommand
275,133,\slf
276,133,\smallfrown
277,134,\newcommand
278,134,\bop
279,134,\bigoplus
280,135,\newcommand
281,135,\btu
282,135,\bigtriangleup
283,136,\newcommand
284,136,\wti
285,136,\widetilde
286,137,\newcommand
287,137,\ti
288,137,\tilde
289,138,\newcommand
290,138,\yd
291,138,\ydiagram
292,139,\newcommand
293,139,\ugl
294,139,\ul
295,139,\gl
296,139,\gl_
297,139,\gr
298,139,\gl_
299,139,\gr
300,139,\gl_
301,139,\gr
302,139,\ldots
303,139,\gl_
304,139,\gr
305,140,\newcommand
306,140,\mbb
307,140,\mathbb
308,141,\newcommand
309,141,\mrm
310,141,\mathrm
311,142,\newcommand
312,142,\mmit
313,142,\mathit
314,143,\newcommand
315,143,\mbf
316,143,\mathbf
317,144,\newcommand
318,144,\msf
319,144,\mathsf
320,145,\newcommand
321,145,\mtt
322,145,\mathtt
323,146,\newcommand
324,146,\mcl
325,146,\mathcal
326,147,\newcommand
327,147,\mfr
328,147,\mathfrak
329,148,\newcommand
330,148,\ul
331,148,\underline
332,149,\newcommand
333,149,\ol
334,149,\overline
335,150,\newcommand
336,150,\pl
337,150,\parallel
338,151,\newcommand
339,151,\Stab
340,151,\mathrm
341,152,\newcommand
342,152,\us
343,152,\underset
344,153,\newcommand
345,153,\os
346,153,\overset
347,154,\newcommand
348,154,\Lra
349,154,\Leftrightarrow
350,155,\newcommand
351,155,\lla
352,155,\longleftarrow
353,156,\newcommand
354,156,\lra
355,156,\longrightarrow
356,157,\newcommand
357,157,\llra
358,157,\longleftrightarrow
359,158,\newcommand
360,158,\nsm
361,158,\nshortmid
362,159,\newcommand
363,159,\pr
364,159,\partial
365,160,\newcommand
366,160,\I
367,160,\mcl
368,161,\newcommand
369,161,\A
370,161,\mbb
371,162,\newcommand
372,162,\N
373,162,\mbb
374,163,\newcommand
375,163,\Z
376,163,\mbb
377,164,\newcommand
378,164,\R
379,164,\mcl
380,165,\newcommand
381,165,\AAA
382,165,\mathbb
383,165,\gp
384,165,\mathbb
385,166,\newcommand
386,166,\ZZ
387,166,\Z
388,166,\Z
389,167,\newcommand
390,167,\RR
391,167,\R
392,167,\R
393,168,\newcommand
394,168,\la
395,168,\leftarrow
396,169,\newcommand
397,169,\La
398,169,\Leftarrow
399,170,\newcommand
400,170,\ra
401,170,\rightarrow
402,171,\newcommand
403,171,\Ra
404,171,\Rightarrow
405,172,\newcommand
406,172,\Llra
407,172,\Longleftrightarrow
408,173,\newcommand
409,173,\bc
410,173,\bigcup
411,174,\newcommand
412,174,\es
413,174,\emptyset
414,175,\newcommand
415,175,\ora
416,175,\overrightarrow
417,176,\newcommand
418,176,\ola
419,176,\overleftarrow
420,177,\newcommand
421,177,\lmt
422,177,\longmapsto
423,178,\newcommand
424,178,\eqdef
425,178,\overset
426,178,\mathrm
427,178,\joinrel
428,179,\newcommand
429,179,\fo
430,180,\begingroup
431,180,\fontsize
432,180,\selectfont
433,181,\endgroup
434,183,\newcommand
435,183,\equ
436,184,equation
437,188,\newcommand
438,188,\equa
439,189,equation
440,190,aligned
441,195,\newcommand
442,195,\equan
443,196,equation
444,197,\label
445,198,aligned
446,206,\DeclareMathOperator
447,206,\Det
448,207,\DeclareMathOperator
449,207,\Hom
450,208,\DeclareMathOperator
451,208,\End
452,209,\DeclareMathOperator
453,209,\Aut
454,210,\DeclareMathOperator
455,210,\Diag
456,214,\newcommand
457,214,\mattwo
458,215,pmatrix
459,219,\newcommand
460,219,\vmattwo
461,220,vmatrix
462,224,\newcommand
463,224,\matcoltwo
464,225,pmatrix
465,229,\newcommand
466,229,\matcolthree
467,230,pmatrix
468,234,\newcommand
469,234,\matcolfour
470,235,pmatrix
471,239,\newcommand
472,239,\matcolfive
473,240,pmatrix
474,244,\newcommand
475,244,\matcolsix
476,245,pmatrix
477,249,\newcommand
478,249,\matcolseven
479,250,pmatrix
480,254,\newcommand
481,254,\mattwothree
482,255,pmatrix
483,259,\newcommand
484,259,\matthreetwo
485,260,pmatrix
486,264,\newcommand
487,264,\mattwofour
488,265,pmatrix
489,269,\newcommand
490,269,\mattwofive
491,270,\def
492,270,\argi
493,271,\def
494,271,\argii
495,272,\def
496,272,\argiii
497,273,\def
498,273,\argiv
499,274,\def
500,274,\argv
501,275,\def
502,275,\argvi
503,276,\def
504,276,\argvii
505,277,\def
506,277,\argviii
507,278,\def
508,278,\argix
509,279,\mattwofiveRelay
510,281,\newcommand
511,281,\mattwofiveRelay
512,287,pmatrix
513,288,\argi
514,288,\argii
515,288,\argiii
516,288,\argiv
517,288,\argv
518,289,\argvi
519,289,\argvii
520,289,\argviii
521,289,\argix
522,292,\newcommand
523,292,\mattwosix
524,293,\def
525,293,\argi
526,294,\def
527,294,\argii
528,295,\def
529,295,\argiii
530,296,\def
531,296,\argiv
532,297,\def
533,297,\argv
534,298,\def
535,298,\argvi
536,299,\def
537,299,\argvii
538,300,\def
539,300,\argviii
540,301,\def
541,301,\argix
542,302,\mattwosixRelay
543,304,\newcommand
544,304,\mattwosixRelay
545,310,pmatrix
546,311,\argi
547,311,\argii
548,311,\argiii
549,311,\argiv
550,311,\argv
551,311,\argvi
552,312,\argvii
553,312,\argviii
554,312,\argix
555,315,\newcommand
556,315,\mattwoseven
557,316,\def
558,316,\argi
559,317,\def
560,317,\argii
561,318,\def
562,318,\argiii
563,319,\def
564,319,\argiv
565,320,\def
566,320,\argv
567,321,\def
568,321,\argvi
569,322,\def
570,322,\argvii
571,323,\def
572,323,\argviii
573,324,\def
574,324,\argix
575,325,\mattwosevenRelay
576,327,\newcommand
577,327,\mattwosevenRelay
578,333,pmatrix
579,334,\argi
580,334,\argii
581,334,\argiii
582,334,\argiv
583,334,\argv
584,334,\argvi
585,334,\argvii
586,335,\argviii
587,335,\argix
588,338,\newcommand
589,338,\matthreefour
590,339,\def
591,339,\argi
592,340,\def
593,340,\argii
594,341,\def
595,341,\argiii
596,342,\def
597,342,\argiv
598,343,\def
599,343,\argv
600,344,\def
601,344,\argvi
602,345,\def
603,345,\argvii
604,346,\def
605,346,\argviii
606,347,\def
607,347,\argix
608,348,\matthreefourRelay
609,350,\newcommand
610,350,\matthreefourRelay
611,356,pmatrix
612,357,\argi
613,357,\argii
614,357,\argiii
615,357,\argiv
616,358,\argv
617,358,\argvi
618,358,\argvii
619,358,\argviii
620,359,\argix
621,362,\newcommand
622,362,\matTwo
623,363,pmatrix
624,367,\newcommand
625,367,\matthree
626,368,pmatrix
627,372,\newcommand
628,372,\vmatthree
629,373,vmatrix
630,377,\newcommand
631,377,\matThree
632,378,pmatrix
633,384,\newcommand
634,384,\matfour
635,385,\def
636,385,\argi
