,Line num,Command,Notes
0,1,\documentclass,article
1,2,\usepackage,babel
2,3,\usepackage,inputenc
3,4,\usepackage,fontenc
4,5,\usepackage,xy
5,6,\usepackage,tikz
6,7,\usetikzlibrary,"decorations.markings,arrows,automata,arrows,backgrounds,snakes"
7,8,\usepackage,listings
8,9,\usepackage,color
9,10,\usepackage,algpseudocode
10,11,\usepackage,algorithm
11,12,\usepackage,comment
12,13,\definecolor,N/A
13,14,\definecolor,N/A
14,15,\definecolor,N/A
15,16,\lstset,N/A
16,22,\small,Nested
17,22,\ttfamily,Nested
18,24,\tiny,gray
19,24,\color,gray
20,25,\color,blue
21,26,\color,dkgreen
22,27,\color,mauve
23,31,\usepackage,amsmath
24,32,\usepackage,amssymb
25,33,\usepackage,asymptote
26,34,\usepackage,tocbibind
27,35,\usepackage,amsfonts
28,36,\usepackage,graphicx
29,37,\usepackage,todonotes
30,38,\usepackage,hyperref
31,39,\usepackage,float
32,40,\usepackage,mathtools
33,41,\usepackage,"amssymb,amsmath"
34,42,\usepackage,tikz
35,43,\usepackage,amsthm
36,44,\theoremstyle,definition
37,45,\newtheorem,N/A
38,46,\newtheorem,N/A
39,47,\newtheorem,N/A
40,48,\newcommand,\ep -> \epsilon
41,49,\newcommand,\Aut -> \mathrm{Aut}
42,50,\newcommand,\Ker -> \mathrm{Ker}
43,51,\newcommand,\id -> \mathrm{id}
44,52,\newcommand,\M -> \mathcal{M}
45,53,\newcommand,\Hasse -> \mathcal{H}
46,54,\newcommand,\RR -> \mathbb{R}
47,55,\newtheorem,N/A
48,56,\newtheorem,N/A
49,57,\newtheorem,N/A
50,58,\newtheorem,N/A
51,59,\newtheorem,N/A
52,60,\newtheorem,N/A
53,61,\newtheorem,N/A
54,62,\newtheorem,N/A
55,63,\newtheorem,N/A
56,64,\newcounter,foo
57,65,\Alph,foo
58,66,\newcommand,\term -> {\bf #1}
59,67,\newenvironment,Nested
60,67,\noindent,\bf Proof of Lemma \ref{technical
61,67,\bf,\bf Proof of Lemma \ref{technical
62,67,\ref,\bf Proof of Lemma \ref{technical
63,67,\par,Nested
64,67,\noindent,\bf Proof of Lemma \ref{technical
65,67,\bf,\bf Proof of Lemma \ref{technical
66,67,\ref,\bf Proof of Lemma \ref{technical
67,67,\noindent,Nested
68,67,\noindent,\bf Proof of Lemma \ref{technical
69,67,\bf,\bf Proof of Lemma \ref{technical
70,67,\ref,\bf Proof of Lemma \ref{technical
71,67,\bf,Nested
72,67,\noindent,\bf Proof of Lemma \ref{technical
73,67,\bf,\bf Proof of Lemma \ref{technical
74,67,\ref,\bf Proof of Lemma \ref{technical
75,67,\ref,Nested
76,67,\noindent,\bf Proof of Lemma \ref{technical
77,67,\bf,\bf Proof of Lemma \ref{technical
78,67,\ref,\bf Proof of Lemma \ref{technical
