,Line num,Command,Notes
0,1,\documentclass,amsart
1,2,\input,preamble
2,3,\input,macros
3,4,\newcommand,\eldenbubble -> \todo{#1}
4,5,\title,
5,6,\title,THH and TC are (very) far from being homotopy functors
6,7,\author,Elden Elmanto
7,8,\address,"Department of Mathematics\\ Harvard University\\ 1 Oxford St.\ Cambridge, MA 02138\\ USA"
8,9,\email,N/A
9,9,\href,N/A
10,10,\urladdr,\url{https://www.eldenelmanto.com/
11,10,\url,\url{https://www.eldenelmanto.com/
12,11,document,Environment
13,12,\def,\wedge
14,12,\comp,\wedge
15,12,\wedge,\wedge
16,13,\maketitle,N/A
17,14,abstract,Environment
18,16,\section,"Introduction, an example and vista"
19,17,\cite,N/A
20,17,\emph,N/A
21,17,\cite,N/A
22,18,\cite,N/A
23,18,\cite,N/A
24,18,\emph,N/A
25,19,\cite,N/A
26,19,\cite,N/A
27,19,\ref,N/A
28,19,\emph,N/A
29,20,thm,Environment
30,22,\ref,N/A
31,22,\cite,N/A
32,23,\subsection,N/A
33,23,\cite,N/A
34,23,\ref,N/A
35,23,\ref,N/A
36,25,\cite,N/A
37,25,\ref,N/A
38,25,\ref,N/A
39,25,\ref,N/A
40,25,\ref,N/A
41,26,\subsection,Vista
42,28,equation,Environment
43,29,tikzcd,Environment
44,30,\ar,N/A
45,30,\ar,N/A
46,30,\ar,N/A
47,30,\bA,N/A
48,30,\ar,N/A
49,30,\mrm,N/A
50,33,\cite,N/A
51,33,\cite,N/A
52,33,\cite,N/A
53,33,\cite,N/A
54,33,\cite,N/A
55,33,\cite,N/A
56,33,\eqref,N/A
57,34,\subsection,Convention
58,35,\subsection,Acknowledgements
59,36,\section,Topological Hochschild Homology
60,37,\sssec,
61,38,\footnote,N/A
62,38,\cite,N/A
63,38,\cite,N/A
64,38,\cite,N/A
65,38,\cite,N/A
66,39,equation,Environment
67,40,\bA,N/A
68,40,\sF,N/A
69,40,\colim_,N/A
70,40,\op,N/A
71,40,\sF,N/A
72,42,\eqref,N/A
73,42,\eqref,N/A
74,43,\ssec,N/A
75,43,\cite,N/A
76,44,thm,Environment
77,46,proof,Environment
78,48,\footnote,"Actually, in this case, an object of  ."
79,49,\pi_0,N/A
80,49,\rightrightarrows,N/A
81,49,\pi_0,N/A
82,49,\pi_0,N/A
83,58,\simeq,N/A
84,58,\simeq,N/A
85,58,\simeq,N/A
86,61,\sssec,N/A
87,61,\cite,N/A
88,62,\cite,N/A
89,62,\cite,N/A
90,63,cor,Environment
91,65,\ssec,N/A
92,65,\ref,N/A
93,66,thm,Environment
94,68,proof,Environment
95,70,\section,Characteristic  
96,71,\label,sect:charp
97,73,\sssec,N/A
98,73,\footnote,N/A
99,73,\cite,N/A
100,74,\sssec,N/A
101,74,\eqref,N/A
102,75,lem,Environment
103,77,proof,Environment
104,81,\ssec,Topological cyclic homology
105,82,thm,Environment
106,84,\cite,N/A
107,84,\cite,N/A
108,85,equation,Environment
109,86,\mrm,N/A
110,86,\ast,N/A
111,86,\rightarrow,N/A
112,86,\qquad,N/A
113,86,\mrm,N/A
114,86,\ast,N/A
115,86,\rightarrow,N/A
116,86,\qquad,N/A
117,86,\mrm,N/A
118,86,\ast,N/A
119,86,\rightarrow,N/A
120,89,\sssec,N/A
121,89,\cite,N/A
122,91,equation,Environment
123,92,\mrm,N/A
124,92,\simeq,N/A
125,92,\Gamma_,N/A
126,92,\mrm,N/A
127,94,\cite,illusie-drw
128,97,lem,Environment
129,99,proof,Environment
130,100,\simeq,N/A
131,103,equation,Environment
132,104,\bullet,N/A
133,104,\simeq,N/A
134,104,\rightrightarrows,N/A
135,104,\bullet,N/A
136,104,\simeq,N/A
137,108,rem,Environment
138,110,\sssec,
139,111,prop,Environment
140,113,proof,Environment
141,115,\sssec,N/A
142,115,\ref,N/A
143,115,\ref,N/A
144,116,\sssec,
145,117,proof,Environment
146,118,\cite,AMMN
147,120,equation,Environment
148,121,tikzcd,Environment
149,122,\ar,N/A
150,122,\cdots,N/A
151,122,\mrm,N/A
152,122,\geq,N/A
153,122,\ar,N/A
154,122,\ar,N/A
155,122,\mrm,N/A
156,122,\geq,N/A
157,122,\ar,N/A
158,122,\ar,N/A
159,122,\mrm,N/A
160,122,\geq,N/A
161,122,\ar,N/A
162,122,\ar,N/A
163,122,\cdots,N/A
164,122,\ar,N/A
165,122,\ar,N/A
166,122,\ar,N/A
167,122,\ar,N/A
168,122,\ar,N/A
169,122,\ar,N/A
170,122,\cdots,N/A
171,122,\mrm,N/A
172,122,\leq,N/A
173,122,\ar,N/A
174,127,\cite,nikolaus-scholze
175,129,\ref,N/A
176,129,\ref,N/A
177,131,\ssec,N/A
178,131,\eqref,N/A
179,132,cor,Environment
180,134,proof,Environment
181,136,\cite,N/A
182,136,\cite,N/A
183,137,\qquad,N/A
184,137,\pi_,N/A
185,137,\bF_p,N/A
186,137,\bZ_p,N/A
187,140,equation,Environment
188,141,tikzcd,Environment
189,142,\ar,N/A
190,143,\ar,N/A
191,143,\ar,N/A
192,143,\mrm,N/A
193,143,\ar,N/A
194,143,\phi_p,N/A
195,143,\ar,N/A
196,143,\mrm,N/A
197,143,\ar,N/A
198,143,\phi_p,N/A
199,143,\ar,N/A
200,143,\ar,N/A
201,148,rem,Environment
202,150,\section,Profinite vanishing over the integers
203,151,\sssec,
204,152,\cite,nikolaus-scholze
205,153,equation,Environment
206,154,\mathrm,N/A
207,154,\mrm,N/A
208,154,\rightrightarrows,N/A
209,154,\comp,N/A
210,156,\cite,nikolaus-scholze
211,158,\sssec,N/A
212,158,\cite,N/A
213,159,\bA,\bA^1
214,159,\sF,\bA^1
215,159,\sC,\bA^1
216,163,\sssec,N/A
217,163,\ref,N/A
218,164,lem,Environment
219,166,proof,Environment
220,167,\cite,LT
221,169,rem,Environment
222,171,\ssec,Integral topological cyclic homology
223,172,thm,Environment
224,174,proof,Environment
225,175,\ref,lem:geom-rel
226,176,itemize,Environment
227,177,\item,N/A
228,180,\cite,N/A
229,180,\ref,N/A
230,181,\ref,lem:geom-rel
231,182,\rightarrow,N/A
232,182,\lim_s,N/A
233,182,\bZ_p,N/A
234,185,\comp,\comp
235,185,\rightarrow,\comp
236,186,\lim_s,N/A
237,186,\bZ_p,N/A
238,188,\cite,N/A
239,188,\cite,N/A
240,192,\sssec,N/A
241,192,\eqref,N/A
242,192,\ref,N/A
243,193,\sssec,N/A
244,193,\label,N/A
245,194,\sssec,N/A
246,194,\label,N/A
247,194,\ref,N/A
248,195,\cite,tabuada-vdb
249,196,\bibliographystyle,alphamod
250,197,\let,N/A
251,197,\mathbb,N/A
