,Line num,Command
0,1,\usepackage
1,3,\usepackage
2,5,\textwidth
3,6,\oddsidemargin
4,7,\evensidemargin
5,9,\usepackage
6,10,\usepackage
7,11,\usepackage
8,12,\usepackage
9,17,\usepackage
10,21,\usepackage
11,22,\fxusetheme
12,24,\usepackage
13,26,\def
14,26,\shane
15,26,\color
16,27,\def
17,27,\elden
18,27,\color
19,28,\def
20,28,\marc
21,28,\color
22,29,\def
23,29,\ryomei
24,29,\color
25,32,\usepackage
26,34,\setlist
27,34,\arabic
28,34,\parskip
29,35,\setlist
30,35,\parskip
31,37,\newlist
32,38,\setlist
33,38,\em
34,38,\roman
35,38,\roman
36,39,\parskip
37,40,\setlist
38,40,\em
39,40,\alph
40,40,\alph
41,41,\parskip
42,43,\newlist
43,44,\setlist
44,44,\roman
45,44,\roman
46,44,\parskip
47,46,\setlist
48,46,\alph
49,46,\alph
50,46,\parskip
51,52,\makeatletter
52,53,\let
53,53,\c
54,53,\c
55,54,\let
56,54,\theequation
57,54,\thesubsubsection
58,55,\let
59,55,\theHequation
60,55,\theHsubsubsection
61,56,\makeatother
62,58,\newtheorem
63,59,\newtheorem
64,60,\newtheorem
65,61,\newtheorem
66,62,\newtheorem
67,63,\newtheorem
68,64,\newtheorem
69,65,\newtheorem
70,66,\newtheorem
71,67,\newtheorem
72,68,\newtheorem
73,69,\newtheorem
74,70,\newtheorem
75,72,\newtheorem
76,73,\newtheorem
77,74,\newtheorem
78,75,\newtheorem
79,78,\newcommand
80,78,\thenotation
81,80,\theoremstyle
82,81,\newtheorem
83,83,\newtheorem
84,85,\newtheorem
85,86,\newtheorem
86,87,\newtheorem
87,88,\newtheorem
88,90,\newcommand
89,90,\propconstrref
90,90,\ref
91,91,\newcommand
92,91,\lemconstrref
93,91,\ref
94,92,\newcommand
95,92,\thmref
96,92,\ref
97,93,\newcommand
98,93,\qthmref
99,93,\ref
100,94,\newcommand
101,94,\qlemref
102,94,\ref
103,95,\newcommand
104,95,\secref
105,95,\ref
106,96,\newcommand
107,96,\ssecref
108,96,\sectsign
109,96,\ref
110,97,\newcommand
111,97,\sssecref
112,97,\ref
113,98,\newcommand
114,98,\lemref
115,98,\ref
116,99,\newcommand
117,99,\propref
118,99,\ref
119,100,\newcommand
120,100,\corref
121,100,\ref
122,101,\newcommand
123,101,\conjref
124,101,\ref
125,102,\newcommand
126,102,\remref
127,102,\ref
128,103,\newcommand
129,103,\defref
130,103,\ref
131,104,\newcommand
132,104,\questref
133,104,\ref
134,105,\newcommand
135,105,\constrref
136,105,\ref
137,106,\newcommand
138,106,\notatref
139,106,\ref
140,107,\newcommand
141,107,\examref
142,107,\ref
143,108,\renewcommand
144,108,\eqref
145,108,\ref
146,109,\newcommand
147,109,\itemref
148,109,\ref
149,112,\usepackage
150,113,\usetikzlibrary
151,114,\usepackage
152,120,\newcommand
153,120,\changelocaltocdepth
154,121,\addtocontents
155,121,\protect
156,121,\setcounter
157,122,\setcounter
158,125,\usepackage
