,Line num,Command,Notes
0,2,\documentclass,amsart
1,3,\usepackage,"amsmath,amssymb,amscd,amsthm,amsxtra,array,soul"
2,4,\usepackage,inputenc
3,5,\usepackage,graphicx
4,6,\usepackage,xcolor
5,7,\usepackage,hyperref
6,8,\newtheorem,N/A
7,9,\newtheorem,N/A
8,10,\newtheorem,N/A
9,11,\newtheorem,N/A
10,12,\newtheorem,N/A
11,13,\newtheorem,N/A
12,14,\theoremstyle,definition
13,15,\newtheorem,N/A
14,16,\newtheorem,N/A
15,17,\newtheorem,N/A
16,18,\theoremstyle,remark
17,19,\newtheorem,N/A
18,20,\numberwithin,N/A
19,21,\DeclareMathOperator,N/A
20,21,\esssup,N/A
21,22,\DeclareMathOperator,N/A
22,22,\essinf,N/A
23,23,\DeclareMathOperator,N/A
24,23,\BMO,N/A
25,24,\DeclareMathOperator,N/A
26,24,\bmo,N/A
27,25,\DeclareMathOperator,N/A
28,25,\supp,N/A
29,26,\newcommand,\absval -> \mbox{ }
30,27,\newcommand,\cd -> \mathcal D
31,28,\def,{\mathbb R
32,28,\R,{\mathbb R
33,28,\mathbb,{\mathbb R
34,29,\newcommand,\RN  -> \mathbb R^n
35,30,\newcommand,\norm -> \mbox{ }
36,31,\newcommand,\note
37,32,\fbox,N/A
38,32,\parbox,N/A
39,32,\linewidth,N/A
40,32,\footnotesize,N/A
41,32,\vskip,N/A
42,33,\def,N/A
43,33,\Xint,N/A
44,33,\mathchoice,N/A
45,33,\XXint,N/A
46,33,\displaystyle,N/A
47,33,\textstyle,N/A
48,33,\XXint,N/A
49,33,\textstyle,N/A
50,33,\scriptstyle,N/A
51,33,\XXint,N/A
52,33,\scriptstyle,N/A
53,33,\scriptscriptstyle,N/A
54,33,\XXint,N/A
55,33,\scriptscriptstyle,N/A
56,33,\scriptscriptstyle,N/A
57,34,\int,N/A
58,35,\def,{\setbox0=\hbox{ 
59,35,\XXint,{\setbox0=\hbox{ 
60,35,\setbox0,{\setbox0=\hbox{ 
61,35,\hbox,{\setbox0=\hbox{ 
62,36,\vcenter,\hbox{ 
63,36,\hbox,\hbox{ 
64,36,\kern,\hbox{ 
65,36,\wd0,\hbox{ 
66,37,\def,\Xint=
67,37,\ddashint,\Xint=
68,37,\Xint,\Xint=
69,38,\def,\Xint-
70,38,\avgint,\Xint-
71,38,\Xint,\Xint-
72,39,\newcommand,\vertiii
73,40,\right,N/A
74,40,\vert,N/A
75,40,\kern,N/A
76,40,\right,N/A
77,40,\vert,N/A
78,40,\kern,N/A
79,40,\right,N/A
80,40,\vert,N/A
81,41,\numberwithin,N/A
82,42,\allowdisplaybreaks,N/A
83,43,document,Environment
84,44,\title,Minimal conditions for BMO
85,45,\author,Javier Canto
86,46,\address,N/A
87,46,\textendash,N/A
88,48,\email,jcanto@bcamath.org
89,49,\author,Carlos P\'erez
90,50,\address,N/A
91,52,\textendash,N/A
92,54,\email,cperez@bcamath.org
93,55,\author,Ezequiel Rela
94,56,\address,N/A
95,59,\email,erela@dm.uba.ar
96,60,\thanks," J.C. and C.P. are supported by the Ministerio de Econom\'ia y Competitividad (Spain) through grant MTM2017-82160-C2-1-P and SEV-2017-0718, and by Basque Government through grant IT-641-13 and BERC 2018-2021. "
97,61,\thanks,"J.C. is also supported by Basque Government through ``Ayuda para la formaci\'on de personal investigador no doctor""."
98,62,\thanks,C.P. is supported by IKERBASQUE.
99,63,\thanks,"E.R. is partially supported by grants UBACyT 20020170200057BA, PIP (CONICET) 11220110101018, by the Basque Government through the BERC 2014-2017 program, and by the Spanish Ministry of Economy and Competitiveness MINECO: BCAM Severo Ochoa accreditation SEV-2013-0323. This project has received funding from the European Union's Horizon 2020 research and innovation programme under the Marie Sklodowska-Curie grant agreement No 777822"
100,64,\subjclass,Primary: 42B25. Secondary: 42B20.
101,65,\keywords,BMO
102,66,abstract,Environment
103,70,\maketitle,N/A
104,71,\section,N/A
105,71,\label,N/A
106,72,\cite,JN
107,75,\cite,N/A
108,75,\cite,N/A
109,75,\cite,N/A
110,75,\cite,N/A
111,75,\cite,N/A
112,77,equation,Environment
113,78,\BMO,N/A
114,78,\sup_,N/A
115,78,\avgint_Q,N/A
116,78,\infty,N/A
117,81,equation,Environment
118,82,\BMO,N/A
119,82,\simeq,N/A
120,82,\sup_,N/A
121,82,\inf_,N/A
122,82,\in,N/A
123,82,\R,N/A
124,82,\avgint_Q,N/A
125,86,\varphi,N/A
126,88,theorem,Environment
127,90,equation,Environment
128,91,\varphi,N/A
129,91,\BMO_,N/A
130,91,\varphi,N/A
131,91,\leq,N/A
132,91,\BMO,N/A
133,91,\leq,N/A
134,91,\big,N/A
135,91,\varphi,N/A
136,91,\big,N/A
137,91,\varphi,N/A
138,91,\big,N/A
139,91,\big,N/A
140,91,\big,N/A
141,91,\BMO_,N/A
142,91,\varphi,N/A
143,94,remark,Environment
144,98,\ref,N/A
145,98,\cite,N/A
146,98,\eqref,N/A
147,99,equation,Environment
148,100,\varphi,N/A
149,100,\sup,N/A
150,100,\text,N/A
151,101,\avgint_J,N/A
152,101,\varphi,N/A
153,101,\left,N/A
154,101,\left,N/A
155,101,\right,N/A
156,101,\right,N/A
157,104,\eqref,eq:LSSVZ-Kh
158,105,\ref,thm:Main-Cubes
159,106,\cite,LSSVZ-BMO
160,107,theorem,Environment
161,109,theorem,Environment
162,110,\ref,thm:Main-Cubes
163,111,equation,Environment
164,112,\varphi,N/A
165,112,\BMO_,N/A
166,112,\varphi,N/A
167,112,\mathbb,N/A
168,112,\leq,N/A
169,112,\BMO,N/A
170,112,\mathbb,N/A
171,112,\leq,N/A
172,112,\varphi,N/A
173,112,\BMO_,N/A
174,112,\varphi,N/A
175,112,\mathbb,N/A
176,116,\cite,N/A
177,116,\emph,N/A
178,117,equation,Environment
179,118,\le,N/A
180,118,\alpha,N/A
181,118,\qquad,N/A
182,118,\in,N/A
183,118,\supp,N/A
184,121,equation,Environment
185,122,\BMO,N/A
186,122,\sup_,N/A
187,122,\avgint_Q,N/A
188,122,\infty,N/A
189,125,equation,Environment
190,126,\BMO_,N/A
191,126,\varphi,N/A
192,126,\sup_,N/A
193,127,\inf_,N/A
194,127,\in,N/A
195,127,\R,N/A
196,127,\inf,N/A
197,127,\left,N/A
198,127,\frac,N/A
199,128,\int_Q,N/A
200,128,\varphi,N/A
201,128,\left,N/A
202,128,\frac,N/A
203,128,\right,N/A
204,128,\leq,N/A
205,128,\right,N/A
206,128,\infty,N/A
207,130,theorem,Environment
208,131,\ref,thm:Main-Cubes
209,133,equation,Environment
210,134,\varphi,N/A
211,134,\BMO_,N/A
212,134,\varphi,N/A
213,134,\leq,N/A
214,134,\BMO,N/A
215,134,\leq,N/A
216,134,\varphi,N/A
217,134,\BMO_,N/A
218,134,\varphi,N/A
219,137,\cite,N/A
220,137,\ref,N/A
221,138,\ref,thm:non-doubling
222,139,\cite,N/A
223,139,\ref,N/A
224,139,\ref,N/A
225,141,\cite,Hart-Torres-19
226,142,definition,Environment
227,146,equation,Environment
228,147,\bmo_, \bmo_\varphi(\mu) 
229,147,\varphi, \bmo_\varphi(\mu) 
230,147,\sup_R, \bmo_\varphi(\mu) 
231,147,\inf_c, \bmo_\varphi(\mu) 
232,148,\varphi,"\varphi,R, \mu "
233,148,\infty,"\varphi,R, \mu "
234,152,\eqref,eq:luxemburg
235,153,equation,Environment
236,154,\varphi,"\varphi,R,\mu"
237,155,\inf,N/A
238,155,\left,N/A
239,155,\frac,N/A
240,156,\int_R,N/A
241,156,\varphi,N/A
242,156,\left,N/A
