,Line num,Command,Notes
0,1,\documentclass,amsart
1,2,\usepackage,"amssymb,verbatim,enumerate,ifthen"
2,3,\usepackage,cite
3,4,\usepackage,eucal
4,5,\usepackage,inputenc
5,6,\usepackage,fontenc
6,7,\usepackage,esint
7,8,\usepackage,geometry
8,9,\textheight,N/A
9,10,\textwidth,N/A
10,11,\newtheorem,N/A
11,12,\newtheorem,N/A
12,13,\newtheorem,N/A
13,14,\newtheorem,N/A
14,15,\newtheorem,N/A
15,16,\theoremstyle,definition
16,17,\newtheorem,N/A
17,18,\newtheorem,N/A
18,19,\newtheorem,N/A
19,20,\newtheorem,N/A
20,21,\numberwithin,N/A
21,22,\def,Nested
22,22,\ref,#1
23,22,\eq,Nested
24,22,\ref,#1
25,22,\rm,Nested
26,22,\ref,#1
27,22,\ref,Nested
28,22,\ref,#1
29,24,\newcommand,\mathrm{id}
30,25,\def,Nested
31,25,\A,Nested
32,25,\mathscr,Nested
33,26,\def,Nested
34,26,\B,Nested
35,26,\mathscr,Nested
36,27,\def,Nested
37,27,\D,Nested
38,27,\mathscr,Nested
39,28,\def,Nested
40,28,\E,Nested
41,28,\mathscr,Nested
42,29,\def,Nested
43,29,\G,Nested
44,29,\mathscr,Nested
45,30,\def,Nested
46,30,\M,Nested
47,30,\mathscr,Nested
48,31,\def,Nested
49,31,\Nm,Nested
50,31,\mathscr,Nested
51,32,\def,Nested
52,32,\P,Nested
53,32,\mathscr,Nested
54,33,\def,N/A
55,33,\Cts,N/A
56,33,\mathcal,N/A
57,34,\def,Nested
58,34,\C,Nested
59,34,\mathcal,Nested
60,35,\def,Nested
61,35,\S,Nested
62,35,\mathcal,Nested
63,36,\def,Nested
64,36,\calM,Nested
65,36,\mathcal,Nested
66,37,\def,Nested
67,37,\calQ,Nested
68,37,\mathcal,Nested
69,38,\newcommand,\operator -> \mathop{\vphantom{\sum}\mathchoice{\vcenter{\hbox{\LARGE  }} -> \vcenter{\hbox{\large  }} -> #1 -> #1}}\displaylimits
70,39,\newcommand,\mathbb{R}
71,40,\newcommand,\mathbb{K}
72,41,\newcommand,\mathbb{N}
73,42,\newcommand,\mathbb{Z}
74,43,\newcommand,\mathbb{Q}
75,44,\newcommand,\textrm{Cyc}
76,45,\newcommand,\QA -> \A_{#1}
77,46,\newcommand,\norm -> \left\| #1 \right\| 
78,47,\newcommand,\abs -> \left| #1 \right| 
79,48,\newcommand,\ceil -> \left\lceil #1 \right\rceil
80,49,\newcommand,\floor -> \left\lfloor #1 \right\rfloor
81,50,\DeclareMathOperator,N/A
82,50,\sign,N/A
83,51,\DeclareMathOperator,N/A
84,51,\Rg,N/A
85,52,\DeclareMathOperator,N/A
86,52,\Aff,N/A
87,53,\DeclareMathOperator,N/A
88,53,\Span,N/A
89,54,\DeclareMathOperator,N/A
90,54,\conv,N/A
91,55,\DeclareMathOperator,N/A
92,55,\conc,N/A
93,56,\DeclareMathOperator,N/A
94,56,\cone,N/A
95,57,\title,On the Jensen convex and Jensen concave envelopes of means
96,58,\author,Zsolt P\'ales
97,59,\address,Nested
98,60,\email,pales@science.unideb.hu
99,61,\author,Pawe\l{
100,61,\l,Nested
101,62,\address,N/A
102,63,\k,N/A
103,64,\email,pawel.pasteczka@up.krakow.pl
104,65,\thanks,Nested
105,66,\keywords,Mean; Quasiarithmetic mean; Jensen convexity; Jensen concavity
106,67,\subjclass,"26D15, 26E60, 39B62"
107,68,document,Environment
108,69,abstract,Environment
109,72,\maketitle,N/A
110,73,\section,Introduction
111,75,\Eq,N/A
112,75,\Nm,N/A
113,75,\Big,N/A
114,75,\M,N/A
115,75,\dots,N/A
116,75,\M,N/A
117,75,\dots,N/A
118,75,\dots,N/A
119,75,\M,N/A
120,75,\dots,N/A
121,75,\Big,N/A
122,75,\qquad,N/A
123,75,\le,N/A
124,75,\M,N/A
125,75,\Big,N/A
126,75,\Nm,N/A
127,75,\dots,N/A
128,75,\Nm,N/A
129,75,\dots,N/A
130,75,\dots,N/A
131,75,\Nm,N/A
132,75,\dots,N/A
133,75,\Big,N/A
134,76,\cite,Nested
135,76,\cite,Ked94
136,76,\cite,Nested
137,76,\cite,Ked94
138,76,\cite,Nested
139,76,\cite,Ked94
140,77,\Eq,*
141,77,\Nm,*
142,77,\Big,*
143,77,\M,*
144,77,\dots,*
145,77,\M,*
146,77,\dots,*
147,77,\Big,*
148,78,\le,N/A
149,78,\M,N/A
150,78,\Big,N/A
151,78,\Nm,N/A
152,78,\dots,N/A
153,78,\Nm,N/A
154,78,\dots,N/A
155,78,\Big,N/A
156,79,\cite,ChuPalPas19
157,81,enumerate,Environment
158,82,\item,N/A
159,83,\item,N/A
160,85,\cite,BerDoe15
161,86,\cite,PalPas19a
162,87,\ref,Nested
163,87,\ref,Nested
164,88,\medskip,N/A
165,90,\cite,Nested
166,90,\emph,Nested
167,91,\Eq,N/A
168,91,\QA,N/A
169,91,\bigg,N/A
170,91,\frac,N/A
171,91,\cdots,N/A
172,91,\bigg,N/A
173,91,\qquad,N/A
174,91,\text,N/A
175,91,\in,N/A
176,91,\N,N/A
177,91,\text,N/A
178,91,\dots,N/A
179,91,\in,N/A
180,92,\cite,Kno28
181,93,\cite,Nested
182,93,\cite,Nested
183,94,\cite,Nested
184,94,\cite,PalPas18a
185,94,\ref,thm:QAconvex
186,94,\cite,Nested
187,94,\cite,PalPas18a
188,94,\ref,thm:QAconvex
189,94,\ref,Nested
190,94,\cite,PalPas18a
191,94,\ref,thm:QAconvex
192,94,\cite,Nested
193,94,\cite,PalPas18a
194,94,\ref,thm:QAconvex
195,95,\section,Nested
196,95,\label,Nested
197,97,defin,Environment
198,98,\emph, -convex (resp.  -concave) envelopes
199,99,\Eq,N/A
200,99,\conv_,N/A
201,99,\S,N/A
202,99,\sup,N/A
203,99,\colon,N/A
204,99,\in,N/A
205,99,\S,N/A
206,99,\text,N/A
207,99,\le,N/A
208,99,\conc_,N/A
209,99,\S,N/A
210,99,\inf,N/A
211,99,\colon,N/A
212,99,\in,N/A
213,99,\S,N/A
214,99,\text,N/A
215,99,\ge,N/A
216,105,\subsection,Evelopes in a family of means
217,106,\emph, -variable mean on  
218,107,\Eq,N/A
219,107,\min,N/A
220,107,\dots,N/A
221,107,\le,N/A
222,107,\M,N/A
223,107,\dots,N/A
224,107,\le,N/A
225,107,\max,N/A
226,107,\dots,N/A
227,107,\quad,N/A
228,107,\text,N/A
229,107,\dots,N/A
230,107,\in,N/A
231,109,\emph,permutation-closed
232,110,\Eq,N/A
233,110,\M_,N/A
234,110,\dots,N/A
235,110,\M,N/A
236,110,\dots,N/A
237,111,\quad,N/A
238,111,\dots,N/A
239,111,\in,N/A
240,112,\emph,N/A
241,112,\emph,N/A
242,113,thm,Environment
243,116,proof,Environment
244,119,\Eq,*
245,119,\frac1n,*
246,120,\sum_,N/A
247,120,\in,N/A
248,120,\Cyc_n,N/A
249,120,\M,N/A
250,120,\dots,N/A
251,121,\ge,N/A
252,121,\frac1n,N/A
253,121,\sum_,N/A
254,121,\in,N/A
255,121,\Cyc_n,N/A
256,121,\Nm,N/A
257,121,\dots,N/A
258,123,\Eq,N/A
259,123,\frac1n,N/A
260,123,\sum_,N/A
261,123,\in,N/A
262,123,\Cyc_n,N/A
263,123,\Nm,N/A
264,123,\dots,N/A
265,124,\ge,N/A
266,124,\Nm,N/A
267,124,\bigg,N/A
268,124,\frac1n,N/A
269,124,\sum_,N/A
270,124,\in,N/A
271,124,\Cyc_n,N/A
272,124,\dots,N/A
273,124,\frac1n,N/A
274,124,\sum_,N/A
275,124,\in,N/A
276,124,\Cyc_n,N/A
277,124,\bigg,N/A
278,124,\Nm,N/A
279,124,\bigg,N/A
280,124,\frac,N/A
281,124,\dots,N/A
282,124,\dots,N/A
283,124,\frac,N/A
284,124,\dots,N/A
285,124,\bigg,N/A
286,124,\frac,N/A
287,124,\dots,N/A
288,126,\M,N/A
289,127,\ge,N/A
290,127,\A_n,N/A
291,127,\A_n,N/A
292,127,\M,N/A
293,127,\ge,N/A
294,127,\conv_,N/A
295,127,\S,N/A
296,127,\M,N/A
297,127,\ge,N/A
298,127,\A_n,N/A
299,130,lem,Environment
300,134,proof,Environment
301,135,\conv_,N/A
302,135,\S,N/A
303,135,\M,N/A
304,136,\le,N/A
305,136,\conv_,N/A
306,136,\S,N/A
307,136,\M,N/A
308,139,\subsection,Reflected means
309,140,\cite,Nested
310,140,\emph,Nested
311,141,\Eq,N/A
312,141,\widehat,N/A
313,141,\M,N/A
314,141,\dots,N/A
315,141,\M,N/A
316,141,\dots,N/A
317,146,lem,Environment
318,149,proof,Environment
319,151,\Eq,N/A
320,151,\widehat,N/A
321,151,\conc_,N/A
322,151,\S,N/A
323,151,\M,N/A
324,151,\conc_,N/A
325,151,\S,N/A
326,151,\M,N/A
327,151,\inf,N/A
328,151,\Nm,N/A
329,151,\colon,N/A
330,151,\Nm,N/A
331,151,\in,N/A
332,151,\S,N/A
333,151,\Nm,N/A
334,151,\text,N/A
335,151,\Nm,N/A
336,151,\ge,N/A
337,151,\M,N/A
338,151,\sup,N/A
339,151,\widehat,N/A
340,151,\Nm,N/A
341,151,\colon,N/A
342,151,\Nm,N/A
343,151,\in,N/A
344,151,\S,N/A
345,151,\Nm,N/A
346,151,\text,N/A
347,151,\Nm,N/A
348,151,\ge,N/A
349,151,\M,N/A
350,151,\sup,N/A
351,151,\widehat,N/A
352,151,\Nm,N/A
353,151,\colon,N/A
354,151,\widehat,N/A
355,151,\Nm,N/A
356,151,\in,N/A
357,151,\widehat,N/A
358,151,\S,N/A
359,151,\widehat,N/A
360,151,\Nm,N/A
361,151,\text,N/A
362,151,\widehat,N/A
363,151,\Nm,N/A
364,151,\le,N/A
365,151,\widehat,N/A
366,151,\M,N/A
367,151,\conv_,N/A
368,151,\widehat,N/A
369,151,\S,N/A
370,151,\widehat,N/A
371,151,\M,N/A
372,154,\section,Nested
373,154,\label,Nested
374,156,thm,Environment
375,158,enumerate,Environment
376,159,\item,N/A
377,160,\item,N/A
378,163,proof,Environment
379,164,\cite,PalPas18a
380,165,\ref,thm:M-A
381,166,\cite,Pal88a
382,168,\Eq,N/A
383,168,\big,N/A
384,168,\tfrac,N/A
385,168,\big,N/A
386,168,\big,N/A
387,168,\tfrac,N/A
388,168,\big,N/A
389,168,\le,N/A
390,171,\Eq,N/A
391,171,\frac,N/A
392,171,\big,N/A
393,171,\frac,N/A
394,171,\big,N/A
395,171,\big,N/A
396,171,\frac,N/A
397,171,\big,N/A
398,171,\le,N/A
399,172,\cdot,N/A
400,172,\frac,N/A
401,174,\Eq,N/A
402,174,\tfrac12,N/A
403,174,\cdot,N/A
404,174,\big,N/A
405,174,\tfrac,N/A
406,174,\big,N/A
407,174,\le,N/A
408,176,\Eq,N/A
409,176,\frac,N/A
410,176,\big,N/A
411,176,\frac,N/A
412,176,\big,N/A
413,176,\leq,N/A
414,178,\Eq,N/A
415,178,\le,N/A
416,178,\frac,N/A
417,178,\big,N/A
418,178,\frac,N/A
419,178,\big,N/A
420,180,\Eq,N/A
421,180,\frac,N/A
422,180,\big,N/A
423,180,\frac,N/A
424,180,\big,N/A
425,180,\le,N/A
426,180,\le,N/A
427,180,\frac,N/A
428,180,\big,N/A
429,180,\frac,N/A
430,180,\big,N/A
431,181,\eq,E:DI
432,182,\Eq,N/A
433,182,\frac,N/A
434,182,\le,N/A
435,182,\frac,N/A
436,183,\eq,E:DI
437,184,\Eq,N/A
438,184,\frac,N/A
439,184,\big,N/A
440,184,\frac,N/A
441,184,\big,N/A
442,184,\qquad,N/A
443,184,\frac,N/A
444,184,\big,N/A
445,184,\frac,N/A
446,184,\big,N/A
447,184,\qquad,N/A
448,184,\in,N/A
449,185,\eq,E:condC
450,186,\Eq,N/A
451,186,\frac,N/A
452,186,\big,N/A
453,186,\tfrac,N/A
454,186,\big,N/A
455,186,\big,N/A
456,186,\tfrac,N/A
457,186,\big,N/A
458,186,\big,N/A
459,186,\frac,N/A
460,186,\big,N/A
461,186,\le,N/A
462,186,\frac12,N/A
463,186,\bigg,N/A
464,186,\frac,N/A
465,186,\frac,N/A
466,186,\bigg,N/A
467,186,\qquad,N/A
468,186,\in,N/A
469,188,\Eq,N/A
470,188,\frac,N/A
471,191,\Eq,N/A
472,191,\frac,N/A
473,191,\frac,N/A
474,191,\ge,N/A
475,191,\cdot,N/A
476,191,\qquad,N/A
477,191,\text,N/A
478,191,\in,N/A
479,193,\Eq,N/A
480,193,\frac,N/A
481,193,\ge,N/A
482,193,\cdot,N/A
483,195,\Eq,N/A
484,195,\frac,N/A
485,195,\frac,N/A
486,195,\frac,N/A
487,195,\ge,N/A
488,197,\Eq,N/A
489,197,\frac,N/A
490,197,\ge,N/A
491,199,\Eq,N/A
492,199,\frac,N/A
493,199,\le,N/A
494,201,\Eq,N/A
495,201,\ge0,N/A
496,201,\qquad,N/A
497,201,\text,N/A
498,201,\in,N/A
499,205,thm,Environment
500,209,proof,Environment
501,212,\Eq,N/A
502,212,\in,N/A
503,212,\mathcal,N/A
504,212,\colon,N/A
505,212,\QA,N/A
506,212,\text,N/A
507,212,\QA,N/A
508,212,\le,N/A
509,212,\QA,N/A
510,214,\Eq,N/A
511,214,\in,N/A
512,214,\Cts,N/A
513,214,\colon,N/A
514,214,\QA,N/A
515,214,\text,N/A
516,214,\QA,N/A
517,214,\le,N/A
518,214,\QA,N/A
519,216,\Eq,N/A
520,216,\conv_,N/A
521,216,\calQ,N/A
522,216,\QA,N/A
523,217,\sup,N/A
524,217,\QA,N/A
525,217,\colon,N/A
526,217,\in,N/A
527,217,\qquad,N/A
528,217,\text,N/A
529,217,\in,N/A
530,217,\bigcup_,N/A
531,217,\infty,N/A
532,220,\Eq,N/A
533,220,\conv_,N/A
534,220,\calQ,N/A
535,220,\QA,N/A
536,221,\sup,N/A
537,221,\QA,N/A
538,221,\colon,N/A
539,221,\in,N/A
540,221,\qquad,N/A
541,221,\text,N/A
542,221,\in,N/A
543,221,\bigcup_,N/A
544,221,\infty,N/A
545,222,\ref,thm:QAconvex
546,224,\Eq,N/A
547,224,\big,N/A
548,224,\in,N/A
549,224,\Cts,N/A
550,224,\colon,N/A
551,224,\text,N/A
552,224,\tfrac,N/A
553,224,\text,N/A
554,224,\tfrac,N/A
555,224,\ge,N/A
556,224,\tfrac,N/A
557,224,\big,N/A
558,227,\ref,thm:QAconvex
559,229,\eq,IneqU0
560,230,\eq,IneqU0
561,232,\ref,lem:reflected
562,233,cor,Environment
563,237,thebibliography,Environment
564,238,\bibitem,BerDoe15
565,240,\newblock,N/A
566,241,\newblock,Nested
567,241,\em,Nested
568,242,\bibitem,CarMeaNel71
569,244,\newblock,Mixed arithmetic and geometric means.
570,245,\newblock,Nested
571,245,\em,Nested
572,246,\bibitem,ChuGlaJarJar19
573,248,\newblock,On weighted quasi-arithmetic means which are convex
574,249,\newblock,Nested
575,249,\em,Nested
576,250,\bibitem,ChuPalPas19
577,252,\newblock,N/A
578,253,\newblock,Nested
579,253,\em,Nested
580,254,\bibitem,Def31
581,256,\newblock,{S
582,257,\newblock,Nested
583,257,\em,Nested
584,259,\bibitem,Ked94
585,261,\newblock,"Proof of a mixed arithmetic-mean, geometric-mean inequality"
586,262,\newblock,Nested
587,262,\em,Nested
588,263,\bibitem,Kno28
589,265,\newblock,N/A
590,266,\newblock,Nested
591,266,\em,Nested
592,267,\bibitem,Kol30
593,269,\newblock,{S
594,270,\newblock,Nested
595,270,\em,Nested
596,271,\bibitem,Mik48
597,273,\newblock,Sur les moyennes de la forme{ 
598,274,\newblock,Nested
599,274,\em,Nested
600,275,\bibitem,Nag30
601,277,\newblock,N/A
602,278,\newblock,Nested
603,278,\em,Nested
604,279,\bibitem,Pas13
605,281,\newblock,When is a family of generalized means a scale?
606,282,\newblock,Nested
607,282,\em,Nested
608,283,\bibitem,Pas15d
609,285,\newblock,A new estimate of the difference among quasi-arithmetic means
610,286,\newblock,Nested
611,286,\em,Nested
612,287,\bibitem,Pas18c
613,289,\newblock,Lower estimation of the difference between quasi-arithmetic means
614,290,\newblock,Nested
615,290,\em,Nested
616,291,\bibitem,Pas20a
617,293,\newblock,N/A
618,294,\newblock,Nested
619,294,\em,Nested
620,295,\bibitem,Pal88a
621,297,\newblock,General inequalities for quasideviation means
622,298,\newblock,Nested
623,298,\em,Nested
624,299,\bibitem,PalPas16
625,301,\newblock,N/A
626,302,\newblock,Nested
627,302,\em,Nested
628,303,\bibitem,PalPas18b
629,305,\newblock,On{K
630,306,\newblock,Nested
631,306,\em,Nested
632,307,\bibitem,PalPas18a
633,309,\newblock,On the best{H
634,311,\newblock,Nested
635,311,\em,Nested
636,312,\bibitem,PalPas19a
637,314,\newblock,On the homogenization of means
638,315,\newblock,Nested
639,315,\em,Nested
640,316,\bibitem,Sad06
641,318,\newblock,N/A
642,320,\newblock,Nested
643,320,\em,Nested
