,Line num,Command
0,30,\documentclass
1,50,\usepackage
2,51,\usepackage
3,52,\usepackage
4,53,\usepackage
5,54,\usepackage
6,55,\usepackage
7,56,\usepackage
8,57,\setlength
9,57,\topmargin
10,57,\setlength
11,57,\textheight
12,59,\setlength
13,59,\oddsidemargin
14,61,\setlength
15,61,\evensidemargin
16,61,\setlength
17,61,\textwidth
18,63,\setlength
19,63,\arraycolsep
20,66,\newtheorem
21,66,\it
22,67,\newtheorem
23,68,\newtheorem
24,69,\newtheorem
25,70,\newtheorem
26,71,\newtheorem
27,72,\newtheorem
28,73,\newtheorem
29,74,\newtheorem
30,75,\newtheorem
31,76,\newtheorem
32,77,\newtheorem
33,78,\newtheorem
34,81,\newtheorem
35,82,\newtheorem
36,83,\newtheorem
37,84,\newtheorem
38,85,\modulolinenumbers
39,97,document
40,121,\title
41,128,\author
42,129,\address
43,131,\email
44,138,\author
45,139,\address
46,141,\email
47,146,abstract
48,150,\ref
49,150,\ref
50,150,\cdot
51,150,\circ
52,150,\ref
53,150,\ref
54,184,\maketitle
55,187,\section
56,187,\label
57,190,\emph
58,190,\mathcal
59,190,\mathcal
60,191,\mathcal
61,191,\ref
62,192,\rightarrow
63,192,\infty
64,192,\subset
65,192,\infty
66,193,\mathcal
67,193,\rightarrow
68,193,\infty
69,194,\mathcal
70,194,\mathcal
71,194,\rightarrow
72,194,\infty
73,200,\cite
74,201,\cite
75,202,\cite
76,202,\mathcal
77,203,\cite
78,205,conjB
79,207,\mathcal
80,210,\cite
81,210,\cite
82,212,thmA
83,215,equation
84,216,\overline
85,216,\big
86,216,\big
87,218,\mathcal
88,223,thm
89,224,equation
90,228,\mathcal
91,235,thm
92,238,rmk
93,240,\dots
94,240,\cdots
95,240,\dots
96,240,\dots
97,240,\sum_
98,240,\in
99,240,\cdots
100,241,\emph
101,241,\dots
102,241,\emph
103,241,\neq
104,258,\mathcal
105,258,\mathcal
106,258,\mathcal
107,258,\cite
108,258,\mathcal
109,258,\mathcal
110,258,\rightarrow
111,258,\mathcal
112,258,\cdot
113,258,\cdot
114,258,\cdot
115,258,\in
116,258,\mathcal
117,260,\ref
118,261,\cite
119,261,\cite
120,263,\ref
121,264,\in
122,264,\mathcal
123,264,\in
124,264,\mathbb
125,264,\overline
126,264,\big
127,264,\big
128,264,\overline
129,264,\big
130,264,\big
131,264,\mathcal
132,264,\in
133,264,\mathcal
134,264,\mbox
135,264,\in
136,264,\mathcal
137,264,\in
138,264,\mathcal
139,264,\in
140,264,\mathcal
141,264,\mathcal
142,266,\in
143,266,\mathcal
144,266,\ref
145,266,\ref
146,268,\ref
147,268,\overline
148,273,thmB
149,274,\mathcal
150,274,\subset
151,274,\mathcal
152,274,\mathcal
153,274,\overline
154,274,\overline
155,274,\rightarrow
156,274,\infty
157,276,\overline
158,276,\overline
159,276,\mathcal
160,283,\cite
161,283,\cite
162,285,lemA
163,286,\dots
164,286,\dots
165,286,\mathbb
166,286,\dots
167,286,\neq
168,286,\dots
169,287,\to
170,287,\infty
171,289,\overline
172,289,\overline
173,289,\log
174,289,\alpha
175,289,\leq
176,289,\alpha
177,289,\mbox
178,289,\geq
179,292,\cite
180,292,\mathcal
181,292,\ref
182,292,\cite
183,292,\sin
184,292,\sin
185,292,\mathbb
186,292,\sin
187,294,\cite
188,294,\cite
189,295,thm
190,296,\mathbb
191,296,\circ
192,296,\mathcal
193,299,\cite
194,300,cor
195,301,\sin
196,301,\sin
197,301,\rightarrow
198,301,\infty
199,309,\circ
200,309,\ref
201,309,\ref
202,309,\ref
203,309,\ref
204,314,\ref
205,314,\ref
206,317,thm
207,318,\mathcal
208,318,\mathcal
209,318,\mathcal
210,318,\mathcal
211,318,\mathbb
212,318,\mathcal
213,319,enumerate
214,321,\item
215,321,\label
216,321,\in
217,321,\mathcal
218,321,\circ
219,321,\mathcal
220,323,\item
221,323,\label
222,323,\in
223,323,\mathcal
224,325,\in
225,325,\mathcal
226,325,\setminus
227,325,\mathcal
228,327,\item
229,327,\label
230,329,\in
231,329,\mathcal
232,329,\mathcal
233,331,label
234,335,\item
235,335,\label
236,335,\in
237,335,\mathcal
238,335,\in
239,335,\mathcal
240,335,\exp
241,335,\dots
242,335,\not
243,335,\equiv
244,335,\dots
245,335,\mathcal
246,341,\ref
247,341,\ref
248,341,\ref
249,341,\ref
250,341,\ref
251,341,\ref
252,341,\ref
253,341,\ref
254,341,\ref
255,349,\section
256,349,\label
257,350,\cite
258,352,\mathbb
259,352,\mathbb
260,352,\mathbb
261,352,\mathbb
262,352,\overline
263,352,\overline
264,352,\overline
265,353,\displaystyle
266,353,\int_0
267,353,\dfrac
268,353,\log
269,354,\overline
270,354,\displaystyle
271,354,\int_0
272,354,\dfrac
273,354,\overline
274,354,\overline
275,354,\overline
276,354,\log
277,356,\dfrac
278,356,\displaystyle
279,356,\int_0
280,356,\log
281,356,\left
282,356,\theta
283,356,\right
284,356,\theta
285,357,\log
286,357,\max
287,357,\log
288,357,\cite
289,359,\rho
290,359,\limsup_
291,359,\rightarrow
292,359,\infty
293,359,\frac
294,359,\log
295,359,\log
296,359,\liminf_
297,359,\rightarrow
298,359,\infty
299,359,\frac
300,359,\limsup_
301,359,\rightarrow
302,359,\infty
303,359,\frac
304,364,lem
305,365,\geq
306,365,\left
307,365,\frac
308,365,\right
309,365,\left
310,365,\frac
311,365,\right
312,365,\log
313,372,\section
314,372,\ref
315,372,\label
316,373,\ref
317,375,thmC
318,376,\leq
319,376,\leq
320,376,\mathbb
321,376,\leq
322,376,\leq
323,376,\mathbb
324,376,\rightarrow
325,376,\infty
326,377,\cdots
327,377,\cdots
328,377,\not
329,377,\equiv
330,377,\cdots
331,380,proof
332,382,\circ
333,382,\mathcal
334,382,\dots
335,382,\mathcal
336,383,\circ
337,383,\circ
338,383,\dots
339,383,\circ
340,383,\sum_
341,383,\circ
342,383,\dots
343,385,\mathrm
344,385,\cdots
345,386,\mathbb
346,386,\mathbb
347,390,rmk
348,391,\ref
349,391,\circ
350,392,\cdots
351,393,\cdots
352,394,\circ
353,399,\section
354,399,\ref
355,399,\label
356,400,\ref
357,400,\ref
358,407,lem
359,408,\dots
360,408,\dots
361,408,\mathcal
362,408,\sum_
363,408,\neq
364,408,\geq
365,408,\dots
366,408,\leq
367,408,\leq
368,411,rmk
369,414,proof
370,415,\dots
371,415,\dots
372,415,\mathcal
373,416,\dots
374,416,\mbox
375,416,\leq
376,416,\leq
377,417,\sum_
378,417,\quad
379,417,\mbox
380,417,\quad
381,417,\in
382,418,\geq
383,418,\sum_
384,418,\in
385,418,\dots
386,420,\in
387,420,\mathcal
388,422,\in
389,422,\mathbb
390,424,\noindent
391,424,\textbf
392,424,\geq
393,424,\displaystyle
394,424,\sum_
395,424,\in
396,424,\dots
397,425,eqnarray
398,426,\leq
399,426,\left
400,426,\frac
401,426,\dots
402,426,\right
403,427,\leq
404,427,\sum_
405,427,\in
406,427,\left
407,427,\frac
408,427,\cdots
409,427,\right
410,430,\noindent
411,430,\textbf
412,430,\leq
413,430,\displaystyle
414,430,\sum_
415,430,\leq
416,430,\leq
417,431,eqnarray
418,432,\left
419,432,\sum_
420,432,\frac
421,432,\dots
422,432,\right
423,433,\leq
424,433,\sum_
425,433,\left
426,433,\frac
427,433,\dots
428,433,\right
429,434,\leq
430,434,\sum_
431,434,\sum_
432,434,\in
433,434,\left
434,434,\frac
435,434,\cdots
436,434,\right
437,436,\left
438,436,\frac
439,436,\dots
440,436,\right
441,436,\leq
442,436,\in
443,436,\mathbb
444,436,\in
445,436,\mathcal
446,436,\leq
447,438,\leq
448,442,lem
449,444,proof
450,446,lem
451,447,\circ
452,447,\rightarrow
453,447,\infty
454,451,proof
455,452,\ref
456,452,\mathcal
457,452,\circ
458,452,\mathcal
459,455,\circ
460,455,\leq
461,456,\ref
462,456,\circ
463,456,\circ
464,456,\mathcal
465,456,\circ
466,456,\dots
467,456,\mathcal
468,456,\mathcal
469,456,\circ
470,457,\ref
471,457,\mathcal
472,457,\left
473,457,\dfrac
474,457,\circ
475,457,\right
476,457,\circ
477,458,\cite
478,459,eqnarray
479,460,\circ
480,460,\circ
481,460,\circ
482,461,\circ
483,461,\circ
484,461,\circ
485,462,\leq
486,462,\circ
487,462,\circ
488,465,\ref
489,465,\not
490,465,\equiv
491,465,\mathcal
492,465,\mathcal
493,465,\in
494,465,\mathcal
495,469,\mathcal
496,469,\dots
497,469,\mathcal
498,469,\mathcal
499,469,\ref
500,469,\mathcal
501,469,\left
502,469,\dfrac
503,469,\right
504,471,eqnarray
505,474,\leq
506,478,\ref
507,478,\in
508,478,\mathcal
509,478,\dots
510,478,\mathcal
511,478,\dots
512,478,\equiv
513,478,\dots
514,478,\dots
515,479,\dots
516,479,\equiv
517,479,\dots
518,479,\leq
519,481,\mathcal
520,481,\in
521,481,\mathcal
522,481,\dots
523,481,\dots
524,481,\not
525,481,\equiv
526,481,\ref
527,481,\left
528,481,\frac
529,481,\right
530,481,\in
531,481,\mathcal
532,483,\ref
533,483,\in
534,483,\mathcal
535,483,\dfrac
536,483,\dfrac
537,483,\in
538,483,\mathcal
539,483,\left
540,483,\dfrac
541,483,\right
542,484,\dots
543,484,\mathcal
544,485,\left
545,485,\left
546,485,\dfrac
547,485,\right
548,485,\left
549,485,\dfrac
550,485,\right
551,485,\dots
552,485,\left
553,485,\dfrac
554,485,\right
555,485,\right
556,485,\equiv
557,486,\dots
558,486,\left
559,486,\left
560,486,\dfrac
561,486,\right
562,486,\dots
563,486,\left
564,486,\dfrac
565,486,\right
566,486,\right
567,486,\dots
568,486,\equiv
569,487,\dots
570,487,\leq
571,489,\mathcal
572,489,\in
573,489,\mathcal
574,489,\dots
575,489,\left
576,489,\left
577,489,\dfrac
578,489,\right
579,489,\left
580,489,\dfrac
581,489,\right
582,489,\dots
583,489,\left
584,489,\dfrac
585,489,\right
586,489,\right
587,489,\not
588,489,\equiv
589,489,\ref
590,489,\left
591,489,\frac
592,489,\right
593,489,\ref
594,497,\ref
595,497,\dots
596,497,\sum_
597,497,\dots
598,497,\mathcal
599,497,\dots
600,497,\cdots
601,497,\in
602,497,\mathcal
603,497,\cdots
604,499,\in
605,499,\mathcal
606,499,\exp
607,499,\ref
608,500,eqnarray
609,501,\left
610,501,\dfrac
611,501,\right
612,502,\leq
613,506,\dots
614,506,\equiv
615,506,\neq
616,506,\equiv
617,506,\dots
618,506,\ref
619,506,\leq
620,506,\equiv
621,506,\equiv
622,506,\dots
623,508,\ref
624,511,\section
625,511,\ref
626,511,\ref
627,511,\label
628,512,\ref
629,512,\ref
630,512,\ref
631,513,proof
632,514,\ref
633,514,\ref
634,514,\cite
635,517,proof
636,520,\noindent
637,520,\textbf
638,520,\rho
639,520,\infty
640,520,\mathcal
641,520,\cite
642,520,\in
643,520,\mathcal
644,520,\in
645,520,\mathcal
646,520,\in
647,520,\mathcal
648,520,\mathcal
649,522,\noindent
650,522,\textbf
651,522,\rho
652,522,\infty
653,522,\in
654,522,\mathcal
655,522,\exp
656,522,\ref
657,522,\ref
658,525,\section
659,538,\bibliographystyle
660,541,\bibliography
661,555,\endinput
