,Line num,Command,Notes
0,1,\documentclass,article
1,2,\textwidth,N/A
2,2,\textheight,N/A
3,2,\topmargin,N/A
4,3,\oddsidemargin,N/A
5,4,\usepackage,"amssymb,amsmath,amsfonts"
6,5,\usepackage,amsthm
7,6,\usepackage,txfonts
8,7,\usepackage,color
9,8,\usepackage,epsfig
10,9,\numberwithin,N/A
11,9,\theoremstyle,N/A
12,10,\newtheorem,N/A
13,11,\newtheorem,N/A
14,12,\newtheorem,N/A
15,13,\newtheorem,N/A
16,14,\newtheorem,N/A
17,15,\theoremstyle,definition
18,16,\newtheorem,N/A
19,17,\newtheorem,N/A
20,18,\theoremstyle,remark
21,19,\newtheorem,N/A
22,19,\rm,N/A
23,19,\bf,N/A
24,20,\allowdisplaybreaks,N/A
25,21,\newcommand,\qbinom -> \left_{q}
26,22,document,Environment
27,23,\title,"\bf On the eigenstructure of the $(\alpha,q)$-Bernstein operator"
28,23,\bf,"\bf On the eigenstructure of the $(\alpha,q)$-Bernstein operator"
29,23,\alpha,"\bf On the eigenstructure of the $(\alpha,q)$-Bernstein operator"
30,24,\author,N/A
31,24,\u,N/A
32,24,\footnote,N/A
33,24,\c,N/A
34,24,\c,N/A
35,25,\date,
36,26,\maketitle,N/A
37,28,abstract,Environment
38,29,\alpha,"n,q,\alpha"
39,29,\alpha,"n,q,\alpha"
40,31,\alpha,N/A
41,32,\section,Introduction
42,33,\cite,N/A
43,33,\c,N/A
44,33,\cite,N/A
45,33,\cite,N/A
46,34,\cite,"jat,KR67,novikov,jat2,decade,parametric,wangnorms"
47,35,\cite,N/A
48,36,\cite,N/A
49,36,\cite,N/A
50,36,\alpha,N/A
51,36,\cite,N/A
52,36,\alpha,N/A
53,36,\cite,N/A
54,37,\section,Preliminaries
55,38,\cite,askey
56,40,equation,Environment
57,41,\dots,n-1
58,41,\quad,n-1
59,41,\qquad,n-1
60,41,\dots,n-1
61,44,align,Environment
62,45,\dots,N/A
63,45,\quad_q,N/A
64,45,\qquad,N/A
65,45,\dots,N/A
66,47,\eqref,w1
67,48,eqnarray,Environment
68,49,\frac,N/A
69,49,\quad,N/A
70,49,\ldots,N/A
71,51,\leq,N/A
72,51,\leq,N/A
73,52,equation,Environment
74,53,\qbinom,N/A
75,53,\frac,N/A
76,56,\quad,N/A
77,56,\prod_,N/A
78,56,\quad,N/A
79,56,\infty,N/A
80,56,\prod_,N/A
81,56,\infty,N/A
82,59,align,Environment
83,60,\frac,N/A
84,60,\sum_,N/A
85,60,\frac,N/A
86,60,\qbinom,N/A
87,63,align,Environment
88,64,\qquad,N/A
89,64,\geq0,N/A
90,64,\geq1,N/A
91,67,\alpha,xia
92,67,\rightarrow,xia
93,67,\cite,xia
94,68,equation,Environment
95,69,\alpha,N/A
96,69,\sum_,N/A
97,69,\left,N/A
98,69,\frac,N/A
99,69,\right,N/A
100,69,\alpha,N/A
101,72,\alpha,N/A
102,72,\alpha,N/A
103,73,\alpha,N/A
104,73,\alpha,N/A
105,73,\geq,N/A
106,74,align,Environment
107,75,\alpha,N/A
108,75,\leftx,N/A
109,77,\binom,N/A
110,77,\binom,N/A
111,78,\alpha,N/A
112,78,\alpha,N/A
113,78,\alpha,N/A
114,78,\rightarrow,N/A
115,78,\alpha,N/A
116,79,\eqref,tnf
117,80,equation,Environment
118,81,\alpha,N/A
119,81,\sum_,N/A
120,81,\leftx,N/A
121,85,\left,N/A
122,85,\frac,N/A
123,85,\right,N/A
124,85,\quad,N/A
125,85,\left,N/A
126,85,\frac,N/A
127,85,\right,N/A
128,85,\frac,N/A
129,87,\geq,N/A
130,88,\cite,xia
131,89,equation,Environment
132,90,\left,N/A
133,90,\frac,N/A
134,90,\right,N/A
135,90,\frac,N/A
136,92,\alpha,qingbo
137,92,\alpha,qingbo
138,92,\cite,qingbo
139,93,\alpha,N/A
140,93,\rightarrow,N/A
141,93,\alpha,N/A
142,95,\alpha,N/A
143,95,\sum_,N/A
144,95,\left,N/A
145,95,\frac,N/A
146,95,\right,N/A
147,95,\alpha,N/A
148,97,\alpha,N/A
149,97,\alpha,N/A
150,98,\alpha,N/A
151,98,\alpha,N/A
152,99,align,Environment
153,100,\alpha,N/A
154,100,\bigg,N/A
155,100,\qbinom,N/A
156,100,\frac,N/A
157,100,\alpha,N/A
158,100,\qbinom,N/A
159,100,\alpha,N/A
160,101,\qbinom,N/A
161,101,\alpha,N/A
162,101,\bigg,N/A
163,103,\alpha,N/A
164,103,\alpha,N/A
165,104,equation,Environment
166,105,\alpha,N/A
167,105,\sum_,N/A
168,105,\bigg,N/A
169,105,\alpha,N/A
170,105,\qbinom,N/A
171,105,\Delta_q,N/A
172,105,\alpha,N/A
173,105,\qbinom,N/A
174,105,\Delta_q,N/A
175,105,\bigg,N/A
176,108,\Delta_q,N/A
177,108,\Delta_q,N/A
178,108,\Delta_q,N/A
179,108,\Delta_q,N/A
180,108,\geq,N/A
181,109,\cite,qingbo
182,110,equation,Environment
183,111,\left,N/A
184,111,\frac,N/A
185,111,\right,N/A
186,111,\frac,N/A
187,113,\alpha,N/A
188,113,\alpha,N/A
189,113,\alpha,N/A
190,114,\section,Main Results
191,115,\alpha,N/A
192,115,\alpha,N/A
193,115,\to,N/A
194,115,\alpha,N/A
195,115,\to,N/A
196,116,\alpha,N/A
197,117,\cite,N/A
198,117,\cite,N/A
199,118,align,Environment
200,119,\alpha,N/A
201,119,\quad,N/A
202,119,\alpha,N/A
203,119,\quad,N/A
204,119,\dots,N/A
205,122,equation,Environment
206,123,\alpha,"n,q,\alpha"
207,123,\quad,"n,q,\alpha"
208,123,\dots,"n,q,\alpha"
209,125,\alpha,N/A
210,125,\min,N/A
211,125,\leq,N/A
212,125,\mathcal,N/A
213,125,\alpha,N/A
214,126,\cite,qingbo
215,127,eqnarray,Environment
216,128,\alpha,N/A
217,128,\cdots,N/A
218,132,\frac,N/A
219,132,\left,N/A
220,132,\alpha,N/A
221,132,\alpha_q_q,N/A
222,132,\right,N/A
223,136,lemma,Environment
224,137,\leq,N/A
225,137,\ldots,N/A
226,138,align,Environment
227,139,\Delta_q,N/A
228,139,\frac,N/A
229,139,\sum_,N/A
230,139,\qbinom,N/A
231,142,proof,Environment
232,144,lemma,Environment
233,145,\geq,N/A
234,145,\geq,N/A
235,146,equation,Environment
236,147,\alpha,N/A
237,147,\sum_,N/A
238,150,multline,Environment
239,151,\frac,N/A
240,151,\frac,N/A
241,151,\bigg,N/A
242,151,\alpha,N/A
243,151,\bigg,N/A
244,151,\bigg,N/A
245,151,\alpha_q_qS_q,N/A
246,151,\bigg,N/A
247,151,\label,N/A
248,154,proof,Environment
249,155,align,Environment
250,156,\alpha,N/A
251,156,\qbinom,N/A
252,156,\Delta_q,N/A
253,156,\alpha,N/A
254,156,\qbinom,N/A
255,156,\Delta_q,N/A
256,158,\eqref,lemqdif
257,159,align,Environment
258,160,\Delta_q,N/A
259,160,\frac,N/A
260,160,\sum_,N/A
261,160,\qbinom,N/A
