,Line num,Command,Notes
0,1,\documentclass,article
1,2,\usepackage,geometry
2,3,\RequirePackage,setspace
3,4,\onehalfspacing,N/A
4,5,\usepackage,"amssymb,amsthm,amsmath, tikz,mathtools,subfig, mathrsfs,array"
5,6,\usetikzlibrary,shapes
6,7,\bibliographystyle,abbrv
7,8,\newtheorem,N/A
8,9,\newtheorem,N/A
9,10,\newtheorem,N/A
10,11,\newtheorem,N/A
11,12,\newtheorem,N/A
12,13,\newtheorem,N/A
13,14,\newtheorem,N/A
14,15,document,Environment
15,16,\title,Enumerating the Digitally Convex Sets of Powers of Cycles and Cartesian Products of Paths and Complete Graphs
16,17,\author,"MacKenzie Carr \footnote{Department of Mathematics and Statistics, University of Victoria, Victoria, BC, Canada"
17,17,\footnote,Nested
18,18,\small,Nested
19,18,\texttt,Nested
20,18,\and,Nested
21,18,\footnotemark,Nested
22,18,\thanks,Nested
23,19,\small,N/A
24,19,\texttt,N/A
25,19,\and,N/A
26,19,\footnote,N/A
27,19,\thanks,N/A
28,19,\small,N/A
29,19,\texttt,N/A
30,20,\date,Nested
31,20,\vspace,Nested
32,21,\maketitle,N/A
33,22,abstract,Environment
34,23,\emph,N/A
35,23,\emph,N/A
36,23,\emph,N/A
37,25,\section,Introduction
38,26,\emph,Nested
39,26,\emph,alignment
40,26,\emph,convex sets
41,26,\emph,aligned space
42,26,\emph,convex hull
43,26,\emph,Nested
44,26,\emph,alignment
45,26,\emph,convex sets
46,26,\emph,aligned space
47,26,\emph,convex hull
48,26,\emph,Nested
49,26,\emph,alignment
50,26,\emph,convex sets
51,26,\emph,aligned space
52,26,\emph,convex hull
53,26,\emph,Nested
54,26,\emph,alignment
55,26,\emph,convex sets
56,26,\emph,aligned space
57,26,\emph,convex hull
58,26,\emph,Nested
59,26,\emph,alignment
60,26,\emph,convex sets
61,26,\emph,aligned space
62,26,\emph,convex hull
63,26,\cite,Nested
64,26,\emph,alignment
65,26,\emph,convex sets
66,26,\emph,aligned space
67,26,\emph,convex hull
68,27,\emph,N/A
69,27,\emph,N/A
70,27,\emph,N/A
71,28,\cite,Nested
72,28,\cite,Nested
73,29,\cite,Nested
74,29,\emph,open neighbourhood
75,29,\emph,Nested
76,29,\emph,open neighbourhood
77,29,\emph,Nested
78,29,\emph,open neighbourhood
79,30,\emph,Nested
80,30,\emph,private neighbour with respect to
81,30,\emph,digital convexity
82,30,\cite,closure
83,30,\cite,"frame,digconv"
