,line num,Command
0,1,\documentclass
1,2,\usepackage
2,3,\usepackage
3,4,\usepackage
4,5,\usepackage
5,6,\usepackage
6,7,\usepackage
7,8,\usepackage
8,9,\addtolength
9,9,\textwidth
10,10,\addtolength
11,10,\hoffset
12,11,\thispagestyle
13,12,\font
14,12,\aaa
15,13,\input
16,14,\xyoption
17,16,\newcommand
18,16,\Pf
19,16,\noindent
20,16,\mbox
21,16,\em
22,16,\bf
23,16,\hspace
24,17,\newtheorem
25,18,\newtheorem
26,19,\newtheorem
27,20,\newtheorem
28,21,\newtheorem
29,22,\newtheorem
30,23,\newtheorem
31,24,\newtheorem
32,25,\newtheorem
33,26,\newtheorem
34,27,\newcommand
35,27,\ksst
36,27,\preceq_
37,27,\ck
38,28,\newcommand
39,28,\lsst
40,28,\subseteq_L
41,29,\newcommand
42,29,\lsdk
43,29,\ck
44,30,\newcommand
45,30,\lsnk
46,30,\ck
47,31,\newcommand
48,31,\slesseq
49,31,\trianglelefteq
50,32,\newcommand
51,32,\sgreat
52,32,\triangleright
53,33,\newcommand
54,33,\sgeq
55,33,\trianglerighteq
56,34,\newcommand
57,34,\Ind
58,34,\operatorname
59,35,\newcommand
60,35,\Inj
61,35,\operatorname
62,36,\newcommand
63,36,\Sat
64,36,\operatorname
65,37,\newcommand
66,37,\Po
67,37,\operatorname
68,38,\newcommand
69,38,\Tc
70,38,\operatorname
71,39,\newcommand
72,39,\Rt
73,39,\operatorname
74,40,\newcommand
75,40,\Ps
76,40,\operatorname
77,41,\newcommand
78,41,\Gd
79,41,\operatorname
80,42,\newcommand
81,42,\sm
82,42,\operatorname
83,43,\newcommand
84,43,\psh
85,43,\operatorname
86,44,\newcommand
87,44,\smp
88,44,\operatorname
89,45,\newcommand
90,45,\satl
91,45,\operatorname
92,45,\lambda
93,46,\newcommand
94,46,\satm
95,46,\operatorname
96,46,\mu
97,47,\newcommand
98,47,\Mod
99,47,\operatorname
100,48,\newcommand
101,48,\Rep
102,48,\operatorname
103,49,\newcommand
104,49,\Sub
105,49,\operatorname
106,50,\newcommand
107,50,\Mor
108,50,\operatorname
109,51,\newcommand
110,51,\Alg
111,51,\operatorname
112,52,\newcommand
113,52,\Homk
114,52,\operatorname
115,52,\ck
116,53,\newcommand
