,line num,Command
0,1,\usepackage
1,3,\usepackage
2,5,\usepackage
3,6,\usepackage
4,7,\hypersetup
5,15,\CompileMatrices
6,16,\newtheorem
7,17,\newtheorem
8,18,\newtheorem
9,19,\newtheorem
10,20,\newtheorem
11,22,\makeatletter
12,23,\newcommand
13,23,\xTo
14,23,\ext
15,23,\Rightarrowfill
16,24,\makeatother
17,26,\newcommand
18,26,\DUG
19,26,\mathsf
20,27,\newcommand
21,27,\IPos
22,27,\mathsf
23,30,\newcommand
24,30,\DeMc
25,30,\mathbb
26,32,\newcommand
27,32,\Ch
28,32,\mathtt
29,33,\newcommand
30,33,\jslCh
31,33,\mathbb
32,34,\newcommand
33,34,\dmCh
34,34,\mathbb
35,34,\neg
36,36,\newcommand
37,36,\Tend
38,36,\mathtt
39,38,\newcommand
40,38,\bipaj
41,38,\in_
42,39,\newcommand
43,39,\bipam
44,39,\breve
45,39,\in
46,42,\newcommand
47,42,\Diagj
48,42,\mathtt
49,43,\newcommand
50,43,\Diagm
51,43,\mathtt
52,45,\newcommand
53,45,\eqnOR
54,45,\mathrm
55,45,\sigma
56,46,\newcommand
57,46,\eqnEx
58,46,\mathrm
59,46,\sigma
60,47,\newcommand
61,47,\eqnCEx
62,47,\mathrm
63,47,\sigma
64,48,\newcommand
65,48,\eqnCEx
66,48,\mathrm
67,48,\sigma
68,49,\newcommand
69,49,\eqnInv
70,49,\mathrm
71,49,\sigma
72,53,\newcommand
73,53,\ctos
74,53,\mathrm
75,54,\newcommand
76,54,\stoc
77,54,\mathrm
78,57,\newcommand
79,57,\trep
80,57,\mathrm
81,59,\newcommand
82,59,\siff
83,59,\Leftrightarrow
84,62,\newcommand
85,62,\twoS
86,62,\bf
87,65,\newcommand
88,65,\upsp
89,65,\upfilledspoon
90,66,\newcommand
91,66,\downsp
92,66,\downfilledspoon
93,68,\newcommand
94,68,\Upa
95,68,\Uparrow
96,69,\newcommand
97,69,\Dna
98,69,\Downarrow
99,72,\newcommand
100,72,\Tight
101,72,\mathsf
102,73,\newcommand
103,73,\jslTight
104,73,\mathsf
105,74,\newcommand
106,74,\biTight
107,74,\mathsf
108,78,\newcommand
109,78,\Nleq
110,78,\mathtt
111,80,\newcommand
112,80,\BiIdeal
113,80,\mathsf
114,81,\newcommand
115,81,\BId
116,81,\mathsf
117,82,\newcommand
118,82,\jslBId
119,82,\mathbb
120,85,\newcommand
121,85,\bbot
122,85,\pmb
123,85,\bot
124,88,\newcommand
125,88,\tenp
126,88,\otimes
127,90,\newcommand
128,90,\syncp
129,90,\owedge
130,92,\newcommand
131,92,\ttenp
132,92,\otimes_t
133,94,\newcommand
134,94,\BiMor
135,94,\mathsf
136,96,\newcommand
137,96,\ovl
138,96,\triangleleft
139,97,\newcommand
140,97,\ovr
141,97,\triangleright
142,98,\newcommand
143,98,\bold
144,98,\bf
145,101,\newcommand
146,101,\jmor
147,101,\mathfrak
148,103,\newcommand
149,103,\mmor
150,103,\mathfrak
151,108,\newcommand
