,Line num,Command,Notes
0,1,\documentclass,article
1,2,\include,preamble
2,3,\include,preamble_new
3,4,\newcommand,\MinDfa -> \mathtt{MD}(#1)
4,5,\newcommand,\MinJDfa -> \mathfrak{MD}(#1)
5,6,\CompileMatrices,N/A
6,7,document,Environment
7,8,\title,Representing Semilattices as Relations
8,9,\author,N/A
9,10,\href,N/A
10,11,\maketitle,N/A
11,12,\CompileMatrices,N/A
12,13,\section,Note for readers
13,14,itemize,Environment
14,15,\item,N/A
15,17,\item,N/A
16,18,\ref,N/A
17,18,\ref,N/A
18,19,itemize,Environment
19,20,\item,N/A
20,23,\item,N/A
21,24,\ref,subsec:dep_equiv_jsl
22,26,\item,N/A
23,27,\ref,sec:tensors
24,28,\item,N/A
25,29,\ref,sec:graphs_and_de_morgan
26,30,\item,N/A
27,31,\hyperref,Appendix
28,33,\section,Conventions and background
29,34,\subsection,Conventions regarding relations and functions
30,36,enumerate,Environment
31,37,\item,N/A
32,39,\item,N/A
33,43,definition,Environment
34,44,\label,def:rel_and_func
35,45,\item,N/A
36,46,enumerate,Environment
37,47,\item,N/A
38,48,\emph,cartesian product
39,49,\item,N/A
40,50,\emph,N/A
41,50,\emph,N/A
42,50,\emph,N/A
43,51,\item,N/A
44,52,enumerate,Environment
45,53,\item,N/A
46,54,\emph,identity relation
47,55,\item,N/A
48,56,\emph,converse
49,57,\item,N/A
50,58,\emph,complement
51,60,\item,N/A
52,62,\in," y \in Y : \exists x \in S. (x,y) \in \rR \"
53,62,\exists," y \in Y : \exists x \in S. (x,y) \in \rR \"
54,62,\in," y \in Y : \exists x \in S. (x,y) \in \rR \"
55,62,\in," y \in Y : \exists x \in S. (x,y) \in \rR \"
56,62,\rR," y \in Y : \exists x \in S. (x,y) \in \rR \"
57,63,\qquad,N/A
58,64,\rR,N/A
59,64,\rR,N/A
60,67,\item,N/A
61,68,\emph,composite relation
62,69,\item,N/A
63,70,\emph,functional
64,71,\emph,N/A
65,71,\emph,N/A
66,72,\item,N/A
67,73,\emph,powerset
68,74,\item,N/A
69,77,\takeout,N/A
70,77,\item,N/A
71,79,tabular,Environment
72,80,\emph,image function
73,83,\emph,preimage function
74,87,\item,N/A
75,88,\emph,only apply to functions
76,89,\emph,preimage function
77,90,\item,N/A
78,91,\emph,restriction
79,92,\endbox,N/A
80,95,\smallskip,N/A
81,97,notation,Environment
82,98,\label,nota:rels_and_funcs
83,99,\item,N/A
84,100,enumerate,Environment
85,101,\item,N/A
86,103,\item,N/A
87,105,\item,N/A
88,108,\item,N/A
89,110,\item,N/A
90,112,\item,N/A
91,113,\endbox,N/A
92,116,\subsection,Order Theory
93,119,definition,Environment
94,120,\label,def:std_order_theory
95,121,\item,N/A
96,122,enumerate,Environment
97,123,\item,N/A
98,124,\emph,N/A
99,124,\emph,N/A
100,124,\emph,N/A
101,125,\item,N/A
102,126,\emph,N/A
103,126,\emph,N/A
104,126,\emph,N/A
105,126,\emph,N/A
106,126,\ref,N/A
107,127,\item,N/A
108,128,\emph,N/A
109,128,\emph,N/A
110,129,\item,N/A
111,130,\emph,N/A
112,130,\emph,N/A
113,130,\emph,N/A
114,130,\emph,N/A
115,130,\emph,N/A
116,131,\emph,N/A
117,131,\emph,N/A
118,131,\emph,N/A
119,132,\item,N/A
