,Line num,Command
0,1,\documentclass
1,2,\usepackage
2,3,\usepackage
3,4,\usepackage
4,5,\usepackage
5,6,\usepackage
6,7,\usepackage
7,8,\usepackage
8,9,\usepackage
9,11,\newtheorem
10,12,\newtheorem
11,13,\newtheorem
12,14,\newtheorem
13,16,\theoremstyle
14,17,\newtheorem
15,18,\newtheorem
16,19,\newtheorem
17,22,\numberwithin
18,23,\numberwithin
19,26,\newcommand
20,26,\B
21,26,\mathbb
22,27,\newcommand
23,27,\N
24,27,\mathbb
25,28,\newcommand
26,28,\R
27,28,\mathbb
28,29,\newcommand
29,29,\C
30,29,\mathbb
31,30,\newcommand
32,30,\Cc
33,30,\mathcal
34,31,\newcommand
35,31,\e
36,31,\varepsilon
37,32,\newcommand
38,32,\p
39,33,\newcommand
40,33,\al
41,33,\alpha
42,34,\newcommand
43,34,\ep
44,35,\newcommand
45,35,\Om
46,36,\newcommand
47,36,\Omf
48,36,\partial
49,37,\newcommand
50,37,\Omb
51,37,\bar
52,38,\newcommand
53,38,\fami
54,38,\mathcal
55,38,\Om
56,38,\fii
57,39,\newcommand
58,39,\fii
59,39,\varphi
60,40,\newcommand
61,40,\D
62,40,\Delta_H
63,41,\newcommand
64,41,\U
65,41,\mathtt
66,42,\newcommand
67,42,\QED
68,42,\null
69,42,\hfill
70,42,\qedsymbol
71,43,\newcommand
72,43,\Exp
73,43,\text
74,44,\newcommand
75,44,\ca
76,44,\text
77,45,\DeclareMathOperator
78,45,\tr
79,46,\DeclareMathOperator
80,46,\diam
81,47,\DeclareMathOperator
82,47,\supp
83,50,\makeatletter
84,52,\textup
85,53,\makeatother
86,56,\pagestyle
87,58,\author
88,59,\address
89,61,\email
90,62,\smallskip
91,64,\author
92,65,\address
93,69,\email
94,80,document
95,84,\thanks
96,87,\keywords
97,89,\subjclass
98,92,\title
99,95,\date
100,95,\today
101,99,\maketitle
102,101,\tableofcontents
103,104,abstract
104,105,\Subset
105,105,\C
106,105,\leq
107,105,\leq
108,106,\wedge
109,106,\beta
110,112,\varphi
111,116,\section
112,121,\cite
113,121,\cite
114,121,\cite
115,124,\subsection
116,126,\Subset
117,126,\C
118,126,\leq
119,126,\leq
120,129,\smallskip
121,130,\smallskip
122,130,\it
123,130,\in
