,Line num,Command,Notes
0,2,\documentclass,amsart
1,3,\usepackage,amssymb
2,4,\usepackage,lineno
3,5,\usepackage,hyperref
4,6,\usepackage,graphicx
5,7,\usepackage,mathrsfs
6,8,\usepackage,"amsmath,amsthm,amssymb,enumerate"
7,9,\usepackage,color
8,10,\setlength,N/A
9,10,\topmargin,N/A
10,10,\setlength,N/A
11,10,\textheight,N/A
12,11,\setlength,N/A
13,11,\oddsidemargin,N/A
14,12,\setlength,N/A
15,12,\evensidemargin,N/A
16,12,\setlength,N/A
17,12,\textwidth,N/A
18,13,\setlength,N/A
19,13,\arraycolsep,N/A
20,14,\newtheorem,N/A
21,14,\it,N/A
22,15,\newtheorem,N/A
23,16,\newtheorem,N/A
24,17,\newtheorem,N/A
25,18,\newtheorem,N/A
26,19,\newtheorem,N/A
27,20,\newtheorem,N/A
28,21,\newtheorem,N/A
29,22,\newtheorem,N/A
30,23,\newtheorem,N/A
31,24,\newtheorem,N/A
32,25,\newtheorem,N/A
33,26,\newtheorem,N/A
34,27,\newtheorem,N/A
35,28,\newtheorem,N/A
36,29,\newtheorem,N/A
37,30,\newtheorem,N/A
38,31,\modulolinenumbers,N/A
39,32,document,Environment
40,33,\title,Hypertranscendency of Perturbations of Hypertranscendental Functions
41,34,\author,Jiaxing Huang
42,35,\address,N/A
43,37,\email,hjxmath@gmail.com
44,38,\author,Tuen-Wai Ng
45,39,\address,N/A
46,41,\email,ntw@maths.hku.hk
47,42,abstract,Environment
48,46,\ref,N/A
49,46,\ref,N/A
50,47,\ref,N/A
51,47,\ref,N/A
52,49,\maketitle,N/A
53,50,\section,N/A
54,50,\label,N/A
55,51,\emph,hypertranscendental
56,52,\ref,sec:N
57,56,\cite,N/A
58,57,\cite,Hilbert01
59,59,\cite,Bank76
60,61,\cite,Bank77
61,62,conjB,Environment
62,66,\cite,N/A
63,66,\cite,N/A
64,67,thmA,Environment
65,70,equation,Environment
66,71,\overline,N/A
67,71,\big,N/A
68,71,\big,N/A
69,76,thm,Environment
70,77,equation,Environment
71,84,thm,Environment
72,86,rmk,Environment
73,87,\dots,N/A
74,87,\sum_,N/A
75,87,\in,N/A
76,87,\cdots,N/A
77,88,\emph,N/A
78,88,\emph,N/A
79,90,\cite,N/A
80,90,\ref,N/A
81,91,\cite,N/A
82,91,\cite,N/A
83,91,\ref,N/A
84,93,\ref,N/A
85,93,\ref,N/A
86,93,\ref,N/A
87,96,thmB,Environment
88,97,\overline,N/A
89,97,\overline,N/A
90,100,\cite,N/A
91,100,\cite,N/A
92,101,lemA,Environment
93,105,\overline,for all
94,105,\overline,for all
95,105,\log,for all
96,105,\leq,for all
97,105,\alpha,for all
98,105,\mbox,for all
99,105,\geq,for all
100,107,\cite,N/A
101,107,\ref,N/A
102,109,\cite,Markus07
