,Line num,Command,Notes
0,1,\documentclass,amsart
1,2,\usepackage,"amsthm,amsfonts,amsmath,amssymb,latexsym,epsfig"
2,3,\usepackage,color
3,4,\usepackage,xy
4,5,\DeclareMathAlphabet,N/A
5,5,\oldmathcal,N/A
6,6,\SetMathAlphabet,N/A
7,7,\oldmathcal,N/A
8,8,\DeclareMathAlphabet,N/A
9,8,\oldmathbcal,N/A
10,9,\usepackage,eucal
11,10,\def,N/A
12,10,\emailaddrname,N/A
13,10,\itshape,N/A
14,12,\newtheorem,N/A
15,13,\newtheorem,N/A
16,14,\newtheorem,N/A
17,15,\newtheorem,N/A
18,16,\newtheorem,N/A
19,17,\newenvironment,N/A
20,17,\medskip,N/A
21,17,\refstepcounter,N/A
22,18,\noindent,N/A
23,18,\bf,N/A
24,18,\thetheorem,N/A
25,18,\rm,N/A
26,19,\newtheorem,N/A
27,20,\newtheorem,N/A
28,21,\renewcommand,N/A
29,21,\thetheorem,N/A
30,21,\thesection,N/A
31,21,\arabic,N/A
32,22,\def,Nested
33,22,\d,Nested
34,22,\partial,Nested
35,23,\def,Nested
36,23,\db,Nested
37,23,\overline,Nested
38,23,\partial,Nested
39,24,\def,N/A
40,24,\ddb,N/A
41,24,\partial,N/A
42,25,\overline,Nested
43,25,\partial,Nested
44,26,\def,Nested
45,26,\langle,Nested
46,27,\def,Nested
47,27,\ep,Nested
48,27,\varepsilon,Nested
49,28,\def,Nested
50,28,\n,Nested
51,28,\nabla,Nested
52,29,\def,Nested
53,29,\rangle,Nested
54,30,\def,Nested
55,30,\a,Nested
56,30,\alpha,Nested
57,31,\def,Nested
58,31,\b,Nested
59,31,\beta,Nested
60,32,\def,Nested
61,32,\w,Nested
62,32,\wedge,Nested
63,33,\def,Nested
64,33,\s,Nested
65,34,hok,Environment
66,36,\def,N/A
67,36,\BOne,N/A
68,36,\mathchoice,N/A
69,36,\rm,N/A
70,36,\mskip,N/A
71,36,\rm,N/A
72,36,\mskip,N/A
73,36,\rm,N/A
74,36,\mskip,N/A
75,36,\rm,N/A
76,36,\mskip,N/A
77,37,\def,Nested
78,37,\Ric,Nested
79,37,\rm,Nested
80,38,\def,Nested
81,38,\fract,Nested
82,38,\raise4pt,Nested
83,38,\hbox,Nested
84,39,\def,Nested
85,39,\decdnar,Nested
86,39,\phantom,Nested
87,39,\hbox,Nested
88,40,\left,Nested
89,40,\downarrow,Nested
90,40,\vbox,Nested
91,40,\vskip15pt,Nested
92,40,\hbox,Nested
93,40,\right,Nested
94,41,\def,Nested
95,41,\decupar,Nested
96,41,\phantom,Nested
97,41,\hbox,Nested
98,42,\left,Nested
99,42,\uparrow,Nested
100,42,\vbox,Nested
101,42,\vskip15pt,Nested
102,42,\hbox,Nested
103,42,\right,Nested
104,43,\def,Nested
105,43,\decsear,Nested
106,43,\phantom,Nested
107,43,\hbox,Nested
108,44,\left,Nested
109,44,\searrow,Nested
110,44,\vbox,Nested
111,44,\vskip15pt,Nested
112,44,\hbox,Nested
113,44,\right,Nested
114,45,\def,Nested
115,45,\bba,Nested
116,45,\mathbb,Nested
117,46,\def,Nested
118,46,\bbb,Nested
119,46,\mathbb,Nested
120,47,\def,Nested
121,47,\bbc,Nested
122,47,\mathbb,Nested
123,48,\def,Nested
124,48,\bbd,Nested
125,48,\mathbb,Nested
126,49,\def,Nested
127,49,\bbe,Nested
128,49,\mathbb,Nested
129,50,\def,Nested
130,50,\bbf,Nested
131,50,\mathbb,Nested
132,51,\def,Nested
133,51,\bbg,Nested
134,51,\mathbb,Nested
135,52,\def,Nested
136,52,\bbh,Nested
137,52,\mathbb,Nested
138,53,\def,Nested
139,53,\bbi,Nested
