,Line num,Command
0,4,\documentclass
1,5,\usepackage
2,6,\usepackage
3,7,\usepackage
4,8,\usepackage
5,9,\usepackage
6,10,\usepackage
7,11,\usepackage
8,14,\usepackage
9,15,\usepackage
10,16,\usepackage
11,17,\usepackage
12,20,\usepackage
13,21,\usepackage
14,23,\vfuzz2pt
15,24,\hfuzz2pt
16,26,\newtheorem
17,27,\newtheorem
18,28,\newtheorem
19,29,\newtheorem
20,30,\newtheorem
21,31,\newtheorem
22,32,\newtheorem
23,33,\newtheorem
24,34,\theoremstyle
25,35,\newtheorem
26,36,\theoremstyle
27,37,\newtheorem
28,38,\newtheorem
29,39,\newtheorem
30,40,\numberwithin
31,43,\newcommand
32,43,\norm
33,43,\left
34,43,\Vert
35,43,\right
36,43,\Vert
37,44,\newcommand
38,44,\abs
39,44,\left
40,44,\vert
41,44,\right
42,44,\vert
43,45,\newcommand
44,45,\set
45,45,\left
46,45,\right
47,46,\newcommand
48,46,\Real
49,46,\mathbb
50,47,\newcommand
51,47,\eps
52,47,\varepsilon
53,48,\newcommand
54,48,\To
55,48,\longrightarrow
56,49,\newcommand
57,49,\BX
58,49,\mathbf
59,50,\newcommand
60,50,\A
61,50,\mathcal
62,51,\newcommand
63,51,\func
64,51,\ensuremath
65,51,\mathop
66,51,\mathrm
67,52,\newcommand
68,52,\Hess
69,52,\func
70,53,\newcommand
71,53,\Div
72,53,\func
73,54,\newcommand
74,54,\pRect
75,55,\newcommand
76,55,\Rmin
77,55,\mbox
78,56,\newcommand
79,56,\dist
80,56,\mathrm
81,57,\newcommand
82,57,\re
83,57,\func
84,58,\newcommand
85,58,\im
86,58,\func
87,59,\newcommand
88,59,\inj
89,59,\func
90,60,\newcommand
91,60,\spt
92,60,\func
93,61,\newcommand
94,61,\osc
95,61,\mathop
96,61,\mathrm
97,62,\newcommand
98,62,\diam
99,62,\func
100,63,\newcommand
101,63,\sing
102,63,\func
103,64,\newcommand
104,64,\reg
105,64,\func
106,65,\newcommand
107,65,\xX
108,65,\mathbf
109,66,\newcommand
110,66,\xx
111,66,\mathrm
112,67,\newcommand
113,67,\FF
114,67,\mathbf
115,68,\newcommand
116,68,\yY
117,68,\mathbf
118,69,\newcommand
119,69,\hH
120,69,\mathbf
121,70,\newcommand
122,70,\sS
123,70,\mathbf
124,71,\newcommand
125,71,\vV
126,71,\mathbf
127,72,\newcommand
128,72,\eE
129,72,\mathbf
130,73,\newcommand
131,73,\nN
132,73,\mathbf
133,74,\newcommand
134,74,\LL
135,74,\mathcal
136,75,\newcommand
137,75,\hLL
138,75,\hat
139,75,\mathcal
140,76,\newcommand
141,76,\tLL
142,76,\tilde
143,76,\mathcal
144,77,\newcommand
145,77,\rth
146,77,\mathbb
147,78,\newcommand
148,78,\R
149,78,\mathbb
150,79,\newcommand
151,79,\N
152,79,\mathbb
153,80,\newcommand
154,80,\zZ
155,80,\mathbf
156,81,\def
157,81,\G
158,82,\newcommand
159,82,\Q
160,82,\mathbb
161,83,\newcommand
162,83,\cB
163,83,\mathcal
164,84,\newcommand
165,84,\wt
166,84,\widetilde
167,85,\renewcommand
168,85,\underbar
169,85,\underline
170,86,\newcommand
