,line num,Command
0,1,\documentclass
1,3,\usepackage
2,4,\usepackage
3,7,\numberwithin
4,8,\numberwithin
5,11,\addtolength
6,11,\topmargin
7,12,\addtolength
8,12,\textheight
9,13,\addtolength
10,13,\hoffset
11,14,\addtolength
12,14,\textwidth
13,16,\parskip
14,18,\renewcommand
15,18,\labelenumi
16,18,\theenumi
17,20,\renewcommand
18,20,\theenumi
19,20,\arabic
20,21,\renewcommand
21,21,\labelenumi
22,21,\theenumi
23,24,\newcommand
24,24,\R
25,24,\mathbb
26,25,\newcommand
27,25,\C
28,25,\mathbb
29,26,\newcommand
30,26,\Q
31,26,\mathbb
32,27,\newcommand
33,27,\Z
34,27,\mathbb
35,28,\newcommand
36,28,\F
37,28,\mathcal
38,29,\newcommand
39,29,\G
40,29,\mathcal
41,30,\newcommand
42,30,\T
43,30,\mathbb
44,31,\newcommand
45,31,\gam
46,31,\gamma
47,32,\newcommand
48,32,\Gam
49,32,\Gamma
50,33,\newcommand
51,33,\lam
52,33,\lambda
53,34,\newcommand
54,34,\Lam
55,34,\Lambda
56,35,\newcommand
57,35,\Sig
58,35,\Sigma
59,36,\newcommand
60,36,\sig
61,36,\sigma
62,37,\newcommand
63,37,\Om
64,37,\Omega
65,38,\newcommand
66,38,\om
67,38,\omega
68,39,\newcommand
69,39,\1
70,39,\mathds
71,40,\newcommand
72,40,\eps
73,40,\varepsilon
74,42,\renewcommand
75,42,\le
76,42,\leqslant
77,43,\renewcommand
78,43,\ge
79,43,\geqslant
80,44,\renewcommand
81,44,\leq
82,44,\leqslant
83,45,\renewcommand
84,45,\geq
85,45,\geqslant
86,46,\newcommand
87,46,\sbt
88,46,\subset
89,48,\renewcommand
90,48,\hat
91,48,\widehat
92,49,\renewcommand
93,49,\Re
94,49,\operatorname
95,50,\renewcommand
96,50,\Im
97,50,\operatorname
98,52,\newcommand
99,52,\ft
100,52,\widehat
101,53,\newcommand
102,53,\dotprod
103,53,\langle
104,53,\rangle
105,54,\newcommand
106,54,\mes
107,54,\operatorname
108,55,\newcommand
109,55,\const
110,55,\operatorname
111,56,\newcommand
112,56,\supp
113,56,\operatorname
114,57,\newcommand
115,57,\spec
116,57,\operatorname
117,58,\newcommand
118,58,\diam
119,58,\operatorname
120,59,\newcommand
121,59,\dist
122,59,\operatorname
123,61,\newcommand
124,61,\zeros
125,62,\newcommand
126,62,\zft
127,62,\ft
128,62,\1
129,63,\newcommand
130,63,\zfft
131,63,\ft
132,64,\newcommand
133,64,\zgft
134,64,\ft
135,65,\newcommand
136,65,\cm
137,65,\complement
138,66,\newcommand
139,66,\bd
140,66,\operatorname
141,67,\newcommand
142,67,\half
143,67,\tfrac
144,69,\newcommand
145,69,\interior
146,69,\operatorname
147,70,\newcommand
148,70,\ext
149,70,\operatorname
150,71,\newcommand
151,71,\closure
152,71,\operatorname
153,72,\newcommand
154,72,\convex
155,72,\operatorname
156,73,\newcommand
157,73,\relint
158,73,\operatorname
159,74,\newcommand
160,74,\aff
161,74,\operatorname
162,77,\theoremstyle
163,78,\newtheorem
164,79,\newtheorem
165,80,\newtheorem
166,81,\newtheorem
167,82,\newtheorem
168,83,\newtheorem
169,84,\newtheorem
170,85,\newtheorem
171,87,\newcommand
172,87,\thmref
173,87,\ref
174,88,\newcommand
175,88,\secref
176,88,\ref
177,89,\newcommand
178,89,\subsecref
179,89,\ref
180,90,\newcommand
181,90,\lemref
182,90,\ref
183,91,\newcommand
184,91,\defref
185,91,\ref
186,92,\newcommand
187,92,\propref
188,92,\ref
189,93,\newcommand
190,93,\probref
191,93,\ref
192,94,\newcommand
193,94,\corref
194,94,\ref
195,95,\newcommand
196,95,\conjref
197,95,\ref
198,96,\newcommand
199,96,\exampref
200,96,\ref
201,97,\newcommand
202,97,\remref
203,97,\ref
204,100,\theoremstyle
205,101,\newtheorem
206,102,\newtheorem
207,103,\newtheorem
208,104,\newtheorem
209,105,\newtheorem
210,106,\newtheorem
211,108,\newenvironment
212,109,enumerate
213,110,\addtolength
214,110,\itemsep
215,111,\renewcommand
216,111,\theenumi
217,111,\roman
218,115,\newenvironment
219,116,enumerate
220,117,\addtolength
221,117,\itemsep
222,118,\renewcommand
223,118,\theenumi
224,118,\alph
225,122,\newenvironment
226,123,enumerate
227,124,\addtolength
228,124,\itemsep
229,125,\renewcommand
230,125,\theenumi
231,125,\roman
232,130,\newenvironment
233,131,enumerate
234,132,\addtolength
235,132,\itemsep
236,133,\renewcommand
237,133,\theenumi
238,133,\arabic
239,138,document
240,140,\title
241,144,\author
242,145,\address
243,146,\email
244,148,\date
245,149,\subjclass
246,150,\keywords
247,151,\thanks
248,155,abstract
249,156,\in
250,156,\mathbb
251,156,\Lambda
252,156,\Lambda
253,156,\subset
254,156,\mathbb
255,156,\in
256,156,\mathbb
257,156,\Lambda
258,156,\Lambda
259,161,\maketitle
260,169,\section
261,172,\subsection
262,173,\R
263,174,\Lam
264,174,\sbt
265,174,\R
266,175,\emph
267,175,\R
268,176,\Lam
269,178,\emph
270,178,\Lam
271,178,\R
272,180,equation
273,181,\label
274,182,\sum_
275,182,\lambda
276,182,\in
277,182,\Lambda
278,182,\lambda
279,182,\quad
280,182,\text
281,184,\eqref
282,186,\R
283,187,\in
284,187,\R
285,189,\1_
286,189,\Omega
287,190,\Omega
288,191,\Lam
289,192,\Omega
290,192,\lam
291,192,\lam
292,192,\in
293,192,\Lam
294,201,\cite
295,202,\cite
296,202,\cite
297,202,\cite
298,202,\cite
299,204,\subsection
300,207,equation
301,208,\label
302,209,\zfft
303,209,\ft
304,212,equation
305,213,\label
306,214,\ft
307,214,\int
308,214,\exp
309,214,\pi
310,217,\Lam
311,217,\R
312,218,\Lam
313,219,\zfft
314,220,\Lam
315,220,\setminus
316,220,\Lam
317,222,\Lam
318,223,\zfft
319,225,\ft
320,225,\det
321,225,\Lam
322,229,\Lambda
323,229,\sbt
324,229,\mathbb
325,231,equation
326,232,\label
327,233,\delta_
328,233,\Lambda
329,233,\sum_
330,233,\lambda
331,233,\in
332,233,\Lambda
333,233,\delta_
334,233,\lambda
335,235,\Lambda
336,235,\emph
337,236,equation
338,237,\label
339,238,\sup_
340,238,\in
341,238,\mathbb
342,238,\Lambda
343,238,\cap
344,238,\infty
345,240,\eqref
346,240,\delta_
347,240,\Lambda
348,240,\mathbb
349,242,\hat
350,242,\delta_
351,242,\Lambda
352,246,thm
353,247,\label
354,248,\in
355,248,\mathbb
356,248,\Lambda
357,248,\sbt
358,248,\R
359,249,\Lambda
360,251,equation
361,252,\label
362,253,\supp
363,253,\hat
364,253,\delta_
365,253,\Lambda
366,253,\setminus
367,253,\subset
368,253,\zfft
369,257,\R
370,258,\cite
371,258,\cite
372,258,\cite
373,262,\Lam
374,263,\hat
375,263,\delta_
376,263,\Lambda
377,263,\det
378,263,\Lam
379,263,\cdot
380,263,\delta_
381,263,\Lam
382,266,\supp
383,266,\hat
384,266,\delta_
385,266,\Lambda
386,266,\Lambda
387,268,\eqref
388,270,\Lam
389,273,\Lambda
390,274,\eqref
391,281,thm
392,282,\label
393,283,\Lambda
394,283,\subset
395,283,\R
396,285,\in
397,285,\mathbb
398,287,\Lambda
399,288,\Lambda
400,292,\emph
401,297,\eqref
402,301,corollary
403,302,\label
404,303,\Lambda
405,303,\subset
406,303,\R
407,304,\in
408,304,\mathbb
409,305,\eqref
410,305,\Lam
411,309,\thmref
412,311,\zfft
413,313,\in
414,313,\mathbb
415,314,\Lam
