,Line num,Command,Notes
0,1,\documentclass,birkjour
1,2,\usepackage,"hyperref,color"
2,3,\usepackage,"amsmath,amsfonts,amssymb"
3,4,\newtheorem,N/A
4,5,\newtheorem,N/A
5,6,\newtheorem,N/A
6,7,\numberwithin,N/A
7,8,\newcommand,\C -> \mathbb{C}
8,9,\newcommand,\N -> \mathbb{N}
9,10,\newcommand,\R -> \mathbb{R}
10,11,\newcommand,\cA -> \mathcal{A}
11,12,\newcommand,\cB -> \mathcal{B}
12,13,\newcommand,\cC -> \mathcal{C}
13,14,\newcommand,\cF -> \mathcal{F}
14,15,\newcommand,\cK -> \mathcal{K}
15,16,\newcommand,\cM -> \mathcal{M}
16,17,\newcommand,\cS -> \mathcal{S}
17,18,\newcommand,\fA -> \mathfrak{A}
18,19,\newcommand,\fB -> \mathfrak{B}
19,20,\newcommand,\fC -> \mathfrak{C}
20,21,\newcommand,\fD -> \mathfrak{D}
21,22,\newcommand,\fM -> \mathfrak{M}
22,23,\newcommand,\fS -> \mathfrak{S}
23,24,\newcommand,\alg -> \operatorname{alg}
24,25,\newcommand,\spe -> \operatorname{sp}
25,26,\newcommand,\slim -> \operatornamewithlimits{s-\!\lim}_{n\to\infty}
26,27,\newcommand,\eps -> \varepsilon
27,28,\newcommand,\dR -> {\bf\dot{\R}}
28,29,document,Environment
29,30,\title,{Calkin images of Fourier convolution\\ operators with slowly oscillating symbols
30,31,\author,C. A. Fernandes
31,32,\address,Nested
32,32,\c,Nested
33,33,\email,caf@fct.unl.pt
34,34,\author,A. Yu. Karlovich
35,35,\address,Nested
36,35,\c,Nested
37,36,\email,oyk@fct.unl.pt
38,37,\author,Yu. I. Karlovich
39,38,\address,Nested
40,39,\email,karlovich@uaem.mx
41,40,\thanks,Nested
42,40,\c,Nested
43,42,\c,c
44,45,abstract,Environment
45,55,\keywords,N/A
46,61,\subjclass,"Primary 47G10, Secondary 42A45, 46E30"
47,62,\maketitle,N/A
48,63,\section,Introduction
49,67,equation,Environment
50,68,\cF,-1
51,68,\cF,-1
52,73,\ref,sec:BFS
53,75,\cite,"BS88,CF13"
54,82,\ref,le:density-Cc-infty
55,84,\eqref,eq:convolution-operator
56,94,\cK,N/A
57,94,\R,N/A
58,97,\in,N/A
59,99,\cK,Nested
60,99,\R,Nested
61,99,\in,Nested
62,105,\cK,N/A
63,105,\R,N/A
64,109,\in,N/A
65,111,\cK,Nested
66,111,\R,Nested
67,111,\in,Nested
68,126,\ref,Nested
69,126,\ref,Nested
70,127,\cite,K17
71,130,equation,Environment
72,131,\mathcal,N/A
73,131,\diamond,N/A
74,131,\cap,N/A
75,131,\mathcal,N/A
76,131,\R,N/A
77,131,\diamond,N/A
78,133,\mathcal,MO
79,133,\C,MO
80,136,equation,Environment
81,137,\mathcal,N/A
82,137,\C,N/A
83,137,\in,N/A
84,137,\C,N/A
85,141,\cite,K17
86,145,\cite,"K17,KILH12,KILH13a"
87,151,\eqref,eq:old-equality
88,156,\cite,K17
89,157,theorem,Environment
90,158,\label,th:intersection-quotient-algebras
91,162,equation,Environment
92,163,\mathcal,MO
93,164,\cap,N/A
94,165,\mathcal,N/A
95,165,\R,N/A
96,165,\diamond,N/A
97,166,\mathcal,MO
98,166,\C,MO
99,169,\eqref,eq:multiplications-by-constants
100,174,\cite,"FKK-AFA,FKK-FS12,FKK-ISAAC19"
101,186,\ref,sec:preliminaries
102,191,\ref,sec:maximal-ideal-space
103,205,\ref,sec:maximal-ideal-spaces-Calkin-images
104,211,\ref,sec:proofs
105,212,\cite,RRS04
106,216,\ref,th:intersection-quotient-algebras
107,217,\section,N/A
108,217,\label,N/A
109,218,\subsection,N/A
110,218,\label,N/A
111,224,\cite,BS88
112,229,eqnarray,Environment
113,230,\Leftrightarrow,N/A
114,231,\mbox,a.e.
115,231,\quad,a.e.
116,232,\rho,N/A
117,232,\rho,N/A
118,232,\quad,N/A
119,233,\rho,N/A
120,233,\le,N/A
121,233,\rho,N/A
122,233,\rho,N/A
123,233,\rm,N/A
124,233,\le,N/A
125,233,\le,N/A
126,233,\mbox,N/A
127,233,\Rightarrow,N/A
128,233,\rho,N/A
129,234,\le,N/A
130,234,\rho,N/A
131,235,\quad,(the lattice property)
132,235,\mbox,(the lattice property)
133,236,\rm,N/A
134,236,\le,N/A
135,236,\uparrow,N/A
136,236,\mbox,N/A
137,236,\Rightarrow,N/A
138,236,\rho,N/A
139,236,\uparrow,N/A
140,236,\rho,N/A
141,236,\quad,N/A
142,236,\mbox,N/A
143,236,\rm,N/A
144,236,\infty,N/A
145,236,\Rightarrow,N/A
146,236,\rho,N/A
147,236,\chi_E,N/A
148,236,\infty,N/A
149,236,\rm,N/A
150,236,\infty,N/A
151,236,\Rightarrow,N/A
152,236,\int_E,N/A
153,236,\le,N/A
154,236,\rho,N/A
155,245,\cite,BS88
156,248,\cite,BS88
157,253,\subsection,Density of nice functions in separable Banach function spaces
158,256,lemma,Environment
159,257,\label,le:density-Cc-infty
160,264,theorem,Environment
161,265,\label,th:density-S0
162,270,\subsection,Nested
163,270,\boldmath,Nested
164,272,theorem,Environment
165,273,\label,th:continuous-embedding
166,277,equation,Environment
167,278,\infty,N/A
168,278,\R,N/A
169,278,\le,N/A
170,278,\cM_,N/A
171,278,\R,N/A
172,280,\eqref,eq:continuous-embedding
173,283,\eqref,eq:continuous-embedding
174,284,\cite,K15b
175,286,\eqref,eq:continuous-embedding
176,287,\cite,G14
177,288,\cite,K15b
178,289,corollary,Environment
179,296,\subsection,Stechkin-type inequality
180,301,theorem,Environment
181,306,equation,Environment
182,307,\cB,Nested
183,307,\R,Nested
184,308,\le,N/A
185,313,\cite,K15a
186,314,\eqref,eq:Stechkin
187,317,equation,Environment
188,318,L,Environment
189,319,\tan,N/A
190,319,\left,N/A
191,319,\frac,N/A
192,319,\right,N/A
193,319,\mbox,N/A
194,319,\le,N/A
195,320,\cot,N/A
196,320,\left,N/A
197,320,\frac,N/A
198,320,\right,N/A
199,320,\mbox,N/A
200,320,\le,N/A
201,320,\infty,N/A
202,324,\cite,Nested
203,324,\eqref,Nested
204,326,\cite,GK92
205,327,\eqref,eq:constant-in-Stechkin
206,329,\ref,th:Stechkin
207,330,\cite,BKS02
208,331,\ref,th:Stechkin
209,333,\cite,K15d
210,334,\subsection,N/A
211,334,\label,N/A
212,338,\cite,BFK06
213,339,\cite,Nested
214,339,\cite,Nested
215,343,\cup,N/A
216,343,\big,N/A
217,344,\mbox,if
218,344,\in,if
219,344,\R,if
220,345,\lim,Nested
221,345,\limits_,Nested
222,345,\to,Nested
223,345,\infty,Nested
224,346,\operatorname,osc
225,346,\big,osc
226,346,\cup,osc
227,346,\big,osc
228,347,\mbox,if
229,347,\infty,if
230,357,\subsection,Nested
231,357,\boldmath,Nested
232,362,\cite,Nested
233,362,\cite,Nested
234,367,lemma,Environment
235,371,proof,Environment
236,372,\cite,BBK04
237,373,equation,Environment
238,374,\infty,N/A
239,374,\infty,N/A
240,375,\left,Nested
241,375,\in,Nested
242,375,\infty,Nested
243,375,\cap,Nested
244,375,\infty,Nested
245,375,\R,Nested
246,375,\lim_,Nested
247,375,\to,Nested
248,375,\infty,Nested
249,375,\infty,Nested
250,375,\in,Nested
251,375,\N,Nested
252,376,\right,N/A
253,382,\eqref,eq:SO3-lambda-is-dense-in-SO-lambda-0
254,387,\cite,KILH13a
255,389,equation,Environment
256,390,\beta_,N/A
257,390,\frac,N/A
258,396,equation,Environment
259,397,\beta_,N/A
260,397,\frac,N/A
261,398,\quad,N/A
262,398,\in,N/A
263,398,\dR,N/A
264,401,\eqref,eq:SO3-lambda-is-dense-in-SO-lambda-1
265,402,\eqref,eq:SO3-lambda-is-dense-in-SO-lambda-2
266,405,align,Environment
267,408,\left,N/A
268,408,\beta_,N/A
269,408,\right,N/A
270,408,\frac,N/A
271,411,\label,eq:SO3-lambda-is-dense-in-SO-lambda-3
272,414,\left,N/A
273,414,\beta_,N/A
274,414,\right,N/A
275,414,\frac,N/A
276,416,\left,N/A
277,416,\beta_,N/A
278,416,\right,N/A
279,416,\frac,N/A
280,417,\nonumber,N/A
281,421,\label,eq:SO3-lambda-is-dense-in-SO-lambda-4
282,423,align,Environment
283,426,\left,N/A
284,426,\beta_,N/A
285,426,\right,N/A
286,426,\frac,N/A
287,428,\left,N/A
288,428,\beta_,N/A
289,428,\right,N/A
290,428,\frac,N/A
291,429,\nonumber,N/A
292,431,\left,N/A
293,431,\beta_,N/A
294,431,\right,N/A
295,431,\frac,N/A
296,432,\nonumber,N/A
297,436,\nonumber,N/A
298,438,\label,eq:SO3-lambda-is-dense-in-SO-lambda-5
299,442,equation,Environment
300,443,\lim_,N/A
301,443,\to,N/A
302,443,\infty,N/A
303,444,\quad,for
304,444,\mbox,for
305,444,\quad,for
306,445,\in,Nested
307,447,\eqref,eq:SO3-lambda-is-dense-in-SO-lambda-3
308,448,\eqref,eq:SO3-lambda-is-dense-in-SO-lambda-6
309,451,\subsection,Slowly oscillating Fourier multipliers
310,452,\label,sec:SO-multipliers
311,455,theorem,Environment
312,456,\label,th:boundedness-convolution-SO
313,461,equation,Environment
314,462,\cB,Nested
315,462,\R,Nested
316,463,\le,N/A
317,473,lemma,Environment
318,478,proof,Environment
319,482,\ref,th:continuous-embedding
320,486,\ref,le:SO3-lambda-is-dense-in-SO-lambda
321,488,\section,Nested
322,488,\boldmath,Nested
323,489,\boldmath, 
324,490,\label,sec:maximal-ideal-space
325,491,\subsection,N/A
326,492,\boldmath, 
327,496,\spe_,KR97
328,496,\fA,KR97
329,496,\subset,KR97
330,497,\cite,A79
331,501,\cite,A79
332,506,\cite,KR97
333,507,\cite,A79
334,508,lemma,Environment
335,514,\subsection,Family of positive elements
336,521,lemma,Environment
337,525,proof,Environment
338,527,\cite,RSS11
339,533,\cite,KR97
340,535,\subsection,Nested
341,535,\boldmath,Nested
342,536,\boldmath, 
343,547,lemma,Environment
344,550,equation,Environment
345,551,\diamond,N/A
346,554,proof,Environment
347,558,equation,Environment
348,559,\diamond,N/A
349,559,\subset,N/A
350,559,\subset,N/A
351,559,\dR,N/A
352,560,\quad,N/A
353,560,\in,N/A
354,560,\dR,N/A
355,564,equation,Environment
356,565,\in,Nested
357,565,\dR,Nested
358,565,\delta_t,Nested
359,566,\quad,N/A
360,566,\in,N/A
361,566,\dR,N/A
362,568,\eqref,eq:fibers-SOt-SO-diamond-2
363,569,\eqref,eq:fibers-SOt-SO-diamond-3
364,570,equation,Environment
365,571,\diamond,N/A
366,571,\subset,N/A
367,572,\quad,N/A
368,573,\in,N/A
369,573,\R,N/A
370,582,equation,Environment
371,583,\left,Nested
372,583,\sum_,Nested
373,583,\in,Nested
374,583,\right,Nested
375,589,\eqref,eq:fibers-SOt-SO-diamond-5
376,593,\ref,le:positive-elements
377,597,\ref,le:extension-characters
378,602,equation,Environment
379,603,\subset,N/A
380,603,\diamond,N/A
381,605,\eqref,eq:fibers-SOt-SO-diamond-4
382,606,\eqref,eq:fibers-SOt-SO-diamond-6
383,607,\eqref,eq:fibers-SOt-SO-diamond-1
384,609,corollary,Environment
385,613,\subsection,Extensions of multiplicative linear functionals on Banach algebras
386,615,\cite,Nested
387,615,\cite,Nested
388,617,theorem,Environment
389,624,proof,Environment
390,627,\psi_2,N/A
391,628,\psi_3,N/A
392,628,\fB,N/A
393,628,\in,N/A
394,628,\fB,N/A
395,628,\fA,N/A
396,628,\subset,N/A
397,628,\fB,N/A
398,629,equation,Environment
399,630,\psi_2,for all
400,630,\quad,for all
401,630,\mbox,for all
402,630,\quad,for all
403,630,\in,for all
404,630,\fA,for all
405,633,\cite,K09
406,636,\eqref,eq:Simonenko-1
407,641,\subsection,N/A
408,642,\boldmath, 
409,643,\cite,KILH13a
410,644,lemma,Environment
411,649,\cite,KILH13a
412,650,\ref,le:SO3-lambda-is-dense-in-SO-lambda
413,651,\cite,KILH13a
414,653,\cite,K09
415,654,\cite,KILH13a
416,655,\cite,RS80
417,656,\cite,KILH13a
418,657,lemma,Environment
419,663,equation,Environment
420,664,\R,Nested
421,667,proof,Environment
422,668,\ref,th:continuous-embedding
423,673,\ref,le:extension-from-SOt3-to-SOt
424,675,\ref,th:Simonenko
425,679,equation,Environment
426,680,\R,Nested
427,680,\subset,Nested
428,685,equation,Environment
429,686,\subset,Nested
430,686,\R,Nested
431,688,\eqref,eq:equality-of-maximal-ideal-spaces-local-2
432,689,\eqref,eq:equality-of-maximal-ideal-spaces-local-3
433,691,\eqref,eq:equality-of-maximal-ideal-spaces-local-1
434,693,\ref,le:fibers-SOt-SO-diamond
435,694,lemma,Environment
436,699,equation,Environment
437,700,\R,N/A
438,700,\R,N/A
439,700,\diamond,N/A
440,703,proof,Environment
441,708,equation,Environment
442,709,\R,N/A
443,709,\diamond,N/A
444,709,\subset,N/A
445,709,\R,N/A
446,712,\ref,le:equality-of-maximal-ideal-spaces-local
447,716,\ref,le:fibers-SOt-SO-diamond
448,721,equation,Environment
449,722,\R,N/A
450,722,\subset,N/A
451,722,\R,N/A
452,722,\diamond,N/A
453,724,\eqref,eq:fibers-multipliers-SOt-SO-diamond-2
454,725,\eqref,eq:fibers-multipliers-SOt-SO-diamond-3
455,726,\eqref,eq:fibers-multipliers-SOt-SO-diamond-1
456,728,\subsection,N/A
457,729,\boldmath, 
458,733,theorem,Environment
459,740,proof,Environment
460,741,\ref,le:fibers-multipliers-SOt-SO-diamond
461,742,\ref,le:equality-of-maximal-ideal-spaces-local
462,743,\ref,le:fibers-SOt-SO-diamond
463,747,\section,N/A
464,748,\boldmath,N/A
465,748,\boldmath,N/A
466,749,\label,sec:maximal-ideal-spaces-Calkin-images
467,750,\subsection,N/A
468,751,\boldmath, 
469,752,\cite,HKK06
470,753,\cite,FKK-FS12
471,754,theorem,Environment
472,763,theorem,Environment
473,770,proof,Environment
474,776,\ref,th:noncompactness-multiplication
475,780,\cite,K09
476,783,\subsection,N/A
477,784,\boldmath, 
478,785,\ref,th:noncompactness-multiplication
479,787,\cite,FKK-AFA
480,788,theorem,Environment
481,789,\label,th:noncompactness-convolution
482,797,\ref,th:maximal-ideal-space-quotient-algebra-MO
483,799,theorem,Environment
484,807,proof,Environment
485,809,\ref,th:maximal-ideal-space-quotient-algebra-MO
486,815,\ref,th:noncompactness-convolution
487,819,\cite,K09
488,823,\section,Applications of the method of limit operators
489,824,\label,sec:proofs
490,825,\subsection,Known{result
491,834,\cite,Nested
492,836,lemma,Environment
493,837,\label,le:LO-compact
494,843,\subsection,N/A
495,844,\boldmath, 
496,847,theorem,Environment
497,854,equation,Environment
498,855,\slim,N/A
499,855,\xi,N/A
500,859,proof,Environment
501,860,\cite,KILH13a
502,861,\ref,le:SO-continuous-embedding
503,869,equation,Environment
504,870,\lim_,N/A
505,870,\to,N/A
506,870,\infty,N/A
507,870,\cM_,N/A
508,870,\R,N/A
509,872,\ref,le:fibers-SOt-SO-diamond
510,876,\cite,Nested
511,876,\cite,Nested
512,879,equation,Environment
513,880,\xi,N/A
514,880,\infty,N/A
515,880,\lim_,N/A
516,880,\to,N/A
517,880,\infty,N/A
518,880,\infty,N/A
519,881,\quad,N/A
520,881,\mbox,N/A
521,881,\quad,N/A
522,881,\infty,N/A
523,881,\in,N/A
524,881,\infty,N/A
525,885,equation,Environment
526,886,\xi,N/A
527,886,\infty,N/A
528,886,\lim_,N/A
529,886,\to,N/A
530,886,\infty,N/A
531,887,\quad,N/A
532,887,\mbox,N/A
533,887,\quad,N/A
534,887,\in,N/A
535,887,\bigcup_,N/A
536,887,\in,N/A
537,887,\N,N/A
538,887,\setminus,N/A
539,887,\infty,N/A
540,889,\eqref,N/A
541,889,\eqref,N/A
542,891,align,Environment
543,892,\xi,N/A
544,894,\sum_,N/A
545,894,\in,N/A
546,894,\xi,N/A
547,896,\sum_,Nested
548,896,\in,Nested
549,897,\lim_,N/A
550,897,\to,N/A
551,897,\infty,N/A
552,898,\nonumber,N/A
553,899,\lim_,N/A
554,899,\to,N/A
555,899,\infty,N/A
556,899,\sum_,N/A
557,899,\in,N/A
558,901,\lim_,Nested
559,901,\to,Nested
560,901,\infty,Nested
561,906,\cite,F09
562,910,align,Environment
563,911,\xi,N/A
564,913,\xi,N/A
565,915,\cF,-1
566,915,\cF,-1
567,918,equation,Environment
568,919,\big,N/A
569,919,\big,N/A
570,919,\xi,N/A
571,919,\big,N/A
572,919,\big,N/A
573,919,\R,N/A
574,920,\le,N/A
575,921,\big,N/A
576,921,\big,N/A
577,921,\cM_,N/A
578,921,\R,N/A
579,921,\R,N/A
580,926,align,Environment
581,927,\big,Nested
582,927,\big,Nested
583,927,\cM_,Nested
584,927,\R,Nested
585,928,\le,N/A
586,929,\big,Nested
587,929,\big,Nested
588,929,\cM_,Nested
589,929,\R,Nested
590,930,\nonumber,N/A
591,931,\big,Nested
592,931,\big,Nested
593,931,\cM_,Nested
594,931,\R,Nested
595,932,\nonumber,N/A
596,933,\big,Nested
597,933,\xi,Nested
598,933,\xi,Nested
599,933,\big,Nested
600,933,\cM_,Nested
601,933,\R,Nested
602,934,\nonumber,N/A
603,934,\le,N/A
604,935,\cM_,N/A
605,935,\R,N/A
606,935,\cM_,N/A
607,935,\R,N/A
608,936,\nonumber,N/A
609,937,\big,Nested
610,937,\big,Nested
611,937,\cM_,Nested
612,937,\R,Nested
613,938,\label,eq:LO-convolution-SO-7
614,941,\ref,th:Stechkin
615,942,\eqref,eq:LO-convolution-SO-2
616,946,equation,Environment
617,947,\cM_,N/A
618,947,\R,N/A
619,947,\cM_,N/A
620,947,\R,N/A
621,947,\eps,N/A
622,955,\subset,N/A
623,955,\infty,N/A
624,958,align,Environment
625,959,\left,N/A
626,960,\big,N/A
627,961,\right,Nested
628,961,\cM_,Nested
629,961,\R,Nested
630,962,\le,N/A
631,963,\left,N/A
632,963,\big,N/A
633,964,\right,Nested
634,964,\cM_,Nested
635,964,\R,Nested
636,965,\nonumber,N/A
637,966,\big,Nested
638,966,\xi,Nested
639,966,\big,Nested
640,966,\cM_,Nested
641,966,\R,Nested
642,967,\label,eq:LO-convolution-SO-9
643,973,\eqref,eq:LO-convolution-SO-5
644,975,equation,Environment
645,976,\big,Nested
646,976,\xi,Nested
647,976,\big,Nested
648,976,\cM_,Nested
649,976,\R,Nested
650,976,\eps,Nested
651,980,\ref,th:boundedness-convolution-SO
652,983,align,Environment
653,984,\left,N/A
654,984,\big,N/A
655,985,\right,Nested
656,985,\cM_,Nested
657,985,\R,Nested
658,986,\nonumber,N/A
659,987,\quad,N/A
660,987,\quad,N/A
661,987,\le,N/A
662,988,\left,N/A
663,989,\big,N/A
664,990,\right,Nested
665,990,\infty,Nested
666,991,\nonumber,N/A
667,992,\quad,N/A
668,992,\quad,N/A
669,994,\sum_,N/A
670,994,\frac,N/A
671,995,\left,N/A
672,996,\infty,N/A
673,996,\left,N/A
674,997,\big,N/A
675,998,\right,N/A
676,999,\right,Nested
677,999,\infty,Nested
678,999,\R,Nested
679,1000,\label,eq:LO-convolution-SO-11
680,1003,align,Environment
681,1005,\infty,N/A
682,1005,\left,N/A
683,1006,\big,N/A
684,1007,\right,N/A
685,1008,\nonumber,N/A
686,1009,\quad,N/A
687,1009,\quad,N/A
688,1010,\sum_,N/A
689,1010,\nu,N/A
690,1010,\binom,N/A
691,1010,\nu,N/A
692,1011,\left,N/A
693,1011,\infty,N/A
694,1011,\nu,N/A
695,1012,\big,N/A
696,1013,\right,N/A
697,1014,\left,Nested
698,1014,\infty,Nested
699,1014,\nu,Nested
700,1014,\right,Nested
701,1015,\label,eq:LO-convolution-SO-12
702,1018,align,Environment
703,1019,\left,N/A
704,1020,\big,N/A
705,1020,\chi_K,N/A
706,1021,\right,Nested
