,Line num,Command,Notes
0,1,\documentclass,amsart
1,2,\usepackage,filecontents
2,3,filecontents,Environment
3,46,\usepackage,geometry
4,47,\usepackage,hyperref
5,48,\usepackage,natbib
6,49,\usepackage,amsmath
7,50,\usepackage,amsfonts
8,51,\usepackage,amssymb
9,52,\usepackage,amsthm
10,53,\usepackage,cleveref
11,54,\usepackage,enumerate
12,55,\usepackage,xcolor
13,56,\newtheorem,N/A
14,57,\newtheorem,N/A
15,58,\newtheorem,N/A
16,59,\newtheorem,N/A
17,60,\newtheorem,N/A
18,61,\newtheorem,N/A
19,62,\newtheorem,N/A
20,63,\newtheorem,N/A
21,64,\newtheorem,N/A
22,65,\newtheorem,N/A
23,66,\newtheorem,N/A
24,67,\theoremstyle,definition
25,68,\newtheorem,N/A
26,69,\newtheorem,N/A
27,70,\newtheorem,N/A
28,71,\newtheorem,N/A
29,72,\newtheorem,N/A
30,73,\newtheorem,N/A
31,74,\crefname,N/A
32,75,\title,A Maximum Theorem for Incomplete Preferences
33,76,\author,Leandro Gorno\\Alessandro Rivello
34,76,\Alessandro,Nested
35,77,\date,First draft: January 2020. Current version: July 2020.
36,78,document,Environment
37,79,abstract,Environment
38,80,\textit,N/A
39,80,\vspace,N/A
40,80,\noindent,N/A
41,80,\textit,N/A
42,80,\vspace,N/A
43,80,\noindent,N/A
44,80,\textit,N/A
45,82,\maketitle,N/A
46,83,\section,Introduction
47,84,\citet,N/A
48,84,\citet,N/A
49,84,\citet,N/A
50,84,\citet,N/A
51,85,example,Environment
52,89,\section,Preliminaries
53,90,\textit,preference
54,91,\textit,N/A
55,91,\textit,N/A
56,91,\textit,N/A
57,92,\textit,N/A
58,92,\textit,N/A
59,93,\textit,continuous
60,96,\section,A Maximum Theorem
61,98,theorem,Environment
62,99,\label,th:maximum
63,101,enumerate,Environment
64,102,\item,N/A
65,103,\item,N/A
66,104,\item,N/A
67,108,proof,Environment
68,109,\ref,Nested
69,109,\ref,Nested
70,110,\ref,lemma:Hausdorff_facts
71,111,\citet,Gorno2018
72,113,\ref,th:maximum
73,114,example,Environment
74,115,\label,ex:partition
75,119,example,Environment
76,124,\section,Necessity of the key condition
77,125,\ref,Nested
78,125,\textit,Nested
79,126,\textit,N/A
80,126,\footnote,N/A
81,126,\citet,N/A
82,127,theorem,Environment
83,128,\label,th:full_maximum
84,130,enumerate,Environment
85,131,\item,N/A
86,132,\item,N/A
87,135,proof,Environment
88,136,\ref,Nested
89,136,\ref,Nested
90,137,\ref,Nested
91,137,\ref,lm:conv_connectset
92,137,\ref,Nested
93,137,\ref,lm:conv_connectset
94,137,\ref,Nested
95,137,\ref,lm:conv_connectset
96,138,\citet,Nested
97,138,\ref,Nested
