,line num,Command
0,2,\documentclass
1,3,\usepackage
2,4,\usepackage
3,5,\usepackage
4,6,\usepackage
5,7,\usepackage
6,8,\usepackage
7,9,\usepackage
8,10,\usepackage
9,11,\usepackage
10,13,\usepackage
11,14,\usepackage
12,15,\usepackage
13,16,\usepackage
14,17,\usepackage
15,18,\usepackage
16,19,\usepackage
17,21,\usepackage
18,25,\usepackage
19,26,\usepackage
20,34,be
21,36,ba
22,38,bal
23,40,baln
24,42,bi
25,44,bn
26,46,bbm
27,48,bpm
28,50,bsm
29,52,bp
30,54,\newcommand
31,54,\nn
32,54,\nonumber
33,58,\newcommand
34,58,\tbf
35,58,\textbf
36,59,\newcommand
37,59,\mr
38,59,\ensuremath
39,59,\mathrm
40,60,\newcommand
41,60,\scr
42,60,\ensuremath
43,60,\mathscr
44,61,\newcommand
45,61,\mbf
46,61,\ensuremath
47,61,\mathbf
48,62,\newcommand
49,62,\mc
50,62,\ensuremath
51,62,\mathcal
52,63,\newcommand
53,63,\mf
54,63,\ensuremath
55,63,\mathfrak
56,64,\newcommand
57,64,\ov
58,64,\ensuremath
59,64,\overline
60,65,\newcommand
61,65,\sm
62,65,\ensuremath
63,65,\setminus
64,66,\newcommand
65,66,\wt
66,66,\ensuremath
67,66,\widetilde
68,67,\renewcommand
69,67,\bm
70,67,\ensuremath
71,67,\mathbb
72,68,\newcommand
73,68,\tr
74,68,\ensuremath
75,68,\mathrm
76,73,\newcommand
77,73,\Ga
78,73,\ensuremath
79,73,\Gamma
80,74,\newcommand
81,74,\ga
82,74,\ensuremath
83,74,\gamma
84,75,\newcommand
85,75,\Om
86,75,\ensuremath
87,75,\Omega
88,76,\newcommand
89,76,\vi
90,76,\ensuremath
91,76,\varphi
92,77,\newcommand
93,77,\La
94,77,\ensuremath
95,77,\Lambda
96,78,\newcommand
97,78,\la
98,78,\ensuremath
99,78,\lambda
100,79,\newcommand
101,79,\om
102,79,\ensuremath
103,79,\omega
104,80,\newcommand
105,80,\ka
106,80,\ensuremath
107,80,\kappa
108,81,\renewcommand
109,81,\a
110,81,\ensuremath
111,81,\alpha
112,82,\newcommand
113,82,\eps
114,82,\ensuremath
115,82,\epsilon
116,86,\def
117,86,\C
118,86,\mathbb
119,87,\def
120,87,\R
121,87,\mathbb
122,88,\def
123,88,\D
124,88,\mathbb
125,89,\def
126,89,\Z
127,89,\mathcal
128,90,\def
129,90,\N
130,90,\mathbb
131,91,\def
132,91,\B
133,91,\mathbb
134,92,\def
135,92,\E
136,92,\mathcal
137,93,\def
138,93,\A
139,93,\mathcal
140,94,\def
141,94,\cH
142,94,\mathcal
143,95,\def
144,95,\cG
145,95,\mathcal
146,96,\def
147,96,\bH
148,96,\mathbb
149,97,\def
150,97,\cJ
151,97,\mathcal
152,100,\def
153,100,\hardy
154,100,\mathbb
155,101,\def
156,101,\mult
157,101,\mathbb
158,101,\infty
159,104,\def
160,104,\fp
161,104,\mathbb
162,104,\mathfrak
163,104,\mathfrak
164,105,\def
165,105,\bc
166,105,\underset
167,105,\mbox
168,105,\tiny
169,105,\mbox
170,105,\tiny
171,105,\subseteq
172,106,\def
173,106,\cc
174,106,\underset
175,106,\mbox
176,106,\tiny
177,106,\mbox
178,106,\tiny
179,106,\subseteq
180,108,\newcommand
181,108,\m
182,108,\ensuremath
183,108,\mathbf
184,109,\newcommand
185,109,\n
186,109,\ensuremath
187,109,\mathbf
188,110,\renewcommand
189,110,\j
190,110,\ensuremath
191,110,\mathbf
192,112,\renewcommand
193,112,\H
194,112,\ensuremath
195,112,\mathcal
196,115,\newcommand
197,115,\J
198,115,\ensuremath
199,115,\mathcal
200,119,\newcommand
201,119,\M
202,119,\ensuremath
203,119,\mathfrak
204,120,\newcommand
205,120,\K
206,120,\ensuremath
207,120,\mathcal
208,121,\renewcommand
209,121,\L
210,121,\ensuremath
211,121,\mathscr
212,122,\newcommand
213,122,\F
214,122,\ensuremath
215,122,\mathbb
216,123,\newcommand
217,123,\fB
218,123,\ensuremath
219,123,\mathbb
220,124,\newcommand
221,124,\cL
222,124,\ensuremath
223,124,\mathcal
224,125,\newcommand
225,125,\cF
226,125,\ensuremath
227,125,\mathcal
228,126,\newcommand
229,126,\cK
230,126,\ensuremath
231,126,\mathcal
232,127,\newcommand
233,127,\cM
234,127,\ensuremath
235,127,\mathcal
