,Line num,Command,Notes
0,1,\documentclass,article
1,2,\textwidth,N/A
2,2,\textheight,N/A
3,2,\topmargin,N/A
4,3,\oddsidemargin,N/A
5,4,\usepackage,"amssymb,amsmath,amsfonts"
6,5,\usepackage,amsthm
7,6,\usepackage,txfonts
8,7,\usepackage,color
9,8,\usepackage,epsfig
10,9,\numberwithin,N/A
11,9,\theoremstyle,N/A
12,10,\newtheorem,N/A
13,11,\newtheorem,N/A
14,12,\newtheorem,N/A
15,13,\newtheorem,N/A
16,14,\newtheorem,N/A
17,15,\theoremstyle,definition
18,16,\newtheorem,N/A
19,17,\newtheorem,N/A
20,18,\theoremstyle,remark
21,19,\newtheorem,N/A
22,19,\rm,N/A
23,19,\bf,N/A
24,20,\allowdisplaybreaks,N/A
25,21,\newcommand,\qbinom -> \left_{q}
26,22,document,Environment
27,23,\title,\bf On the eigenstructure of the  -Bernstein operator
28,23,\bf,\bf On the eigenstructure of the  -Bernstein operator
29,24,\author,N/A
30,24,\u,N/A
31,24,\c,N/A
32,24,\c,N/A
33,25,\date,
34,26,\maketitle,N/A
35,28,abstract,Environment
36,32,\section,Introduction
37,33,\cite,N/A
38,33,\c,N/A
39,33,\cite,N/A
40,33,\cite,N/A
41,34,\cite,"jat,KR67,novikov,jat2,decade,parametric,wangnorms"
42,35,\cite,N/A
43,36,\cite,N/A
44,36,\cite,N/A
45,36,\cite,N/A
46,36,\cite,N/A
47,37,\section,Preliminaries
48,38,\cite,askey
49,40,equation,Environment
50,41,\dots,n-1
51,41,\quad,n-1
52,41,\qquad,n-1
53,41,\dots,n-1
54,44,align,Environment
55,45,\dots,N/A
56,45,\quad_q,N/A
57,45,\qquad,N/A
58,45,\dots,N/A
59,47,\eqref,w1
60,48,eqnarray,Environment
61,49,\frac,N/A
62,49,\quad,N/A
63,49,\ldots,N/A
64,52,equation,Environment
65,53,\qbinom,N/A
66,53,\frac,N/A
67,56,\quad,N/A
68,56,\prod_,N/A
69,56,\quad,N/A
70,56,\infty,N/A
71,56,\prod_,N/A
72,56,\infty,N/A
73,59,align,Environment
74,60,\frac,N/A
75,60,\sum_,N/A
76,60,\frac,N/A
77,60,\qbinom,N/A
78,63,align,Environment
79,64,\qquad,N/A
80,64,\geq0,N/A
81,64,\geq1,N/A
82,67,\cite,xia
83,68,equation,Environment
84,69,\alpha,N/A
85,69,\sum_,N/A
86,69,\left,N/A
87,69,\frac,N/A
88,69,\right,N/A
89,69,\alpha,N/A
90,74,align,Environment
91,75,\alpha,N/A
92,75,\leftx,N/A
93,78,\alpha,N/A
94,78,\rightarrow,N/A
95,78,\alpha,N/A
96,79,\eqref,tnf
97,80,equation,Environment
98,81,\alpha,N/A
99,81,\sum_,N/A
100,81,\leftx,N/A
101,85,\left,N/A
102,85,\frac,N/A
103,85,\right,N/A
104,85,\quad,N/A
105,85,\left,N/A
106,85,\frac,N/A
107,85,\right,N/A
108,85,\frac,N/A
109,88,\cite,xia
110,89,equation,Environment
111,90,\left,N/A
112,90,\frac,N/A
113,90,\right,N/A
114,90,\frac,N/A
115,92,\cite,qingbo
116,95,\alpha,N/A
117,95,\sum_,N/A
118,95,\left,N/A
119,95,\frac,N/A
120,95,\right,N/A
121,95,\alpha,N/A
122,99,align,Environment
123,100,\alpha,N/A
124,100,\bigg,N/A
125,100,\qbinom,N/A
126,100,\frac,N/A
127,100,\alpha,N/A
128,100,\qbinom,N/A
129,100,\alpha,N/A
130,101,\qbinom,N/A
131,101,\alpha,N/A
132,101,\bigg,N/A
133,104,equation,Environment
134,105,\alpha,N/A
135,105,\sum_,N/A
136,105,\bigg,N/A
137,105,\alpha,N/A
138,105,\qbinom,N/A
139,105,\Delta_q,N/A
140,105,\alpha,N/A
141,105,\qbinom,N/A
142,105,\Delta_q,N/A
143,105,\bigg,N/A
144,109,\cite,qingbo
145,110,equation,Environment
146,111,\left,N/A
147,111,\frac,N/A
148,111,\right,N/A
149,111,\frac,N/A
150,114,\section,Main Results
151,117,\cite,N/A
152,117,\cite,N/A
153,118,align,Environment
154,119,\alpha,N/A
155,119,\quad,N/A
156,119,\alpha,N/A
157,119,\quad,N/A
158,119,\dots,N/A
159,122,equation,Environment
160,123,\alpha,"n,q,\alpha"
161,123,\quad,"n,q,\alpha"
162,123,\dots,"n,q,\alpha"
163,126,\cite,qingbo
164,127,eqnarray,Environment
165,128,\alpha,N/A
166,128,\cdots,N/A
167,132,\frac,N/A
168,132,\left,N/A
169,132,\alpha,N/A
170,132,\alpha_q_q,N/A
171,132,\right,N/A
172,136,lemma,Environment
173,138,align,Environment
174,139,\Delta_q,N/A
175,139,\frac,N/A
176,139,\sum_,N/A
177,139,\qbinom,N/A
178,142,proof,Environment
179,144,lemma,Environment
180,146,equation,Environment
181,147,\alpha,N/A
182,147,\sum_,N/A
183,150,multline,Environment
184,151,\frac,N/A
185,151,\frac,N/A
186,151,\bigg,N/A
187,151,\alpha,N/A
188,151,\bigg,N/A
189,151,\bigg,N/A
190,151,\alpha_q_qS_q,N/A
191,151,\bigg,N/A
192,151,\label,N/A
193,154,proof,Environment
194,155,align,Environment
195,156,\alpha,N/A
196,156,\qbinom,N/A
197,156,\Delta_q,N/A
198,156,\alpha,N/A
199,156,\qbinom,N/A
200,156,\Delta_q,N/A
201,158,\eqref,lemqdif
202,159,align,Environment
203,160,\Delta_q,N/A
204,160,\frac,N/A
205,160,\sum_,N/A
206,160,\qbinom,N/A
207,162,\eqref,str1
208,163,align,Environment
209,164,\Delta_q,N/A
210,164,\frac,N/A
211,167,align,Environment
212,168,\Delta_q,N/A
213,168,\Delta_q,N/A
214,168,\Delta_q,N/A
215,168,\frac,N/A
216,168,\frac,N/A
217,170,\eqref,delqr
218,171,align,Environment
219,172,\Delta_q,N/A
220,172,\Delta_q,N/A
221,172,\frac,N/A
222,172,\Delta_q,N/A
223,172,\frac,N/A
224,172,\frac,N/A
225,172,\bigg,N/A
226,172,\frac,N/A
227,172,\bigg,N/A
228,175,align,Environment
229,176,\frac,N/A
230,176,\frac,N/A
231,176,\bigg,N/A
232,176,\alpha,N/A
233,176,\qbinom,N/A
234,176,\left,N/A
235,176,\frac,N/A
236,176,\right,N/A
237,176,\alpha,N/A
238,176,\qbinom,N/A
239,176,\bigg,N/A
240,176,\frac,N/A
241,176,\frac,N/A
242,176,\bigg,N/A
243,176,\alpha,N/A
244,176,\frac,N/A
245,176,\left,N/A
246,176,\frac,N/A
247,176,\right,N/A
248,176,\alpha,N/A
249,176,\frac,N/A
250,176,\bigg,N/A
251,178,\eqref,str2
252,179,align,Environment
253,181,\frac,N/A
254,181,\frac,N/A
255,181,\bigg,N/A
256,181,\alpha,N/A
257,181,\bigg,N/A
258,181,\qquad,N/A
259,181,\frac,N/A
260,181,\bigg,N/A
261,181,\alpha_q_qS_q,N/A
262,181,\bigg,N/A
263,181,\frac,N/A
264,181,\frac,N/A
265,181,\bigg,N/A
266,181,\bigg,N/A
267,181,\alpha,N/A
