,Line num,Command,Notes
0,2,\documentclass,amsart
1,3,\usepackage,"amsmath,amssymb,epsfig"
2,4,\usepackage,algorithm
3,5,\usepackage,algpseudocode
4,6,\usepackage,algorithmicx
5,7,\usepackage,url
6,8,\usepackage,array
7,9,\usepackage,color
8,10,\usepackage,gauss
9,11,\usepackage,graphicx
10,12,\usepackage,epsfig
11,13,\usepackage,subfig
12,14,\usepackage,grffile
13,15,\usepackage,tikz
14,16,\usepackage,algorithm2e
15,17,\usepackage,amsthm
16,18,\newtheorem,N/A
17,19,\newtheorem,N/A
18,20,\newtheorem,N/A
19,21,\newtheorem,N/A
20,22,\newtheorem,N/A
21,23,\newtheorem,N/A
22,24,\newtheorem,N/A
23,25,\newtheorem,N/A
24,26,\newtheorem,N/A
25,27,\newcommand,\nb -> {\mathsf{nb}}
26,28,\newcommand,\C -> {\mathbb C}
27,29,\newcommand,\R -> {\mathbb R}
28,30,\newcommand,\calK -> {\mathcal K}
29,31,\newcommand,\calW -> {\mathcal W}
30,32,\newcommand,\todo -> {\color{blue} #1}
31,33,\newcommand,\hilight -> {\color{blue} #1}
32,34,\usepackage,amsaddr
33,35,\title,Nested
34,36,\author,Michel Crouzeix
35,37,\address,Nested
36,38,\author,Daniel Kressner
37,39,\address,Nested
38,40,\date,Nested
39,40,\today,Nested
40,41,\keywords,Nested
41,42,\subjclass,"15A60; 15A16, 65F60"
42,43,document,Environment
43,44,\maketitle,N/A
44,45,abstract,Environment
45,50,\section,Introduction
46,54,\cite,CrouzeixPalencia2017
47,55,equation,Environment
48,56,\le,N/A
49,56,\sqrt,N/A
50,56,\max_,N/A
51,56,\in,N/A
52,65,equation,Environment
53,66,\frac,N/A
54,66,\oint_,N/A
55,66,\Gamma_A,N/A
56,66,\oint_,N/A
57,66,\Gamma_B,N/A
58,66,\otimes,N/A
59,66,\text,N/A
60,66,\text,N/A
61,68,\cite,Nested
62,68,\cite,Biller2007
63,68,\eqref,def:bivariatefunction
64,68,\cite,Nested
65,68,\cite,Biller2007
66,68,\eqref,def:bivariatefunction
67,68,\eqref,Nested
68,68,\cite,Biller2007
69,68,\eqref,def:bivariatefunction
70,68,\cite,Nested
71,68,\cite,Biller2007
72,68,\eqref,def:bivariatefunction
73,70,\ref,theorem:main
74,71,equation,Environment
75,72,\le,N/A
76,72,\sqrt,N/A
77,72,\times,N/A
78,75,\eqref,N/A
79,75,\eqref,N/A
80,75,\eqref,N/A
81,77,\eqref,Nested
82,77,\eqref,eq:scalarcrouzeixpalencia
83,77,\eqref,Nested
84,77,\eqref,eq:scalarcrouzeixpalencia
85,77,\cite,Nested
86,77,\eqref,eq:scalarcrouzeixpalencia
87,78,\ref,Nested
88,78,\eqref,Nested
89,79,\eqref,Nested
90,79,\ref,sec:derivatives
91,79,\ref,Nested
92,79,\ref,sec:derivatives
93,79,\ref,Nested
94,79,\ref,sec:derivatives
95,80,\subsubsection,Related work
96,81,\cite,Nested
97,81,\eqref,eq:scalarcrouzeixpalencia
98,81,\eqref,eq:newresult
99,81,\cite,Kressner2019bivariate
100,81,\cite,Gil2011
101,81,\cite,Kressner2019bivariate
102,81,\eqref,Nested
103,81,\eqref,eq:scalarcrouzeixpalencia
104,81,\eqref,eq:newresult
105,81,\cite,Kressner2019bivariate
106,81,\cite,Gil2011
107,81,\cite,Kressner2019bivariate
108,81,\eqref,Nested
109,81,\eqref,eq:scalarcrouzeixpalencia
110,81,\eqref,eq:newresult
111,81,\cite,Kressner2019bivariate
112,81,\cite,Gil2011
113,81,\cite,Kressner2019bivariate
114,81,\cite,Nested
115,81,\eqref,eq:scalarcrouzeixpalencia
116,81,\eqref,eq:newresult
117,81,\cite,Kressner2019bivariate
118,81,\cite,Gil2011
119,81,\cite,Kressner2019bivariate
120,81,\cite,Nested
121,81,\eqref,eq:scalarcrouzeixpalencia
122,81,\eqref,eq:newresult
123,81,\cite,Kressner2019bivariate
124,81,\cite,Gil2011
125,81,\cite,Kressner2019bivariate
126,81,\cite,Nested
127,81,\eqref,eq:scalarcrouzeixpalencia
128,81,\eqref,eq:newresult
129,81,\cite,Kressner2019bivariate
130,81,\cite,Gil2011
131,81,\cite,Kressner2019bivariate
132,81,\eqref,Nested
133,81,\eqref,eq:scalarcrouzeixpalencia
134,81,\eqref,eq:newresult
135,81,\cite,Kressner2019bivariate
136,81,\cite,Gil2011
137,81,\cite,Kressner2019bivariate
138,82,\eqref,Nested
139,82,\cite,Nested
140,83,\eqref,Nested
141,83,\cite,BadeaBeckermann2013
142,83,\cite,Nested
143,83,\cite,BadeaBeckermann2013
144,83,\cite,Nested
145,83,\cite,BadeaBeckermann2013
146,85,equation,Environment
147,86,\le,N/A
148,86,\mathbb,N/A
149,86,\times,N/A
150,86,\mathbb,N/A
151,86,\quad,N/A
152,86,\text,N/A
153,88,\ref,Nested
154,88,\cite,Nested
155,89,\section,Norm estimates for matrix-valued mappings
156,90,\eqref,Nested
157,90,\eqref,eq:scalarcrouzeixpalencia
158,90,\emph,complete
159,90,\eqref,Nested
160,90,\eqref,eq:scalarcrouzeixpalencia
161,90,\emph,complete
162,90,\emph,Nested
163,90,\eqref,eq:scalarcrouzeixpalencia
164,90,\emph,complete
165,90,\cite,Nested
166,90,\eqref,eq:scalarcrouzeixpalencia
167,90,\emph,complete
168,94,\cite,CrouzeixPalencia2017
169,95,lemma,Environment
170,98,proof,Environment
171,99,\cite,CrouzeixPalencia2017
172,105,lemma,Environment
173,107,proof,Environment
174,110,align,Environment
175,111,\frac,N/A
176,111,\mathrm,N/A
177,111,\oint_,N/A
178,111,\partial,N/A
179,111,\otimes,N/A
180,111,\big,N/A
181,113,\oint_,N/A
182,113,\partial,N/A
183,113,\otimes,N/A
184,113,\mathrm,N/A
185,115,\cite,CrouzeixPalencia2017
186,117,eqnarray,Environment
187,118,\langle,N/A
188,118,\rangle,N/A
189,119,\Big,N/A
190,119,\oint_,N/A
191,119,\partial,N/A
192,119,\big,N/A
193,119,\langle,N/A
194,119,\big,N/A
195,119,\rangle_F,N/A
196,119,\mathrm,N/A
197,119,\Big,N/A
198,119,\le,N/A
199,120,\oint_,N/A
200,120,\partial,N/A
201,120,\big,N/A
202,120,\big,N/A
203,120,\langle,N/A
204,120,\big,N/A
205,120,\rangle_F,N/A
206,120,\big,N/A
207,120,\mathrm,N/A
208,120,\le,N/A
209,120,\oint_,N/A
210,120,\partial,N/A
211,120,\big,N/A
212,120,\langle,N/A
213,120,\big,N/A
214,120,\rangle_F,N/A
215,120,\big,N/A
216,120,\langle,N/A
217,120,\big,N/A
218,120,\rangle_F,N/A
219,120,\mathrm,N/A
220,123,align,Environment
221,124,\langle,N/A
222,124,\big,N/A
223,124,\rangle_F,N/A
224,125,\text,N/A
225,125,\big,N/A
226,125,\overline,N/A
227,125,\big,N/A
