,Line num,Command,Notes
0,2,\documentclass,amsart
1,3,\usepackage,"amsmath,amssymb,epsfig"
2,4,\usepackage,algorithm
3,5,\usepackage,algpseudocode
4,6,\usepackage,algorithmicx
5,7,\usepackage,url
6,8,\usepackage,array
7,9,\usepackage,color
8,10,\usepackage,gauss
9,11,\usepackage,graphicx
10,12,\usepackage,epsfig
11,13,\usepackage,subfig
12,14,\usepackage,grffile
13,15,\usepackage,tikz
14,16,\usepackage,algorithm2e
15,17,\usepackage,amsthm
16,18,\newtheorem,N/A
17,19,\newtheorem,N/A
18,20,\newtheorem,N/A
19,21,\newtheorem,N/A
20,22,\newtheorem,N/A
21,23,\newtheorem,N/A
22,24,\newtheorem,N/A
23,25,\newtheorem,N/A
24,26,\newtheorem,N/A
25,27,\newcommand,\nb -> {\mathsf{nb}}
26,28,\newcommand,\C -> {\mathbb C}
27,29,\newcommand,\R -> {\mathbb R}
28,30,\newcommand,\calK -> {\mathcal K}
29,31,\newcommand,\calW -> {\mathcal W}
30,32,\newcommand,\todo -> {\color{blue} #1}
31,33,\newcommand,\hilight -> {\color{blue} #1}
32,34,\usepackage,amsaddr
33,35,\title,A bivariate extension of the Crouzeix-Palencia result with an application to Fr\'echet derivatives of matrix functions
34,36,\author,Michel Crouzeix
35,37,\address,"Universit\'e de Rennes 1, CNRS, IRMAR - UMR 6625, F-35000 Rennes, France"
36,38,\author,Daniel Kressner
37,39,\address,"\'Ecole polytechnique f\'ed\'erale de Lausanne, Institute of Mathematics, CH-1015 Lausanne, Switzerland. E-mail: daniel.kressner@epfl.ch."
38,40,\date,\today
39,40,\today,\today
40,41,\keywords,"numerical range, matrix function, multivariate function, Fr\'echet derivative, Krylov subspaces"
41,42,\subjclass,"15A60; 15A16, 65F60"
42,43,document,Environment
43,44,\maketitle,N/A
44,45,abstract,Environment
45,50,\section,Introduction
46,54,\cite,CrouzeixPalencia2017
47,55,equation,Environment
48,56,\le,N/A
49,56,\sqrt,N/A
50,56,\max_,N/A
51,56,\in,N/A
52,65,equation,Environment
53,66,\frac,N/A
54,66,\oint_,N/A
55,66,\Gamma_A,N/A
56,66,\oint_,N/A
57,66,\Gamma_B,N/A
58,66,\otimes,N/A
59,66,\text,N/A
60,66,\text,N/A
61,68,\cite,N/A
62,68,\cite,N/A
63,68,\eqref,N/A
64,68,\cite,N/A
65,70,\ref,theorem:main
66,71,equation,Environment
67,72,\le,N/A
68,72,\sqrt,N/A
69,72,\times,N/A
70,75,\eqref,N/A
71,75,\eqref,N/A
72,75,\eqref,N/A
73,77,\eqref,N/A
74,77,\eqref,N/A
75,77,\cite,N/A
76,78,\ref,N/A
77,78,\eqref,N/A
78,79,\eqref,N/A
79,79,\ref,N/A
80,79,\ref,N/A
81,80,\subsubsection,Related work
82,81,\cite,N/A
83,81,\eqref,N/A
84,81,\eqref,N/A
85,81,\cite,N/A
86,81,\cite,N/A
87,81,\cite,N/A
88,81,\eqref,N/A
89,82,\eqref,N/A
90,82,\cite,N/A
91,83,\eqref,N/A
92,83,\cite,N/A
93,83,\cite,N/A
94,85,equation,Environment
95,86,\le,N/A
96,86,\mathbb,N/A
97,86,\times,N/A
98,86,\mathbb,N/A
99,86,\quad,N/A
100,86,\text,N/A
101,88,\ref,N/A
102,88,\cite,N/A
103,89,\section,Norm estimates for matrix-valued mappings
104,90,\eqref,N/A
105,90,\eqref,N/A
106,90,\emph,N/A
107,90,\cite,N/A
108,94,\cite,CrouzeixPalencia2017
109,95,lemma,Environment
110,98,proof,Environment
111,99,\cite,CrouzeixPalencia2017
112,105,lemma,Environment
113,107,proof,Environment
114,110,align,Environment
115,111,\frac,N/A
116,111,\mathrm,N/A
117,111,\oint_,N/A
118,111,\partial,N/A
119,111,\otimes,N/A
120,111,\big,N/A
121,113,\oint_,N/A
122,113,\partial,N/A
123,113,\otimes,N/A
124,113,\mathrm,N/A
125,115,\cite,CrouzeixPalencia2017
126,117,eqnarray,Environment
127,118,\langle,N/A
128,118,\rangle,N/A
129,119,\Big,N/A
130,119,\oint_,N/A
131,119,\partial,N/A
132,119,\big,N/A
133,119,\langle,N/A
134,119,\big,N/A
135,119,\rangle_F,N/A
136,119,\mathrm,N/A
137,119,\Big,N/A
138,119,\le,N/A
139,120,\oint_,N/A
140,120,\partial,N/A
141,120,\big,N/A
142,120,\big,N/A
143,120,\langle,N/A
144,120,\big,N/A
145,120,\rangle_F,N/A
146,120,\big,N/A
147,120,\mathrm,N/A
148,120,\le,N/A
149,120,\oint_,N/A
150,120,\partial,N/A
151,120,\big,N/A
152,120,\langle,N/A
153,120,\big,N/A
154,120,\rangle_F,N/A
155,120,\big,N/A
156,120,\langle,N/A
157,120,\big,N/A
158,120,\rangle_F,N/A
159,120,\mathrm,N/A
160,123,align,Environment
161,124,\langle,N/A
162,124,\big,N/A
163,124,\rangle_F,N/A
164,125,\text,N/A
165,125,\big,N/A
166,125,\overline,N/A
167,125,\big,N/A
168,126,\text,N/A
169,126,\big,N/A
170,126,\overline,N/A
171,126,\big,N/A
172,126,\le,N/A
173,126,\lambda_,N/A
174,126,\max,N/A
175,126,\text,N/A
176,126,\big,N/A
177,127,\big,trace
178,127,\le,trace
179,127,\text,trace
180,127,\big,trace
181,128,\big,N/A
182,131,eqnarray,Environment
183,132,\langle,N/A
184,132,\rangle,N/A
185,132,\le,N/A
186,133,\oint_,N/A
187,133,\partial,N/A
188,133,\big,N/A
189,133,\langle,N/A
190,133,\big,N/A
191,133,\rangle_F,N/A
192,133,\big,N/A
193,133,\langle,N/A
194,133,\big,N/A
195,133,\rangle_F,N/A
196,133,\mathrm,N/A
197,133,\le,N/A
198,133,\Big,N/A
199,133,\oint_,N/A
200,133,\partial,N/A
201,133,\big,N/A
202,133,\langle,N/A
203,133,\big,N/A
204,133,\rangle_F,N/A
205,133,\mathrm,N/A
206,133,\Big,N/A
207,134,\Big,N/A
208,134,\oint_,N/A
209,134,\partial,N/A
210,134,\big,N/A
211,134,\langle,N/A
212,134,\big,N/A
213,134,\rangle_F,N/A
214,134,\mathrm,N/A
215,134,\Big,N/A
216,134,\Big,N/A
217,134,\Big,N/A
218,134,\langle,N/A
219,134,\oint_,N/A
220,134,\partial,N/A
221,135,\mathrm,N/A
222,135,\Big,N/A
223,135,\rangle_F,N/A
224,135,\Big,N/A
225,136,\Big,\partial \Omega
226,136,\Big,\partial \Omega
227,136,\langle,\partial \Omega
228,136,\oint_,\partial \Omega
229,136,\partial,\partial \Omega
230,137,\mathrm,N/A
231,137,\Big,N/A
232,137,\rangle_F,N/A
233,137,\mathrm,N/A
234,137,\Big,N/A
235,141,theorem,Environment
236,144,proof,Environment
237,145,\ref,N/A
238,145,\ref,N/A
239,145,\cite,N/A
240,147,\section,Norm estimate for bivariate matrix functions
241,148,\ref,theorem:crouzeixpalencia
