,line num,Command
0,3,\documentclass
1,5,\include
2,6,\usepackage
3,8,\usepackage
4,11,\usepackage
5,13,\usepackage
6,15,\usepackage
7,17,\usepackage
8,19,\usepackage
9,21,\usepackage
10,23,\usepackage
11,25,\usepackage
12,27,\usepackage
13,29,\usepackage
14,31,\usepackage
15,33,\usepackage
16,35,\usepackage
17,37,\usepackage
18,39,\usepackage
19,41,\usepackage
20,43,\usepackage
21,45,\usepackage
22,47,\usepackage
23,49,\usepackage
24,51,\usepackage
25,53,\usepackage
26,55,\usepackage
27,57,\usepackage
28,59,\usetikzlibrary
29,61,\usetikzlibrary
30,63,\usetikzlibrary
31,65,\usepackage
32,68,\usetikzlibrary
33,70,\pagestyle
34,71,\lhead
35,72,\rhead
36,73,\chead
37,74,\lfoot
38,75,\rfoot
39,76,\renewcommand
40,76,\headrulewidth
41,78,\pagenumbering
42,80,\usepackage
43,82,\definecolor
44,85,\renewcommand
45,85,\labelenumi
46,85,\theenumi
47,88,\theoremstyle
48,90,\theoremstyle
49,93,\newtheorem
50,95,\newtheorem
51,99,\newtheorem
52,101,\newtheorem
53,104,\newtheorem
54,106,\newtheorem
55,108,\newtheorem
56,110,\newtheorem
57,113,\newtheorem
58,115,\newcounter
59,116,\newtheorem
60,117,\newtheorem
61,118,\newtheorem
62,119,\newtheorem
63,120,\newtheorem
64,121,\newtheorem
65,122,\newtheorem
66,123,\newtheorem
67,124,\newtheorem
68,125,\newtheorem
69,128,\newcounter
70,129,\newtheorem
71,130,\newtheorem
72,133,\newcounter
73,134,\newtheorem
74,136,\newcounter
75,137,\newtheorem
76,138,\newtheorem
77,139,\newtheorem
78,142,\newcounter
79,143,\newtheorem
80,145,\newcounter
81,146,\newtheorem
82,148,\newcounter
83,149,\newtheorem
84,152,\newcounter
85,153,\newtheorem
86,155,\newtheorem
87,157,\newtheorem
88,159,\newtheorem
89,161,\newtheorem
90,163,\newtheorem
91,165,\newtheorem
92,167,\newtheorem
93,169,\newtheorem
94,171,\newtheorem
95,173,\newtheorem
96,175,\newtheorem
97,177,\newcommand
98,177,\rungs
99,177,\ensuremath
100,177,\overline
101,177,\underline
102,177,\cH
103,178,\newcommand
104,178,\A
105,178,\ensuremath
106,178,\alpha
107,179,\newcommand
108,179,\Z
109,179,\ensuremath
110,179,\zeta
111,180,\newcommand
112,180,\K
113,180,\ensuremath
114,180,\kappa
115,181,\newcommand
116,181,\B
117,181,\ensuremath
118,181,\beta
119,182,\newcommand
120,182,\si
121,182,\ensuremath
122,182,\sigma
123,183,\newcommand
124,183,\E
125,183,\ensuremath
126,183,\varepsilon
127,184,\newcommand
128,184,\W
129,184,\ensuremath
130,184,\omega
131,185,\newcommand
132,185,\WW
133,185,\ensuremath
134,185,\Omega
135,186,\newcommand
136,186,\La
137,186,\ensuremath
138,186,\lambda
139,187,\newcommand
140,187,\LA
141,187,\ensuremath
142,187,\Lambda
143,188,\newcommand
144,188,\G
145,188,\ensuremath
146,188,\gamma
147,189,\newcommand
148,189,\D
149,189,\ensuremath
150,189,\delta
151,190,\newcommand
152,190,\GG
153,190,\ensuremath
154,190,\Gamma
155,191,\newcommand
156,191,\RR
157,191,\ensuremath
158,191,\mathbb
159,192,\newcommand
160,192,\MM
161,192,\ensuremath
162,192,\mathbb
163,193,\newcommand
164,193,\II
165,193,\ensuremath
166,193,\mathbb
167,194,\newcommand
168,194,\KK
169,194,\ensuremath
170,194,\mathbb
171,195,\newcommand
172,195,\JJ
173,195,\ensuremath
174,195,\mathbb
175,196,\newcommand
176,196,\LL
177,196,\ensuremath
178,196,\mathbb
179,197,\newcommand
180,197,\BB
181,197,\ensuremath
182,197,\mathbb
183,198,\newcommand
184,198,\AAA
185,198,\ensuremath
186,198,\mathbb
187,199,\newcommand
188,199,\QQ
189,199,\ensuremath
190,199,\mathbb
191,200,\newcommand
192,200,\bW
193,200,\ensuremath
194,200,\mathbb
195,201,\newcommand
196,201,\z
197,201,\ensuremath
198,201,\boldsymbol
199,202,\newcommand
200,202,\NN
201,202,\ensuremath
202,202,\mathbb
203,203,\newcommand
204,203,\HH
205,203,\ensuremath
206,203,\mathbb
207,204,\newcommand
208,204,\0
209,204,\ensuremath
210,204,\varnothing
211,205,\newcommand
212,205,\cT
213,205,\ensuremath
214,205,\mathcal
215,206,\newcommand
216,206,\cG
217,206,\ensuremath
218,206,\mathcal
219,207,\newcommand
220,207,\cL
221,207,\ensuremath
222,207,\mathcal
223,208,\newcommand
224,208,\sL
225,208,\ensuremath
226,208,\mathscr
227,209,\newcommand
228,209,\cD
229,209,\ensuremath
230,209,\mathcal
231,210,\newcommand
232,210,\cR
233,210,\ensuremath
234,210,\mathcal
235,211,\newcommand
236,211,\cA
237,211,\ensuremath
238,211,\mathcal
239,212,\newcommand
240,212,\cH
241,212,\ensuremath
242,212,\mathcal
243,213,\newcommand
244,213,\cS
245,213,\ensuremath
246,213,\mathcal
247,214,\newcommand
248,214,\cQ
249,214,\ensuremath
250,214,\mathcal
251,215,\newcommand
252,215,\cK
253,215,\ensuremath
254,215,\mathcal
255,216,\newcommand
256,216,\cB
257,216,\ensuremath
258,216,\mathcal
259,217,\newcommand
260,217,\cF
261,217,\ensuremath
262,217,\mathcal
263,218,\newcommand
264,218,\cP
265,218,\ensuremath
266,218,\mathcal
267,219,\newcommand
268,219,\sA
269,219,\ensuremath
270,219,\mathscr
271,220,\newcommand
272,220,\sV
273,220,\ensuremath
274,220,\mathscr
275,221,\newcommand
276,221,\sB
277,221,\ensuremath
278,221,\mathscr
279,222,\newcommand
280,222,\cC
281,222,\ensuremath
282,222,\mathcal
283,223,\newcommand
284,223,\sC
285,223,\ensuremath
286,223,\mathscr
287,224,\newcommand
288,224,\sD
289,224,\ensuremath
290,224,\mathscr
291,225,\newcommand
292,225,\sS
293,225,\ensuremath
294,225,\mathscr
295,226,\newcommand
296,226,\sP
297,226,\ensuremath
298,226,\mathscr
299,227,\newcommand
300,227,\sE
301,227,\ensuremath
302,227,\mathscr
303,228,\newcommand
304,228,\cE
305,228,\ensuremath
306,228,\mathcal
307,229,\newcommand
308,229,\cI
309,229,\ensuremath
310,229,\mathcal
311,230,\newcommand
312,230,\sI
313,230,\ensuremath
314,230,\mathscr
315,231,\newcommand
316,231,\cJ
317,231,\ensuremath
318,231,\mathcal
319,232,\newcommand
320,232,\sU
321,232,\ensuremath
322,232,\mathscr
323,233,\newcommand
324,233,\cU
325,233,\ensuremath
326,233,\mathcal
327,234,\newcommand
328,234,\cW
329,234,\ensuremath
330,234,\mathcal
331,235,\newcommand
332,235,\cV
333,235,\ensuremath
334,235,\mathcal
335,236,\newcommand
336,236,\cN
337,236,\ensuremath
338,236,\mathcal
339,237,\newcommand
340,237,\cM
341,237,\ensuremath
342,237,\mathcal
343,238,\newcommand
344,238,\DD
345,238,\ensuremath
346,238,\partial
347,239,\newcommand
348,239,\All
349,239,\ensuremath
350,239,\forall
351,240,\newcommand
352,240,\Ex
353,240,\ensuremath
354,240,\exists
355,241,\newcommand
356,241,\cl
357,241,\ensuremath
358,241,\colon
359,242,\newcommand
360,242,\ra
361,242,\ensuremath
362,242,\rangle
363,243,\newcommand
364,243,\la
365,243,\ensuremath
366,243,\langle
367,244,\newcommand
368,244,\xx
369,244,\ensuremath
370,244,\tilde
371,245,\newcommand
372,245,\yy
373,245,\ensuremath
374,245,\tilde
375,246,\newcommand
376,246,\nd
377,246,\ensuremath
378,246,\wedge
379,247,\newcommand
380,247,\cn
381,247,\ensuremath
382,247,\frak
383,248,\newcommand
384,248,\down
385,248,\ensuremath
386,248,\shortdownarrow
387,249,\newcommand
388,249,\tl
389,249,\ensuremath
390,249,\widetilde
391,250,\newcommand
392,250,\wt
393,250,\ensuremath
394,250,\widetilde
395,253,document
396,256,\openup
397,258,\fontsize
398,259,\selectfont
399,263,center
400,266,align
401,267,\text
402,267,\Large
403,267,\qquad
404,267,\text
405,267,\Large
406,269,align
407,275,center
408,276,\textbf
409,276,\large
410,279,\noindent
411,280,\textit
412,281,\cite
413,281,\textit
414,284,\section
415,286,\noindent
416,286,\textit
417,287,\v
418,287,\cite
419,290,\W_1
420,291,\cite
421,293,\textit
422,293,\cite
423,294,\textit
424,296,\cite
425,296,\v
426,297,\aleph_1
427,299,\cite
428,304,\textit
429,320,\section
430,321,\noindent
431,324,\cite
432,324,\cite
433,328,\textit
434,329,\textit
435,330,\textit
436,332,\A
437,332,\A
438,332,\textit
439,332,\A
440,333,\aleph_1
441,336,\subset
442,336,\circ
443,336,\overline
444,337,\textit
445,337,\subset
446,337,\DD
447,337,\overline
448,337,\cap
449,337,\overline
450,338,\S
451,338,\cite
452,339,\in
453,343,\to
454,343,\textit
455,344,\cP
456,344,\textit
457,345,\in
458,345,\cP
459,345,\subset
460,345,\subset
461,345,\subset
462,345,\cP
463,346,\cP
464,349,\in
465,350,\in
466,350,\textit
467,351,\in
468,353,\in
469,353,\cup
470,354,\big
471,354,\big
472,354,\in
473,354,\to
474,356,\textit
475,358,\textit
476,358,\K
477,358,\in
478,359,\cn
479,359,\cite
480,360,\K
481,360,\ne
482,360,\K
483,361,\cite
484,361,\textit
485,363,\textit
486,369,figure
487,370,\centering
488,371,tikzpicture
489,374,\usetikzlibrary
490,378,scope
491,380,\draw
492,380,\x
493,380,\x
494,383,\draw
495,385,\node
496,386,\node
497,388,\node
498,391,\node
499,397,\caption
500,397,\sin
501,397,\label
502,403,\sin
503,404,\big
504,404,\big
505,404,\sin
506,404,\big
507,404,\pi
508,404,\le
509,404,\big
510,404,\times
511,405,\K
512,405,\pi
513,408,\subset
514,408,\textit
515,408,\subset
516,410,\sin
517,411,\textit
518,413,\sin
519,414,\textit
520,415,\cite
521,419,\A
522,419,\B
523,419,\G
524,419,\si
525,420,\W
526,420,\ldots
527,420,\W_1
528,421,\W_1
529,422,\W
530,423,\WW
531,423,\Psi
532,423,\subset
533,423,\WW
534,423,\textit
535,423,\WW
536,425,\WW
537,425,\textit
538,425,\G
539,425,\B
540,425,\in
541,425,\WW
542,425,\A
543,425,\in
544,425,\WW
545,425,\G
546,425,\B
547,425,\le
548,425,\A
549,426,\G
550,426,\B
551,426,\A
552,426,\WW
553,429,\textit
554,429,\WW
555,429,\A
556,429,\A
557,429,\in
558,429,\WW
559,429,\A_
560,429,\B
561,429,\A
562,429,\to
563,429,\B
564,429,\B
565,429,\le
566,429,\A
567,429,\B_
568,429,\G
569,429,\circ
570,429,\A_
571,429,\B
572,429,\A_
573,429,\G
574,429,\G
575,429,\le
576,429,\B
577,429,\le
578,429,\A
579,429,\textit
580,430,\textit
581,432,center
582,433,\displaystyle
583,433,\varprojlim
584,433,\A
585,433,\A_
586,433,\B
587,433,\A
588,433,\B
589,433,\in
590,433,\WW
591,433,\Big
592,433,\A
593,433,\in
594,433,\prod_
595,433,\A
596,433,\in
597,433,\WW
598,433,\A
599,433,\A_
600,433,\B
601,433,\A
602,433,\B
603,433,\B
604,433,\le
605,433,\A
606,433,\Big
607,436,\A_
608,436,\B
609,436,\textit
610,437,\pi_
611,437,\B
612,437,\to
613,437,\B
614,437,\prod_
615,437,\A
616,437,\A
617,437,\to
618,437,\B
619,438,\pi_
620,438,\B
621,438,\textit
622,439,\WW
623,439,\infty
624,439,\infty
625,444,\section
626,444,\label
627,447,\mbox
628,447,\A
629,447,\A_
630,447,\B
631,447,\A
632,447,\B
633,447,\W_1
634,447,\B
635,447,\B
636,449,\sin
637,450,\textit
638,452,definition
639,453,\textit
640,453,\in
641,453,\subset
642,455,enumerate
643,456,\item
644,456,\varsubsetneq
645,456,\varsubsetneq
646,456,\ldots
647,457,\item
648,457,\bigcup
649,457,\big
650,457,\in
651,457,\NN
652,457,\big
653,457,\K
654,458,\item
655,458,\in
656,458,\in
657,458,\NN
658,458,\subset
659,458,\subset
660,461,\textit
661,464,\cD_0
662,464,\ldots
663,465,\K
664,465,\subset
665,466,\cD_0
666,466,\textit
667,469,definition
668,470,\in
669,470,\textit
670,471,\cD
671,471,\ldots
672,472,\subset
673,472,\cap
674,472,\le
675,476,\A
676,476,\W_1
677,476,\A
678,476,\A
679,476,\in
680,476,\A
681,476,\cD_
682,476,\A
683,476,\A
684,478,\mbox
685,478,\B
686,478,\mapsto
687,478,\G
688,478,\B_
689,478,\G
690,479,\subset
691,479,\B
692,479,\subset
693,479,\G
694,479,\to
695,479,\B_
696,479,\G
697,482,definition
698,483,\B
699,483,\G
700,483,\B
701,483,\G
702,483,\B
703,483,\in
704,483,\B
705,483,\G
706,483,\in
707,483,\G
708,483,\cD_
709,483,\B
710,483,\cD_
711,483,\G
712,483,\mbox
713,483,\B
714,483,\to
715,483,\G
716,483,\textit
717,483,\B
718,483,\mapsto
719,483,\G
720,483,\B
721,483,\B
722,483,\to
723,483,\G
724,483,\G
725,483,\B
726,483,\to
727,483,\G
728,483,\in
729,483,\NN
730,483,\B
731,483,\B_
732,483,\G
733,483,\G
734,483,\B
735,483,\A
736,486,\A
737,486,\W_1
738,486,\mbox
739,486,\B
740,486,\B_
741,486,\G
742,486,\B
743,486,\G
744,486,\A
745,486,\B
746,486,\A
747,489,enumerate
748,490,\item
749,490,\B
750,490,\B
751,490,\in
752,490,\B
753,492,\item
754,492,\cD_
755,492,\B
756,492,\B
757,492,\B
758,492,\ldots
759,492,\B
760,495,\G
761,495,\D
762,495,\A
763,497,enumerate
764,498,\item
765,498,\bigcup
766,498,\D
767,498,\D
768,498,\G
769,498,\subset
770,498,\G
771,498,\K
772,498,\G
773,499,\item
774,499,\bigcup
775,499,\big
776,499,\G_
777,499,\D
778,499,\big
779,499,\G
780,499,\D
781,499,\big
782,499,\A
783,499,\G
784,499,\D
785,499,\big
786,499,\K
787,499,\D
788,503,\cite
789,507,lemma
790,508,\cD
791,508,\ldots
792,512,proof
793,513,\bigcup
794,513,\cD
795,513,\cup
796,513,\cup
797,513,\ldots
798,513,\NN
799,513,\times
800,513,\NN
801,514,\subset
802,515,\K
803,516,\K
804,516,\bigcup
805,517,\cap
806,518,\bigcup
807,518,\cD
808,521,\noindent
809,523,\A
810,523,\B
811,523,\B
812,523,\B
813,523,\B
814,523,\B
815,523,\to
816,523,\B
817,523,\B
818,523,\G
819,523,\B
820,523,\B
821,523,\circ
822,523,\B
823,523,\G
824,524,\B
825,524,\B
826,524,\G
827,524,\D
828,524,\le
829,524,\B
830,526,\B
831,526,\B
832,526,\times
833,528,center
834,529,\big
835,529,\bigcup
836,529,\big
837,529,\B
838,529,\B
839,529,\times
840,529,\in
841,529,\NN
842,529,\big
843,529,\big
844,529,\cup
845,529,\big
846,529,\B
847,529,\times
848,529,\big
849,532,\ldots
850,532,\in
851,536,center
852,537,tabular
853,538,\big
854,538,\B
855,538,\big
856,538,\big
857,538,\B
858,538,\big
859,540,\big
860,540,\B
861,540,\big
862,540,\big
863,540,\B
864,540,\big
865,545,\B
866,545,\in
867,545,\NN
868,545,\sim
869,546,\in
870,546,\B
871,547,\sim
872,548,\in
873,548,\B
874,551,\B
875,551,\B
876,551,\times
877,552,\B
878,552,\B
879,552,\times
880,555,\bigcup
881,555,\in
882,555,\NN
883,556,\B
884,556,\times
885,557,\B
886,558,\B
887,558,\B
888,558,\times
889,559,\B
