,Line num,Command
0,3,\documentclass
1,6,\usepackage
2,8,\usepackage
3,11,\usepackage
4,13,\usepackage
5,15,\usepackage
6,17,\usepackage
7,19,\usepackage
8,21,\usepackage
9,23,\usepackage
10,25,\usepackage
11,27,\usepackage
12,29,\usepackage
13,31,\usepackage
14,33,\usepackage
15,35,\usepackage
16,37,\usepackage
17,39,\usepackage
18,41,\usepackage
19,43,\usepackage
20,45,\usepackage
21,47,\usepackage
22,49,\usepackage
23,51,\usepackage
24,57,\usepackage
25,63,\pagestyle
26,64,\lhead
27,65,\rhead
28,66,\chead
29,67,\lfoot
30,68,\rfoot
31,69,\renewcommand
32,69,\headrulewidth
33,71,\pagenumbering
34,75,\definecolor
35,78,\renewcommand
36,78,\labelenumi
37,78,\theenumi
38,81,\theoremstyle
39,83,\theoremstyle
40,86,\newtheorem
41,88,\newtheorem
42,92,\newtheorem
43,94,\newtheorem
44,97,\newtheorem
45,99,\newtheorem
46,101,\newtheorem
47,103,\newtheorem
48,106,\newtheorem
49,108,\newcounter
50,109,\newtheorem
51,110,\newtheorem
52,111,\newtheorem
53,112,\newtheorem
54,113,\newtheorem
55,114,\newtheorem
56,115,\newtheorem
57,116,\newtheorem
58,117,\newtheorem
59,118,\newtheorem
60,121,\newcounter
61,122,\newtheorem
62,123,\newtheorem
63,126,\newcounter
64,127,\newtheorem
65,129,\newcounter
66,130,\newtheorem
67,131,\newtheorem
68,132,\newtheorem
69,135,\newcounter
70,136,\newtheorem
71,138,\newcounter
72,139,\newtheorem
73,141,\newcounter
74,142,\newtheorem
75,145,\newcounter
76,146,\newtheorem
77,148,\newtheorem
78,150,\newtheorem
79,152,\newtheorem
80,154,\newtheorem
81,156,\newtheorem
82,158,\newtheorem
83,160,\newtheorem
84,162,\newtheorem
85,164,\newtheorem
86,166,\newtheorem
87,168,\newtheorem
88,170,\newcommand
89,170,\rungs
90,170,\ensuremath
91,170,\overline
92,170,\underline
93,170,\cH
94,171,\newcommand
95,171,\A
96,171,\ensuremath
97,171,\alpha
98,172,\newcommand
99,172,\Z
100,172,\ensuremath
101,173,\newcommand
102,173,\K
103,173,\ensuremath
104,174,\newcommand
105,174,\B
106,174,\ensuremath
107,174,\beta
108,175,\newcommand
109,175,\si
110,175,\ensuremath
111,176,\newcommand
112,176,\E
113,176,\ensuremath
114,176,\varepsilon
115,177,\newcommand
116,177,\W
117,177,\ensuremath
118,178,\newcommand
119,178,\WW
120,178,\ensuremath
121,179,\newcommand
122,179,\La
123,179,\ensuremath
124,180,\newcommand
125,180,\LA
126,180,\ensuremath
127,181,\newcommand
128,181,\G
129,181,\ensuremath
130,182,\newcommand
131,182,\D
132,182,\ensuremath
133,183,\newcommand
134,183,\GG
135,183,\ensuremath
136,184,\newcommand
137,184,\RR
138,184,\ensuremath
139,184,\mathbb
140,185,\newcommand
141,185,\MM
142,185,\ensuremath
143,185,\mathbb
144,186,\newcommand
145,186,\II
146,186,\ensuremath
147,186,\mathbb
148,187,\newcommand
149,187,\KK
150,187,\ensuremath
151,187,\mathbb
152,188,\newcommand
153,188,\JJ
154,188,\ensuremath
155,188,\mathbb
156,189,\newcommand
157,189,\LL
158,189,\ensuremath
159,189,\mathbb
160,190,\newcommand
161,190,\BB
162,190,\ensuremath
163,190,\mathbb
164,191,\newcommand
165,191,\AAA
166,191,\ensuremath
167,191,\mathbb
168,192,\newcommand
169,192,\QQ
170,192,\ensuremath
171,192,\mathbb
172,193,\newcommand
173,193,\bW
174,193,\ensuremath
175,193,\mathbb
176,194,\newcommand
177,194,\z
178,194,\ensuremath
179,194,\boldsymbol
180,195,\newcommand
181,195,\NN
182,195,\ensuremath
183,195,\mathbb
184,196,\newcommand
185,196,\HH
186,196,\ensuremath
187,196,\mathbb
188,197,\newcommand
189,197,\0
190,197,\ensuremath
191,197,\varnothing
192,198,\newcommand
193,198,\cT
194,198,\ensuremath
195,198,\mathcal
196,199,\newcommand
197,199,\cG
198,199,\ensuremath
199,199,\mathcal
200,200,\newcommand
201,200,\cL
202,200,\ensuremath
203,200,\mathcal
204,201,\newcommand
205,201,\sL
206,201,\ensuremath
207,201,\mathscr
208,202,\newcommand
209,202,\cD
210,202,\ensuremath
211,202,\mathcal
212,203,\newcommand
213,203,\cR
214,203,\ensuremath
215,203,\mathcal
216,204,\newcommand
217,204,\cA
218,204,\ensuremath
219,204,\mathcal
220,205,\newcommand
221,205,\cH
222,205,\ensuremath
223,205,\mathcal
224,206,\newcommand
225,206,\cS
226,206,\ensuremath
227,206,\mathcal
228,207,\newcommand
229,207,\cQ
230,207,\ensuremath
231,207,\mathcal
232,208,\newcommand
233,208,\cK
234,208,\ensuremath
235,208,\mathcal
236,209,\newcommand
237,209,\cB
238,209,\ensuremath
239,209,\mathcal
240,210,\newcommand
241,210,\cF
242,210,\ensuremath
243,210,\mathcal
244,211,\newcommand
245,211,\cP
246,211,\ensuremath
247,211,\mathcal
248,212,\newcommand
249,212,\sA
250,212,\ensuremath
251,212,\mathscr
252,213,\newcommand
253,213,\sV
254,213,\ensuremath
255,213,\mathscr
256,214,\newcommand
257,214,\sB
258,214,\ensuremath
259,214,\mathscr
260,215,\newcommand
261,215,\cC
262,215,\ensuremath
263,215,\mathcal
264,216,\newcommand
265,216,\sC
266,216,\ensuremath
267,216,\mathscr
268,217,\newcommand
269,217,\sD
270,217,\ensuremath
271,217,\mathscr
272,218,\newcommand
273,218,\sS
274,218,\ensuremath
275,218,\mathscr
276,219,\newcommand
277,219,\sP
278,219,\ensuremath
279,219,\mathscr
280,220,\newcommand
281,220,\sE
282,220,\ensuremath
283,220,\mathscr
284,221,\newcommand
285,221,\cE
286,221,\ensuremath
287,221,\mathcal
288,222,\newcommand
289,222,\cI
290,222,\ensuremath
291,222,\mathcal
292,223,\newcommand
293,223,\sI
294,223,\ensuremath
295,223,\mathscr
296,224,\newcommand
297,224,\cJ
298,224,\ensuremath
299,224,\mathcal
300,225,\newcommand
301,225,\sU
302,225,\ensuremath
303,225,\mathscr
304,226,\newcommand
305,226,\cU
306,226,\ensuremath
307,226,\mathcal
308,227,\newcommand
309,227,\cW
310,227,\ensuremath
311,227,\mathcal
312,228,\newcommand
313,228,\cV
314,228,\ensuremath
315,228,\mathcal
316,229,\newcommand
317,229,\cN
318,229,\ensuremath
319,229,\mathcal
320,230,\newcommand
321,230,\cM
322,230,\ensuremath
323,230,\mathcal
324,231,\newcommand
325,231,\DD
326,231,\ensuremath
327,231,\partial
328,232,\newcommand
329,232,\All
330,232,\ensuremath
331,232,\forall
332,233,\newcommand
333,233,\Ex
334,233,\ensuremath
335,233,\exists
336,234,\newcommand
337,234,\cl
338,234,\ensuremath
339,234,\colon
340,235,\newcommand
341,235,\ra
342,235,\ensuremath
343,235,\rangle
344,236,\newcommand
345,236,\la
346,236,\ensuremath
347,236,\langle
348,237,\newcommand
349,237,\xx
350,237,\ensuremath
351,237,\tilde
352,238,\newcommand
353,238,\yy
354,238,\ensuremath
355,238,\tilde
356,239,\newcommand
357,239,\nd
358,239,\ensuremath
359,239,\wedge
360,240,\newcommand
361,240,\cn
362,240,\ensuremath
