,Line num,Command,Notes
0,3,\documentclass,article
1,4,\usepackage,localeng
2,5,\usepackage,geometry
3,6,\newtheorem,N/A
4,7,\newtheorem,N/A
5,8,\newtheorem,N/A
6,9,\theoremstyle,remark
7,10,\newtheorem,N/A
8,11,\newcommand,\bibquote -> 
9,12,\makeatletter,N/A
10,13,\newcommand,\nb -> {\color{red}}
11,14,\newcommand,\gl -> \nobreak\hskip1pt
12,15,\DeclareRobustCommand,N/A
13,15,\dash,N/A
14,15,\gl,N/A
15,15,\hbox,N/A
16,15,\gl,N/A
17,16,\DeclareRobustCommand,N/A
18,16,\endash,N/A
19,16,\gl,N/A
20,16,\hbox,N/A
21,16,\gl,N/A
22,17,\DeclareRobustCommand,N/A
23,17,\emdash,N/A
24,17,\gl,N/A
25,17,\hbox,N/A
26,17,\gl,N/A
27,18,\makeatother,N/A
28,19,\emergencystretch,N/A
29,20,\mathsurround,N/A
30,21,\raggedbottom,N/A
31,22,\let,N/A
32,22,\eps,N/A
33,22,\varepsilon,N/A
34,23,document,Environment
35,24,\title,Mathematical works of Vladimir A. Uspensky:\\ a commentary\footnote{Vladimir Andreevich Uspensky was my teacher (and undegraduate and Ph.D advisor). Here I concentrate on his mathematical works; I hope to express my deep gratitude to him elsewere.
36,24,\footnote,Nested
37,25,\author,"Alexander Shen\footnote{LIRMM, University of Montpellier, CNRS, Montpellier, France. Supported by RaCAF--ANR-15-CE40-0016."
38,25,\footnote,Nested
39,26,\date,
40,27,\maketitle,N/A
41,28,abstract,Environment
42,32,\subsection,Harmonic functions
43,33,\cite,Nested
44,33,\footnote,Nested
45,34,\medskip,N/A
46,35,\subsection,Master thesis
47,36,\cite,Nested
48,36,\emph,Kolmogorov--Uspensky machines
49,36,\emph,complex
50,36,\emph,Nested
51,36,\emph,Kolmogorov--Uspensky machines
52,36,\emph,complex
53,36,\emph,Nested
54,36,\emph,Kolmogorov--Uspensky machines
55,36,\emph,complex
56,36,\cite,Nested
57,36,\emph,Kolmogorov--Uspensky machines
58,36,\emph,complex
59,39,quote,Environment
60,42,\emph,"in some simple canonical way, using some fixed primitive recursive functions   and   and some primitive recursive functions   and   that depend on   and  ; see theorem on p.~28. This is the main result of the paper from the purely mathematical viewpoint."
61,43,\emph,Nested
62,43,\cite,Post1944
63,43,\cite,Nested
64,43,\cite,Post1944
65,43,\emph,Nested
66,43,\cite,Post1944
67,44,\emph,"In a sense this equivalence can be considered as a ``justification'' for the previous definitions since my definition makes especially clear the idea of an algorithmic computability; the algorithms that are used are models of the real computation devices, only the amount of ``memory'' is assumed to be unbounded"
68,47,\subsubsection,Partial recursive functions
69,48,\cite,Nested
70,48,\cite,"Malcev1965,Cutland1980"
71,48,\cite,Nested
72,48,\cite,"Malcev1965,Cutland1980"
73,48,\cite,Nested
74,48,\cite,"Malcev1965,Cutland1980"
75,49,\cite,Nested
76,49,\cite,Nested
77,50,\cite,Nested
78,50,\footnote,Nested
79,51,\cite,Nested
80,51,\emph,substitution
81,51,\emph,Nested
82,51,\emph,substitution
83,51,\emph,Nested
84,51,\emph,substitution
85,52,multline,Environment
86,53,\varphi_1,N/A
87,53,\varphi_2,N/A
88,53,\cdot,N/A
89,54,\varphi_3,
90,54,\varphi_4,
91,54,\text,
92,58,\cite,Ackermann1928
93,59,\cite,Nested
94,59,\cite,Godel1931
95,59,\emph,Nested
96,59,\cite,Godel1931
97,60,align,Environment
98,61,\varphi,N/A
99,61,\ldots,N/A
100,61,\ldots,N/A
101,61,\varphi,N/A
102,61,\ldots,N/A
103,61,\varphi,N/A
104,61,\ldots,N/A
105,61,\ldots,N/A
106,64,\cite,Nested
107,64,\cite,Herbrand1932
108,64,\cite,Nested
109,64,\cite,Herbrand1932
110,65,quote,Environment
111,67,description,Environment
112,68,\item,(a)
113,69,\item,N/A
114,69,\footnote,N/A
115,72,\cite,Kalmar1955
116,73,\cite,Nested
117,73,\cite,Herbrand1932
118,73,\cite,Nested
119,73,\cite,Herbrand1932
120,74,quote,Environment
121,79,quote,Environment
122,83,quote,Environment
123,86,\rus,Nested
124,86,\rus,<<общерекурсивные функции>>
125,86,\cite,Kleene1981
126,86,\cite,Nested
127,86,\rus,<<общерекурсивные функции>>
128,86,\cite,Kleene1981
129,88,\cite,Nested
130,88,\cite,Nested
131,89,quote,Environment
132,93,\cite,Davis1965
133,94,\cite,Nested
134,95,\cite,Kleene1936
135,96,\rus,N/A
136,96,\emph,N/A
137,99,\eps,N/A
138,101,\footnote,"Note that the clause in the definition of  -operator that lets the value to be   when   does not exists, is not used in Theorem~IV; so one can use the standard  -operator instead. (For  -operator the value is undefined if   does not exst.)"
139,103,\cite,Church1936
140,104,quote,Environment
141,108,quote,Environment
142,109,\S2,N/A
143,109,\S4,N/A
144,109,\S4,N/A
145,109,\ldots,N/A
146,111,\S7,N/A
147,112,quote,Environment
148,115,\emph,Church's thesis
149,116,\cite,Nested
150,116,\emph,Turing machines
151,116,\emph,Nested
152,116,\emph,Turing machines
153,116,\cite,Nested
154,116,\emph,Turing machines
155,118,quote,Environment
156,122,\cite,Post1936
157,123,quote,Environment
158,124,\endash,N/A
159,124,\emph,N/A
160,124,\emph,N/A
161,127,quote,Environment
162,128,\footnote,"Probably now this ``fundamental discovery'' has lost its value and even may be its meaning: when speaking about the equivalence between the intuitive idea of algorithmic computability and a formal definition, we assume that this intuitive idea was developed independently of any model of computation or programming language. But now it would be almost impossible to find anyone who learned the intuitive notion of algorithm before having some programming experience."
163,131,\cite,Kleene1943
164,132,\emph,Nested
165,132,\emph,Partial
166,132,\cite,Kleene1938
167,132,\emph,Nested
168,132,\emph,Partial
169,132,\cite,Kleene1938
170,132,\cite,Nested
171,132,\emph,Partial
172,132,\cite,Kleene1938
173,133,quote,Environment
174,136,\emph,N/A
175,136,\footnote,N/A
176,136,\rus,N/A
177,136,\rus,N/A
178,141,\footnote,Kleene provides   as the first argument to the function   but this is not necessary.
179,142,\cite,Nested
180,142,\cite,Nested
181,143,\subsubsection,Relative (oracle) computability
182,144,\cite,Turing1939
183,145,quote,Environment
184,147,\textbf,N/A
185,147,\textbf,N/A
186,147,\par,N/A
187,149,\cite,Nested
188,149,\emph,Post's problem
189,149,\cite,Kleene1943
190,149,\emph,Nested
191,149,\emph,Post's problem
192,149,\cite,Kleene1943
193,149,\cite,Nested
194,149,\emph,Post's problem
195,149,\cite,Kleene1943
196,149,\emph,Nested
197,149,\emph,Post's problem
198,149,\cite,Kleene1943
199,150,quote,Environment
200,151,\emph,N/A
201,151,\emph,N/A
202,153,\cite,Nested
203,154,\cite,Soare1996
204,155,\cite,Nested
205,155,\footnote,Nested
206,156,itemize,Environment
207,157,\item,N/A
208,158,\cite,1952
209,159,\item,Kleene1957
210,159,\cite,Kleene1957
211,160,\item,N/A
212,161,\item,1958
213,161,\cite,1958
214,165,\cite,Nested
215,165,\cite,Nested
216,167,\subsection,Nested
217,168,\cite,Nested
218,168,\cite,Godel1931
219,172,\cite,Nested
220,172,\footnote,"Now people say ``computably enumerable'' instead of ``recursively enumerable''. Since we do not consider other type of enumerations, we call these sets \emph{enumerable"
221,172,\emph,"Now people say ``computably enumerable'' instead of ``recursively enumerable''. Since we do not consider other type of enumerations, we call these sets \emph{enumerable"
222,172,\cite,Kleene1950
223,172,\cite,Kleene1957
224,172,\footnote,Nested
225,172,\footnote,"Now people say ``computably enumerable'' instead of ``recursively enumerable''. Since we do not consider other type of enumerations, we call these sets \emph{enumerable"
226,172,\emph,"Now people say ``computably enumerable'' instead of ``recursively enumerable''. Since we do not consider other type of enumerations, we call these sets \emph{enumerable"
227,172,\cite,Kleene1950
228,172,\cite,Kleene1957
229,172,\emph,Nested
230,172,\footnote,"Now people say ``computably enumerable'' instead of ``recursively enumerable''. Since we do not consider other type of enumerations, we call these sets \emph{enumerable"
231,172,\emph,"Now people say ``computably enumerable'' instead of ``recursively enumerable''. Since we do not consider other type of enumerations, we call these sets \emph{enumerable"
232,172,\cite,Kleene1950
233,172,\cite,Kleene1957
234,172,\cite,Nested
235,172,\footnote,"Now people say ``computably enumerable'' instead of ``recursively enumerable''. Since we do not consider other type of enumerations, we call these sets \emph{enumerable"
236,172,\emph,"Now people say ``computably enumerable'' instead of ``recursively enumerable''. Since we do not consider other type of enumerations, we call these sets \emph{enumerable"
237,172,\cite,Kleene1950
238,172,\cite,Kleene1957
239,172,\cite,Nested
240,172,\footnote,"Now people say ``computably enumerable'' instead of ``recursively enumerable''. Since we do not consider other type of enumerations, we call these sets \emph{enumerable"
241,172,\emph,"Now people say ``computably enumerable'' instead of ``recursively enumerable''. Since we do not consider other type of enumerations, we call these sets \emph{enumerable"
242,172,\cite,Kleene1950
243,172,\cite,Kleene1957
244,172,\cite,Nested
245,172,\footnote,"Now people say ``computably enumerable'' instead of ``recursively enumerable''. Since we do not consider other type of enumerations, we call these sets \emph{enumerable"
