,Line num,Command,Notes
0,1,\documentclass,IEEEtran
1,2,\ifCLASSINFOpdf,N/A
2,3,\else,N/A
3,4,\fi,N/A
4,5,\usepackage,setspace
5,6,\usepackage,bbm
6,7,\usepackage,amsmath
7,8,\usepackage,amssymb
8,9,\usepackage,cite
9,10,\usepackage,graphicx
10,11,\usepackage,bmpsize
11,12,\usepackage,"array,color"
12,13,\usepackage,amsmath
13,14,\usepackage,stfloats
14,15,\usepackage,epstopdf
15,16,\usepackage,subfigure
16,17,\usepackage,tabularx
17,18,\usepackage,"epsfig,epsf,color,balance,cite"
18,19,\usepackage,algorithmic
19,20,\usepackage,algorithm
20,21,\usepackage,url
21,22,\usepackage,bm
22,23,\usepackage,footnote
23,24,\usepackage,amsthm
24,25,\hyphenation,op-tical net-works semi-conduc-tor
25,26,\newtheorem,N/A
26,27,\newtheorem,N/A
27,28,\newtheorem,N/A
28,29,\newtheorem,N/A
29,30,\newtheorem,N/A
30,31,\ifodd,N/A
31,32,\usepackage,soul
32,33,\usepackage,color
33,34,\setstcolor,red
34,35,\newcommand,\rev -> {\color{red}#1}
35,36,\newcommand,\revh -> {\color{black}#1}
36,37,\newcommand,\revl -> {\color{blue}#1}
37,38,\newcommand,\revj -> {\color{black}#1}
38,39,\newcommand,\revw -> {\color{magenta}#1}
39,40,\newcommand,\del -> \st{#1}
40,41,\newcommand,\com -> \textbf{\color{red} (COMMENT: #1)}
41,42,\newcommand,\response -> \textbf{\color{green} (RESPONSE: #1)}
42,43,\else,N/A
43,44,\newcommand,\revp -> #1
44,45,\newcommand,\rev -> #1
45,46,\newcommand,\revh -> #1
46,47,\newcommand,\revl -> #1
47,48,\newcommand,\revj -> #1
48,49,\newcommand,\revw -> #1
49,50,\newcommand,\del -> 
50,51,\allowdisplaybreaks,N/A
51,52,\newcommand,\com -> 
52,53,\newcommand,\comg -> 
53,54,\newcommand,\response -> 
54,55,\fi,N/A
55,56,\allowdisplaybreaks,N/A
56,58,\title,N/A
57,60,\author,N/A
58,60,\it,N/A
59,60,\it,N/A
60,60,\it,N/A
61,61,\thanks,N/A
62,72,document,Environment
63,73,\maketitle,N/A
64,74,abstract,Environment
65,77,\it,Nested
66,83,IEEEkeywords,Environment
67,86,\IEEEpeerreviewmaketitle,N/A
68,87,\section,Introduction
69,88,\cite,Boccardi20145G
70,90,\cite,"Sohrabi2016Hybrid,Ngo2013Energy"
71,91,\cite,Nested
72,91,\cite,Nested
73,93,\cite,wu2017towards
74,94,\cite,"Huang2019RIS,Huang2018EE,Emil2019IRS,Wankai2019Wireless"
75,95,\cite,Wu2018Intelligent
76,96,\cite,"Tahaa2019enabling,Alexandropoulos2020A,Huang2019indoor,Mishra2019Channel,Z2019Cascaded,Yifei2019Intell,zheng2019Intell,you2019intell"
77,98,\cite,"Tahaa2019enabling,Alexandropoulos2020A"
78,100,\cite,Mishra2019Channel
79,101,\cite,Nested
80,101,\cite,zheng2019Intell
81,101,\cite,Tobias2019An
82,101,\cite,Nested
83,101,\cite,zheng2019Intell
84,101,\cite,Tobias2019An
85,101,\cite,Nested
86,101,\cite,zheng2019Intell
87,101,\cite,Tobias2019An
88,101,\cite,Nested
89,101,\cite,zheng2019Intell
90,101,\cite,Tobias2019An
91,102,\revh,Nested
92,102,\cite,Huang2020RIS
93,102,\cite,Nested
94,102,\cite,Huang2020RIS
95,103,\cite,Basar2019Large
96,104,\cite,Roy2019Beyond
97,105,\cite,renzo2019smart
98,108,\cite,"Alexandropoulos2020A,yuan2020ris"
99,109,\cite,Huang2019Holographic
100,110,\cite,Nested
101,110,\cite,Nested
102,111,\footnote,The ON/OFF switching of the RIS elements can be implemented by the switchers.
103,112,figure,Environment
104,113,\centering,N/A
105,114,\includegraphics,system.eps
