,Line num,Command,Notes
0,1,\documentclass,amsart
1,2,\input,preamble
2,3,\input,macros
3,4,\newcommand,\eldenbubble -> \todo{#1}
4,5,\title,
5,6,\title,THH and TC are (very) far from being homotopy functors
6,7,\author,Elden Elmanto
7,8,\address,Nested
8,9,\email,N/A
9,9,\href,N/A
10,10,\urladdr,Nested
11,10,\url,Nested
12,11,document,Environment
13,12,\def,Nested
14,12,\comp,Nested
15,12,\wedge,Nested
16,13,\maketitle,N/A
17,14,abstract,Environment
18,16,\section,"Introduction, an example and vista"
19,17,\cite,Nested
20,17,\emph,in a strong way
21,17,\emph,Nested
22,17,\emph,in a strong way
23,17,\cite,Nested
24,17,\emph,in a strong way
25,18,\cite,Nested
26,18,\cite,CDetale
27,18,\cite,Nested
28,18,\cite,CDetale
29,18,\emph,Nested
30,18,\cite,CDetale
31,19,\cite,Nested
32,19,\cite,nikolaus-scholze
33,19,\ref,rem:tc
34,19,\cite,Nested
35,19,\cite,nikolaus-scholze
36,19,\ref,rem:tc
37,19,\ref,Nested
38,19,\cite,nikolaus-scholze
39,19,\ref,rem:tc
40,19,\emph,Nested
41,19,\cite,nikolaus-scholze
42,19,\ref,rem:tc
43,20,thm,Environment
44,22,\ref,Nested
45,22,\cite,Nested
46,23,\subsection,Nested
47,23,\cite,geller-weibel
48,23,\ref,lem:hh
49,23,\cite,Nested
50,23,\cite,geller-weibel
51,23,\ref,lem:hh
52,23,\ref,Nested
53,23,\cite,geller-weibel
54,23,\ref,lem:hh
55,23,\ref,Nested
56,23,\cite,geller-weibel
57,23,\ref,lem:hh
58,25,\cite,Nested
59,25,\ref,lem:contractible-1
60,25,\ref,lem:contractible
61,25,\ref,thm:tc-zero
62,25,\ref,Nested
63,25,\ref,lem:contractible-1
64,25,\ref,lem:contractible
65,25,\ref,thm:tc-zero
66,25,\ref,Nested
67,25,\ref,lem:contractible-1
68,25,\ref,lem:contractible
69,25,\ref,thm:tc-zero
70,25,\ref,Nested
71,25,\ref,lem:contractible-1
72,25,\ref,lem:contractible
73,25,\ref,thm:tc-zero
74,25,\ref,Nested
75,25,\ref,lem:contractible-1
76,25,\ref,lem:contractible
77,25,\ref,thm:tc-zero
78,26,\subsection,Vista
79,28,equation,Environment
80,29,tikzcd,Environment
81,30,\ar,N/A
82,30,\ar,N/A
83,30,\ar,N/A
84,30,\bA,N/A
85,30,\ar,N/A
86,30,\mrm,N/A
87,33,\cite,Nested
88,33,\cite,Haesemeyer
89,33,\cite,KST
90,33,\cite,gh-negative
91,33,\cite,LT
92,33,\cite,dgm
93,33,\cite,Nested
94,33,\cite,Haesemeyer
95,33,\cite,KST
96,33,\cite,gh-negative
97,33,\cite,LT
98,33,\cite,dgm
99,33,\cite,Nested
100,33,\cite,Haesemeyer
101,33,\cite,KST
102,33,\cite,gh-negative
103,33,\cite,LT
104,33,\cite,dgm
105,33,\cite,Nested
106,33,\cite,Haesemeyer
107,33,\cite,KST
108,33,\cite,gh-negative
109,33,\cite,LT
110,33,\cite,dgm
111,33,\cite,Nested
112,33,\cite,Haesemeyer
113,33,\cite,KST
114,33,\cite,gh-negative
115,33,\cite,LT
116,33,\cite,dgm
117,33,\cite,Nested
118,33,\cite,Haesemeyer
119,33,\cite,KST
120,33,\cite,gh-negative
121,33,\cite,LT
122,33,\cite,dgm
123,33,\eqref,Nested
124,33,\cite,Haesemeyer
125,33,\cite,KST
126,33,\cite,gh-negative
127,33,\cite,LT
128,33,\cite,dgm
129,34,\subsection,Convention
130,35,\subsection,Acknowledgements
131,36,\section,Topological Hochschild Homology
132,37,\sssec,
133,38,\footnote,Nested
134,38,\cite,gersten-h
135,38,\cite,anderson-k
136,38,\cite,Suslin:1996
137,38,\cite,MV
138,38,\cite,Nested
139,38,\cite,gersten-h
140,38,\cite,anderson-k
141,38,\cite,Suslin:1996
142,38,\cite,MV
143,38,\cite,Nested
144,38,\cite,gersten-h
145,38,\cite,anderson-k
146,38,\cite,Suslin:1996
147,38,\cite,MV
148,38,\cite,Nested
149,38,\cite,gersten-h
150,38,\cite,anderson-k
151,38,\cite,Suslin:1996
152,38,\cite,MV
153,38,\cite,Nested
154,38,\cite,gersten-h
155,38,\cite,anderson-k
156,38,\cite,Suslin:1996
157,38,\cite,MV
158,39,equation,Environment
159,40,\bA,N/A
160,40,\sF,N/A
161,40,\colim_,N/A
162,40,\op,N/A
163,40,\sF,N/A
164,42,\eqref,N/A
165,42,\eqref,N/A
166,43,\ssec,Nested
167,43,\cite,Nested
168,44,thm,Environment
169,46,proof,Environment
170,48,\footnote,"Actually, in this case, an object of  ."
171,49,\pi_0,N/A
172,49,\rightrightarrows,N/A
173,49,\pi_0,N/A
174,49,\pi_0,N/A
175,58,\simeq,N/A
176,58,\simeq,N/A
177,58,\simeq,N/A
178,61,\sssec,Nested
179,61,\cite,Nested
180,62,\cite,Nested
181,62,\cite,Nested
182,63,cor,Environment
183,65,\ssec,Nested
184,65,\ref,Nested
185,66,thm,Environment
186,68,proof,Environment
187,70,\section,Characteristic  
188,71,\label,sect:charp
189,73,\sssec,Nested
190,73,\footnote,Hence a localization.
191,73,\footnote,Nested
192,73,\footnote,Hence a localization.
193,73,\cite,Nested
194,73,\footnote,Hence a localization.
195,74,\sssec,N/A
196,74,\eqref,N/A
197,75,lem,Environment
198,77,proof,Environment
199,81,\ssec,Topological cyclic homology
200,82,thm,Environment
201,84,\cite,Nested
202,84,\cite,Nested
203,85,equation,Environment
204,86,\mrm,N/A
205,86,\ast,N/A
206,86,\rightarrow,N/A
207,86,\qquad,N/A
208,86,\mrm,N/A
209,86,\ast,N/A
210,86,\rightarrow,N/A
211,86,\qquad,N/A
212,86,\mrm,N/A
213,86,\ast,N/A
214,86,\rightarrow,N/A
215,89,\sssec,Nested
216,89,\cite,Nested
217,91,equation,Environment
218,92,\mrm,N/A
219,92,\simeq,N/A
220,92,\Gamma_,N/A
221,92,\mrm,N/A
222,94,\cite,illusie-drw
223,97,lem,Environment
224,99,proof,Environment
225,100,\simeq,N/A
226,103,equation,Environment
227,104,\bullet,N/A
228,104,\simeq,N/A
229,104,\rightrightarrows,N/A
230,104,\bullet,N/A
231,104,\simeq,N/A
232,108,rem,Environment
233,110,\sssec,
234,111,prop,Environment
235,113,proof,Environment
236,115,\sssec,Nested
237,115,\ref,lem:contractible-1
238,115,\ref,Nested
239,115,\ref,lem:contractible-1
240,115,\ref,Nested
241,115,\ref,lem:contractible-1
242,116,\sssec,
243,117,proof,Environment
244,118,\cite,AMMN
245,120,equation,Environment
246,121,tikzcd,Environment
247,122,\ar,N/A
