,line num,Command
0,1,\usepackage
1,2,\usepackage
2,3,\usepackage
3,5,\textwidth
4,6,\oddsidemargin
5,7,\evensidemargin
6,9,\usepackage
7,10,\usepackage
8,11,\usepackage
9,12,\usepackage
10,13,\usepackage
11,14,\usepackage
12,15,\usepackage
13,16,\usepackage
14,17,\usepackage
15,20,\usepackage
16,21,\usepackage
17,22,\fxusetheme
18,24,\usepackage
19,26,\def
20,26,\shane
21,26,\color
22,27,\def
23,27,\elden
24,27,\color
25,28,\def
26,28,\marc
27,28,\color
28,29,\def
29,29,\ryomei
30,29,\color
31,32,\usepackage
32,34,\setlist
33,34,\arabic
34,34,\parskip
35,35,\setlist
36,35,\parskip
37,37,\newlist
38,38,\setlist
39,38,\em
40,38,\roman
41,38,\roman
42,39,\parskip
43,40,\setlist
44,40,\em
45,40,\alph
46,40,\alph
47,41,\parskip
48,43,\newlist
49,44,\setlist
50,44,\roman
51,44,\roman
52,44,\parskip
53,46,\setlist
54,46,\alph
55,46,\alph
56,46,\parskip
57,51,\numberwithin
58,52,\makeatletter
59,53,\let
60,53,\c
61,53,\c
62,54,\let
63,54,\theequation
64,54,\thesubsubsection
65,55,\let
66,55,\theHequation
67,55,\theHsubsubsection
68,56,\makeatother
69,58,\newtheorem
70,59,\newtheorem
71,60,\newtheorem
72,61,\newtheorem
73,62,\newtheorem
74,63,\newtheorem
75,64,\newtheorem
76,65,\newtheorem
77,66,\newtheorem
78,67,\newtheorem
79,68,\newtheorem
80,69,\newtheorem
81,70,\newtheorem
82,72,\newtheorem
83,73,\newtheorem
84,74,\newtheorem
85,75,\newtheorem
86,78,\newcommand
87,78,\thenotation
88,80,\theoremstyle
89,81,\newtheorem
90,82,\newtheorem
91,83,\newtheorem
92,85,\newtheorem
93,86,\newtheorem
94,87,\newtheorem
95,88,\newtheorem
96,90,\newcommand
97,90,\propconstrref
98,90,\ref
99,91,\newcommand
100,91,\lemconstrref
101,91,\ref
102,92,\newcommand
103,92,\thmref
104,92,\ref
105,93,\newcommand
106,93,\qthmref
107,93,\ref
108,94,\newcommand
109,94,\qlemref
110,94,\ref
111,95,\newcommand
112,95,\secref
113,95,\ref
114,96,\newcommand
115,96,\ssecref
116,96,\sectsign
117,96,\ref
118,97,\newcommand
119,97,\sssecref
120,97,\ref
121,98,\newcommand
122,98,\lemref
123,98,\ref
124,99,\newcommand
125,99,\propref
126,99,\ref
127,100,\newcommand
128,100,\corref
129,100,\ref
130,101,\newcommand
131,101,\conjref
132,101,\ref
133,102,\newcommand
134,102,\remref
135,102,\ref
136,103,\newcommand
137,103,\defref
138,103,\ref
139,104,\newcommand
140,104,\questref
141,104,\ref
142,105,\newcommand
143,105,\constrref
144,105,\ref
145,106,\newcommand
146,106,\notatref
147,106,\ref
148,107,\newcommand
149,107,\examref
150,107,\ref
151,108,\renewcommand
152,108,\eqref
153,108,\ref
154,109,\newcommand
155,109,\itemref
156,109,\ref
157,112,\usepackage
158,113,\usetikzlibrary
159,114,\usepackage
160,117,\usepackage
161,120,\newcommand
162,120,\changelocaltocdepth
163,121,\addtocontents
164,121,\protect
165,121,\setcounter
166,122,\setcounter
167,125,\usepackage
168,128,\usepackage
169,130,\newcommand
170,131,\usepackage
171,137,\newcommand
172,137,\nc
173,137,\newcommand
174,138,\nc
175,138,\renc
176,138,\renewcommand
177,139,\nc
178,139,\ssec
179,139,\subsection
180,140,\nc
181,140,\sssec
182,140,\subsubsection
183,141,\nc
184,141,\on
185,141,\operatorname
186,142,\nc
187,142,\term
188,142,\xspace
189,145,\newcommand
190,145,\m
191,145,\mathfrak
192,146,\newcommand
193,146,\p
194,146,\mathfrak
195,147,\newcommand
196,147,\q
197,147,\mathfrak
198,151,\DeclareMathSymbol
199,151,\mathalpha
200,152,\DeclareMathSymbol
201,152,\mathalpha
202,153,\DeclareMathSymbol
203,153,\mathalpha
204,154,\DeclareMathSymbol
205,154,\mathalpha
206,155,\DeclareMathSymbol
207,155,\mathalpha
208,156,\DeclareMathSymbol
209,156,\mathalpha
210,157,\DeclareMathSymbol
211,157,\mathalpha
212,158,\DeclareMathSymbol
213,158,\mathalpha
214,159,\DeclareMathSymbol
215,159,\mathalpha
216,160,\DeclareMathSymbol
217,160,\mathalpha
218,161,\DeclareMathSymbol
219,161,\mathalpha
220,162,\DeclareMathSymbol
221,162,\mathalpha
222,163,\DeclareMathSymbol
223,163,\mathalpha
224,164,\DeclareMathSymbol
225,164,\mathalpha
226,165,\DeclareMathSymbol
227,165,\mathalpha
228,166,\DeclareMathSymbol
229,166,\mathalpha
230,167,\DeclareMathSymbol
231,167,\mathalpha
232,168,\DeclareMathSymbol
233,168,\mathalpha
234,169,\DeclareMathSymbol
235,169,\mathalpha
236,170,\DeclareMathSymbol
237,170,\mathalpha
238,171,\DeclareMathSymbol
239,171,\mathalpha
240,172,\DeclareMathSymbol
241,172,\mathalpha
242,173,\DeclareMathSymbol
243,173,\mathalpha
244,174,\DeclareMathSymbol
245,174,\mathalpha
246,175,\DeclareMathSymbol
247,175,\mathalpha
248,176,\DeclareMathSymbol
249,176,\mathalpha
250,178,\mathcal
251,179,\nc
252,179,\sA
253,179,\ensuremath
254,179,\mathcal
255,179,\xspace
256,180,\nc
257,180,\sB
258,180,\ensuremath
259,180,\mathcal
260,180,\xspace
261,181,\nc
262,181,\sC
263,181,\ensuremath
264,181,\mathcal
265,181,\xspace
266,182,\nc
267,182,\sD
268,182,\ensuremath
269,182,\mathcal
270,182,\xspace
271,183,\nc
272,183,\sE
273,183,\ensuremath
274,183,\mathcal
275,183,\xspace
276,184,\nc
277,184,\sF
278,184,\ensuremath
279,184,\mathcal
280,184,\xspace
281,185,\nc
282,185,\sG
283,185,\ensuremath
284,185,\mathcal
285,185,\xspace
286,186,\nc
287,186,\sH
288,186,\ensuremath
289,186,\mathcal
290,186,\xspace
291,187,\nc
292,187,\sI
293,187,\ensuremath
294,187,\mathcal
295,187,\xspace
296,188,\nc
297,188,\sJ
298,188,\ensuremath
299,188,\mathcal
300,188,\xspace
301,189,\nc
302,189,\sK
303,189,\ensuremath
304,189,\mathcal
305,189,\xspace
306,190,\nc
307,190,\sL
308,190,\ensuremath
309,190,\mathcal
310,190,\xspace
311,191,\nc
312,191,\sM
313,191,\ensuremath
314,191,\mathcal
315,191,\xspace
316,192,\nc
317,192,\sN
318,192,\ensuremath
319,192,\mathcal
320,192,\xspace
321,193,\nc
322,193,\sO
323,193,\ensuremath
324,193,\mathcal
325,193,\xspace
326,194,\nc
327,194,\sP
328,194,\ensuremath
329,194,\mathcal
330,194,\xspace
331,195,\nc
332,195,\sQ
333,195,\ensuremath
334,195,\mathcal
335,195,\xspace
336,196,\nc
337,196,\sR
338,196,\ensuremath
339,196,\mathcal
340,196,\xspace
341,197,\nc
342,197,\sS
343,197,\ensuremath
344,197,\mathcal
345,197,\xspace
346,198,\nc
347,198,\sT
348,198,\ensuremath
349,198,\mathcal
350,198,\xspace
351,199,\nc
352,199,\sU
353,199,\ensuremath
354,199,\mathcal
355,199,\xspace
356,200,\nc
357,200,\sV
358,200,\ensuremath
359,200,\mathcal
360,200,\xspace
361,201,\nc
362,201,\sW
363,201,\ensuremath
364,201,\mathcal
365,201,\xspace
366,202,\nc
367,202,\sX
368,202,\ensuremath
369,202,\mathcal
370,202,\xspace
371,203,\nc
372,203,\sY
373,203,\ensuremath
374,203,\mathcal
375,203,\xspace
376,204,\nc
377,204,\sZ
378,204,\ensuremath
379,204,\mathcal
380,204,\xspace
381,206,\mathbf
382,207,\nc
383,207,\bA
384,207,\ensuremath
385,207,\mathbf
386,207,\xspace
387,208,\nc
388,208,\bB
389,208,\ensuremath
390,208,\mathbf
391,208,\xspace
392,209,\nc
393,209,\bC
394,209,\ensuremath
395,209,\mathbf
396,209,\xspace
397,210,\nc
398,210,\bD
399,210,\ensuremath
400,210,\mathbf
401,210,\xspace
402,211,\nc
403,211,\bE
404,211,\ensuremath
405,211,\mathbf
406,211,\xspace
407,212,\nc
408,212,\bF
409,212,\ensuremath
410,212,\mathbf
411,212,\xspace
412,213,\nc
413,213,\bG
414,213,\ensuremath
415,213,\mathbf
416,213,\xspace
417,214,\nc
418,214,\bH
419,214,\ensuremath
420,214,\mathbf
421,214,\xspace
422,215,\nc
423,215,\bI
424,215,\ensuremath
425,215,\mathbf
426,215,\xspace
427,216,\nc
428,216,\bJ
429,216,\ensuremath
430,216,\mathbf
431,216,\xspace
432,217,\nc
433,217,\bK
434,217,\ensuremath
435,217,\mathbf
436,217,\xspace
437,218,\nc
438,218,\bL
439,218,\ensuremath
440,218,\mathbf
441,218,\xspace
442,219,\nc
443,219,\bM
444,219,\ensuremath
445,219,\mathbf
446,219,\xspace
447,220,\nc
448,220,\bN
449,220,\ensuremath
450,220,\mathbf
451,220,\xspace
452,221,\nc
453,221,\bO
454,221,\ensuremath
455,221,\mathbf
456,221,\xspace
457,222,\nc
458,222,\bP
459,222,\ensuremath
460,222,\mathbf
461,222,\xspace
462,223,\nc
463,223,\bQ
464,223,\ensuremath
465,223,\mathbf
466,223,\xspace
467,224,\nc
468,224,\bR
469,224,\ensuremath
470,224,\mathbf
471,224,\xspace
472,225,\nc
473,225,\bS
474,225,\ensuremath
475,225,\mathbf
476,225,\xspace
477,226,\nc
478,226,\bT
479,226,\ensuremath
480,226,\mathbf
481,226,\xspace
482,227,\nc
483,227,\bU
484,227,\ensuremath
485,227,\mathbf
486,227,\xspace
487,228,\nc
488,228,\bV
489,228,\ensuremath
490,228,\mathbf
491,228,\xspace
492,229,\nc
493,229,\bW
494,229,\ensuremath
495,229,\mathbf
496,229,\xspace
497,230,\nc
498,230,\bX
499,230,\ensuremath
500,230,\mathbf
501,230,\xspace
502,231,\nc
503,231,\bY
504,231,\ensuremath
505,231,\mathbf
506,231,\xspace
507,232,\nc
508,232,\bZ
509,232,\ensuremath
510,232,\mathbf
511,232,\xspace
512,234,\mathds
513,235,\nc
514,235,\dA
515,235,\ensuremath
516,235,\mathds
517,235,\xspace
518,236,\nc
519,236,\dB
520,236,\ensuremath
521,236,\mathds
522,236,\xspace
523,237,\nc
524,237,\dC
525,237,\ensuremath
526,237,\mathds
527,237,\xspace
528,238,\nc
529,238,\dD
530,238,\ensuremath
531,238,\mathds
532,238,\xspace
533,239,\nc
534,239,\dE
535,239,\ensuremath
536,239,\mathds
537,239,\xspace
538,240,\nc
539,240,\dF
540,240,\ensuremath
541,240,\mathds
542,240,\xspace
543,241,\nc
544,241,\dG
545,241,\ensuremath
546,241,\mathds
547,241,\xspace
548,242,\nc
549,242,\dH
550,242,\ensuremath
551,242,\mathds
552,242,\xspace
553,243,\nc
554,243,\dI
555,243,\ensuremath
556,243,\mathds
557,243,\xspace
558,244,\nc
559,244,\dJ
560,244,\ensuremath
561,244,\mathds
562,244,\xspace
563,245,\nc
564,245,\dK
565,245,\ensuremath
566,245,\mathds
567,245,\xspace
568,246,\nc
569,246,\dL
570,246,\ensuremath
571,246,\mathds
572,246,\xspace
573,247,\nc
574,247,\dM
575,247,\ensuremath
576,247,\mathds
577,247,\xspace
578,248,\nc
579,248,\dN
580,248,\ensuremath
581,248,\mathds
582,248,\xspace
583,249,\nc
584,249,\dO
585,249,\ensuremath
586,249,\mathds
587,249,\xspace
588,250,\nc
589,250,\dP
590,250,\ensuremath
591,250,\mathds
592,250,\xspace
593,251,\nc
594,251,\dQ
595,251,\ensuremath
596,251,\mathds
597,251,\xspace
598,252,\nc
599,252,\dR
600,252,\ensuremath
601,252,\mathds
602,252,\xspace
603,253,\nc
604,253,\dS
605,253,\ensuremath
606,253,\mathds
607,253,\xspace
608,254,\nc
609,254,\dT
610,254,\ensuremath
611,254,\mathds
612,254,\xspace
613,255,\nc
614,255,\dU
615,255,\ensuremath
616,255,\mathds
617,255,\xspace
618,256,\nc
619,256,\dV
620,256,\ensuremath
621,256,\mathds
622,256,\xspace
623,257,\nc
624,257,\dW
625,257,\ensuremath
626,257,\mathds
627,257,\xspace
628,258,\nc
629,258,\dX
630,258,\ensuremath
631,258,\mathds
632,258,\xspace
633,259,\nc
634,259,\dY
635,259,\ensuremath
636,259,\mathds
