,line num,Command
0,1,\documentclass
1,4,\usepackage
2,5,\usepackage
3,6,\usepackage
4,7,\usepackage
5,8,\titleformat
6,8,\section
7,8,\large
8,8,\bfseries
9,9,\titleformat
10,9,\subsection
11,9,\large
12,9,\bfseries
13,16,\usepackage
14,17,\setcitestyle
15,18,\setlength
16,18,\bibsep
17,23,\newtheorem
18,24,\newtheorem
19,25,\newtheorem
20,26,\newtheorem
21,28,\def
22,28,\mc
23,28,\mathfrak
24,29,\def
25,29,\varphi
26,30,\def
27,30,\A
28,30,\forall
29,31,\def
30,31,\E
31,31,\exists
32,32,\def
33,32,\mand
34,32,\wedge
35,33,\def
36,33,\mor
37,33,\vee
38,34,\def
39,34,\imp
40,34,\rightarrow
41,35,\def
42,35,\bimp
43,35,\leftrightarrow
44,36,\def
45,36,\proves
46,36,\vdash
47,41,\usepackage
48,42,\usepackage
49,43,\hypersetup
50,47,\title
51,49,\author
52,50,\footnotesize
53,51,\footnotesize
54,52,\footnotesize
55,53,\footnotesize
56,53,\href
57,53,\texttt
58,53,\thanks
59,53,\textsl
60,54,\date
61,56,document
62,58,\maketitle
63,61,abstract
64,62,\noindent
65,62,\textsl
66,62,\textsl
67,62,\textsl
68,64,\section
69,66,\textsl
70,66,\textsl
71,66,\citeyearpar
72,66,\footnote
73,66,\citep
74,67,example
75,68,\label
76,69,compactenum
77,70,\item
78,71,\item
79,72,\item
80,76,\citeyearpar
81,76,\citeyearpar
82,78,\footnote
83,78,\citep
84,78,\citep
85,78,\citep
86,80,\ref
87,80,\textsl
88,80,\textsl
89,80,\citeyearpar
90,85,example
91,86,\label
92,87,compactenum
93,88,\item
94,89,\item
95,89,\textsl
96,90,\item
97,90,\textsl
98,94,\S
99,94,\S
100,94,\textsl
101,94,\textsl
102,94,\textsl
103,94,\textsl
104,94,\textsl
105,94,\textsl
106,94,\S4
107,94,\S5
108,94,\S
109,94,\S
110,94,\textsl
111,96,\section
112,96,\textsl
113,98,\textsl
114,98,\textsl
115,98,\footnote
116,98,\textsl
117,98,\citep
118,98,\citep
119,98,\citep
120,98,\citep
121,99,quote
122,100,\footnotesize
123,101,\ldots
124,101,\P
125,101,\ldots
126,101,\textsl
127,101,\textsl
128,101,\hspace
129,101,\hfill
130,101,\citep
131,104,\textsl
132,104,\textsl
133,104,\textsl
134,104,\textsl
135,104,\textsl
136,104,\textsl
137,104,\textsl
138,104,\textsl
139,104,\textsl
140,104,\textsl
141,104,\textsl
142,104,\textsl
143,104,\textsl
144,104,\footnote
145,104,\textsl
146,104,\citealp
147,106,\mathcal
148,106,\ldots
149,106,\ell
150,106,\ell
151,106,\ell
152,106,\ldots
153,106,\mathit
154,106,\ell
155,106,\mathit
156,106,\mathit
157,106,\mathit
158,106,\citet
159,106,\mathsf
160,106,\mathcal
161,108,\citeyearpar
162,108,\textsl
163,109,quote
164,110,\footnotesize
165,111,\hfill
166,111,\citep
167,113,\mathbb
168,114,quote
169,115,\footnotesize
170,115,\mathbb
171,115,\sqrt
172,115,\hfill
173,115,\citeyearpar
174,117,\mathbb
175,117,\textsl
176,117,\sqrt
177,117,\mathbb
178,117,\textsl
179,117,\mathbb
180,117,\mathbb
181,117,\textsl
182,117,\mathbb
183,117,\mathbb
184,119,\mathcal
185,119,\mathbb
186,119,\mathcal
187,119,\langle
188,119,\mathcal
189,119,\mathcal
190,119,\mathit
191,119,\mathcal
192,119,\mathit
193,119,\mathcal
194,119,\mathit
195,119,\mathcal
196,119,\mathit
197,119,\mathcal
198,119,\rangle
199,120,example
200,121,\label
201,122,compactenum
202,123,\item
203,123,\mathcal
204,123,\in
205,123,\mathbb
206,124,\item
207,124,\mathcal
208,124,\ell
209,124,\in
210,124,\mathbb
211,125,\item
212,125,\mathit
213,125,\mathcal
214,125,\ell
215,126,\item
216,126,\mathit
217,126,\mathcal
218,126,\ell
219,126,\neq
220,126,\neq
221,130,\textsl
222,130,\mathcal
223,130,\mathbb
224,130,\mathcal
225,132,\textsl
226,132,\textsl
227,132,\textsl
228,133,quote
229,134,\footnotesize
230,135,\ldots
231,135,\mathbb
232,135,\hfill
233,135,\citeyearpar
234,138,\textsl
235,138,\mathcal
236,138,\models
237,138,\footnote
238,138,\ldots
239,138,\textsl
240,138,\gamma_1
241,138,\ldots
242,138,\gamma_n
243,138,\wedge
244,138,\gamma_1
245,138,\mand
246,138,\ldots
247,138,\mand
248,138,\gamma_n
249,138,\mathsf
250,138,\textsl
251,138,\mathsf
252,138,\mathcal
253,138,\textsl
254,138,\textsl
255,139,example
256,140,\mathcal
257,140,\textsl
258,140,\mathcal
259,140,\mathcal
260,140,\mathcal
261,140,\models
262,143,\citeyearpar
263,143,\textsl
264,144,example
265,145,\mathcal
266,145,\mathcal
267,145,\textsl
268,145,\mathcal
269,145,\mathcal
270,145,\mathcal
271,145,\models
272,145,\mathcal
273,145,\not
274,145,\models
275,148,\cup
276,148,\neg
277,148,\citeyearpar
278,149,example
279,150,\label
280,151,compactenum
281,152,\item
282,152,\mathsf
283,152,\mathrm
284,152,\S37
285,152,\mathcal
286,152,\ref
287,152,\mathbb
288,152,\mathcal
289,152,\models
290,152,\mathsf
291,152,\mathrm
292,152,\neg
293,152,\mathrm
294,152,\mathcal
295,152,\mathcal
296,152,\mathbb
297,152,\mathsf
298,152,\mathrm
299,152,\mathrm
300,152,\footnote
301,152,\textsl
302,152,\S
303,152,\mathcal
304,152,\citep
305,152,\S
306,152,\citep
307,152,\citep
308,152,\S
309,152,\label
310,153,\item
311,153,\mathsf
312,153,\mathrm
313,153,\S
314,153,\mathcal
315,153,\mathcal
316,153,\models
317,153,\mathsf
318,153,\mathrm
319,153,\neg
320,153,\mathrm
321,153,\footnote
322,153,\citep
323,153,\citeyearpar
324,153,\textsl
325,153,\mathcal
326,153,\mathcal
327,153,\mathbb
328,153,\mathcal
329,153,\mathcal
330,153,\citep
331,153,\S
332,157,\textsl
333,157,\footnote
334,157,\citep
335,157,\textsl
336,157,\citep
337,159,quote
338,160,\footnotesize
339,160,\textsl
340,160,\hfill
341,163,\S
342,163,\S
343,163,\S
344,163,\hspace
345,163,\hfill
346,165,\hfill
347,168,\textsl
348,171,quote
349,172,\footnotesize
350,172,\ldots
351,172,\hspace
352,172,\hfill
353,174,\S
354,174,\footnote
355,174,\textsl
356,174,\ldots
357,174,\citeyearpar
358,174,\ldots
359,174,\textsl
360,174,\ldots
361,174,\mathbb
362,174,\mathbb
363,176,\ref
364,178,\footnotesize
365,179,quote
366,180,\ldots
367,180,\ldots
368,180,\hfill
369,183,\noindent
370,183,\textsl
371,183,\textsl
372,185,\citeyearpar
373,185,\textsl
374,185,\textsl
375,185,\ref
376,185,\mathbb
377,185,\mathbb
378,185,\footnote
379,185,\citep
380,187,\S
381,187,\citeyearpar
382,187,\footnote
383,187,\citeyear
384,187,\ldots
385,187,\label
386,189,\footnotesize
387,190,quote
388,193,\ldots
389,193,\hfill
390,193,\citeyearpar
391,197,\textsl
392,197,\S
393,197,\textsl
394,199,\S
395,199,\textsl
396,199,\citeyearpar
397,199,\textsl
398,199,\textsl
399,201,\textsl
400,201,\citealp
401,201,\textsl
402,201,\citealp
403,201,\citealp
404,203,\citeyearpar
405,203,\citeyearpar
406,203,\textsl
407,203,\textsl
408,203,\footnote
409,203,\citep
410,205,\textsl
411,205,\citeyearpar
412,205,\footnote
413,205,\textsl
414,205,\citep
415,205,\textsl
416,205,\textsl
417,205,\textsl
418,205,\textsl
419,205,\textsl
420,205,\citep
421,205,\citep
422,205,\citep
423,205,\S
424,205,\textsl
425,207,\textsl
426,207,\citeyearpar
427,207,\proves
428,207,\not
429,207,\proves
430,207,\bot
431,207,\footnote
432,207,\citet
433,207,\S
434,207,\S
435,207,\S
436,207,\S
437,209,\textsl
438,209,\textsl
439,209,\S
440,209,\models
441,209,\models
442,209,\footnote
443,209,\citep
444,211,\textsl
445,213,quote
446,214,\footnotesize
447,214,\hfill
448,216,\textsl
449,216,\footnote
450,216,\textsl
