,Line num,Command
0,1,\documentclass
1,3,\usepackage
2,4,\usepackage
3,5,\usepackage
4,6,\usepackage
5,17,\addtolength
6,17,\textheight
7,17,\addtolength
8,17,\textwidth
9,18,\addtolength
10,18,\voffset
11,18,\addtolength
12,18,\hoffset
13,20,\linespread
14,21,\usepackage
15,22,\input
16,23,\xyoption
17,24,\usepackage
18,25,\usepackage
19,28,\usepackage
20,31,\def
21,31,\A
22,31,\mathbb
23,34,\def
24,34,\B
25,34,\mathbb
26,36,\def
27,36,\I
28,36,\mathbb
29,38,\def
30,38,\R
31,38,\mathbb
32,39,\def
33,39,\C
34,39,\mathbb
35,40,\def
36,40,\F
37,40,\mathbb
38,42,\def
39,42,\M
40,42,\mathbb
41,43,\def
42,43,\T
43,43,\mathfrak
44,44,\def
45,44,\P
46,44,\mathbb
47,45,\def
48,45,\S
49,45,\mathcal
50,46,\def
51,46,\ns
52,46,\triangleleft
53,47,\def
54,47,\Gal
55,47,\mathrm
56,48,\def
57,48,\Hom
58,48,\mathrm
59,49,\def
60,49,\Char
61,49,\mathrm
62,50,\def
63,50,\lrird
64,50,\mathrm
65,51,\def
66,51,\GF
67,51,\mathrm
68,52,\def
69,52,\PSL
70,52,\mathrm
71,53,\def
72,53,\SL
73,53,\mathrm
74,54,\def
75,54,\PGL
76,54,\mathrm
77,55,\def
78,55,\GL
79,55,\mathrm
80,56,\def
81,56,\cs
82,56,\mathfrak
83,57,\def
84,57,\sort
85,57,\mathcal
86,59,\def
87,59,\cc
88,59,\mathrm
89,61,\let
90,61,\myacute
91,63,\def
92,63,\gL
93,63,\mathrm
94,64,\def
95,64,\PgL
96,64,\mathrm
97,65,\def
98,65,\lri
99,65,\mathcal
100,66,\def
101,66,\Aut
102,66,\mathrm
103,68,\def
104,68,\Sp
105,68,\mathrm
106,69,\def
107,69,\Ab
108,69,\mathrm
109,71,\def
110,71,\isom
111,71,\cong
112,73,\def
113,73,\ra
114,73,\longrightarrow
115,74,\def
116,74,\emptyset
117,74,\varnothing
118,75,\def
119,75,\iff
120,75,\Leftrightarrow
121,76,\def
122,76,\langle
123,77,\def
124,77,\rangle
125,78,\def
126,78,\N
127,78,\mathbb
128,79,\def
129,79,\Z
130,79,\mathbb
131,81,\def
132,81,\boldalpha
133,81,\ensuremath
134,81,\boldsymbol
135,81,\alpha
136,82,\def
137,82,\boldbeta
138,82,\ensuremath
139,82,\boldsymbol
140,82,\beta
141,83,\def
142,83,\Fq
143,83,\mathbb
144,84,\def
145,84,\lfi
146,85,\def
147,85,\lri
148,85,\mathfrak
149,86,\def
150,86,\gri
151,86,\mathcal
152,87,\def
153,87,\maxideal
154,87,\mathfrak
155,88,\def
156,88,\unif
157,90,\def
158,90,\mugroup
159,90,\mu_G
160,91,\def
161,91,\resfield
162,91,\mathfrak
163,92,\def
164,92,\congGL
165,92,\GL_n
166,93,\def
167,93,\congsubgp
168,93,\G
169,93,\cap
170,93,\GL_n
171,94,\def
172,94,\cczeta
173,94,\zeta_
174,94,\lri
175,95,\def
176,95,\ccintegral
177,95,\Z_
178,95,\lri
179,96,\def
180,96,\Mat
181,96,\mathrm
182,97,\def
183,97,\ac
184,97,\overline
185,97,\mathrm
186,98,\def
187,98,\Qp
188,98,\mathbb
189,99,\def
190,99,\Fp
191,99,\mathbb
192,101,\def
193,101,\pp
194,101,\mathrm
195,102,\def
196,102,\rings
197,102,\mathrm
198,103,\def
199,103,\pd
200,103,\mathrm
201,104,\def
202,104,\vf
203,104,\mathrm
204,104,\text
205,104,\mathrm
206,105,\def
207,105,\vfp
208,105,\mathrm
209,105,\text
210,105,\mathrm
211,105,\mathrm
212,106,\def
213,106,\hvf
214,106,\mathrm
215,107,\def
216,107,\mac
217,107,\mathrm
218,108,\def
219,108,\pres
220,108,\mathrm
221,109,\def
222,109,\hac
223,109,\mathrm
224,110,\def
225,110,\cL
226,110,\mathcal
227,111,\def
228,111,\cre
229,111,\color
230,113,\setlength
231,113,\unitlength
232,116,\newcommand
233,116,\kGq
234,117,\newcommand
235,117,\tqalpha
236,119,\newtheorem
237,120,\renewcommand
238,120,\thethmABC
239,120,\Alph
240,121,\newtheorem
241,123,\newenvironment
242,123,\noindent
243,123,\bf
244,124,\nonumber
245,124,\it
246,124,\bigskip
247,129,begindm
248,130,\def
249,130,\curlL
250,130,\mathcal
251,132,\def
252,132,\naturals
253,132,\mathbb
254,133,\def
255,133,\stab
256,133,\ensuremath
257,133,\mathrm
258,134,\def
259,134,\suchthat
260,134,\ensuremath
261,135,\def
262,135,\supp
263,135,\ensuremath
264,135,\mathrm
265,136,\def
266,136,\tgroup
267,136,\ensuremath
268,136,\mathscr
269,138,\def
270,138,\ns
271,138,\triangleleft
272,139,\def
273,139,\C
274,139,\mathbb
275,140,\def
276,140,\R
277,140,\mathbb
278,141,\def
279,141,\Q
280,141,\mathbb
281,142,\def
282,142,\F
283,142,\mathbb
284,143,\def
285,143,\ff
286,143,\mathbb
287,144,\def
288,144,\cL
289,144,\mathcal
290,145,\def
291,145,\cP
292,145,\mathcal
293,146,\def
294,146,\cM
295,146,\mathcal
296,147,\def
297,147,\cO
298,147,\mathcal
299,150,\newtheorem
300,151,\newtheorem
301,152,\newtheorem
302,153,\newtheorem
303,154,\newtheorem
304,155,\newtheorem
305,157,\newtheorem
306,158,\newtheorem
307,159,\newtheorem
308,160,\newtheorem
309,161,\newtheorem
310,162,\numberwithin
311,163,\newtheorem
312,164,\newtheorem
313,167,\long
314,167,\def
315,167,\symbolfootnote
316,167,\begingroup
317,167,\def
318,167,\thefootnote
319,167,\fnsymbol
320,167,\footnote
321,167,\endgroup
322,171,\title
323,172,\author
324,173,\address
325,174,\email
326,177,document
327,180,\keywords
328,182,\subjclass
329,186,abstract
330,188,\Z
331,188,\Z
332,199,\maketitle
333,203,\tableofcontents
334,207,\section
335,207,\bf
336,207,\label
337,209,\medskip
338,211,\subsection
339,211,\bf
340,215,\medskip
341,217,\Q
342,219,\A_K
343,220,\in
344,220,\prod_v
345,220,\mathcal
346,220,\A_K
347,221,\A_K
348,221,\A_K
349,223,\cite
350,225,\I_K
351,225,\cite
352,228,\cite
353,235,\cite
354,237,\cite
355,237,\cite
356,237,\cite
357,237,\A_K
358,237,\cite
359,238,\cite
360,241,\A_
361,241,\Q
362,241,\Q
363,242,\A_K
364,242,\cite
365,242,\cite
366,245,\A_K
367,245,\A_K
368,246,\cite
369,248,\medskip
370,250,\subsection
371,250,\bf
372,254,\medskip
373,256,\cite
374,258,\cite
375,258,\A_K
376,258,\A_K
377,258,\cL_
378,258,\A_K
379,258,\geq
380,258,\A_K
381,258,\A_K
382,261,\A_K
383,261,\Z
384,261,\Z
385,264,\medskip
386,264,\it
387,266,\medskip
388,268,\it
389,275,\cite
390,277,\cite
391,277,\Z
392,277,\Z
393,277,\A_
394,277,\Q
395,291,\cite
396,293,\A_
397,293,\Q
398,293,\Q
399,293,\hat
400,293,\Z
401,293,\setminus
402,293,\A_
403,293,\Q
404,293,\Q
405,293,\hat
406,293,\Z
407,293,\I_K
408,294,\cite
409,294,\cite
410,294,\cite
411,295,\A_
412,295,\Q
413,301,\cite
414,303,\cite
415,303,\cite
416,306,\geq
417,306,\Z
418,306,\Z
419,307,\sum_
420,307,\geq
421,308,\dots
422,308,\sim
423,308,\alpha
424,308,\in
425,308,\R_
426,308,\rightarrow
427,308,\infty
428,309,\cite
429,313,\cite
430,313,\cite
431,325,\cL
432,325,\C
